family,sign,rank,family_z,pid,position,token,member_z,context,trace_z
sv04_early,positive,1,4.089288439747312,fineweb_discovery_0014,113, appreciation,"L05/SV04:+4.05,L06/SV04:+4.08", Our 3D platforms now represent a supremely powerful aid for concept development and detailed design - also for assisting interpretation and⟦ appreciation⟧ at planning stages.\nStuck with a property problem and don't know where to turn? We have experience in a wide range, for{+0.34}  concept{+0.51}  development{+1.42}  and{+0.96}  detailed{+2.37}  design{+0.36}  -{+0.47}  also{+1.49}  for{-0.02}  assisting{+2.53}  interpretation{+2.64}  and{+1.45} ⟦ appreciation{+4.09}⟧  at{-0.52}  planning{+2.08}  stages{+0.10} .\n{-1.22} St{-2.77} uck{+0.25}  with{+0.09}  a{+0.74}  property{+0.63}  problem{-0.35}  and{+0.70}  don't{-0.56}
sv04_early,positive,2,3.714462244214275,fineweb_discovery_0017,87, contemplation,"L05/SV04:+3.61,L06/SV04:+3.77"," heading to the shore thinking that this was going to be the first time ever of quitting a race. After a minute of⟦ contemplation⟧, I started swimming again and somehow made it to T1. Slowest transition ever – 7 minutes. I know"," first{+0.17}  time{-0.32}  ever{+1.41}  of{+0.10}  quitting{+1.87}  a{+0.52}  race{-0.57} .{-0.38}  After{+0.19}  a{+0.05}  minute{+0.47}  of{+0.27} ⟦ contemplation{+3.71}⟧ ,{+0.59}  I{-0.44}  started{+0.19}  swimming{+0.42}  again{+0.77}  and{+0.29}  somehow{+1.13}  made{-0.54}  it{-0.43}  to{+0.08}  T{-2.06} 1{-1.34}"
sv04_early,positive,3,3.6651257131833366,fineweb_discovery_0302,52, facilitating,"L05/SV04:+3.60,L06/SV04:+3.69"," science company. Dedicated to promoting safe living and working environments, UL helps safeguard people, products and places in important ways,⟦ facilitating⟧ trade and providing peace of mind.\nUL chose to partner with PowerObjects to create a CRM training program that would efficiently facilitate"," UL{-0.61}  helps{+1.21}  safeguard{+2.22}  people{+0.48} ,{+0.87}  products{-1.22}  and{+0.84}  places{-0.02}  in{+0.36}  important{+1.62}  ways{-0.22} ,{+0.61} ⟦ facilitating{+3.67}⟧  trade{+0.46}  and{+0.93}  providing{+2.41}  peace{+0.28}  of{-0.07}  mind{+1.14} .\n{-1.54} UL{-1.48}  chose{+0.21}  to{+0.79}  partner{+0.03}  with{+0.08}"
sv04_early,positive,4,3.576088956824518,fineweb_discovery_0180,58, acknowledgment,"L05/SV04:+3.47,L06/SV04:+3.64"," wrote the modern version of the oath in 1964. His interpretation emphasizes caring, sound treatment, humility, compassion and⟦ acknowledgment⟧ of a patient's humanity. It also mentions the importance of prevention by maintaining good health.\nMost Western medical students say an oath"," His{-0.81}  interpretation{+2.07}  emphasizes{+2.62}  caring{+2.15} ,{+1.13}  sound{-0.08}  treatment{+0.72} ,{+0.80}  humility{+1.65} ,{+0.90}  compassion{+1.11}  and{+1.12} ⟦ acknowledgment{+3.58}⟧  of{+1.58}  a{+0.87}  patient's{+1.37}  humanity{+1.63} .{+0.17}  It{+0.05}  also{+0.95}  mentions{+1.88}  the{+1.11}  importance{+1.79}  of{+1.17}  prevention{+2.01}"
sv04_early,positive,5,3.573724611182576,fineweb_discovery_0374,9, including,"L05/SV04:+3.54,L06/SV04:+3.56", market report has segmented the market into segments⟦ including⟧ the product type and application. Each segment is rated according to its share and growth rate. The analysts also examined the potential, market{+0.43}  report{+1.29}  has{+0.36}  segmented{+0.26}  the{+1.00}  market{+0.46}  into{+0.17}  segments{-0.47} ⟦ including{+3.57}⟧  the{+0.99}  product{-0.95}  type{-0.19}  and{+1.10}  application{+1.92} .{+0.18}  Each{+1.43}  segment{-0.20}  is{+0.78}  rated{+0.63}  according{-0.96}  to{+1.51}
sv04_early,positive,6,3.540005791220398,fineweb_discovery_0378,78, inquiry,"L05/SV04:+3.77,L06/SV04:+3.26"," commission will call on government representatives, public officials, staff, trade unions, patients and their family members to give evidence.The⟦ inquiry⟧ panel will include Commissioner Marion Reynolds, assisted by Professor Paul Hunt, the former United Nations Special Rapporteur on the Right to"," trade{+0.25}  unions{-0.20} ,{+0.53}  patients{-0.06}  and{+0.52}  their{-0.44}  family{+0.09}  members{+0.19}  to{+1.06}  give{+0.53}  evidence{+1.65} .The{-0.62} ⟦ inquiry{+3.54}⟧  panel{+0.68}  will{+0.49}  include{+1.70}  Commissioner{+2.33}  Marion{+0.34}  Reynolds{+0.66} ,{+0.68}  assisted{+1.20}  by{+0.81}  Professor{+0.20}  Paul{-0.55}  Hunt{+0.68}"
sv04_early,positive,7,3.5354233779488666,fineweb_discovery_0384,174, commissioning,"L05/SV04:+3.42,L06/SV04:+3.61", sets the scene for the coming year.\nEach year we write and manage the production of approximately 30 annual reports for clinical⟦ commissioning⟧ groups and hospital trusts and 10 annual report summaries in a variety of formats. We can also offer this service to organisations, and{+0.25}  manage{+0.68}  the{+0.76}  production{+0.62}  of{+0.63}  approximately{+1.94}  {-1.56} 30{-1.70}  annual{+0.75}  reports{+0.41}  for{-0.25}  clinical{+0.61} ⟦ commissioning{+3.54}⟧  groups{-0.24}  and{+0.69}  hospital{+0.28}  trusts{+0.14}  and{+0.17}  {-1.71} 10{-1.05}  annual{+0.59}  report{+0.99}  summaries{+1.50}  in{+0.21}  a{+0.51}
sv04_early,positive,8,3.5254506901444906,fineweb_discovery_0165,61, including,"L05/SV04:+3.64,L06/SV04:+3.36"," this section soon once things get back to normal. In addition to this, please provide as much detail regarding your query,⟦ including⟧ relevant pictures and your order number (if applicable). Please keep your packaging with you until the barbecue is not fully assembled and"," to{+0.80}  this{+0.91} ,{+0.89}  please{+1.82}  provide{+1.83}  as{-0.54}  much{-0.22}  detail{+1.85}  regarding{+2.71}  your{+0.02}  query{+1.92} ,{+1.25} ⟦ including{+3.53}⟧  relevant{+2.29}  pictures{+0.07}  and{+0.84}  your{-0.32}  order{+0.05}  number{+0.05}  ({-1.64} if{-0.39}  applicable{+2.11} ).{-0.33}  Please{+1.58}  keep{+0.78}"
sv04_early,positive,9,3.503433181472399,fineweb_discovery_0101,196, including,"L05/SV04:+3.51,L06/SV04:+3.45"," Designs and more to convert our customer’s ideas into reality. We have experience in delivering high quality total solutions for different domains⟦ including⟧ Dairy Farms, e-Learning, e-Commerce, Media & Entertainment and more.\nOur strategies and personal approach make us unique"," We{-0.40}  have{+0.28}  experience{+1.91}  in{+1.01}  delivering{+2.98}  high{-0.04}  quality{+1.79}  total{+0.64}  solutions{+0.58}  for{-0.01}  different{+0.20}  domains{+0.18} ⟦ including{+3.50}⟧  Dairy{+0.16}  Farms{-0.93} ,{+0.75}  e{-0.96} -L{-1.61} earning{+1.94} ,{+0.87}  e{-1.30} -Commerce{+1.38} ,{+0.79}  Media{+0.18}  &{+0.48}"
sv04_early,positive,10,3.4465518808842845,fineweb_discovery_0398,75, verifying,"L05/SV04:+3.55,L06/SV04:+3.30"," goal.\nIn this talk, I will present our approach towards trustworthy autonomous driving from two perspectives: designing robust autonomy systems and⟦ verifying⟧ their safety with realistic simulation. I will first present how we combine learning methods with model-based knowledge to develop a robust,", trustworthy{+2.61}  autonomous{+1.66}  driving{+0.64}  from{+0.08}  two{-0.88}  perspectives{+1.48} :{+0.58}  designing{+1.33}  robust{+0.13}  autonomy{+1.50}  systems{+0.01}  and{+0.66} ⟦ verifying{+3.45}⟧  their{+0.04}  safety{+1.13}  with{+0.03}  realistic{+1.13}  simulation{+1.75} .{-0.24}  I{-0.31}  will{+0.78}  first{+0.97}  present{+1.15}  how{+0.25}  we{+0.11}
