candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share,nearest_unembed_token_id,nearest_unembed_token,nearest_unembed_decoded,nearest_unembed_cosine,nearest_unembed_margin,farthest_unembed_token_id,farthest_unembed_token,farthest_unembed_decoded,farthest_unembed_cosine,farthest_unembed_margin,max_abs_unembed_token_cosine,nearest_unembed_token_z,farthest_unembed_token_z,unembedding_cosine_mean,unembedding_cosine_std,rank_global_max_abs_unembed_token_cosine
L10_SV08,10,7,8,25.64979362487793,0.17681558430194855,6883,55,61.13071153566759,61.13071153566759,63.159594641806144,15.879877281020317,1.0,106.5,12.9375,0.0589018708789624,0.06179861812716366,0.49295365392997237,0.7931134679645503,1.0,89.86363636363636,1063.2178666174248,1567.9901350318182,407.3155750465588,0.2597692204474786,6883,60.5,11.75,17.42055,-0.07358383413229137,2.4212801885031547,-0.5787198114968453,0.4130046595797755,2.640559569014756,2.73025248915792,1.8082092700861914,2.2134203569921844,2.5220443671411763,2.053465590925662,2.5122484651747534,2.6956855552781263,2.1239283489901295,2.5219640022846694,2.6956855552781263,0.09258839839768296,0.013284671810693203,0.1303365794044563,0.017714308094393068,0.06382525154209376,0.008454803591501919,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.244475633662542,2.5475659494103233,2.6032473142351993,2.7031293501066274,0.04251949173313794,0.05572799730391531,0.25511695039882765,0.33436798382349187,0.16666666666666666,0.16666666666666666,0.05572799730391531,negative,1,6,20,80,810,1445,1446,1,1,1,1,41,64,64,64,27,14,2.1205044401125965,8.335341107768194,0.328125,64,33,51,3.8218465974256315,45.68849873581164,0.078125,64,33,51,3.8218465974256315,45.68849873581164,0.078125,92601,Ġà®īà®±, உற,0.07335873693227768,0.0018774420022964478,88030,",""Ċ",",""
",-0.08882161229848862,0.004126414656639099,0.08882161229848862,4.411638451411894,-5.170913051899609,-0.001306248117122218,0.016924547619151395,584
L07_SV03,7,2,3,49.951316833496094,0.17785459756851196,6883,55,-37.04481603225338,37.04481603225338,38.84118714939146,11.675590961940863,0.0,-5.625,-76.0,0.05887551663288384,0.06126802431420175,0.45241900334156615,0.7833793404038937,1.0,63.79090909090909,627.4422389990227,1850.4373426656641,583.2111433582114,0.3151747589129636,6883,-38.25,8.25,12.231449999999999,0.025153782001045562,2.454432949102554,-0.545567050897446,0.4074260820062911,2.667304367021081,3.0863062024535117,2.0295018170372296,2.4127352031034954,2.6602712679199976,2.0067122050124944,2.5140110125945823,2.776849842005831,2.1920949682989344,2.5588084405364993,2.797949139309082,0.08892625261270463,0.01210903283029338,0.14129532069464334,0.01933192993579143,0.06193020736616273,0.00801870381726062,0.0,0.0,0.0,0.0001452854859799506,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,2.393420240445736,2.576248114491741,2.5671527087957684,2.8434895290419377,0.044249986118863854,0.058257726404457845,0.2654999167131831,0.3495463584267471,0.16666666666666666,0.16666666666666666,0.058257726404457845,negative,2,8,22,62,1031,1438,1434,1,1,1,1,48,64,64,64,24,24,2.8611530052010457,17.48167177927852,0.15625,64,35,48,3.795957988587057,44.520866464672444,0.046875,64,35,48,3.795957988587057,44.520866464672444,0.046875,25121,_arr,_arr,0.07584016770124435,0.005362510681152344,133890,ĠMAIS, MAIS,-0.07893531769514084,0.0005325153470039368,0.07893531769514084,4.262861872073545,-4.41311069851166,-0.0002073889340600764,0.017839554486505874,1424
L06_SV03,6,2,3,58.891849517822266,0.15336622297763824,6883,55,-28.808795220107513,28.808795220107513,29.60226752861357,6.8079042885105245,0.0,-9.9375,-53.5,0.057056844907757434,0.05850042985545564,0.27095743135260786,0.8009588842074676,1.0,45.4,507.299380713522,1696.603232892329,400.9300748906987,0.23631339792226416,6883,-29.375,4.875,7.227675,-0.06178128349217359,2.6556965912963055,-0.34430340870369447,0.37654903925296584,2.6893157204771936,3.3378645276662278,2.023472278429786,2.414642329656501,2.5881472949462214,2.1618293572967797,2.853614751631749,3.171234179732861,2.2915391187345864,2.853614751631749,3.171234179732861,0.09629027200773442,0.012547814662842932,0.16265468491134466,0.023879412383131005,0.07243655545129997,0.010253147050049356,0.0,0.0,0.0,0.0002905709719599012,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,2.4350845880590923,2.609933346477256,2.943546852895295,3.207117088136919,0.0450801764230855,0.07349468093497884,0.270481058538513,0.44096808560987305,0.16666666666666666,0.16666666666666666,0.07349468093497884,negative,3,17,17,72,1222,1361,1187,1,1,1,1,60,60,54,64,28,27,2.9361313425259574,18.842808751786485,0.203125,64,36,49,3.766121386948238,43.21213622576382,0.09375,64,36,49,3.766121386948238,43.21213622576382,0.09375,67369,Ġalmacen, almacen,0.07981040328741074,0.0012501180171966553,103519,Ġà¤¸à¥įà¤¤, स्त,-0.08941363543272018,0.010606318712234497,0.08941363543272018,4.473193888063793,-4.745640816611203,-0.0023010522236084066,0.018356337231463224,529
L08_SV11,8,10,11,25.11107635498047,0.09744233638048172,6883,55,39.71159014964405,39.71159014964405,40.721673955322544,9.013564084771783,1.0,77.0,6.125,0.05412796990098639,0.05568571818799544,0.26485544094144997,0.808804300450385,1.0,63.29090909090909,742.6435743379295,997.2007724254021,226.3402959632139,0.22697565246835996,6883,39.5,5.75,8.524949999999999,0.1362757183763446,3.5576623138439163,0.5576623138439163,0.2810834508122663,4.398852779195186,3.914978973483716,2.7912187168253277,3.6433058258406446,4.237397286787701,2.5539739236007297,3.563935858861346,3.7484779969384965,3.0145338095824634,3.70887805793587,4.237397286787701,0.1738827085756921,0.026560535436437483,0.17183666687301055,0.026313988172272283,0.10230178308554462,0.01448427826145436,0.006537846869097777,0.0,0.0,0.0039227081214586665,0.0,0.0,27,0,0,13,0,0,0.4909090909090909,0.0,0.0,0.23636363636363636,0.0,0.0,3.8475298975360563,4.272165819154365,3.616590126628309,3.784333045941619,0.0989607073226765,0.09635449209842048,0.5937642439360591,0.5781269525905229,0.16666666666666666,0.16666666666666666,0.0989607073226765,positive,4,19,15,122,1138,148,399,1,1,2,1,62,7,18,64,34,40,3.424683720139934,30.712929434164824,0.109375,64,34,42,3.5846588395619308,36.04105983744059,0.09375,64,34,40,3.424683720139934,30.712929434164824,0.109375,7059,ĠØ§ÙĦÙģ, الف,0.07984728366136551,0.003674902021884918,135169,Ġà²ħà²µà²°à²¨à³įà²¨à³ģ, ಅವರನ್ನು,-0.07912895828485489,0.0015539824962615967,0.07984728366136551,4.7694787949564965,-4.295432478592712,-0.0037976403741124916,0.017537539767223338,1379
L11_SV08,11,7,8,25.365379333496094,0.19110479950904846,6883,55,65.00274226354787,65.00274226354787,67.0558572309419,16.466070787994045,1.0,113.5,14.375,0.05128702993493743,0.053567932133002934,0.4033125090803429,0.7952927502542496,1.0,95.37272727272727,1291.0493071130866,1648.8192152323702,417.6681316696679,0.25331347901037105,6883,64.0,11.75,17.42055,-0.0634808476821027,2.475968306270335,-0.5240316937296652,0.4038823911709702,2.8414717101354436,2.8486471437468968,1.9230162078694417,2.35354222455663,2.6241938400338807,2.095226614544317,2.6177847427320233,2.7795132759873087,2.2028581187161143,2.666319375679887,2.843709010335498,0.09309170009591358,0.012902151826985547,0.13500645005245912,0.018679134693095595,0.06418276283718985,0.008595315561652501,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3707632652241175,2.6709834075273173,2.7087261883235603,2.7944008656443113,0.04455555092362185,0.05962948502275382,0.2673333055417311,0.35777691013652296,0.16666666666666666,0.16666666666666666,0.05962948502275382,negative,5,10,19,76,761,1435,1419,1,1,1,2,40,64,63,64,27,14,2.049461236893773,7.763717174953005,0.375,64,31,47,3.698272431424279,40.37748919069226,0.09375,64,31,47,3.698272431424279,40.37748919069226,0.09375,37029,Ġverst, verst,0.07436401396989822,0.0008799508213996887,88030,",""Ċ",",""
",-0.09100166708230972,0.006295286118984222,0.09100166708230972,4.509223511324714,-5.248174376680592,-0.002057059099540423,0.01694772345560395,406
L08_SV03,8,2,3,47.76953887939453,0.1853674203157425,6883,55,-37.7003418749092,37.7003418749092,40.274596702809454,14.16782841824809,0.0,-2.71875,-85.0,0.05073004552709421,0.053847249703057265,0.2963823913990992,0.6633735289844545,1.0,70.01818181818182,742.6435743379295,1800.9279469599408,676.7906304620928,0.3758010594507861,6883,-39.5,10.25,15.19665,0.025002202536861983,2.3453734434960114,-0.6546265565039886,0.42637133236632924,2.420352511902294,2.9940809323107396,1.9426978972339324,2.3020534130877564,2.4182297167467843,1.9412173077619082,2.33604116696772,2.722363152405459,2.1023547953002812,2.3873353666762145,2.722363152405459,0.08192753583754012,0.010289488100739234,0.13899879781858807,0.01909520672059021,0.05743468377478438,0.007357741459967462,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3099252137806685,2.365940848805493,2.4018451435020216,2.7808760483396013,0.03891894242398076,0.05380113325577904,0.23351365454388456,0.3228067995346742,0.16666666666666666,0.16666666666666666,0.05380113325577904,negative,6,15,29,67,910,1460,1453,2,2,1,2,31,64,63,64,26,29,3.040271197403009,20.910913451606632,0.125,64,35,45,3.6929630865244225,40.16367927194908,0.0625,64,35,45,3.6929630865244225,40.16367927194908,0.0625,25121,_arr,_arr,0.07688561081886292,0.001600608229637146,72846,Ġepit, epit,-0.07821772992610931,0.005375169217586517,0.07821772992610931,4.341268859680262,-4.569457650668945,0.0013199089171740193,0.017406363057471258,1444
L12_SV02,12,1,2,54.067291259765625,0.44457584619522095,6883,55,-75.240865175069,75.240865175069,76.92483751156348,16.00758676026881,0.0,-18.375,-155.0,0.04908051564217861,0.05015554005293818,0.3319773354641871,0.9228534069446462,1.0,114.87272727272727,1542.7027290828626,4068.069772057212,865.4868557334219,0.21275123196712922,6883,-75.5,10.5,15.5673,-0.01563920093096185,3.116529143150139,0.11652914315013918,0.32086977341377126,3.669550917628619,5.106858607465649,2.3607176581680833,3.089071322580043,3.5590307888973047,2.4088955695592684,3.3441251854849714,4.841610298510495,2.6205571936045478,3.4366910125712233,4.841610298510495,0.13495144785058133,0.020967018438388843,0.15872524408720198,0.032102211096472544,0.08824070640342017,0.015975912057014503,0.0020339968037193083,0.0,0.0,0.0023245677756792097,0.0001452854859799506,0.0,5,0,0,12,1,0,0.09090909090909091,0.0,0.0,0.21818181818181817,0.01818181818181818,0.0,3.1652887784008783,3.5828306771244853,3.648673822692437,4.898730030255729,0.07454954958644423,0.19972330543329042,0.4472972975186654,0.5991699162998713,0.16666666666666666,0.3333333333333333,0.19972330543329042,negative,7,14,8,19,798,701,118,1,1,2,1,50,34,5,64,25,23,2.8436598558619917,17.17852154089458,0.171875,64,33,58,4.028917987004682,56.2000691319456,0.03125,64,33,58,4.028917987004682,56.2000691319456,0.03125,79332,ï¬ģ,ﬁ,0.0888042077422142,0.004203788936138153,123971,ĠWillis, Willis,-0.0805249810218811,0.004774510860443115,0.0888042077422142,4.847344730938827,-4.874545197871988,0.004376492867830347,0.017417311860555874,587
L09_SV08,9,7,8,26.085336685180664,0.1494557112455368,6883,55,42.16417699744842,42.17525870464369,45.225635389391925,16.356658414910434,0.9984018596542206,84.0,-10.5625,0.048279796162092214,0.0527876885489059,0.2703762894086881,0.5195408978643034,1.0,75.2909090909091,900.9004316993635,1100.155823095227,426.6689417974322,0.38792784727897983,6883,40.5,10.75,15.937949999999999,0.15578482431436605,2.5388440595044752,-0.4611559404955248,0.39388004011367966,2.7293347011378506,3.2038311075138273,2.2273880894343376,2.48206325154742,2.6861547438660813,2.115979470383582,2.637861793706237,3.090483719675433,2.312856264450573,2.683720302799295,3.090483719675433,0.0850834451694648,0.010455514815596952,0.1367264096291925,0.020436959002821765,0.058143965033481175,0.007882631581242975,0.0,0.0,0.0,0.0002905709719599012,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,2.5818878839499435,2.6954533048478635,2.788548715487249,3.114892442252611,0.042299409544859015,0.06285052708363922,0.2537964572691541,0.3771031625018354,0.16666666666666666,0.16666666666666666,0.06285052708363922,negative,8,18,44,104,772,1419,1394,1,1,1,2,29,63,62,64,30,5,0.7887647507269746,2.200676362746319,0.734375,64,34,43,3.5703719236078033,35.529805067849786,0.078125,64,34,43,3.5703719236078033,35.529805067849786,0.078125,11966,Ġagr, agr,0.07763364166021347,0.0028587356209754944,30007,ĠBil, Bil,-0.09153039008378983,0.0022733062505722046,0.09153039008378983,4.616936077479698,-5.258184377305806,-0.0014559780306861985,0.01713032590524261,369
L11_SV02,11,1,2,54.55508804321289,0.4110223948955536,6883,55,-61.58086045329072,61.58086045329072,63.44826152557838,15.28003653302324,0.0,-10.5625,-129.0,0.04788359876256098,0.04924256363717642,0.20122039808223158,0.8105477262821444,1.0,98.48181818181818,1291.0493071130866,3359.549263806082,833.6037383625924,0.24812963671744973,6883,-62.25,10.25,15.19665,0.06565902066301851,3.040712219742221,0.040712219742220945,0.3288703197584334,3.401243037116733,4.392415433664656,2.352492161101295,3.2002036633073754,3.392751856494693,2.2537861962998424,3.1170027604768418,4.279199692037456,2.549904090704201,3.3506891321442653,4.279199692037456,0.1322027630211509,0.01973683266125101,0.1560268473437976,0.029883498801125764,0.08516525779893808,0.013761791746498104,0.0020339968037193083,0.0,0.0,0.001452854859799506,0.0,0.0,5,0,0,9,0,0,0.09090909090909091,0.0,0.0,0.16363636363636364,0.0,0.0,3.2169919028206873,3.394580384492635,3.4415479727439924,4.303580065343349,0.07493161570336752,0.08980523599610346,0.44958969422020517,0.5388314159766208,0.16666666666666666,0.16666666666666666,0.08980523599610346,negative,9,24,14,27,851,843,635,2,2,2,1,57,39,34,64,25,23,2.8029100181111213,16.492570686944344,0.1875,64,34,58,4.028917987004682,56.2000691319456,0.03125,64,34,58,4.028917987004682,56.2000691319456,0.03125,79332,ï¬ģ,ﬁ,0.08703558892011642,0.0021285489201545715,123971,ĠWillis, Willis,-0.07882819324731827,0.0036107301712036133,0.08703558892011642,4.724779187768166,-4.785407560079096,0.004632396767596329,0.017440644076203847,751
L12_SV08,12,7,8,25.163782119750977,0.20691271126270294,6883,55,-71.10003813744007,71.10003813744007,73.00274735841359,16.558553642481282,0.0,-15.6875,-116.0,0.04699550202969079,0.04886215563429305,0.3553682987069592,0.826238558767979,1.0,101.73636363636363,1542.7027290828626,1789.1458683965268,416.67583607760787,0.23289092490319774,6883,-71.0,12.0,17.7912,0.11768502185821636,2.5472594710592307,-0.4527405289407693,0.3925787739182175,3.108980844462431,2.529340348037232,2.1524686361796883,2.7310411889023953,3.0485401490624935,1.8599082692567193,2.332613876523225,2.4326352353973317,2.2201987499437923,2.7310411889023953,3.0485401490624935,0.13573804594879696,0.01944690383358664,0.10133550208134925,0.01357497134607852,0.07046560100947417,0.009843153991366744,0.0002905709719599012,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,2.840589729754036,3.061555712936733,2.3888214398129413,2.453460137596115,0.06347493035305901,0.045296126539873624,0.3808495821183541,0.27177675923924177,0.16666666666666666,0.16666666666666666,0.06347493035305901,positive,10,13,13,68,754,1416,1387,2,2,1,2,45,64,63,64,31,51,3.8136708451793107,45.3164837131818,0.078125,64,30,17,2.390283765898378,10.916591259890831,0.203125,64,31,51,3.8136708451793107,45.3164837131818,0.078125,88030,",""Ċ",",""
",0.0913480892777443,0.00779733806848526,13102,ĠCollection, Collection,-0.0736006572842598,0.0021739453077316284,0.0913480892777443,5.249860110203238,-4.536720603971098,0.002863881146738553,0.016854583983873097,387
