candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share,nearest_unembed_token_id,nearest_unembed_token,nearest_unembed_decoded,nearest_unembed_cosine,nearest_unembed_margin,farthest_unembed_token_id,farthest_unembed_token,farthest_unembed_decoded,farthest_unembed_cosine,farthest_unembed_margin,max_abs_unembed_token_cosine,nearest_unembed_token_z,farthest_unembed_token_z,unembedding_cosine_mean,unembedding_cosine_std,rank_global_max_abs_unembed_token_cosine
L07_SV03,7,2,3,49.95131301879883,0.17785456776618958,32896,55,-40.686981082426435,40.68726393406493,42.194780106198216,11.178955166235093,9.119649805447471e-05,2.921875,-83.0,0.06458925249975479,0.06652846960204128,0.5452030642023347,0.8722945038910506,1.0,69.95,628.8203125,2032.3822566489616,558.4034887317274,0.27475509042039115,32896,-41.75,6.75,10.00755,0.3047543513536124,2.957661451251957,-0.04233854874804299,0.33810495774514937,4.463817317924967,4.1218879745791925,2.7354347467661917,3.292576604663519,4.052540136884255,2.2732836708285244,3.022717848024741,3.8076502240808714,2.8041328796758447,3.366864267478074,4.1218879745791925,0.11339261034235434,0.016486936556894403,0.14628694128802006,0.0243240101114039,0.07463285981876248,0.011076160391650242,0.0029790856031128403,0.0,0.0,0.0010335603112840467,0.0,0.0,31,0,0,16,0,0,0.5636363636363636,0.0,0.0,0.2909090909090909,0.0,0.0,4.012322259194308,4.31816946955049,3.8171180758527306,4.1218879745791925,0.07046194400967297,0.0785713015938895,0.42277166405803784,0.471427809563337,0.16666666666666666,0.16666666666666666,0.0785713015938895,negative,1,5,13,58,1076,1038,1082,1,1,1,1,58,42,49,64,32,39,3.4713250143454144,32.17935231261638,0.078125,64,30,38,3.360782757416221,28.811734653912744,0.140625,64,30,38,3.360782757416221,28.811734653912744,0.140625,25121,_arr,_arr,0.07584016770124435,0.005362510681152344,133890,ĠMAIS, MAIS,-0.07893530279397964,0.0005325153470039368,0.07893530279397964,4.262861718126622,-4.413110331517337,-0.00020738343237218068,0.017839553840145857,1421
L06_SV03,6,2,3,58.891849517822266,0.15336622297763824,32896,55,-30.658478614421206,30.658478614421206,31.359832486220444,6.595209065138479,0.0,-3.203125,-61.0,0.06076559395409743,0.06206491682545043,0.30353234435797666,0.8643300097276264,1.0,49.486363636363635,507.6408256797939,1805.5345090058659,388.4040598027126,0.2151186022008279,32896,-31.375,4.125,6.115724999999999,0.19113447420809443,3.011538254223022,0.011538254223022015,0.3320562169840344,4.606465300516293,4.844069999877366,2.6366456961357816,3.250892167322795,4.248377134354483,2.3096198733592503,3.2089408859947106,4.043715176859739,2.728621708791681,3.535966708771242,4.349359131583072,0.11727080576365068,0.018670241484512008,0.16773589514987605,0.02917280667500708,0.08056003112289752,0.012985940163132467,0.002492704280155642,0.0,0.0,0.0018239299610894942,0.0,0.0,25,0,0,22,0,0,0.45454545454545453,0.0,0.0,0.4,0.0,0.0,4.153227949261943,4.55403897330243,4.091910607491345,4.4908821112787125,0.07403315903229113,0.09134811150775293,0.44419895419374683,0.5480886690465177,0.16666666666666666,0.16666666666666666,0.09134811150775293,negative,2,16,15,66,1237,913,561,1,1,1,1,61,41,23,64,28,36,3.2969566337516465,27.03025066287499,0.15625,64,31,36,3.3322777895960676,28.002051898964247,0.109375,64,31,36,3.3322777895960676,28.002051898964247,0.109375,67369,Ġalmacen, almacen,0.07981040328741074,0.0012501180171966553,103519,Ġà¤¸à¥įà¤¤, स्त,-0.08941363543272018,0.010606318712234497,0.08941363543272018,4.473193888063793,-4.745640816611203,-0.0023010522236084066,0.018356337231463224,522
L10_SV08,10,7,8,25.649791717529297,0.17681564390659332,32896,55,59.29499324100954,59.295643016058186,61.514361153810896,16.374382574928173,0.9999696011673151,110.0,-10.6875,0.05797089302934098,0.06118343440293291,0.4109010214007782,0.7604571984435797,1.0,98.8,1050.2835978348432,1520.9208931188632,419.9995025500487,0.2761511837664409,32896,58.75,11.25,16.67925,0.03543013684147723,2.5378116520867615,-0.4621883479132385,0.39404027449307827,3.072680126504489,4.163106854324985,2.1134043796933315,2.5630648860110616,2.7942053749419506,2.1134043796933315,2.7021036617354017,3.3212252874080366,2.2932685822204237,2.742929088538154,3.3212252874080366,0.10413559174935537,0.013770056569981223,0.12839698862581586,0.02010133397794786,0.06560952011529467,0.009432488443416123,3.0398832684824903e-05,0.0,0.0,0.00036478599221789884,0.0,0.0,1,0,0,10,0,0,0.01818181818181818,0.0,0.0,0.18181818181818182,0.0,0.0,2.781899665752357,2.9593656789124214,3.339759731402791,3.788132147728466,0.050127519275463744,0.06385033721610772,0.30076511565278247,0.3831020232966464,0.16666666666666666,0.16666666666666666,0.06385033721610772,negative,3,9,21,79,825,1453,1430,1,1,1,1,47,64,63,64,33,13,1.1606631753624392,3.192049462896639,0.75,64,31,53,3.9042622355495498,49.61346335711309,0.046875,64,31,53,3.9042622355495498,49.61346335711309,0.046875,92601,Ġà®īà®±, உற,0.07335834950208664,0.0018776357173919678,88030,",""Ċ",",""
",-0.08882185816764832,0.004126839339733124,0.08882185816764832,4.411614877962147,-5.170924244446215,-0.0013062678740826488,0.016924554713320546,576
L08_SV03,8,2,3,47.76951599121094,0.18536731600761414,32896,55,-42.129845170195466,42.131690949317544,44.20675014585979,13.390776840565783,0.00030398832684824903,7.21875,-89.0,0.05731525846144569,0.059794601681950395,0.4003830252918288,0.786630593385214,1.0,76.24545454545455,735.1064878233676,2012.6104845401815,639.6709284201443,0.3178453845835327,32896,-43.75,8.25,12.231449999999999,0.32743697730114785,2.8635436838577224,-0.1364563161422776,0.34921765141463296,4.167024351160329,3.699479620159507,2.667304367021081,3.19414807729257,3.8942867311317597,2.186985189818051,2.8001586075240468,3.27886309472716,2.703072816387264,3.249819113841777,3.8942867311317597,0.10608650101060006,0.01547162735816293,0.14528038571327098,0.022006401836172494,0.07102516877401395,0.010255170507995914,0.002097519455252918,0.0,0.0,0.00045598249027237355,0.0,0.0,24,0,0,10,0,0,0.43636363636363634,0.0,0.0,0.18181818181818182,0.0,0.0,3.8319506272764063,4.070449537871635,3.3274877467512027,3.567034161935012,0.06621734957734213,0.06923184420687896,0.39730409746405276,0.4153910652412738,0.16666666666666666,0.16666666666666666,0.06923184420687896,negative,4,10,19,61,975,1210,1348,1,1,1,1,51,53,60,64,28,41,3.541616907422764,34.522694087607725,0.078125,64,34,39,3.357258234409049,28.71036577565619,0.125,64,34,39,3.357258234409049,28.71036577565619,0.125,25121,_arr,_arr,0.0768856480717659,0.0016007348895072937,72846,Ġepit, epit,-0.07821773737668991,0.005375184118747711,0.07821773737668991,4.341271213972794,-4.569459341636946,0.0013199177161101797,0.017406360172209524,1440
L12_SV02,12,1,2,54.067291259765625,0.4445759952068329,32896,55,-81.4839266172179,81.4839266172179,82.99053956386335,15.741644137161002,0.0,-10.75,-160.0,0.054489109679650705,0.055506230206574296,0.4580192120622568,0.9640989785992218,1.0,126.9,1506.2767770967596,4405.615193402489,851.1080584714658,0.19318710806745207,32896,-81.5,10.0,14.825999999999999,-0.007030079194659663,3.260072047199797,0.26007204719979704,0.30674168715349065,4.772022123296911,5.294752461891273,2.4956158100634025,3.348045663024444,4.162539626332128,2.5293403480372323,3.4736274113044656,4.350465398624039,2.79913665182787,3.810872791042763,4.398387967084922,0.14718376709439834,0.024717218771817862,0.1622901423498059,0.028805251027199028,0.09274035278087846,0.015358152222302197,0.002553501945525292,0.0,0.0,0.003951848249027237,3.0398832684824903e-05,0.0,15,0,0,29,1,0,0.2727272727272727,0.0,0.0,0.5272727272727272,0.01818181818181818,0.0,4.014906245784433,4.444219614191287,4.188587616349656,4.930527451773912,0.08772834227552347,0.1965159524932541,0.5263700536531408,0.5895478574797623,0.16666666666666666,0.3333333333333333,0.1965159524932541,negative,5,8,4,18,858,366,166,1,1,1,1,56,18,5,64,28,24,2.8489692007618466,17.269970789602993,0.171875,64,28,47,3.7526362898020618,42.63332778611349,0.0625,64,28,47,3.7526362898020618,42.63332778611349,0.0625,79332,ï¬ģ,ﬁ,0.08880424499511719,0.004203855991363525,123971,ĠWillis, Willis,-0.08052496612071991,0.0047744885087013245,0.08880424499511719,4.847345576752515,-4.874544545220612,0.0043765059218062955,0.017417313813609583,581
L08_SV11,8,10,11,25.111068725585938,0.09744229912757874,32896,55,38.54959617050705,38.54994646955557,39.739546816204175,9.651954011914453,0.9998784046692607,82.5,-2.375,0.05322381297438061,0.055090182011324554,0.21719965953307394,0.7364117217898832,1.0,70.62272727272727,735.1064878233676,968.0303551646689,242.37088052937875,0.25037756476677636,32896,38.25,6.0,8.8956,0.19343194157825866,3.535795284235453,0.5357952842354532,0.28282180375616134,4.974369351139889,4.566864517289447,2.8665857277755293,3.90642564863528,4.637123971401592,2.445731597643769,3.527762320697896,4.343566578912792,3.0633121992895362,4.056833575025889,4.637123971401592,0.17293592487376386,0.027983559573001297,0.1623221549044847,0.028824151377220393,0.10370918054126094,0.016075083596872482,0.007994892996108949,0.0,0.0,0.0030398832684824903,0.0,0.0,49,0,0,27,0,0,0.8909090909090909,0.0,0.0,0.4909090909090909,0.0,0.0,4.653986240388506,4.883313098610549,4.210166051193849,4.4862417936957595,0.1089130175599114,0.09982201491543266,0.6534781053594684,0.598932089492596,0.16666666666666666,0.16666666666666666,0.1089130175599114,positive,6,22,27,120,1125,108,279,2,2,2,2,62,3,13,64,33,35,3.208528414288969,24.742648492565774,0.15625,64,29,34,3.3324809293051993,28.007740805443937,0.09375,64,33,35,3.208528414288969,24.742648492565774,0.15625,7059,ĠØ§ÙĦÙģ, الف,0.07984698563814163,0.0036744698882102966,135169,Ġà²ħà²µà²°à²¨à³įà²¨à³ģ, ಅವರನ್ನು,-0.07912756502628326,0.0015534162521362305,0.07984698563814163,4.76946126656653,-4.295348043759964,-0.0037976819777603126,0.01753755045716444,1377
L11_SV02,11,1,2,54.55512237548828,0.41102269291877747,32896,55,-67.65253849252188,67.65253849252188,69.24136187163101,14.747888979647257,0.0,-5.28125,-135.0,0.05265432726664302,0.0537936450936675,0.32687864785992216,0.9014469844357976,1.0,109.87272727272727,1289.4740303722338,3690.7925164719627,804.5728880647711,0.21799461348042734,32896,-68.0,9.5,14.0847,0.051269873678384315,3.2471739951614356,0.24717399516143557,0.307960091294795,4.452970244307653,4.756934829992829,2.5204654696230664,3.3673063679028736,4.023472722173711,2.4139669286530774,3.407953311039639,4.229110311188848,2.7600871868055408,3.587314603789985,4.310386447705741,0.14609327304471315,0.024002582110571456,0.16019137522205593,0.027465688243093343,0.09145207122811758,0.014543302499422282,0.0026750972762645915,0.0,0.0,0.0027054961089494163,0.0,0.0,16,0,0,26,0,0,0.2909090909090909,0.0,0.0,0.4727272727272727,0.0,0.0,3.8477035364615504,4.298414236724957,4.082444070516234,4.56523745624685,0.08694815347210608,0.09413207431506801,0.5216889208326365,0.5647924458904081,0.16666666666666666,0.16666666666666666,0.09413207431506801,negative,7,13,10,26,905,387,479,1,1,1,1,59,15,20,64,25,28,3.000595146509335,20.09749431822364,0.171875,64,28,47,3.704285012763039,40.62099343967875,0.078125,64,28,47,3.704285012763039,40.62099343967875,0.078125,79332,ï¬ģ,ﬁ,0.08703559637069702,0.0021285787224769592,123971,ĠWillis, Willis,-0.07882813364267349,0.003610581159591675,0.08703559637069702,4.72477937434803,-4.7854045936563265,0.00463240278830719,0.017440643690111057,746
L10_SV02,10,1,2,55.98500061035156,0.38593000173568726,32896,55,-53.943912016278574,53.94410818374575,55.63994561907603,13.632971241579503,6.0797665369649806e-05,2.1875,-118.0,0.051679986547171375,0.05318606919369154,0.1934581712062257,0.7597276264591439,1.0,92.95454545454545,1050.2835978348432,3020.060929591876,763.2419032807337,0.2527249272812333,32896,-54.0,9.0,13.343399999999999,-0.029820026282181264,3.2373364749332905,0.23733647493329046,0.30889591111180564,4.210883283121244,4.796378734055788,2.341981803738178,3.3209301977007364,3.860571986899896,2.435661075887705,3.447397215102598,4.431516704888045,2.697963037906381,3.6385731897417903,4.431516704888045,0.14658631791886628,0.025068494480911658,0.1646575373755417,0.028927123561759853,0.09452670529169194,0.015234297677756121,0.002219114785992218,0.0,0.0,0.0026446984435797667,0.0,0.0,15,0,0,23,0,0,0.2727272727272727,0.0,0.0,0.41818181818181815,0.0,0.0,3.8881581905661227,4.16440665422606,4.080669094833401,4.776144011271491,0.08763399757779139,0.09772207980146266,0.5258039854667483,0.586332478808776,0.16666666666666666,0.16666666666666666,0.09772207980146266,negative,8,26,22,39,961,404,400,2,2,2,2,62,14,14,64,26,29,3.1203502431911776,22.65431277263143,0.109375,64,30,49,3.790648643687201,44.285116222842625,0.0625,64,30,49,3.790648643687201,44.285116222842625,0.0625,29474,ĠCra, Cra,0.09221723675727844,0.009889461100101471,75813,ĠLB, LB,-0.07837091386318207,0.004977971315383911,0.09221723675727844,4.876574822570398,-4.825576189775804,0.006474819505063816,0.01758250829155136,325
L11_SV08,11,7,8,25.36536979675293,0.1911047399044037,32896,55,62.85130315995866,62.852123928441145,65.14012077409096,17.11575372451143,0.9999696011673151,116.5,-13.5,0.049694426125821436,0.05218186172622446,0.3232003891050584,0.7534350680933852,1.0,104.6,1289.4740303722338,1594.2673659562531,434.1474225723837,0.2723213818009627,32896,62.25,11.75,17.42055,0.04977720949613771,2.592050996868746,-0.4079490031312538,0.38579487873040375,3.114138187370663,4.348312768540604,2.1382792162130357,2.5688052329002242,2.8271208429125374,2.1239283489901295,2.738181343298599,3.361831464850453,2.3104896228879115,2.798419108466725,3.361831464850453,0.10484413149750586,0.014144677335338559,0.13289692850811055,0.021141414621412308,0.06712325122808516,0.009846342862877592,3.0398832684824903e-05,0.0,0.0,0.00039518482490272374,0.0,0.0,1,0,0,11,0,0,0.01818181818181818,0.0,0.0,0.2,0.0,0.0,2.8271208429125374,2.990146694564753,3.3765796717095613,3.862033632692425,0.05091859941895153,0.0663556608051827,0.3055115965137092,0.3981339648310962,0.16666666666666666,0.16666666666666666,0.0663556608051827,negative,9,14,23,77,773,1439,1405,2,2,2,2,46,63,62,64,33,11,1.0545524161635897,2.8706899918742184,0.765625,64,32,49,3.795957988587057,44.520866464672444,0.0625,64,32,49,3.795957988587057,44.520866464672444,0.0625,37029,Ġverst, verst,0.07436443120241165,0.0008806660771369934,88030,",""Ċ",",""
",-0.0910017117857933,0.00629570335149765,0.0910017117857933,4.509245292126903,-5.248172975875938,-0.0020570648599246596,0.01694773539948414,401
L05_SV03,5,2,3,69.60091400146484,0.1468917280435562,32896,55,-20.40342932081408,20.40342932081408,20.8393588601856,4.240159154340846,0.0,-1.5390625,-40.5,0.048960861572379735,0.04990296341515104,0.037481760700389104,0.46543652723735407,1.0,33.01590909090909,418.45417470969113,1420.097329492947,295.1189526538011,0.20781600424469526,32896,-20.75,2.75,4.07715,0.09128446968156649,3.0663979220834374,0.06639792208343742,0.32611553536422916,4.711854481684511,4.844069999877366,2.4680230062666326,3.0658670885299784,4.136693983542739,2.3300589872827837,3.3788921182690856,3.9678758446464477,2.667304367021081,3.6225519051299564,4.2341234072820635,0.12077374101152781,0.020232949402762126,0.17589348229657065,0.030702311140237012,0.08516141633149077,0.014105098630770729,0.0013071498054474707,0.0,0.0,0.0024015077821011675,0.0,0.0,23,0,0,25,0,0,0.41818181818181815,0.0,0.0,0.45454545454545453,0.0,0.0,4.22783071508284,4.570096452178606,3.985627215088972,4.446733625203882,0.07268280355112842,0.09867533504354936,0.4360968213067706,0.5920520102612962,0.16666666666666666,0.16666666666666666,0.09867533504354936,negative,10,114,51,82,1320,773,378,1,1,5,1,62,35,21,64,32,41,3.4834487593919796,32.57186110635339,0.125,64,33,42,3.5629979901694324,35.26877424495043,0.09375,64,33,42,3.5629979901694324,35.26877424495043,0.09375,67369,Ġalmacen, almacen,0.07477211952209473,0.005623094737529755,50673,osexual,osexual,-0.09915168583393097,0.015357807278633118,0.09915168583393097,4.2877113743197794,-5.045813782743054,-0.005126425340743145,0.0186343104485463,104
