candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L22_SV45,22,44,45,20.356109619140625,0.8955063819885254,441490,2000,7.671190040358714,51.34045995443431,66.26797859799501,65.8224720808101,0.5679199981879545,314.0,-628.0,0.0021631277511695193,0.002756557420824291,7.474687988402909e-05,0.0023647194726947383,0.3225,227.543,23628.51209795239,1045.0920307295644,1339.8894570797938,8.5804773098443,29432,9.4375,41.6875,61.8058875,-0.41161545763090496,4.2875414729079155,1.2875414729079155,0.2332338955363563,4.927726343222561,10.313540113795794,2.3875152670528355,3.2935778165146483,3.848290342890035,2.887063145885576,4.715367933192449,6.39883862196761,3.034075839457848,4.715367933192449,6.39883862196761,0.15485115255215107,0.025355825640882686,0.21860871165929324,0.04726036772870613,0.12787189017126552,0.026714210949197133,0.0021065506931231314,0.0,0.0,0.008562109268823049,0.000679532481652623,0.0,544,0,0,1333,239,3,0.272,0.0,0.0,0.6665,0.1195,0.0015,3.5694415034490032,3.9569450402277617,5.718508612953742,6.948164930080488,0.08740888026477708,1.025095044374994,0.5244532815886626,1.025095044374994,0.16666666666666666,1.0,1.025095044374994,negative,1448,1282,1330,658,41,2,1,53,54,48,50,34,1,1,64,59,40,3.479047578517717,32.42882145679236,0.109375,64,56,11,1.0492430712637335,2.8554888982400723,0.765625,64,56,11,1.0492430712637335,2.8554888982400723,0.765625
L21_SV44,21,43,44,19.02442169189453,0.8411049842834473,441490,2000,34.48131164261843,43.80064273535181,56.37547509306898,44.60082218271169,0.7914244943260323,360.0,-157.0,0.0024804277040631198,0.003121474311218661,1.8120455729461597e-05,0.0010260708056807628,0.1815,193.13775,17515.53339883123,833.2818977733496,848.504849009111,1.293478120698413,29432,32.125,27.125,40.215525,0.5917139666183915,4.329983241477196,1.329983241477196,0.23094777606087105,8.152945908327691,4.702785802249256,3.328938264513518,4.700000808145586,5.81836989570568,2.284565475646532,3.0367625438185875,3.6349618710684393,3.3538042832960655,4.700000808145586,5.81836989570568,0.21168107825599594,0.038614521270235756,0.14432243132373387,0.022882949732886005,0.12956667426058194,0.023555789291330932,0.0150516444686056,0.000679532481652623,3.397662408263115e-05,0.0011891818428920902,0.0,0.0,1720,274,2,326,0,0,0.86,0.137,0.001,0.163,0.0,0.0,5.566879954942774,6.611750064185411,3.3351547692091548,3.708269381041277,0.923577321179656,0.07656240849505719,0.923577321179656,0.45937445097034313,1.0,0.16666666666666666,0.923577321179656,positive,1428,1366,1398,874,143,1,2,55,55,55,55,55,1,1,64,60,45,3.649641387739426,38.460871035743736,0.09375,64,58,46,3.6631264848856033,38.98303240357026,0.09375,64,60,45,3.649641387739426,38.460871035743736,0.09375
L01_SV48,1,47,48,173.81838989257812,0.9109354615211487,441490,2000,-1.5693994495784385,2.2376434526286006,2.780933172408448,2.2957732198683325,0.23297469931368775,8.125,-14.875,0.011375787239706113,0.014240304692679614,0.0028766223470520283,0.024473940519604068,0.933,8.7150625,201.08149276588583,388.94358208957277,399.0476046360133,1.4628354944839217,29432,-1.609375,1.46875,2.17756875,-0.11203861703997875,3.871311810615372,0.8713118106153721,0.2583103735684476,4.470295139935307,6.091943136123716,2.547278932065865,3.287338803883912,3.8294055009743886,2.705138471517834,4.427242538266587,5.004543484562748,2.963454081530147,4.427242538266587,5.004543484562748,0.14801410567782974,0.022345107656257794,0.22133108611178107,0.0413593799528832,0.11616459014717334,0.02045029815413973,0.002514270182114705,0.0,0.0,0.006523511823865181,0.0001359064963305246,0.0,717,0,0,1055,88,0,0.3585,0.0,0.0,0.5275,0.044,0.0,3.623593973783836,4.025418256025212,4.915172023845401,5.518195464551923,0.08190010178618756,0.9003685659309394,0.49140061071712543,0.9003685659309394,0.16666666666666666,1.0,0.9003685659309394,negative,906,709,883,1399,1404,6,3,49,49,30,43,54,1,1,64,62,48,3.721264914635443,41.316623070266566,0.109375,64,58,15,1.9337247990818343,6.915220135372627,0.484375,64,58,15,1.9337247990818343,6.915220135372627,0.484375
L21_SV06,21,5,6,21.93209457397461,0.9696585536003113,441490,2000,115.59136530644098,116.8940292832935,129.2145129104356,57.74968929158007,0.9735146888944257,476.0,-168.0,0.006745486630097681,0.00744248494325747,0.013923305171125054,0.15688011053477996,0.9995,300.804,17515.53339883123,2563.7309053741506,1266.5716471605829,0.4996021038291313,29432,117.0,35.0,51.891,0.07499537066756931,3.837169151875928,0.8371691518759281,0.2606087874732123,6.918348075774219,5.492281898595133,2.8594553968895835,4.39648493958488,5.351270933302405,2.743732053728007,3.7013933051974237,4.236599795725608,3.1734308454259827,4.41309668343258,5.351270933302405,0.20780532407233562,0.039642159270001996,0.160837641309123,0.025666254502577236,0.11328293814712183,0.019458577451440563,0.008052459907583583,0.0002718129926610492,0.0,0.00560614297363414,0.0,0.0,1434,108,0,1169,5,0,0.717,0.054,0.0,0.5845,0.0025,0.0,5.029773949239753,5.723921296563951,4.08548688597252,4.461370950646548,0.875355048494871,0.5929887897903828,0.875355048494871,0.5929887897903828,1.0,1.0,0.875355048494871,positive,1143,338,205,111,76,7,4,8,8,11,8,21,2,2,64,57,40,3.4069708635476808,30.17370541659252,0.109375,64,60,50,3.800185748033133,44.70948842159447,0.078125,64,57,40,3.4069708635476808,30.17370541659252,0.109375
L22_SV53,22,52,53,22.454111099243164,0.9878016710281372,441490,2000,36.23535766311242,46.61383746526323,56.78339481413397,43.719020822110565,0.8159709166685543,226.0,-290.0,0.0019695235466288263,0.002379172435928898,0.0,0.00025595143717864504,0.05,156.072,23628.51209795239,1046.6722852070839,981.6717506897959,1.2065293029138582,29432,37.25,27.3125,40.493512499999994,-0.27510381406611367,3.8985727687596863,0.8985727687596863,0.25650412582093357,4.661240488831391,8.081541456795087,2.512748184045531,3.3523888548813843,3.7969045041474243,2.8214396071469476,4.295922711076214,5.306427788895703,3.0436974317799677,4.295922711076214,5.306427788895703,0.15977947831854622,0.024637241970378976,0.19265575229015122,0.03726367014751055,0.11115558202409898,0.020271540641320595,0.003227779287849959,0.0,0.0,0.007542810546344115,0.00023783636857841803,0.0,746,0,0,1411,125,1,0.373,0.0,0.0,0.7055,0.0625,0.0005,3.6487326210587443,3.9944670149323307,5.167494422717714,6.328421126717521,0.08769991697380371,0.8292763361287924,0.5261995018428223,0.8292763361287924,0.16666666666666666,1.0,0.8292763361287924,negative,1462,1472,1448,657,149,5,5,57,57,64,60,64,3,2,64,62,42,3.5661441641617273,35.37991068082926,0.078125,64,56,28,2.9534840966857727,19.17263681600216,0.140625,64,56,28,2.9534840966857727,19.17263681600216,0.140625
L22_SV37,22,36,37,31.039836883544922,1.3655050992965698,441490,2000,154.68798680586622,155.7004121695848,167.66048354698995,64.66579065594613,0.9860834899997735,502.0,-298.0,0.0066527972514557705,0.007162647297403485,0.024530566943758634,0.21666628915717231,1.0,337.0945,23628.51209795239,4832.915396444625,2007.215593906031,0.4180401593635156,29432,155.0,41.0,60.7866,-0.1589227894076855,3.766929174697438,0.766929174697438,0.26546822454667485,5.708494964350696,7.452300342509698,2.51700210243705,3.5369637387187307,4.494865644730885,2.7120389197619197,4.1550111373230205,5.638408794043336,2.9776299381771643,4.250171912888684,5.638408794043336,0.16378150054561003,0.02865627538378336,0.19627307788028608,0.039750614292880355,0.11259858250149712,0.020914645381422677,0.003635498776841533,3.397662408263115e-05,0.0,0.006047839086708345,0.00016988312041315575,0.0,912,7,0,857,48,0,0.456,0.0035,0.0,0.4285,0.024,0.0,4.096297539260298,4.655960359684536,4.556925375000411,5.4462661178615015,0.5987430405167244,0.8284076761400823,0.5987430405167244,0.8284076761400823,1.0,1.0,0.8284076761400823,negative,1152,224,137,11,47,9,6,9,9,11,10,39,5,3,64,62,41,3.5281318102765873,34.060277080659084,0.078125,64,44,23,2.646205906415481,14.100438644165017,0.203125,64,44,23,2.646205906415481,14.100438644165017,0.203125
L22_SV15,22,14,15,28.90485191345215,1.271582841873169,441490,2000,46.77630657344748,71.89325885203728,95.3441462961481,83.08118545307443,0.7090285170672043,612.0,-310.0,0.003004285584082244,0.0039106898987450464,0.005984280504654692,0.04110625382228363,0.975,309.8425,23628.51209795239,2078.0640006936205,2401.449362315171,1.776138210540838,29432,39.0,49.65625,73.62035625,0.5856357918061369,3.9213937101287004,0.9213937101287004,0.2550113745062288,7.783173420870264,4.740536690896548,3.2463847252844555,4.538663177142653,6.044523860885283,2.2548111481055213,3.1377191277853944,4.087654764642435,3.273551124659221,4.565829576517419,6.044523860885283,0.18175451371545887,0.032955668669130724,0.15946185477433059,0.028873370412453137,0.11891278526447294,0.02131107177311543,0.016138896439249796,0.0005096493612394672,0.0,0.001596901331883664,0.0,0.0,1604,127,0,424,0,0,0.802,0.0635,0.0,0.212,0.0,0.0,5.120866282143263,5.935858263386222,3.5587983180942566,4.143147568645459,0.8239351259315749,0.08886107360928139,0.8239351259315749,0.5331664416556884,1.0,0.16666666666666666,0.8239351259315749,positive,1381,528,672,194,6,4,7,36,36,17,21,6,2,4,64,50,26,2.8286399851880155,16.922430411225186,0.171875,64,61,49,3.7877822363407363,44.15835879636132,0.0625,64,50,26,2.8286399851880155,16.922430411225186,0.171875
L04_SV49,4,48,49,64.34768676757812,0.9355984926223755,441490,2000,-1.6280129770759646,6.219054814815445,7.796873933857132,7.625012582739325,0.41676595166368435,46.75,-35.0,0.017893747211261368,0.022369902310754294,0.0011665043375840903,0.01087453849464314,0.8105,24.95096875,349.85830224115,400.18179121414283,490.651921272952,4.683631328559644,29432,-1.640625,5.234375,7.760484375,0.27532408815375764,3.5286231906417305,0.5286231906417305,0.2833966524541646,6.23551606596721,4.298620213380689,2.514743159959007,4.077145635642105,4.802361321679624,2.1563570250729356,2.906455178578971,3.5899015646172217,2.684151077876486,4.077145635642105,4.802361321679624,0.20770688066338028,0.03846986015660672,0.13738692749802736,0.022376908017095652,0.11448781427366242,0.02034124971216041,0.005334329980973091,0.00010192987224789345,0.0,0.0007474857298178853,0.0,0.0,991,27,0,229,0,0,0.4955,0.0135,0.0,0.1145,0.0,0.0,4.560362896162651,5.076116785558247,3.235542240235488,3.6543305326866276,0.7996805414907977,0.07246235058652184,0.7996805414907977,0.4347741035191311,1.0,0.16666666666666666,0.7996805414907977,positive,634,903,1100,1391,1230,35,8,63,63,60,63,59,1,1,64,59,20,2.6014277400777557,13.482974482446453,0.234375,64,59,30,3.068149555720957,21.502077442988067,0.140625,64,59,20,2.6014277400777557,13.482974482446453,0.234375
L22_SV34,22,33,34,34.59408950805664,1.5218638181686401,441490,2000,200.2119836997299,200.2711210987933,213.8529598784542,75.15484037502057,0.998276291648735,672.0,-101.0,0.008437788462854328,0.00889658645527825,0.0969353779247548,0.48027814899544724,1.0,449.667,23628.51209795239,6928.197089170506,2599.9132748971706,0.3753763335552106,29432,194.0,47.0,69.6822,0.4741187596501954,3.6774633039983224,0.6774633039983224,0.2719265747431796,6.859714532549202,4.233505830757353,3.0710855857019443,4.36266363576351,5.386821885646407,2.2064458355218406,2.9026256884828494,3.54177573325753,3.1251524779642295,4.36266363576351,5.386821885646407,0.1797908903094647,0.03310306535480499,0.1475516438970326,0.02353726910121325,0.1147191298562269,0.02099192206806659,0.011484098939929329,0.0004077194889915738,0.0,0.0007135091057352542,0.0,0.0,1683,86,0,268,0,0,0.8415,0.043,0.0,0.134,0.0,0.0,4.907996590233949,5.654815720513991,3.2415918268940995,3.5554632316430883,0.7937538332190092,0.074219465162428,0.7937538332190092,0.445316790974568,1.0,0.16666666666666666,0.7937538332190092,positive,1061,59,33,1,19,13,9,2,2,5,3,17,7,5,64,59,46,3.6918815010706423,40.120262304491,0.078125,64,54,53,3.8295691615979353,46.042696998336694,0.109375,64,59,46,3.6918815010706423,40.120262304491,0.078125
L18_SV06,18,5,6,32.776832580566406,0.8852383494377136,441490,2000,66.11361299457873,66.67909183204532,74.59480111658938,34.545253370421165,0.9757117941516229,262.0,-73.0,0.00850042620572815,0.00946184673634266,0.01809780515979977,0.13290448254773607,0.9995,172.2365,7866.448961896079,2185.529429603162,1132.283986175542,0.5225134704596062,29432,65.5,22.5,33.3585,0.2547472355245161,3.586140466588105,0.5861404665881049,0.2788513192154493,5.890552632762264,4.151865341667041,2.712951721450305,4.198899830627861,4.909828079799689,2.2801534841194897,2.982748025240943,3.6431029572672573,2.8216196771437567,4.198899830627861,4.909828079799689,0.19680907821884638,0.03571047389344711,0.13916920667060065,0.02172163326165899,0.11032167326041603,0.01939790836282524,0.0064215819516172876,0.00010192987224789345,0.0,0.0009173688502310411,0.0,0.0,1081,45,0,301,0,0,0.5405,0.0225,0.0,0.1505,0.0,0.0,4.66297945051486,5.231050556829594,3.297510379663354,3.7546652277530463,0.7934751332703462,0.07326753069816891,0.7934751332703462,0.4396051841890135,1.0,0.16666666666666666,0.7934751332703462,positive,1059,277,239,168,237,24,10,14,14,7,11,17,1,1,64,63,11,1.7209738652145554,5.5899696913679575,0.40625,64,50,50,3.817618837979556,45.49574649585948,0.0625,64,63,11,1.7209738652145554,5.5899696913679575,0.40625
