candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share,nearest_unembed_token_id,nearest_unembed_token,nearest_unembed_decoded,nearest_unembed_cosine,nearest_unembed_margin,farthest_unembed_token_id,farthest_unembed_token,farthest_unembed_decoded,farthest_unembed_cosine,farthest_unembed_margin,max_abs_unembed_token_cosine,nearest_unembed_token_z,farthest_unembed_token_z,unembedding_cosine_mean,unembedding_cosine_std,rank_global_max_abs_unembed_token_cosine
L09_SV02,9,1,2,115.65576934814453,0.762597918510437,441490,2000,-61.5857861470797,62.56837388662717,69.5264897826507,32.26644892366061,0.038818546286439104,71.5,-184.0,0.06709245205109148,0.07388450033255943,0.33723980158100975,0.6265419375297289,1.0,132.6155,926.756686386229,7236.393418720221,3731.800974398578,0.5239268821965035,29432,-63.0,21.5,31.875899999999998,0.25152525980521107,2.882205206915756,-0.11779479308424401,0.34695655867962943,4.219488704632654,3.7959712510078147,2.521497432229365,3.1763809021862914,3.6745009552671166,2.07052977327699,2.6038480482119724,3.046621428728261,2.556790553364768,3.184223817994159,3.6745009552671166,0.13602807167397207,0.02060783019740743,0.12538149914330787,0.018265846064153716,0.07929917986877255,0.011852503900955937,0.0018007610763794508,0.0,0.0,0.0001359064963305246,0.0,0.0,618,0,0,43,0,0,0.309,0.0,0.0,0.0215,0.0,0.0,3.5371550293481913,3.8116570826235496,2.8548213540637284,3.1688517030107386,0.07599717685847321,0.05865219677552887,0.45598306115083925,0.35191318065317323,0.16666666666666666,0.16666666666666666,0.07599717685847321,positive,1,15,22,27,291,1094,1095,1,1,1,1,2,42,47,64,63,38,3.4748198190716413,32.29200960812669,0.109375,64,52,49,3.7849158289942717,44.031964188057735,0.046875,64,63,38,3.4748198190716413,32.29200960812669,0.109375,90412,ĠTales, Tales,0.0845983624458313,0.007593981921672821,27278,Ġpend, pend,-0.08487660437822342,0.010767795145511627,0.08487660437822342,5.10221932642789,-5.358325362630543,0.0019355110572340487,0.01620135201958679,858
L04_SV02,4,1,2,209.16795349121094,0.7632457613945007,441490,2000,-16.2052759262424,22.851468146497247,28.666277163404146,23.64623603374234,0.3001019275634782,45.75,-87.0,0.06696661425197394,0.0843846404144136,0.35429115042243314,0.49761262995764344,1.0,70.516625,349.85830224115,4779.794826472425,4946.034798948014,1.459168985543084,29432,-14.5,18.71875,27.752418749999997,-0.23305640343498485,2.1934469443125724,-0.8065530556874276,0.45590343664017857,2.1709819436909443,2.6123849114953273,1.454828148987915,1.720570752053819,1.9563222755133622,1.9041583537650877,2.1439572721927167,2.342138196513052,1.9097434525414116,2.1439572721927167,2.342138196513052,0.08457081322226125,0.011606756454097438,0.09362817267849187,0.011646616293475272,0.055901244407965914,0.006946855188221196,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.846685885712214,1.9637927955378667,2.288088853516597,2.414203987174992,0.030894183482711828,0.03856246251914648,0.18536510089627098,0.23137477511487892,0.16666666666666666,0.16666666666666666,0.03856246251914648,negative,2,14,40,41,666,1458,1463,1,1,1,1,1,63,63,64,59,55,3.963935438827188,52.66417530092692,0.03125,64,61,9,1.2283919763531477,3.415732539129204,0.6875,64,61,9,1.2283919763531477,3.415732539129204,0.6875,109480,ĠìķĦëŀĺ, 아래,0.08736211061477661,0.0046289414167404175,15096,Ġcrow, crow,-0.07985667884349823,0.005524799227714539,0.08736211061477661,4.335590397309611,-4.839379385489556,0.008343629356754631,0.018225541164371934,580
L06_SV01,6,0,1,194.79592895507812,1.0,441490,2000,-33.62654101707384,34.581593513916474,42.039983131812065,25.23124889794585,0.07624181748170966,45.25,-116.5,0.06679029966843121,0.0818649952064368,0.3778998391809554,0.5215814627737888,1.0,94.248375,537.5665098321168,6736.353633290264,4914.944567772153,0.7503373268494656,29432,-31.125,19.0,28.1694,-0.3021308548904706,2.339350215907745,-0.6606497840922549,0.42746912933340636,2.711275355527629,3.0307709784375954,1.5391036017806528,1.8706868090907132,2.2852811916476745,2.10778362336436,2.4018793442529747,2.589046980056359,2.10778362336436,2.4095294894459944,2.6230315519677343,0.09745042367299693,0.014229600354090606,0.09993045889979887,0.012556693614431857,0.0629522861429767,0.00792286894120949,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0005,0.0,0.0,2.072284109707697,2.2276832307397387,2.5870270577293093,2.7645246260126237,0.03719171326497579,0.04485776027513647,0.22315027958985478,0.26914656165081885,0.16666666666666666,0.16666666666666666,0.04485776027513647,negative,3,12,37,29,567,1437,1447,1,1,1,1,2,62,62,64,60,57,3.999081385365863,54.5480184028769,0.046875,64,62,7,0.69018289200843,1.9940802012276087,0.84375,64,62,7,0.69018289200843,1.9940802012276087,0.84375,122088,Ġê·¸ëĬĶ, 그는,0.07870128005743027,0.000822603702545166,9997,åĭ,�,-0.08656971901655197,0.007992953062057495,0.08656971901655197,4.357903774065976,-5.012392643163092,0.0018376379122498005,0.01763775570323476,666
L05_SV01,5,0,1,207.10394287109375,1.0,441490,2000,-25.352024658717408,26.338037445317898,32.287500830542804,19.993937970947258,0.09127500056626424,34.75,-91.5,0.06252646268287594,0.07705705167681731,0.3333552288840064,0.4756347822147727,1.0,73.936125,434.42499958857366,5454.7114024118455,4140.823387303253,0.7886525135605477,29432,-23.125,14.875,22.053675,-0.319695544823865,2.3847608700262724,-0.6152391299737276,0.41932925542718386,2.6242791734257445,3.1003902977621647,1.5586971332442328,1.9165626590579519,2.2901902970820034,2.1708400073910585,2.4655754653136044,2.7188371099147597,2.1708400073910585,2.4655754653136044,2.7188371099147597,0.10007930995504513,0.014840749529901595,0.10116695967490189,0.01288611627641459,0.0649154378996338,0.008273152557438287,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5,0,0,0.0,0.0,0.0,0.0025,0.0,0.0,2.108492122061289,2.3182077363523317,2.669623090029213,2.8736707147448217,0.038913445828817145,0.04664746766314877,0.2334806749729029,0.27988480597889265,0.16666666666666666,0.16666666666666666,0.04664746766314877,negative,4,18,44,39,877,1420,1440,1,1,1,1,2,63,63,64,60,58,4.0207422347583615,55.74246447063219,0.046875,64,59,6,0.4574457556594811,1.580033035965924,0.90625,64,59,6,0.4574457556594811,1.580033035965924,0.90625,91968,)'Ċ,")'
",0.07889952510595322,0.000819668173789978,9997,åĭ,�,-0.07968976348638535,0.004141509532928467,0.07968976348638535,4.261990324503426,-4.564944067694221,0.0023263929721198564,0.0179665194671119,1341
L03_SV02,3,1,2,232.6028289794922,0.7720171809196472,441490,2000,-9.05813873539171,17.579413779533777,21.826550187948676,19.858207768009645,0.3785680309859793,40.75,-68.0,0.061993955269780944,0.07739788565957684,0.33049899204965005,0.5024100206120183,1.0,55.3988125,288.910226754322,4089.0213769206234,4619.075305301571,2.192305544009611,29432,-7.09375,15.34375,22.74864375,-0.2941790163151578,2.266292766970935,-0.7337072330290648,0.44124925718956104,2.103147357960626,2.677357413889784,1.449262222500627,1.7161407699305125,1.90658399140827,2.017977445358693,2.248760434344575,2.3818870520577646,2.017977445358693,2.248760434344575,2.3818870520577646,0.08590964912517247,0.0117770675645187,0.09398279749591879,0.01128573264042737,0.05886984124082096,0.007068612158620842,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.8393953705481894,1.9712713642544075,2.3586570957664237,2.479543423330457,0.03103989487776014,0.039815925939584516,0.18623936926656084,0.2388955556375071,0.16666666666666666,0.16666666666666666,0.039815925939584516,negative,5,19,39,46,883,1446,1461,1,1,1,2,1,64,64,64,57,49,3.8094430857332346,45.12530094324706,0.046875,64,61,7,0.9711988294995102,2.6411088013643895,0.734375,64,61,7,0.9711988294995102,2.6411088013643895,0.734375,30944,ĠæĪĳ, 我,0.09084337949752808,0.007476806640625,117045,Ġhardship, hardship,-0.07239202409982681,0.00041188299655914307,0.09084337949752808,4.421274850425415,-4.223269821652358,0.007356207876427518,0.018883053970975686,299
L11_SV02,11,1,2,114.10596466064453,0.7615619897842407,441490,2000,-79.50386355124301,79.88311560731309,86.48112853086873,34.03118088456483,0.017857709121384402,68.0,-208.0,0.06107179734760288,0.06569385144774974,0.41550204987655437,0.7288794763188294,1.0,154.248,1300.9293592083059,9115.13996647025,3883.1607233741565,0.42804436620404146,29432,-82.0,22.0,32.6172,0.3320647420405937,3.01707448380352,0.017074483803519946,0.331446905062594,4.598800632794967,3.8629925315477727,2.7267055418613495,3.447448738702278,3.8082169836772763,2.084789620200385,2.654090479869502,3.1919907288178995,2.745867211164662,3.4491004745962255,3.8082169836772763,0.1380335095443521,0.020201973341644808,0.13242690991167116,0.019781564490705263,0.0846632501967161,0.012272209179279176,0.003431639032345746,0.0,0.0,0.00023783636857841803,0.0,0.0,1055,0,0,68,0,0,0.5275,0.0,0.0,0.034,0.0,0.0,3.7173638448425987,4.023950553695596,2.9125737341034794,3.2501257005506297,0.08166640980477394,0.06221495508532937,0.4899984588286437,0.3732897305119762,0.16666666666666666,0.16666666666666666,0.08166640980477394,positive,6,10,14,23,245,839,919,1,1,1,1,2,34,39,64,62,37,3.4465179909606203,31.3908983980072,0.09375,64,50,46,3.7117575285704567,40.92567139295228,0.046875,64,62,37,3.4465179909606203,31.3908983980072,0.09375,90412,ĠTales, Tales,0.08314257860183716,0.004755616188049316,27278,Ġpend, pend,-0.08519382029771805,0.011301606893539429,0.08519382029771805,4.989331510442918,-5.450405890975085,0.002691694916778205,0.01612458172335738,825
L07_SV01,7,0,1,161.21910095214844,1.0,441490,2000,-31.78591703375041,38.08514545337592,48.014625332617015,35.986938243689515,0.22236743754105415,74.5,-149.0,0.06057133530622139,0.0767572791501023,0.29342453962717163,0.43118077419647105,1.0,116.17475,647.6645069687663,6140.05290962507,5801.781829668112,1.1321661163803238,29432,-28.875,27.3828125,40.5977578125,-0.25421882438331184,2.309157054921146,-0.6908429450788538,0.43305846082182065,2.5463228899841104,2.9589072518436885,1.5548888264110954,1.8601335164561281,2.1768443569755336,2.0228949682219595,2.2938458924282497,2.4676707630674546,2.0228949682219595,2.297349780516278,2.494054609312029,0.0926477209001012,0.01326235878094707,0.0976874499334357,0.012266240708380019,0.05925984262558839,0.007460854018259226,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0108869158991807,2.1584935898361075,2.4662692078322523,2.638692523236255,0.03570288030688714,0.04234174266508357,0.21421728184132285,0.25405045599050147,0.16666666666666666,0.16666666666666666,0.04234174266508357,negative,7,23,52,33,208,1442,1454,1,1,1,1,1,62,64,64,61,59,4.050578836397181,57.430690400099444,0.03125,64,61,9,1.1804329808445504,3.2557835896772436,0.703125,64,61,9,1.1804329808445504,3.2557835896772436,0.703125,34341,ĠBron, Bron,0.09126148372888565,0.015136592090129852,9997,åĭ,�,-0.09350728988647461,0.006808333098888397,0.09350728988647461,5.222625788387313,-5.770470300110543,0.003481102824006594,0.016807710232669117,177
L09_SV07,9,6,7,53.730464935302734,0.35428187251091003,441490,2000,-55.21893495826986,55.22302640322049,59.01081454999915,20.812146836132815,0.000693107431651906,15.0,-158.0,0.059688263956980785,0.06342234382903514,0.10735237491222904,0.5425513601667082,1.0,115.8005,926.756686386229,2967.1588837795352,1118.246325807206,0.3769023587988545,29432,-54.25,13.75,20.385749999999998,-0.26915276308900954,3.0675223267499736,0.0675223267499736,0.3259959972514676,3.396980734091216,5.089339366959764,2.124645892351275,2.6618460218075093,3.0355573133193507,2.5875918227193018,3.6667770378818543,4.310059723090844,2.62724498117557,3.6667770378818543,4.310059723090844,0.12702645459866882,0.018098881389006106,0.15332677322656904,0.02702118651103187,0.08951948217215851,0.01557159418631358,0.0001359064963305246,0.0,0.0,0.0037714052731720577,0.0,0.0,25,0,0,998,1,0,0.0125,0.0,0.0,0.499,0.0005,0.0,2.7915486307837583,3.0321732092270337,4.0592080252136915,4.549746759378488,0.059683948377066934,0.2009164314524935,0.35810369026240163,0.6027492943574805,0.16666666666666666,0.3333333333333333,0.2009164314524935,negative,8,54,33,70,851,717,421,2,2,3,2,44,27,20,64,54,30,2.9676724302708535,19.446603552600514,0.234375,64,60,37,3.2912238190587173,26.875734573956546,0.140625,64,60,37,3.2912238190587173,26.875734573956546,0.140625,31939,Ġmell, mell,0.08486201614141464,0.007010698318481445,176236,Ġillusions, illusions,-0.08302980661392212,0.0032146722078323364,0.08486201614141464,4.674244748521992,-5.110540717662668,0.004659187622996551,0.017158457212532233,860
L10_SV02,10,1,2,114.5625,0.7603863477706909,441490,2000,-68.59899474935906,69.34773307502542,76.37536204935985,33.57638824454179,0.03069378694874176,68.5,-196.0,0.05902215463879851,0.06465765960872935,0.3339758544927405,0.6475367505492763,1.0,142.51075,1171.1397808238862,7944.649670407599,3846.594978265319,0.48945889611385324,29432,-70.5,22.25,32.98785,0.28062852878898514,2.9078870964527948,-0.09211290354720525,0.3438923062796546,4.213672609763898,3.804431025362368,2.5880740939467106,3.2436184837750868,3.685330356479718,2.0765221134447986,2.6221775593135046,3.110654377293433,2.621590221854407,3.2630877732255925,3.685330356479718,0.13554923798281454,0.0200046161192652,0.12864627022874206,0.019075988629541046,0.08087465056033058,0.011804660565166058,0.0023104104376189183,0.0,0.0,0.00016988312041315575,0.0,0.0,715,0,0,47,0,0,0.3575,0.0,0.0,0.0235,0.0,0.0,3.5471393255395545,3.849902312518094,2.8646910908107075,3.1981471966193613,0.07646164322309154,0.060360714705013314,0.4587698593385493,0.3621642882300799,0.16666666666666666,0.16666666666666666,0.07646164322309154,positive,9,17,21,24,255,1051,1080,1,1,1,2,2,41,43,64,63,38,3.453158969679143,31.600058431180358,0.109375,64,50,47,3.7362847853094197,41.94187726951981,0.0625,64,63,38,3.453158969679143,31.600058431180358,0.109375,90412,ĠTales, Tales,0.08289624750614166,0.004227660596370697,27278,Ġpend, pend,-0.08514241874217987,0.010071590542793274,0.08514241874217987,5.023104707737568,-5.389243472100948,0.0018313617632432168,0.01613840253380075,830
L08_SV02,8,1,2,120.67646789550781,0.7844791412353516,441490,2000,-45.52459633765063,47.21834392549768,54.272782294446806,29.547352271809153,0.0678724319916646,71.5,-156.0,0.05847703036172395,0.06681960950687617,0.2818047973906544,0.5176855647919545,1.0,110.6195,808.8556586962616,5698.142964804367,3565.670107826237,0.6490414995151024,29432,-46.5,20.75,30.763949999999998,0.14760426217029202,2.6793215420619347,-0.32067845793806526,0.37322881345194076,3.8356582948548548,3.5593608753102255,2.2672641192044587,2.9510027158410983,3.397757765176442,2.0153458837372966,2.4866767759016644,3.0086156036529634,2.3404016714368607,3.0032635601084996,3.397757765176442,0.13003289133718582,0.02033892770618045,0.12094753963008865,0.017902888170687616,0.07424536352348722,0.011307310708791402,0.0008833922261484099,0.0,0.0,0.0001359064963305246,0.0,0.0,291,0,0,19,0,0,0.1455,0.0,0.0,0.0095,0.0,0.0,3.2428378020377746,3.5513157445646613,2.7142158272913592,2.97426045745101,0.07014268481422134,0.05545358620366951,0.4208561088853281,0.3327215172220171,0.16666666666666666,0.16666666666666666,0.07014268481422134,positive,10,24,38,36,376,1333,1261,1,1,1,1,2,58,55,64,63,39,3.48453034484576,32.60710941612192,0.125,64,46,42,3.6116290338542854,37.02632084231768,0.0625,64,63,39,3.48453034484576,32.60710941612192,0.125,53022,ĠPit, Pit,0.07847592979669571,0.0030164197087287903,31771,Ġcand, cand,-0.08098404854536057,0.003372766077518463,0.08098404854536057,4.718789373920577,-5.034271462334164,0.0013249651919213473,0.016349736869199133,1257
