layer,n_svd,n_rotated,median_svd,median_rotated,rbc_vs_rotated,p_vs_rotated,q_vs_rotated,n_random,median_random,rbc_vs_random,p_vs_random,svd_yield_above_rot_q90,svd_yield_above_rot_q95,svd_yield_above_rot_q99,energy_ratio_svd_over_rotated
0,64,128,0.07867651585308026,0.07231156152655431,0.10888671875,0.10984751104272839,0.21133132825198822,64,0.17119275536644474,-0.52734375,0.9999998692067396,0.140625,0.015625,0.0,0.9997528045608717
1,64,128,0.08195311438795845,0.07513219205088048,0.197021484375,0.013145575256953812,0.20931564825835264,64,0.24784621235424026,-0.38916015625,0.9999278124487848,0.25,0.140625,0.015625,0.9999774537248999
2,64,128,0.08012832179064411,0.07611717885674596,0.149169921875,0.046293179587008404,0.21133132825198822,64,0.3748600349740365,-0.576171875,0.9999999907657557,0.25,0.0625,0.0625,0.9995830302025377
3,64,128,0.08622522575584446,0.07757578175973134,0.185546875,0.01820136071811762,0.20931564825835264,64,0.43384264100767583,-0.56787109375,0.9999999852815045,0.171875,0.09375,0.078125,1.0000238951878018
4,64,128,0.08522767508513032,0.08084901030379976,0.07373046875,0.2030931238369964,0.27794331965561997,64,0.5676109683147259,-0.748046875,0.9999999999998596,0.09375,0.0625,0.03125,1.0000201523861663
5,64,128,0.08861243580047823,0.08315609332389595,0.122802734375,0.08312216409050732,0.21133132825198822,64,0.5522405504717015,-0.72607421875,0.9999999999993237,0.140625,0.046875,0.015625,0.9996859957249625
6,64,128,0.08500964744106251,0.08270230756268644,0.059326171875,0.252041131768181,0.28984730153340815,64,0.48596498062816673,-0.70947265625,0.9999999999978473,0.109375,0.046875,0.0,0.9999598674142498
7,64,128,0.09004650660658894,0.08357664855815616,0.126953125,0.07618540323084522,0.21133132825198822,64,0.462227860982099,-0.71875,0.9999999999988691,0.0625,0.046875,0.015625,0.9998049673414686
8,64,128,0.09283750787779846,0.08154098336470808,0.10595703125,0.11618426194441911,0.21133132825198822,64,0.5739953853234745,-0.73486328125,0.9999999999996374,0.09375,0.03125,0.015625,1.0000252218392707
9,64,128,0.08375307605022472,0.08245248162897428,0.1044921875,0.1194481420554716,0.21133132825198822,64,0.47121775332447013,-0.64501953125,0.9999999998489668,0.140625,0.109375,0.078125,1.0000025254938674
10,64,128,0.0821094237807184,0.08603394992592506,-0.076416015625,0.8061190656952144,0.8061190656952144,64,0.4388452400682976,-0.68798828125,0.9999999999907303,0.078125,0.046875,0.03125,1.0000095354563816
11,64,128,0.08443328965243813,0.08301248605640701,0.08251953125,0.17623664019493912,0.2702295149655733,64,0.2990684128306876,-0.53173828125,0.9999998960322364,0.203125,0.09375,0.03125,0.9996906945101115
12,64,128,0.08551899417542108,0.0818822807469664,0.130615234375,0.07043865218804746,0.21133132825198822,64,0.4168296698098982,-0.61083984375,0.9999999987702487,0.171875,0.125,0.109375,0.9999075089979242
13,64,128,0.08358494469415279,0.08229611499356468,0.06005859375,0.24941071063536357,0.28984730153340815,64,0.3446795033722052,-0.6318359375,0.9999999996564788,0.109375,0.0625,0.015625,0.9999639824353105
14,64,128,0.08568461195836402,0.0819383620924258,0.087646484375,0.16166032430291133,0.26558481849764004,64,0.24776779896330398,-0.40087890625,0.9999547836997076,0.21875,0.09375,0.0,0.9996246676620127
15,64,128,0.08221104888506037,0.0816740457172263,0.06005859375,0.24941071063536357,0.28984730153340815,64,0.17369740114539736,-0.45166015625,0.9999948444514766,0.203125,0.15625,0.0625,1.0004688481845563
16,64,128,0.0883352579794455,0.08400119713323083,0.118408203125,0.09097363350232546,0.21133132825198822,64,0.16346638604678432,-0.16064453125,0.9418225327948702,0.09375,0.046875,0.015625,0.9997757290805126
17,64,128,0.098935912789642,0.08667790748286155,0.132568359375,0.06751313514723045,0.21133132825198822,64,0.25676691234134513,-0.34716796875,0.9996514413891651,0.140625,0.109375,0.03125,1.0006117354402175
18,64,128,0.0910967813952342,0.0864356703605049,0.148681640625,0.04682996200316336,0.21133132825198822,64,0.26616469395332776,-0.28125,0.9969961154661042,0.1875,0.125,0.0,1.0002812359512983
19,64,128,0.17735201807366274,0.08905502775548113,0.11474609375,0.09792621575281268,0.21133132825198822,64,0.5124706465066827,-0.4296875,0.9999864220895884,0.171875,0.09375,0.0,0.999797551845035
20,64,128,0.18233223708507001,0.16072470714403614,0.072998046875,0.20543636670197996,0.27794331965561997,64,0.5673071060772512,-0.4345703125,0.9999890092029998,0.140625,0.046875,0.0,1.0000767505437422
21,64,128,0.15682997913604121,0.17328271158358202,0.04296875,0.3143713127913228,0.3443114378190678,64,0.6099076318137389,-0.42041015625,0.9999798320762029,0.140625,0.078125,0.015625,0.9999310310234252
22,64,128,0.5793617723434235,0.5750535906413101,-0.00048828125,0.5027476640885521,0.5255998306380317,64,0.6525429981284196,-0.3037109375,0.9984943093617206,0.140625,0.046875,0.0,0.998926187717414
