blind_id,condition,run,candidate
b77cd46d,svd,g_scan_sparse,L03_SV19
dde9c4e6,svd,g_scan_sparse,L02_SV01
447b493a,svd,g_scan_sparse,L02_SV62
4c9c7757,svd,g_scan_sparse,L02_SV33
81ac3bcb,svd,g_scan_sparse,L03_SV01
af0a27db,svd,g_scan_sparse,L09_SV59
2d60ef9f,svd,g_scan_sparse,L02_SV27
bbe51b25,svd,g_scan_sparse,L12_SV57
0788de42,svd,g_scan_sparse,L12_SV52
2d57dcac,svd,g_scan_sparse,L11_SV58
043fec0c,svd,g_scan_sparse,L07_SV63
3bb8720a,svd,g_scan_sparse,L11_SV56
0bc2fff3,svd,g_scan_sparse,L03_SV36
d90aef3d,svd,g_scan_sparse,L12_SV24
1eecfb85,svd,g_scan_sparse,L21_SV20
930d262c,svd,g_scan_sparse,L09_SV28
27c9bd10,svd,g_scan_sparse,L01_SV01
697df60b,svd,g_scan_sparse,L04_SV27
fbe8c3a4,svd,g_scan_sparse,L12_SV11
5a06ee47,svd,g_scan_sparse,L13_SV63
6d1ed5ff,svd,g_scan_sparse,L10_SV64
c0808f0a,svd,g_scan_sparse,L12_SV51
f945d811,svd,g_scan_sparse,L10_SV50
c946034e,svd,g_scan_sparse,L12_SV45
cca98327,svd,g_scan_sparse,L08_SV28
9f8765be,svd,g_scan_sparse,L04_SV52
3bd280b6,svd,g_scan_sparse,L03_SV47
66763cc2,svd,g_scan_sparse,L15_SV59
e32f1149,svd,g_scan_sparse,L15_SV10
11b0b8fe,svd,g_scan_sparse,L09_SV55
c053a450,svd,g_scan_sparse,L03_SV62
15f7433d,svd,g_scan_sparse,L16_SV10
910a2c8d,svd,g_scan_sparse,L17_SV17
b291df35,svd,g_scan_sparse,L15_SV50
2af8eca1,svd,g_scan_sparse,L12_SV60
c6377d12,svd,g_scan_sparse,L15_SV52
0d9cc141,svd,g_scan_sparse,L09_SV63
63bda4c2,svd,g_scan_sparse,L09_SV51
4afb109b,svd,g_scan_sparse,L05_SV54
9d339cb9,svd,g_scan_sparse,L17_SV32
0fa91e4b,rotated,g_scan_rot_r0,L04_SV49
ec9824b8,rotated,g_scan_rot_r0,L22_SV45
863eccfb,rotated,g_scan_rot_r0,L01_SV48
26f7e092,rotated,g_scan_rot_r0,L11_SV18
54381361,rotated,g_scan_rot_r0,L18_SV06
18485283,rotated,g_scan_rot_r0,L02_SV33
a1bc3d58,rotated,g_scan_rot_r0,L21_SV44
9eb74c67,rotated,g_scan_rot_r0,L19_SV09
59a86ae7,rotated,g_scan_rot_r0,L07_SV57
32b995db,rotated,g_scan_rot_r0,L16_SV26
550309dc,rotated,g_scan_rot_r0,L10_SV13
bbe28469,rotated,g_scan_rot_r0,L00_SV58
2a6b4822,rotated,g_scan_rot_r0,L04_SV54
16c80b80,rotated,g_scan_rot_r0,L07_SV38
7d8ec113,rotated,g_scan_rot_r0,L02_SV50
c3f2b69e,rotated,g_scan_rot_r0,L06_SV09
7bbf2a72,rotated,g_scan_rot_r0,L13_SV08
b023876a,rotated,g_scan_rot_r0,L20_SV49
3360bb4e,rotated,g_scan_rot_r0,L17_SV21
94367e9b,rotated,g_scan_rot_r1,L12_SV09
42d17e94,rotated,g_scan_rot_r1,L14_SV21
5abf2cda,rotated,g_scan_rot_r1,L16_SV07
1c668380,rotated,g_scan_rot_r1,L08_SV05
37e91288,rotated,g_scan_rot_r1,L03_SV27
0fbe840b,rotated,g_scan_rot_r1,L06_SV60
56d8fca6,rotated,g_scan_rot_r1,L09_SV48
fc965257,rotated,g_scan_rot_r1,L19_SV26
d16c7977,rotated,g_scan_rot_r1,L15_SV12
009899b4,rotated,g_scan_rot_r1,L01_SV46
f905c340,rotated,g_scan_rot_r1,L12_SV46
e3fe0b51,rotated,g_scan_rot_r1,L05_SV38
a6b9f81b,rotated,g_scan_rot_r1,L14_SV30
d78540ce,rotated,g_scan_rot_r1,L22_SV34
ef6d368e,rotated,g_scan_rot_r1,L05_SV18
523983b8,rotated,g_scan_rot_r1,L17_SV60
b2429a1a,rotated,g_scan_rot_r1,L21_SV31
28722a34,rotated,g_scan_rot_r1,L15_SV43
fbad34e9,rotated,g_scan_rot_r1,L20_SV43
effbdc9c,rotated,g_scan_rot_r1,L10_SV64
304c7e6a,rotated,g_scan_rot_r1,L13_SV61
351d897d,rotated,g_scan_rot_r1,L18_SV35
0b2d20fb,rotated,g_scan_rot_r1,L00_SV53
a78fabbf,rotated,g_scan_rot_r1,L08_SV42
ce5b3125,rotated,g_scan_rot_r1,L03_SV64
fcf12476,rotated,g_scan_rot_r1,L11_SV31
5cf1de17,rotated,g_scan_rot_r1,L09_SV08
7bbfbf34,random,scan_rand_r0,L14_SV34
14cec027,random,scan_rand_r0,L12_SV52
bffb0cb2,random,scan_rand_r0,L12_SV62
9d8b0cae,random,scan_rand_r0,L12_SV41
68594b89,random,scan_rand_r0,L12_SV21
acabe9dc,random,scan_rand_r0,L06_SV40
fc164ba0,random,scan_rand_r0,L12_SV24
ecf5ee17,random,scan_rand_r0,L10_SV50
870383c7,random,scan_rand_r0,L19_SV14
b2b12a49,random,scan_rand_r0,L12_SV22
80c9f00d,random,scan_rand_r0,L12_SV04
8985d859,random,scan_rand_r0,L12_SV10
027139b2,random,scan_rand_r0,L14_SV28
a987de50,random,scan_rand_r0,L08_SV53
b973ccff,random,scan_rand_r0,L00_SV35
4c074d6e,random,scan_rand_r0,L12_SV40
4088f73e,random,scan_rand_r0,L12_SV02
33bd20c6,random,scan_rand_r0,L12_SV59
feef0d1a,random,scan_rand_r0,L12_SV08
9610beb7,random,scan_rand_r0,L12_SV05
e8ac638e,random,scan_rand_r0,L12_SV06
c71470e8,random,scan_rand_r0,L02_SV50
c33ba7cd,random,scan_rand_r0,L02_SV48
40d6f33d,random,scan_rand_r0,L12_SV19
d7dc073d,random,scan_rand_r0,L12_SV29
e2fe49e3,random,scan_rand_r0,L06_SV51
6201bd84,random,scan_rand_r0,L03_SV05
6a473861,random,scan_rand_r0,L03_SV62
31ab1262,random,scan_rand_r0,L10_SV14
3d36c881,random,scan_rand_r0,L03_SV54
12e4c4f6,random,scan_rand_r0,L20_SV62
25824990,random,scan_rand_r0,L00_SV44
9df08abc,random,scan_rand_r0,L08_SV55
c6139fc6,random,scan_rand_r0,L08_SV47
0b3d3f2a,random,scan_rand_r0,L06_SV43
6aabac50,random,scan_rand_r0,L03_SV47
1c30c6a7,random,scan_rand_r0,L00_SV45
de06f7db,random,scan_rand_r0,L03_SV39
c3444142,random,scan_rand_r0,L12_SV16
093a0d24,random,scan_rand_r0,L08_SV42
a5659c36,random,scan_rand_r0,L09_SV62
0185318e,random,scan_rand_r0,L08_SV52
3adc5b1d,random,scan_rand_r0,L18_SV47
997f32aa,random,scan_rand_r0,L10_SV61
d8ecfdd4,random,scan_rand_r0,L02_SV10
6cbd93f3,random,scan_rand_r0,L22_SV59
0f13e95f,random,scan_rand_r0,L09_SV53
9359d2c1,random,scan_rand_r0,L03_SV21
a9dd0930,random,scan_rand_r0,L09_SV15
28a10f96,random,scan_rand_r0,L06_SV46
3134adb7,random,scan_rand_r0,L00_SV42
06c2f7af,random,scan_rand_r0,L02_SV27
e0009e41,random,scan_rand_r0,L20_SV41
ae328150,random,scan_rand_r0,L03_SV15
40c46542,random,scan_rand_r0,L12_SV53
5a3d9c00,random,scan_rand_r0,L00_SV33
bed2ab98,random,scan_rand_r0,L12_SV20
7bb5f4e4,random,scan_rand_r0,L08_SV07
7f7f64e4,random,scan_rand_r0,L10_SV45
71014ff1,random,scan_rand_r0,L10_SV05
a2f74672,random,scan_rand_r0,L08_SV32
80377515,random,scan_rand_r0,L17_SV47
019c469d,random,scan_rand_r0,L10_SV42
04a96d04,random,scan_rand_r0,L13_SV33
f66f7e08,random,scan_rand_r0,L03_SV02
b0aadb62,random,scan_rand_r0,L08_SV59
2dbb5ac1,random,scan_rand_r0,L11_SV15
2065577f,random,scan_rand_r0,L08_SV03
d6c0806e,random,scan_rand_r0,L12_SV49
ebf8e8a1,random,scan_rand_r0,L08_SV44
d5d28b1b,random,scan_rand_r0,L09_SV39
