====================================================================================================
SUBJECT: Miles Davis   (last subject token ' Davis')
====================================================================================================

-- J-lens at the LAST SUBJECT token, clean --
  L00: ' ,'  ' ï'  ' â'  ' .'  ' @'  ' Ã'  ' '  ' Â'  ' ,\n\n'  ' on'  ' in'  ' from'
  L01: ' ï'  ' ,'  ' .'  ' vig'  ' â'  ' of'  ' with'  ' subsequently'  ' in'  ' on'  ' frig'  ' reportedly'
  L02: ' of'  ' ï'  ' subsequently'  ' with'  ' in'  ' vig'  ' ,'  ' reportedly'  ' on'  ' camp'  ' twelve'  ' frig'
  L03: ' ï'  ' ,'  ' â'  ' of'  ' Ã'  ' .'  ' in'  ' with'  ' Philadelphia'  ' Â'  ' seventy'  ' vig'
  L04: ' ï'  ' with'  ' â'  ' of'  ' on'  ' Philadelphia'  ' in'  ' fleet'  ' frig'  ' mill'  ' camp'  ' also'
  L05: ' ï'  ' with'  ' â'  ' Philadelphia'  ' in'  ' frig'  ' on'  ' of'  ' also'  ' reportedly'  ' Ã'  ' seventy'
  L06: ' famously'  ' Philadelphia'  ' with'  ' frig'  ' reportedly'  ' Indianapolis'  ' Quincy'  ' fleet'  ' Atlanta'  ' â'  ' of'  ' Detroit'
  L07: ' famously'  ' Cadillac'  ' Hollywood'  ' Vanderbilt'  ' bronze'  ' Indianapolis'  ' hollywood'  ' Quincy'  ' Nobel'  ' trumpet'  ' gold'  ' Atlanta'
  L08: ' famously'  ' Indianapolis'  ' Philadelphia'  ' Atlanta'  ' Booker'  ' Vanderbilt'  ' Hollywood'  ' flagship'  ' Vanguard'  ' Detroit'  ' Cadillac'  ' camp'
  L09: ' famously'  ' Philadelphia'  ' Indianapolis'  ' Booker'  ' pitched'  ' seventy'  ' Vanderbilt'  ' flagship'  ' frig'  ' Atlanta'  ' camp'  ' radio'
  L10: ' famously'  ' Indianapolis'  ' Philadelphia'  ' Booker'  ' Vanderbilt'  ' Edison'  ' Cadillac'  ' trumpet'  ' Hollywood'  ' Detroit'  ' pitched'  ' Chicago'
  L11: ' famously'  ' Booker'  ' Philadelphia'  ' seventy'  ' Indianapolis'  ' radio'  ' veteran'  ' Blues'  ' frig'  ' Oscar'  ' pitched'  ' Edison'
  L12: ' famously'  ' Philadelphia'  ' seventy'  ' Booker'  ' Blues'  ' blues'  ' Indianapolis'  ' frig'  ' veteran'  ' radio'  ' Detroit'  ' twelve'
  L13: ' famously'  ' blues'  ' Blues'  ' Philadelphia'  ' trumpet'  ' Booker'  ' platinum'  ' Hollywood'  ' Chicago'  ' Nobel'  ' Edison'  ' radio'
  L14: ' famously'  ' guitarist'  ' trumpet'  ' Cadillac'  ' jazz'  ' superstar'  ' Jazz'  ' Hollywood'  ' soundtrack'  ' blockbuster'  ' Cowboys'  ' Nobel'
  L15: ' famously'  ' guitarist'  "...')\n"  '...)\n'  ' jazz'  ' Jazz'  ' trumpet'  ' Cadillac'  ' blues'  '-esque'  ' Blues'  ' Cowboys'
  L16: ' famously'  ')?\n'  '?)\n'  '...)\n'  ' jazz'  "...')\n"  ' famed'  ' Jazz'  '*)\n'  '-esque'  ')},\n'  "?',\n"
  L17: ' famously'  '?)\n'  ')?\n'  '-esque'  '...)\n'  ' Jazz'  ' Nobel'  "?',\n"  ' jazz'  ' famed'  '*)\n'  ' guitar'
  L18: '-esque'  ' famously'  ' Nobel'  '-Holland'  ' Photography'  ' Jazz'  '/The'  ' guitarist'  '/Card'  ' Grammy'  ' guitar'  ' Superstar'
  L19: ' Jazz'  ' jazz'  'Jazz'  ' Guitar'  ' Grammy'  ' Orchestra'  ' Quartet'  ' Blues'  ' guitar'  ' Retirement'  '-esque'  ' Albums'
  L20: ' Jazz'  'Jazz'  ' jazz'  '爵'  ' Guitar'  ' Orchestra'  ' Recording'  ' Grammy'  ' Quartet'  ' trumpet'  ' Blues'  '(song'
  L21: ' Jazz'  'Jazz'  '爵'  ' was'  ' jazz'  ' released'  ' died'  ' played'  ' Recording'  ' Album'  ' Released'  ' had'
  L22: ' Jazz'  ' Album'  ' released'  ' Albums'  ' played'  ' was'  ' albums'  ' Guitar'  ','  ' album'  ' jazz'  ' Recording'

----------------------------------------------------------------------------------------------------
RELATION birth_city: 'Miles Davis was born in the city of'
  subject tokens: ['Miles', ' Davis'] | greedy span: [' New'] (content idx 0)
  model next-token at reader, clean: ' New'  ' Al'  ' Chicago'  ' Saint'  ' St'  ' Detroit'  ' ______'  ' Oakland'
  model next-token at reader, jspace [subject_all|9-13]: ' New'  ' Chicago'  ' St'  ' Detroit'  ' \\'  ' San'
  model next-token at reader, jspace [subject_all|9-17]: ' New'  ' Philadelphia'  ' St'  ' Chicago'  ' Detroit'  ' San'
  model next-token at reader, jspace [subject_all|6-20]: ' New'  ' Philadelphia'  ' Chicago'  ' '  ' St'  ' Milwaukee'
  model next-token at reader, jspace [subject_last|9-13]: ' New'  ' St'  ' Chicago'  ' Detroit'  ' Philadelphia'  ' San'
  model next-token at reader, jspace [subject_last|9-17]: ' New'  ' Philadelphia'  ' St'  ' Detroit'  ' Newark'  ' Chicago'
  model next-token at reader, jspace [subject_last|6-20]: ' New'  ' Seattle'  ' Philadelphia'  ' '  ' Los'  ' San'
  -- J-lens at the READER, clean --
    L00: ' the'  ' a'  ' in'  ' fourteen'  ' twelve'  ' twenty'  ' six'  ' nine'  ' fifty'  ' eleven'  ' fifteen'  ' eight'
    L01: ' the'  ' a'  ' fourteen'  ' fifty'  ' twenty'  ' twelve'  ' in'  ' six'  ' seventy'  ' Washington'  ' forty'  ' nine'
    L02: ' the'  ' a'  ' in'  ' twelve'  ' fourteen'  ' of'  ' twenty'  ' that'  ' Washington'  ','  ' fifty'  ' '
    L03: ' the'  ' a'  ' in'  ' and'  ','  ' twelve'  ' of'  ' fourteen'  ' Washington'  ' fifty'  ' that'  ' twenty'
    L04: ' the'  ' a'  ' twelve'  ' fourteen'  ' fifty'  ' in'  ' twenty'  ' Washington'  ' and'  ','  ' seventy'  ' being'
    L05: ' the'  ' a'  ' fourteen'  ' twelve'  ' in'  ' twenty'  ','  ' fifty'  ' and'  ' '  ' seventy'  ' of'
    L06: ' the'  ' a'  ' fourteen'  ' twelve'  ' Washington'  ' twenty'  ','  ' fifty'  ' in'  ' '  ' and'  ' nineteen'
    L07: ' the'  ' fourteen'  ' twelve'  ' nineteen'  ' twenty'  ' a'  ' fifty'  ' seventy'  ' Washington'  ' seventeen'  ' forty'  ' thirty'
    L08: ' the'  ' Washington'  ' fourteen'  ' twelve'  ' a'  ' twenty'  ','  ' nineteen'  ' and'  ' seventeen'  ' in'  ' fifty'
    L09: ' the'  ' fourteen'  ' seventy'  ' twelve'  ' twenty'  ' nineteen'  ' seventeen'  ' Washington'  ' fifty'  ' eleven'  ' a'  ' thirty'
    L10: ' Washington'  ' the'  ' America'  ' fourteen'  ' seventy'  ' Boston'  ' Philadelphia'  ' twenty'  ' twelve'  ' nineteen'  ' traveling'  ' seventeen'
    L11: ' the'  ' fourteen'  ' seventy'  ' twelve'  ' twenty'  ' Philadelphia'  ' Washington'  ' seventeen'  ' nineteen'  ' a'  ' Boston'  ' eleven'
    L12: ' Philadelphia'  ' Washington'  ' Boston'  ' fourteen'  ' seventy'  ' Chicago'  ' Detroit'  ' twelve'  ' twenty'  ' California'  ' traveling'  ' city'
    L13: ' Washington'  ' Philadelphia'  ' California'  ' Chicago'  ' Detroit'  ' Boston'  ' America'  ' Massachusetts'  ' Kansas'  ' city'  ' Pittsburgh'  ' City'
    L14: ' California'  ' Washington'  ' Detroit'  ' Massachusetts'  ' Philadelphia'  ' Chicago'  ' Kansas'  ' Pittsburgh'  ' Pennsylvania'  ' America'  ' Boston'  ' Oklahoma'
    L15: ' Washington'  ' California'  ' Detroit'  ' Massachusetts'  ' Kansas'  ' Philadelphia'  ' Bethlehem'  ' Pittsburgh'  ' Pennsylvania'  ' Oakland'  ' Chicago'  ' Honolulu'
    L16: ' Philadelphia'  ' Detroit'  ' California'  ' Chicago'  ' Washington'  ' Boston'  ' Pittsburgh'  ' Honolulu'  ' Pennsylvania'  ' Bethlehem'  ' Massachusetts'  ' Kansas'
    L17: ' Chicago'  ' California'  ' Philadelphia'  ' Pennsylvania'  ' Pittsburgh'  ' Detroit'  ' Bethlehem'  ' Honolulu'  ' Washington'  ' Springfield'  ' Boston'  ' Pasadena'
    L18: ' Detroit'  ' Philadelphia'  ' Honolulu'  ' Indianapolis'  ' Baltimore'  ' Pittsburgh'  ' Chicago'  ' Boston'  ' Cincinnati'  ' Oakland'  ' Bloomington'  ' Pennsylvania'
    L19: ' Chicago'  ' Detroit'  ' Pittsburgh'  ' Philadelphia'  ' Cincinnati'  ' Baltimore'  ' Indianapolis'  ' Oakland'  ' Nashville'  ' Seattle'  ' Minneapolis'  ' Boston'
    L20: ' Chicago'  ' Detroit'  ' Pittsburgh'  ' Philadelphia'  ' Nashville'  ' Newark'  ' Albuquerque'  ' Minneapolis'  ' Springfield'  ' Jazz'  ' Cincinnati'  ' Boston'
    L21: ' Detroit'  ' Chicago'  ' Philadelphia'  ' Minneapolis'  ' Nashville'  ' Pittsburgh'  ' Newark'  ' Jazz'  ' Albuquerque'  ' Atlanta'  ' Brooklyn'  ' Rochester'
    L22: ' Philadelphia'  ' Chicago'  ' Detroit'  ' Quincy'  ' Pittsburgh'  ' Albuquerque'  ' Minneapolis'  ' Oakland'  ' Nashville'  ' Denver'  ' Newark'  ' Jazz'
  -- J-lens at the READER, jspace [subject_all|9-13] --
    L00: ' the'  ' a'  ' in'  ' fourteen'  ' twelve'  ' twenty'  ' six'  ' nine'  ' fifty'  ' eleven'  ' fifteen'  ' eight'
    L01: ' the'  ' a'  ' fourteen'  ' fifty'  ' twenty'  ' twelve'  ' in'  ' six'  ' seventy'  ' Washington'  ' forty'  ' nine'
    L02: ' the'  ' a'  ' in'  ' twelve'  ' fourteen'  ' of'  ' twenty'  ' that'  ' Washington'  ','  ' fifty'  ' '
    L03: ' the'  ' a'  ' in'  ' and'  ','  ' twelve'  ' of'  ' fourteen'  ' Washington'  ' fifty'  ' that'  ' twenty'
    L04: ' the'  ' a'  ' twelve'  ' fourteen'  ' fifty'  ' in'  ' twenty'  ' Washington'  ' and'  ','  ' seventy'  ' being'
