run,subject,position_mode,band,layer,position,position_token,k,name_dim,name_explicitly_chosen,name_in_ablation,ablation_on_name,null_mean,null_sd,excess_over_null_sd,top3_overlapping_removed
jspace_v3,Ludwig van Beethoven,subject_all,9-13,9,5, Beethoven,10,1,0,0.4666,0.0467,0.2563,0.0504,4.2, Vien:0.54;  Arist:0.53;  Wilhelm:0.50
jspace_v3,Ludwig van Beethoven,subject_all,9-13,10,5, Beethoven,10,1,0,0.166,0.0166,0.217,0.0625,-0.8,"）
:0.29; entra:0.28; naj:0.28"
jspace_v3,Ludwig van Beethoven,subject_all,9-13,11,5, Beethoven,10,1,0,0.2232,0.0223,0.1971,0.0563,0.5, Nobel:0.31;  Europe's:0.23;  invent:0.15
jspace_v3,Ludwig van Beethoven,subject_all,9-13,12,5, Beethoven,10,1,0,0.2201,0.022,0.232,0.0442,-0.3,naj:0.27; entra:0.27; nut:0.27
jspace_v3,Ludwig van Beethoven,subject_all,9-13,13,5, Beethoven,10,1,1,1.0,0.1,0.1615,0.0381,22.0, Beethoven:1.00;  Nietzsche:0.51;  philosopher:0.48
jspace_v3,Ludwig van Beethoven,subject_all,9-17,9,5, Beethoven,10,1,0,0.4666,0.0467,0.2563,0.0504,4.2, Vien:0.54;  Arist:0.53;  Wilhelm:0.50
jspace_v3,Ludwig van Beethoven,subject_all,9-17,10,5, Beethoven,10,1,0,0.166,0.0166,0.217,0.0625,-0.8,"）
:0.29; entra:0.28; naj:0.28"
jspace_v3,Ludwig van Beethoven,subject_all,9-17,11,5, Beethoven,10,1,0,0.2232,0.0223,0.1971,0.0563,0.5, Nobel:0.31;  Europe's:0.23;  invent:0.15
jspace_v3,Ludwig van Beethoven,subject_all,9-17,12,5, Beethoven,10,1,0,0.2201,0.022,0.232,0.0442,-0.3,naj:0.27; entra:0.27; nut:0.27
jspace_v3,Ludwig van Beethoven,subject_all,9-17,13,5, Beethoven,10,1,1,1.0,0.1,0.1615,0.0381,22.0, Beethoven:1.00;  Nietzsche:0.51;  philosopher:0.48
jspace_v3,Ludwig van Beethoven,subject_all,9-17,14,5, Beethoven,10,1,0,0.0973,0.0097,0.1863,0.0637,-1.4,tai:0.20; dro:0.18; lever:0.16
jspace_v3,Ludwig van Beethoven,subject_all,9-17,15,5, Beethoven,10,1,0,0.1069,0.0107,0.1587,0.057,-0.9,"...).:0.28; ...)

:0.25; )...:0.24"
jspace_v3,Ludwig van Beethoven,subject_all,9-17,16,5, Beethoven,10,1,0,0.1076,0.0108,0.1513,0.0555,-0.8,-fil:0.22; -\:0.18; -kan:0.17
jspace_v3,Ludwig van Beethoven,subject_all,9-17,17,5, Beethoven,10,1,0,0.2238,0.0224,0.1608,0.0662,1.0, famous:0.27;  Nobel:0.26;  french:0.24
jspace_v3,Ludwig van Beethoven,subject_all,6-20,6,5, Beethoven,10,1,0,0.5124,0.0512,0.3357,0.0452,3.9, Arist:0.65;  Adolf:0.63;  Friedrich:0.62
