candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share,nearest_unembed_token_id,nearest_unembed_token,nearest_unembed_decoded,nearest_unembed_cosine,nearest_unembed_margin,farthest_unembed_token_id,farthest_unembed_token,farthest_unembed_decoded,farthest_unembed_cosine,farthest_unembed_margin,max_abs_unembed_token_cosine,nearest_unembed_token_z,farthest_unembed_token_z,unembedding_cosine_mean,unembedding_cosine_std,rank_global_max_abs_unembed_token_cosine
L10_SV08,10,7,8,25.64979362487793,0.17681558430194855,6572,55,60.73767498478393,60.73767498478393,62.743226068639316,15.736812095946664,1.0,105.0,12.875,0.058594746001595345,0.06150417523279943,0.48569689592209375,0.788496652465003,1.0,88.89090909090909,1063.0727172777265,1557.9088286146186,403.6459825745146,0.2590947397951734,6572,60.25,11.75,17.42055,-0.08967059793208022,2.466482729421871,-0.533517270578129,0.40543563839767655,2.5688052329002242,2.71948933874074,1.7938584028632851,2.207995729181917,2.474505684378456,2.0665248800985045,2.5380656753087614,2.707701895175519,2.1239283489901295,2.560610887715946,2.707701895175519,0.0948280294699877,0.013891064208708602,0.133289084415353,0.018661583054745585,0.06603360720788685,0.008998167173408653,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.278917714997517,2.4758116132957917,2.608628889443789,2.7098025033652786,0.043372528195379435,0.05778642753255962,0.2602351691722766,0.34671856519535776,0.16666666666666666,0.16666666666666666,0.05778642753255962,negative,1,6,20,79,822,1438,1444,1,1,1,1,45,64,64,64,29,47,3.7444605375557405,42.286189253660346,0.0625,64,32,40,3.275470993664893,26.455683005720896,0.21875,64,32,40,3.275470993664893,26.455683005720896,0.21875,92601,Ġà®īà®±, உற,0.07335873693227768,0.0018774420022964478,88030,",""Ċ",",""
",-0.08882161229848862,0.004126414656639099,0.08882161229848862,4.411638451411894,-5.170913051899609,-0.001306248117122218,0.016924547619151395,584
L07_SV03,7,2,3,49.951316833496094,0.17785459756851196,6572,55,-36.62714926962873,36.62714926962873,38.51047239010834,11.895731170871029,0.0,-5.625,-77.0,0.058098122024057265,0.06057263764858765,0.4289409616555082,0.7603469263542301,1.0,63.79090909090909,628.2796307666521,1829.5743378749798,594.2074366822742,0.3247790616545377,6572,-37.75,8.75,12.97275,-0.03407195984248762,2.3736108369340347,-0.6263891630659653,0.42129905393071443,2.476344645506928,3.0255728353664413,1.8947890771039293,2.2341012892409133,2.4747617602281697,1.946387620203889,2.447437898672217,2.9749205064461774,2.04274344298626,2.47496916613671,2.9749205064461774,0.08618649474531226,0.012191950279754608,0.13675377793581275,0.02229253129613607,0.061218716872910375,0.009313209461773438,0.0,0.0,0.0,0.00015216068167985393,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,2.1839047233624327,2.3930932146229598,2.5206683239868184,2.983947119924457,0.04111385503442202,0.06090320151992676,0.24668313020653213,0.36541920911956055,0.16666666666666666,0.16666666666666666,0.06090320151992676,negative,2,9,23,62,1019,1451,1427,1,1,1,1,48,64,64,64,26,29,3.0208946438022233,20.509632294231004,0.171875,64,36,50,3.73366842632784,41.83228569019373,0.109375,64,36,50,3.73366842632784,41.83228569019373,0.109375,25121,_arr,_arr,0.07584016770124435,0.005362510681152344,133890,ĠMAIS, MAIS,-0.07893531769514084,0.0005325153470039368,0.07893531769514084,4.262861872073545,-4.41311069851166,-0.0002073889340600764,0.017839554486505874,1424
L06_SV03,6,2,3,58.891849517822266,0.15336622297763824,6572,55,-28.602375608642728,28.602375608642728,29.441218635989568,6.977783624780786,0.0,-10.0,-55.5,0.056499325645927675,0.057999436314586046,0.25806451612903225,0.7913877054169203,1.0,45.20909090909091,508.50495476934583,1684.4468001964176,410.9345831985144,0.2439581844618556,6572,-29.125,5.125,7.598325,-0.09315873182148536,2.5857142940164732,-0.41428570598352676,0.38674033024997045,2.51700210243705,3.471159762184429,1.9000898224279694,2.2490894374747072,2.3710678011271433,2.1221782432312386,2.761430973273718,3.3414403832422894,2.1879822197655403,2.761430973273718,3.3414403832422894,0.08932997263145065,0.011939626902366296,0.15947306686790338,0.026875057578625385,0.07132792437239037,0.011842197506769677,0.0,0.0,0.0,0.0006086427267194157,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,2.2702371904334178,2.397074355203285,2.786798406227688,3.36455732019886,0.040959142276500236,0.07544972185033477,0.24575485365900143,0.4526983311020087,0.16666666666666666,0.16666666666666666,0.07544972185033477,negative,3,20,17,72,1214,1408,1204,1,1,1,1,60,61,52,64,28,37,3.309285306384903,27.365560489896467,0.140625,64,36,50,3.7482351089277977,42.446103106312854,0.109375,64,36,50,3.7482351089277977,42.446103106312854,0.109375,67369,Ġalmacen, almacen,0.07981040328741074,0.0012501180171966553,103519,Ġà¤¸à¥įà¤¤, स्त,-0.08941363543272018,0.010606318712234497,0.08941363543272018,4.473193888063793,-4.745640816611203,-0.0023010522236084066,0.018356337231463224,529
L08_SV11,8,10,11,25.11107635498047,0.09744233638048172,6572,55,39.71105162051126,39.71105162051126,40.826042809879254,9.476188617117305,1.0,79.5,6.09375,0.05413631272711408,0.055857276290339784,0.28058429701765064,0.8067559342665855,1.0,64.14545454545454,743.2399200235136,997.1872493792292,237.95729591862943,0.2386284983755629,6572,39.5,5.75,8.524949999999999,-0.08577949877561988,4.037264545399991,1.0372645453999914,0.24769246323959312,4.692109631141532,3.9186446841330453,2.844591463879554,3.8375005131994966,4.499410553727484,3.2866028539756833,3.817056844908183,3.9186446841330453,3.5630707511481012,3.9123653217907455,4.499410553727484,0.17393793862399132,0.029220837001251054,0.2217422013326247,0.026583194098337013,0.1143479552086036,0.01503855068346618,0.006847230675593427,0.0,0.0,0.011868533171028607,0.0,0.0,29,0,0,55,0,0,0.5272727272727272,0.0,0.0,1.0,0.0,0.0,4.123191338365621,4.5337509310905055,3.902515557275996,3.9186446841330453,0.1093310507562384,0.10372440647786459,0.6559863045374305,0.6223464388671875,0.16666666666666666,0.16666666666666666,0.1093310507562384,positive,4,17,15,121,1122,54,267,1,1,2,1,62,3,13,64,36,51,3.8176188379795555,45.49574649585946,0.0625,64,55,15,1.6995772210227076,5.471633610990564,0.40625,64,36,51,3.8176188379795555,45.49574649585946,0.0625,7059,ĠØ§ÙĦÙģ, الف,0.07984728366136551,0.003674902021884918,135169,Ġà²ħà²µà²°à²¨à³įà²¨à³ģ, ಅವರನ್ನು,-0.07912895828485489,0.0015539824962615967,0.07984728366136551,4.7694787949564965,-4.295432478592712,-0.0037976403741124916,0.017537539767223338,1379
L11_SV08,11,7,8,25.365379333496094,0.19110479950904846,6572,55,64.62799566342058,64.62799566342058,66.6559806953803,16.316921860197844,1.0,111.0,9.125,0.05102419953881715,0.05332161816075406,0.4023128423615338,0.7913877054169203,1.0,94.2090909090909,1291.5175198759891,1639.3136255662034,413.88491253893307,0.2524745149946367,6572,64.0,12.0,17.7912,-0.06625264190494362,2.5045606203773785,-0.4954393796226215,0.3992716294682152,2.6417554746166645,3.08439003552318,1.8829533702054948,2.2603590539142973,2.5678874949412793,2.0796798417195017,2.6236917689644326,2.9251122043481312,2.135887405009218,2.6337318449570586,2.9251122043481312,0.09516953858158218,0.013911785004886261,0.13660941869815751,0.02054530279122915,0.06647020696202946,0.009694857754503131,0.0,0.0,0.0,0.00015216068167985393,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,2.3410450110166825,2.5203471379108775,2.713420117811052,2.9534966725122533,0.04443422500041541,0.0626783904578743,0.26660535000249247,0.3760703427472458,0.16666666666666666,0.16666666666666666,0.0626783904578743,negative,5,10,18,76,783,1429,1413,1,1,1,1,46,64,63,64,28,47,3.7000572533169636,40.44962016869747,0.078125,64,31,39,3.3404980397898414,28.23318445371091,0.171875,64,31,39,3.3404980397898414,28.23318445371091,0.171875,37029,Ġverst, verst,0.07436401396989822,0.0008799508213996887,88030,",""Ċ",",""
",-0.09100166708230972,0.006295286118984222,0.09100166708230972,4.509223511324714,-5.248174376680592,-0.002057059099540423,0.01694772345560395,406
L08_SV03,8,2,3,47.76953887939453,0.1853674203157425,6572,55,-37.30904547702374,37.30904547702374,39.977864377521946,14.361920685650396,0.0,-2.78125,-85.5,0.05008768852135791,0.05324305861185343,0.2836275106512477,0.63542300669507,1.0,69.89545454545454,743.2399200235136,1782.2358984677842,686.0623285759572,0.38494473664555695,6572,-39.0,10.875,16.123275,-0.03420904021607047,2.287570153299987,-0.712429846700013,0.4371450635327738,2.246364339751074,2.8840294543137173,1.7986420252709205,2.1450279177152294,2.241269996325186,1.8296530946721432,2.263808066289262,2.782142585795945,1.984708441678257,2.263808066289262,2.782142585795945,0.08057657745293231,0.01070742321904844,0.13515763776990394,0.02083304208845611,0.05781686933258339,0.008267826451961766,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.18918768054257,2.2290950504782683,2.406458985534887,2.8002995669304163,0.036993394425636816,0.05445837752471839,0.22196036655382093,0.32675026514831035,0.16666666666666666,0.16666666666666666,0.05445837752471839,negative,6,16,30,66,901,1464,1453,2,2,1,2,26,64,63,64,25,33,3.2568796913279914,25.96838122747018,0.125,64,37,49,3.6865721561707856,39.907814472909244,0.125,64,37,49,3.6865721561707856,39.907814472909244,0.125,25121,_arr,_arr,0.07688561081886292,0.001600608229637146,72846,Ġepit, epit,-0.07821772992610931,0.005375169217586517,0.07821772992610931,4.341268859680262,-4.569457650668945,0.0013199089171740193,0.017406363057471258,1444
L12_SV02,12,1,2,54.067291259765625,0.44457584619522095,6572,55,-74.58770161290323,74.58770161290323,76.3130879691651,16.135741801790324,0.0,-20.875,-156.0,0.0486934790325397,0.04976674953870115,0.3120815581253804,0.9144856968959221,1.0,113.31818181818181,1540.7914101431736,4032.754987501329,872.4158516897728,0.21633247107588474,6572,-75.0,11.0,16.3086,-0.02322988362519809,2.933023231351011,-0.06697676864898883,0.3409451344643388,3.3188011233337016,4.966704683418565,2.2227536391842344,2.9114853512870527,3.263400138577163,2.238082974626884,2.987043645683875,4.322038678978841,2.4680230062666326,3.241066063304025,4.322038678978841,0.12653896841177742,0.019552032448289083,0.15171111575076282,0.029950172582833043,0.08244306704154729,0.014635125050244384,0.0004564820450395618,0.0,0.0,0.0010651247717589774,0.0,0.0,1,0,0,6,0,0,0.01818181818181818,0.0,0.0,0.10909090909090909,0.0,0.0,2.938633604355984,3.144966459414052,3.2682143163729567,4.4369228505205855,0.06785147821143728,0.08615688381083175,0.40710886926862366,0.5169413028649905,0.16666666666666666,0.16666666666666666,0.08615688381083175,negative,7,14,9,18,795,1061,866,1,1,2,1,51,48,42,64,25,42,3.575401501861829,35.70895514980899,0.078125,64,34,41,3.2679218509207772,26.256717233737934,0.25,64,34,41,3.2679218509207772,26.256717233737934,0.25,79332,ï¬ģ,ﬁ,0.0888042077422142,0.004203788936138153,123971,ĠWillis, Willis,-0.0805249810218811,0.004774510860443115,0.0888042077422142,4.847344730938827,-4.874545197871988,0.004376492867830347,0.017417311860555874,587
L09_SV08,9,7,8,26.085336685180664,0.1494557112455368,6572,55,41.79963647862142,41.811839646416615,44.829115379282804,16.19999925753552,0.9980219111381619,82.0,-10.375,0.04792012899152694,0.05240025429083971,0.26034692635423007,0.5126293365794279,1.0,72.32727272727273,899.8623018642061,1090.6759146035627,422.5824349324908,0.38756316136435015,6572,40.0,10.375,15.381974999999999,0.17737152202823878,2.573698796521934,-0.426301203478066,0.3885458552303743,2.7304686166763372,3.274937061073107,2.3078960926669043,2.567940722826555,2.709109200866587,2.1683049478366727,2.694050178861948,3.216198667596295,2.3888248258107287,2.713647995462224,3.216198667596295,0.08540851179677465,0.010622931017521852,0.13843886267835914,0.021838751361281654,0.058348790101025394,0.008192424143459514,0.0,0.0,0.0,0.00030432136335970786,0.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.03636363636363636,0.0,0.0,2.6654574591364244,2.712915604140561,2.857037214011855,3.226666276599722,0.04411191630083974,0.06635418695143068,0.26467149780503846,0.3981251217085841,0.16666666666666666,0.16666666666666666,0.06635418695143068,negative,8,19,44,110,789,1412,1361,1,1,1,2,32,63,61,64,29,52,3.8392796873720543,46.491973620009325,0.09375,64,35,44,3.4816639374992957,32.51377798499768,0.1875,64,35,44,3.4816639374992957,32.51377798499768,0.1875,11966,Ġagr, agr,0.07763364166021347,0.0028587356209754944,30007,ĠBil, Bil,-0.09153039008378983,0.0022733062505722046,0.09153039008378983,4.616936077479698,-5.258184377305806,-0.0014559780306861985,0.01713032590524261,369
L11_SV02,11,1,2,54.55508804321289,0.4110223948955536,6572,55,-61.04727442178941,61.04727442178941,62.971077887970075,15.446259613366932,0.0,-8.8125,-130.0,0.04744426305709056,0.04882523966539718,0.1935483870967742,0.7901704199634815,1.0,97.32727272727273,1291.5175198759891,3330.4394308788997,842.6720531455564,0.25302128161603055,6572,-61.5,10.5,15.5673,0.04125556111475026,2.870966074088052,-0.12903392591194818,0.34831480909005347,3.384498275230772,4.40024924039493,2.2827497382333477,2.9824576194972825,3.2552293107988484,2.216183923994527,2.9320113314447678,3.8726208141421803,2.4731327847475155,3.1086275397788965,3.8726208141421803,0.1278514377798669,0.01981723287894393,0.14664840706528023,0.02736956212018634,0.08062455934949998,0.01323827470452532,0.0010651247717589774,0.0,0.0,0.0009129640900791236,0.0,0.0,4,0,0,6,0,0,0.07272727272727272,0.0,0.0,0.10909090909090909,0.0,0.0,3.0922189461242477,3.2782659806132086,3.3178521644729657,3.966648037874263,0.06997526263911416,0.08084409777757076,0.41985157583468496,0.4850645866654246,0.16666666666666666,0.16666666666666666,0.08084409777757076,negative,9,24,19,27,838,1161,1021,2,2,2,2,54,52,48,64,25,37,3.380453857329345,29.38410427847622,0.09375,64,34,46,3.478076047131489,32.397331138321995,0.203125,64,34,46,3.478076047131489,32.397331138321995,0.203125,79332,ï¬ģ,ﬁ,0.08703558892011642,0.0021285489201545715,123971,ĠWillis, Willis,-0.07882819324731827,0.0036107301712036133,0.08703558892011642,4.724779187768166,-4.785407560079096,0.004632396767596329,0.017440644076203847,751
L12_SV08,12,7,8,25.163782119750977,0.20691271126270294,6572,55,-70.66690124771759,70.66690124771759,72.5646066117784,16.48669769139607,0.0,-11.8125,-115.5,0.0467736913856035,0.048632571991100666,0.35590383444917834,0.817711503347535,1.0,100.55454545454545,1540.7914101431736,1778.246506075524,414.86766858049214,0.23330155136706704,6572,-70.0,12.0,17.7912,0.10484454885121235,2.558034496976042,-0.4419655030239582,0.39092514240216125,3.270577588920365,2.5574441296820902,2.0556511084131475,2.7561870475291173,3.1551588706775764,1.911057151850353,2.3888214398129413,2.5574441296820902,2.1429133504204327,2.7561870475291173,3.1551588706775764,0.1413769712118168,0.022753505347384073,0.09888363126813952,0.014466547076686457,0.07047046677724093,0.010833287068582689,0.00030432136335970786,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0.03636363636363636,0.0,0.0,0.0,0.0,0.0,2.959328207203561,3.1757273258689693,2.4450290031026576,2.5574441296820902,0.06929176012990498,0.0478866967440113,0.4157505607794299,0.2873201804640678,0.16666666666666666,0.16666666666666666,0.06929176012990498,positive,10,12,13,67,768,1415,1326,2,2,1,2,48,64,60,64,30,37,3.1585360185045057,23.53611425921204,0.25,64,27,51,3.833970342472198,46.245785823265514,0.0625,64,30,37,3.1585360185045057,23.53611425921204,0.25,88030,",""Ċ",",""
",0.0913480892777443,0.00779733806848526,13102,ĠCollection, Collection,-0.0736006572842598,0.0021739453077316284,0.0913480892777443,5.249860110203238,-4.536720603971098,0.002863881146738553,0.016854583983873097,387
