candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share,nearest_unembed_token_id,nearest_unembed_token,nearest_unembed_decoded,nearest_unembed_cosine,nearest_unembed_margin,farthest_unembed_token_id,farthest_unembed_token,farthest_unembed_decoded,farthest_unembed_cosine,farthest_unembed_margin,max_abs_unembed_token_cosine,nearest_unembed_token_z,farthest_unembed_token_z,unembedding_cosine_mean,unembedding_cosine_std,rank_global_max_abs_unembed_token_cosine
L12_SV56,12,55,56,9.259939193725586,0.07614114135503769,31901,55,10.548592747141548,20.0154963212605,26.732923179964253,24.56372066281537,0.6792263565405473,147.0,-100.0,0.013416246532149489,0.017991090036469273,0.0052349456129901885,0.041785523964765994,1.0,142.25454545454545,1508.4748322936584,185.3422788671104,227.45855970933107,2.3286253675372297,31901,9.3125,13.9375,20.6637375,0.5505514347737415,5.085340209810143,2.085340209810143,0.19664367746151917,6.663242794291207,5.2900642974195735,3.4450447311383043,6.421273015106778,6.614848838454321,2.700987660146186,3.622892518838824,4.598756638289756,3.541832642812076,6.421273015106778,6.614848838454321,0.23603079149076364,0.0504919735870593,0.17493347695893158,0.029173001715450064,0.14369064897302827,0.03004407016931613,0.01968590326322059,0.0018181248236732392,0.0,0.005423027491301213,3.134697971850412e-05,0.0,55,55,0,34,1,0,1.0,1.0,0.0,0.6181818181818182,0.01818181818181818,0.0,6.614848838454321,6.663242794291207,4.634326195829772,5.041803303976351,1.4428869599656837,0.20626462614528918,1.4428869599656837,0.6187938784358675,1.0,0.3333333333333333,1.4428869599656837,positive,779,476,631,1033,418,2,1,25,25,8,22,2,1,1,64,55,8,0.9037194730362028,2.4687685733868583,0.78125,64,29,51,3.8474554396183756,46.87363855076217,0.0625,64,55,8,0.9037194730362028,2.4687685733868583,0.78125,28957,Ġsoy, soy,0.08184431493282318,0.007563062012195587,47946,Ġprecip, precip,-0.09067623317241669,0.008725300431251526,0.09067623317241669,5.057673048645666,-5.462341610705706,-0.001097824859142505,0.016399268793022472,429
L15_SV54,15,53,54,9.265936851501465,0.12523439526557922,31901,55,-51.601112193289396,51.94500888735855,58.60476674093242,27.7820788490469,0.018996269709413496,55.75,-212.0,0.017276577962827114,0.019476749005324877,0.02015610795899815,0.11128177800068963,1.0,203.52727272727273,3037.237345616125,481.3191721009467,257.42698821870306,0.5384007760332606,31901,-49.25,16.25,24.09225,-0.8365659397707831,5.404418448602163,2.404418448602163,0.1850337847652502,4.3582479843103075,6.755284375680977,2.316616339279229,3.1031763326380815,3.9792879452937195,3.5177287301933196,6.344363851445944,6.630763004700682,3.5592358538534175,6.344363851445944,6.630763004700682,0.15520471483840248,0.025668734114951013,0.24436748776336606,0.048827792487728526,0.16049944764641114,0.031952000100132515,0.0013479201278956772,0.0,0.0,0.020406883796746184,0.0024764113977618256,0.0,22,0,0,55,55,0,0.4,0.0,0.0,1.0,1.0,0.0,3.7927134244414686,4.201351056875136,6.643215141798711,6.71045668212807,0.08286238506874209,1.4019148208324455,0.4971743104124526,1.4019148208324455,0.16666666666666666,1.0,1.4019148208324455,negative,562,193,269,303,362,1,2,15,15,12,14,9,1,1,64,29,48,3.7135423504631397,40.99878165221456,0.09375,64,55,6,0.8387369248587078,2.313443078175154,0.78125,64,55,6,0.8387369248587078,2.313443078175154,0.78125,179029,Ross,Ross,0.08274252712726593,0.0012619197368621826,14565,dan,dan,-0.07988248020410538,0.005568794906139374,0.08274252712726593,4.851635194910433,-5.161427978645228,0.003945739823938302,0.01624128446136856,1191
L11_SV56,11,55,56,9.273212432861328,0.06986512243747711,31901,55,-16.11104998177957,20.572893115615496,26.57739757492121,21.137457991443256,0.20259552992069213,77.0,-131.0,0.016022437740084498,0.0205649690484627,0.004545312059183098,0.055703582959781825,1.0,126.07272727272728,1289.205717493182,190.77680821965285,196.01213824533565,1.3119851291720204,31901,-14.8125,12.3125,18.2545125,-0.5763886128117232,4.798865201242333,1.7988652012423332,0.20838259839870463,5.029578302899077,6.364864578005028,2.516501056930444,3.4012138094621607,4.343583538590997,3.351910931612115,6.063569213365736,6.2553026272271035,3.406691907001077,6.063569213365736,6.2553026272271035,0.1687952920258825,0.027451741131524276,0.22415300303319916,0.04662246803333704,0.139017623938583,0.0284701703766517,0.0035108617284724617,3.134697971850412e-05,0.0,0.016990063007429234,0.0019435127425472556,0.0,29,1,0,55,55,0,0.5272727272727272,0.01818181818181818,0.0,1.0,1.0,0.0,4.048998843436657,4.748551899153703,6.271736919843792,6.364864578005028,0.18784412922873875,1.3092602094705328,0.5635323876862163,1.3092602094705328,0.3333333333333333,1.0,1.3092602094705328,negative,639,497,533,1009,525,5,3,21,21,11,20,9,1,1,64,29,49,3.7930915812405925,44.39343424953763,0.046875,64,55,8,0.9118952252825239,2.4890353487728136,0.78125,64,55,8,0.9118952252825239,2.4890353487728136,0.78125,67554,ĠØ£ÙħØ±, أمر,0.07947547733783722,8.576363325119019e-05,19477,ĠRO, RO,-0.07622508704662323,0.003915965557098389,0.07947547733783722,4.891642826368041,-4.782857589446505,0.0007498050966442326,0.016093912625187605,1402
L14_SV54,14,53,54,9.321192741394043,0.10366491228342056,31901,55,-19.824131964172363,26.36977570746215,34.17983993249359,27.843585431441177,0.21576126140246388,101.5,-169.0,0.011669054038397351,0.015187835728109857,0.009247359016958716,0.043258832011535686,1.0,162.63636363636363,2299.4987578759287,245.79776191658516,259.53542641793445,1.4045298670206978,31901,-18.5,16.0,23.7216,-0.570727098533719,4.890226735612523,1.890226735612523,0.20448949589956905,5.058680696074464,6.344428706326724,2.6136516929718066,3.5010285984081717,4.4855743288817225,3.414609469850263,6.049338999055713,6.260117361392149,3.477842978551194,6.049338999055713,6.260117361392149,0.16791287223549894,0.02867484052863609,0.23388990381155547,0.046178284059150886,0.1426397135869294,0.027581776767462082,0.004043760383687031,3.134697971850412e-05,0.0,0.017773737500391837,0.002068900661421272,0.0,26,1,0,55,55,0,0.4727272727272727,0.01818181818181818,0.0,1.0,1.0,0.0,4.394728854714691,4.922096317280453,6.272764063132335,6.344428706326724,0.19761727631444317,1.299950508054068,0.5928518289433296,1.299950508054068,0.3333333333333333,1.0,1.299950508054068,negative,864,348,617,795,360,3,4,26,26,9,20,6,1,1,64,28,51,3.7877822363407367,44.158358796361334,0.09375,64,55,8,0.8902343758900255,2.43570045385779,0.78125,64,55,8,0.8902343758900255,2.43570045385779,0.78125,47946,Ġprecip, precip,0.08921918272972107,0.011100932955741882,50903,Ġelementary, elementary,-0.0791345089673996,0.0014037713408470154,0.08921918272972107,5.385345230187598,-5.066446719201804,0.002473985833744901,0.01610763900700836,547
L18_SV52,18,51,52,8.448091506958008,0.1362384557723999,31901,55,-76.394646658314,77.49538556540155,90.47909092429072,48.48013878319058,0.03523400520359863,110.0,-336.0,0.010282965368740403,0.011965621190791574,0.012288016049653615,0.18748628569637316,1.0,318.72727272727275,7608.275206890066,654.6881086235051,409.5646487104179,0.6346012568135083,31901,-71.5,28.5,42.2541,-0.7514693467479676,4.495798769757315,1.4957987697573154,0.22242988425702612,4.2954411524562115,6.259747574791558,2.174345211470603,2.894393680139898,3.548294721695739,3.372453797382976,5.833753410911604,6.108756310038614,3.3961201398207512,5.833753410911604,6.108756310038614,0.14383147393577433,0.023631422508201338,0.2054211030238396,0.040156243997877344,0.13757844980978412,0.02681319753193191,0.0005955926146515784,0.0,0.0,0.01796181937870286,0.0017554308642362309,0.0,8,0,0,55,55,0,0.14545454545454545,0.0,0.0,1.0,1.0,0.0,3.6398834669298354,4.21237229049962,6.131949325627572,6.208628275125964,0.07415685164113321,1.169027183677252,0.4449411098467993,1.169027183677252,0.16666666666666666,1.0,1.169027183677252,negative,935,283,143,190,199,10,5,9,9,8,9,6,1,1,64,31,47,3.6651910734241184,39.06359946576556,0.078125,64,55,7,0.8511404365511045,2.342316592758263,0.78125,64,55,7,0.8511404365511045,2.342316592758263,0.78125,48714,åĪ¸,券,0.08306394517421722,0.0006216242909431458,30532,Ġanalyze, analyze,-0.08409985899925232,0.00044330209493637085,0.08409985899925232,4.728406993424419,-5.279402574745093,0.0040837752062313345,0.016703335833362067,1068
L10_SV35,10,34,35,12.852930068969727,0.08860103785991669,31901,55,-19.0734338357095,21.256194931560728,26.393797037384388,18.24381110857742,0.136798219491552,49.75,-116.5,0.019915061200144506,0.024374916311997136,0.00570515030876775,0.06228644870066769,1.0,111.64545454545454,1051.7803908968372,273.20438698773876,234.48642837003865,0.9565037562570509,31901,-17.875,12.125,17.976525,-0.3966654000355149,3.9611416367177052,0.9611416367177052,0.25245247247170477,3.7618505245034846,5.486321744608594,2.0860538952884387,3.1221273299483636,3.661859007789344,2.56584629120478,5.21096263043048,5.3975949189290295,2.732730602827855,5.21096263043048,5.3975949189290295,0.15714891182313095,0.028154650758939807,0.19066249409514652,0.04552108995416238,0.12134517458855237,0.027264331479588837,0.0014733080467696938,0.0,0.0,0.0042631892417165605,0.0015986959656437102,0.0,13,0,0,55,51,0,0.23636363636363636,0.0,0.0,1.0,0.9272727272727272,0.0,3.5240403804406024,3.7092819663422163,5.402879588797057,5.441262980470364,0.08731209979924295,1.11179389468809,0.5238725987954578,1.11179389468809,0.16666666666666666,1.0,1.11179389468809,negative,373,456,484,705,700,35,6,14,15,15,16,25,1,1,64,28,30,2.63215796800964,13.903741380866968,0.40625,64,55,10,0.9552169240675203,2.5992343582585233,0.78125,64,55,10,0.9552169240675203,2.5992343582585233,0.78125,31502,Ġtart, tart,0.07784586399793625,0.0024943798780441284,6877,Ġjed, jed,-0.08118290454149246,0.006706535816192627,0.08118290454149246,4.747915972997331,-5.180288647647782,0.0017943260648484926,0.016017877815364304,1309
L22_SV01,22,0,1,32.74797821044922,1.0,31901,55,42.939399584113744,104.85009690624902,136.21750215434687,129.27264156241762,0.6749004733393937,748.0,-668.0,0.004381912279112586,0.005667445494881595,3.134697971850412e-05,0.009090624118366196,0.9272727272727272,523.0909090909091,23969.427275007052,3433.628688849332,4233.417649093264,3.0105833526894843,31901,50.0,72.0,106.74719999999999,-0.06743735104559367,4.816373485770209,1.8163734857702094,0.20762509447293936,6.538813196036992,6.726171740336047,3.241302816373638,5.07741655050437,6.0070896473163256,3.353717942953071,4.498478648620265,5.655605018211398,3.8221143037007064,5.193578847969729,6.278384819461553,0.2635580296906331,0.04777140578462617,0.187227973764391,0.03147899159884809,0.1355121277781528,0.02217678128323388,0.012789567725149682,0.001285226168458669,0.0,0.016833328108836712,0.0004702046957775618,0.0,38,17,0,49,10,0,0.6909090909090909,0.3090909090909091,0.0,0.8909090909090909,0.18181818181818182,0.0,6.021703613771603,6.417404859331206,5.32098265809314,6.098895334022814,1.1097542198760795,0.798134473174415,1.1097542198760795,0.798134473174415,1.0,1.0,1.1097542198760795,positive,1331,1053,1006,30,30,4,7,46,46,18,31,22,1,1,64,27,25,2.936724524897309,18.85398928948589,0.15625,64,34,53,3.904262235549549,49.61346335711305,0.046875,64,27,25,2.936724524897309,18.85398928948589,0.15625,198558,Hm,Hm,0.08604825288057327,0.003985278308391571,113378,ĠØ§ÙĦØµØŃÙĬ, الصحي,-0.10034062713384628,0.012517184019088745,0.10034062713384628,4.935199574615269,-4.966599523179005,-0.0068506549113540845,0.018823738814892695,81
L13_SV55,13,54,55,9.272662162780762,0.09313927590847015,31901,55,-19.74031313275593,24.5305737134024,31.92360210336603,25.088571276076678,0.19651421585530235,75.5,-159.0,0.012962558546700352,0.016730065489978563,0.00570515030876775,0.045735243409297514,1.0,139.23636363636365,1896.4459196028338,227.4637227035708,232.63784558990446,1.2709307652493562,31901,-17.625,14.65625,21.72935625,-0.6836973985087975,4.67685335997447,1.6768533599744702,0.21381897678430925,4.28567689390246,6.506175257723063,2.352807851820277,3.1823308157138634,4.125754991016049,3.514830311643494,5.5397407366819715,5.815864885550855,3.572356175991178,5.5397407366819715,5.815864885550855,0.1615044892652801,0.02791636746673133,0.22313835120864903,0.037874534046138685,0.14447723914175714,0.024366526776387506,0.0017554308642362309,0.0,0.0,0.019748597222657597,0.0021629416005767843,0.0,15,0,0,55,55,0,0.2727272727272727,0.0,0.0,1.0,1.0,0.0,3.8553834285817836,4.223548960406961,5.8296710929943,6.481324084324863,0.0886183229621618,1.078110036993947,0.5317099377729708,1.078110036993947,0.16666666666666666,1.0,1.078110036993947,negative,804,457,598,861,406,7,8,21,21,12,20,3,1,1,64,29,51,3.8364132800255892,46.35889949870736,0.046875,64,55,6,0.8387369248587078,2.313443078175154,0.78125,64,55,6,0.8387369248587078,2.313443078175154,0.78125,36418,owing,owing,0.08135604113340378,0.0057991743087768555,111854,ĠBok, Bok,-0.06908512115478516,0.0005174130201339722,0.08135604113340378,4.971179871952077,-4.437212645560823,0.0018663646038557286,0.01599010266718314,1299
L09_SV58,9,57,58,9.378819465637207,0.05373586341738701,31901,55,-9.803621006260089,15.960401823279932,20.6268567737634,18.14817444072447,0.2795523651296198,81.5,-99.5,0.017739340794213136,0.02280429035004824,0.007021723456944923,0.039747970283063226,1.0,95.0,899.0616688152409,149.6897272995694,170.2084517104463,1.8511705449582483,31901,-9.25,10.875,16.123275,-0.2738046612218649,4.287349204233564,1.2873492042335641,0.23324435504636412,5.628509096321932,5.597498026920709,2.6514464338045465,3.6763622775149365,4.798652879145373,2.9615571278167745,5.256376263507259,5.504464818717041,3.178634613625334,5.259477370447336,5.504464818717041,0.17473376210021707,0.031185282941438495,0.21224555138474197,0.04174472612739348,0.12805048476640274,0.023178135025969677,0.004702046957775618,6.269395943700824e-05,0.0,0.008902542240055171,0.001786777843954735,0.0,31,2,0,55,55,0,0.5636363636363636,0.03636363636363636,0.0,1.0,1.0,0.0,4.431481817434731,5.360573456695368,5.504464818717041,5.580752049444049,0.3246109382481059,1.0739578914071934,0.6492218764962118,1.0739578914071934,0.5,1.0,1.0739578914071934,negative,527,407,655,1223,706,16,9,32,33,21,31,15,1,1,64,30,46,3.6311267123392232,37.75533205985041,0.09375,64,55,9,0.933556074675022,2.543538125810243,0.78125,64,55,9,0.933556074675022,2.543538125810243,0.78125,55230,ĠRico, Rico,0.0749933049082756,0.0004947632551193237,47074,Ġmaz, maz,-0.07784941792488098,4.0918588638305664e-05,0.07784941792488098,4.4402118177883585,-4.9032779726553395,0.002359409071963587,0.01635820515258448,1451
L16_SV53,16,52,53,9.312808990478516,0.1348622888326645,31901,55,27.955967281773592,36.41023317867191,43.84438131249683,33.775637166692,0.8183755995109872,164.0,-145.0,0.009288621910656998,0.011132994074032522,0.00025077583774803296,0.013510548258675276,1.0,137.92727272727274,3923.728774176358,339.0815468917549,314.5460574651096,1.2081727248518939,31901,30.25,21.25,31.505249999999997,-0.5613555130362108,4.301344170629493,1.301344170629493,0.23248546508512755,4.245324191999747,5.562564969330509,2.1980463573531397,2.864601931424128,3.3505526856635424,3.0391760103474823,5.276898294728657,5.499083486085653,3.0709167519699103,5.276898294728657,5.499083486085653,0.14396280684786172,0.022109578126522835,0.2200724984767519,0.04094756436098415,0.13601810389318478,0.025197999538161257,0.0006582865740885866,0.0,0.0,0.01087740196232093,0.0017240838845177268,0.0,11,0,0,55,55,0,0.2,0.0,0.0,1.0,1.0,0.0,3.334364907436062,3.816824180096969,5.499083486085653,5.562564969330509,0.07099099413853645,1.06780699350746,0.4259459648312187,1.06780699350746,0.16666666666666666,1.0,1.06780699350746,negative,992,868,927,522,290,15,10,24,24,24,23,6,2,1,64,28,55,3.9422745894346902,51.5356906223762,0.0625,64,55,5,0.7996429855197869,2.2247465199707994,0.78125,64,55,5,0.7996429855197869,2.2247465199707994,0.78125,14289,Ġkum, kum,0.0784917026758194,0.005116425454616547,54132,Ġarticul, articul,-0.08088095486164093,0.000869356095790863,0.08088095486164093,4.897998848999413,-4.88887681564588,-0.001268899167767008,0.01628432433377976,1327
