candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share,nearest_unembed_token_id,nearest_unembed_token,nearest_unembed_decoded,nearest_unembed_cosine,nearest_unembed_margin,farthest_unembed_token_id,farthest_unembed_token,farthest_unembed_decoded,farthest_unembed_cosine,farthest_unembed_margin,max_abs_unembed_token_cosine,nearest_unembed_token_z,farthest_unembed_token_z,unembedding_cosine_mean,unembedding_cosine_std,rank_global_max_abs_unembed_token_cosine
L07_SV03,7,2,3,49.951316833496094,0.17785459756851196,441490,2000,-41.61086569061587,46.325604880808456,57.50864240289285,39.696093101227646,0.004983125325601939,520.0,-94.0,0.06797185067010035,0.07006695502438404,0.5371786450429228,0.8816009422636979,1.0,520.0,835.3847198018358,2314.024966904616,1982.8721235513806,0.9539838319244341,29432,-44.5,7.5,11.119499999999999,12.816612299698106,181.51969333843024,178.51969333843024,0.005509044124130228,50.76667116327174,4.451639012545528,3.1138990062502816,50.76667116327174,50.76667116327174,2.38320068348397,3.012725392328792,3.6024011871037,3.1908471603938957,50.76667116327174,50.76667116327174,0.9616685661251312,0.172086974544163,0.14228948030003155,0.02181891415716035,0.9309496326808105,0.16657796795285204,0.011246262571350911,0.005742049469964664,0.005674096221799402,0.0011891818428920902,0.0,0.0,2000,2000,2000,456,0,0,1.0,1.0,1.0,0.228,0.0,0.0,50.76667116327174,50.76667116327174,3.419668150546336,3.8225639642070237,21.059724559978605,0.07416941682740857,21.059724559978605,0.44501650096445144,1.0,0.16666666666666666,21.059724559978605,positive,1,8,11,51,396,43,37,1,1,1,1,11,6,6,64,64,57,3.999081385365863,54.5480184028769,0.046875,64,59,54,3.898952890649693,49.35074641305414,0.0625,64,64,57,3.999081385365863,54.5480184028769,0.046875,25121,_arr,_arr,0.07584016770124435,0.005362510681152344,133890,ĠMAIS, MAIS,-0.07893531769514084,0.0005325153470039368,0.07893531769514084,4.262861872073545,-4.41311069851166,-0.0002073889340600764,0.017839554486505874,1424
L09_SV10,9,9,10,23.13475227355957,0.13255035877227783,441490,2000,-55.371994318069206,62.042446820267024,79.20263590223877,56.63037858872491,0.004779270198645496,736.0,-139.0,0.06376686712259529,0.06695528293036633,0.3914109039842352,0.7762486126526082,1.0,736.0,1112.0457973106695,1435.3366376323713,1310.1297798080427,1.0227260059196395,29432,-59.0,13.5,20.0151,12.340750756738744,172.79291547315682,169.79291547315682,0.005787274306135247,39.720011391399495,3.9969822783798232,2.322277930162723,39.720011391399495,39.720011391399495,2.173359113869029,2.7978875948658763,3.497359493582345,2.5683733780995346,39.720011391399495,39.720011391399495,0.9547926698654845,0.17097630207188083,0.1386378559416377,0.021442518117880803,0.9120776661233608,0.16321618654413803,0.005877955966295189,0.005674096221799402,0.005674096221799402,0.0003057896167436804,0.0,0.0,2000,2000,2000,120,0,0,1.0,1.0,1.0,0.06,0.0,0.0,39.720011391399495,39.720011391399495,3.047698987264615,3.422416075862724,16.4239390346154,0.06828367791959239,16.4239390346154,0.40970206751755434,1.0,0.16666666666666666,16.4239390346154,positive,2,13,19,101,187,57,68,1,1,1,1,6,8,8,64,64,57,3.999081385365863,54.5480184028769,0.046875,64,62,55,3.947583934334546,51.81003903925637,0.046875,64,64,57,3.999081385365863,54.5480184028769,0.046875,43643,775,775,0.07964438945055008,0.0004443153738975525,16109,Ġtank, tank,-0.07526876777410507,0.0017688944935798645,0.07964438945055008,4.413940735134021,-4.724806465598915,0.004822591663290239,0.01695124657920628,1390
L11_SV10,11,9,10,22.612668991088867,0.17036566138267517,441490,2000,74.44972568036648,86.55428219636912,122.65893723182151,97.48052743475544,0.9954585607828037,164.0,-1336.0,0.062310271984172834,0.06448873286427118,0.5351129130897642,0.9014269858886951,1.0,1336.0,1484.5300178974892,1957.2233330677911,2204.294899958882,1.309347033100771,29432,81.5,15.0,22.238999999999997,-13.713490875132615,198.55619246402432,195.55619246402432,0.005036357655685739,3.7096991771212737,63.73937677053825,2.0909213543774454,2.7010656953999512,3.307563289716246,2.38320068348397,63.73937677053825,63.73937677053825,2.5163564009173003,63.73937677053825,63.73937677053825,0.13374172183682953,0.021070385588518294,0.9801754637504873,0.1758533396717804,0.96302771162744,0.17274911776064675,0.0003057896167436804,0.0,0.0,0.005979885838543082,0.005674096221799402,0.005674096221799402,67,0,0,2000,2000,2000,0.0335,0.0,0.0,1.0,1.0,1.0,2.9452763163811326,3.2600386708035436,63.73937677053825,63.73937677053825,0.06534617003574529,26.72902535600778,0.39207702021447177,26.72902535600778,0.16666666666666666,1.0,26.72902535600778,negative,3,9,9,67,46,12,14,1,1,1,1,2,3,3,64,63,53,3.9042622355495493,49.61346335711307,0.046875,64,64,57,3.999081385365863,54.5480184028769,0.046875,64,64,57,3.999081385365863,54.5480184028769,0.046875,4001,Ġnos, nos,0.07943802326917648,0.002182707190513611,30447,336,336,-0.08842168748378754,0.007627718150615692,0.08842168748378754,4.9578093592295875,-4.928621715462943,-0.0047396176531316215,0.01697879745327456,628
L06_SV03,6,2,3,58.891849517822266,0.15336622297763824,441490,2000,-31.103331707461876,34.038962809843866,39.926210498493845,25.033678144963773,0.00465695712247163,324.0,-64.0,0.06126201981858123,0.06296669795254853,0.2936918163491812,0.8214591496976149,1.0,323.96,725.85002569424,2004.6174755400734,1474.2796061908025,0.8048551962347249,29432,-33.0,4.75,7.04235,12.916610503857271,183.35636995314923,180.35636995314923,0.0054538601536206115,50.693305501714626,4.4019396934262005,3.274830134827153,50.693305501714626,50.693305501714626,2.236469360369763,3.0529581744730097,3.769008214587416,3.360827706660407,50.693305501714626,50.693305501714626,0.9629034315682307,0.17227788774929512,0.15103285425806362,0.02580481472375663,0.9348447326038527,0.1672453789151933,0.012877140527317206,0.005742049469964664,0.005674096221799402,0.0012231584669747215,0.0,0.0,2000,2000,2000,457,0,0,1.0,1.0,1.0,0.2285,0.0,0.0,50.693305501714626,50.693305501714626,3.5144518520096275,3.9763005246828116,21.040951721808973,0.08173724147127728,21.040951721808973,0.4904234488276637,1.0,0.16666666666666666,21.040951721808973,positive,4,15,14,66,763,38,38,1,1,1,1,29,10,10,64,64,56,3.9774205359733643,53.379166851301036,0.046875,64,57,62,4.115561384574677,61.286609964708795,0.03125,64,64,56,3.9774205359733643,53.379166851301036,0.046875,67369,Ġalmacen, almacen,0.07981040328741074,0.0012501180171966553,103519,Ġà¤¸à¥įà¤¤, स्त,-0.08941363543272018,0.010606318712234497,0.08941363543272018,4.473193888063793,-4.745640816611203,-0.0023010522236084066,0.018356337231463224,529
L10_SV10,10,9,10,22.74365997314453,0.15678229928016663,441490,2000,65.52374675769482,74.44315192763426,98.63913861149311,73.73139274997338,0.9954177897574124,151.0,-988.0,0.06004620175250495,0.062461507668873026,0.44165666266506604,0.8417653853994428,1.0,984.388,1355.463307085806,1693.1097347712525,1676.9217260517685,1.1252621591165888,29432,71.0,14.5,21.4977,-13.066471869045897,186.27520656460916,183.27520656460916,0.005368400972102275,3.721328328146732,49.26108374384237,2.0699888825316197,2.697963037906381,3.351842290105434,2.3956051112444587,49.075017327435035,49.26108374384237,2.5566107071919246,49.075017327435035,49.26108374384237,0.13534230776313194,0.021524319878949337,0.9668546781215169,0.1737714985516832,0.93926021909259,0.16876794168930076,0.0003397662408263115,0.0,0.0,0.006013862462625714,0.005674096221799402,0.005674096221799402,77,0,0,2000,2000,2000,0.0385,0.0,0.0,1.0,1.0,1.0,2.9305460584155516,3.2561622871283906,49.26108374384237,49.26108374384237,0.06597045264920308,20.457366925700295,0.3958227158952185,20.457366925700295,0.16666666666666666,1.0,20.457366925700295,negative,5,11,13,78,117,34,42,1,1,1,1,2,2,2,64,63,55,3.925923084942048,50.69985673948937,0.0625,64,64,53,3.8826013861570514,48.550349144682706,0.0625,64,64,53,3.8826013861570514,48.550349144682706,0.0625,4001,Ġnos, nos,0.0781199112534523,0.004701465368270874,30447,336,336,-0.08800550550222397,0.008257575333118439,0.08800550550222397,4.911792580814254,-4.930569491051921,-0.004784333027259564,0.016878612628012966,660
L13_SV10,13,9,10,22.300392150878906,0.2239963412284851,441490,2000,101.95057114827063,113.11277187761897,138.1883074745063,93.28499003167713,0.9954698860676346,198.0,-1232.0,0.057583210784156756,0.05904914834384016,0.5544564995809644,0.9587057464495232,1.0,1232.0,2057.2699065947136,2522.4591701438103,2080.29185949723,0.9150021327100588,29432,109.0,18.0,26.686799999999998,-13.234323697671615,189.43183514579297,186.43183514579297,0.005278943738418451,3.3349820885231654,50.24956158100635,1.9860005695699747,2.5319258959485405,2.887453722439543,2.304510094878367,50.24956158100635,50.24956158100635,2.44212494566601,50.24956158100635,50.24956158100635,0.12965664028204368,0.019213295415962055,0.9700105508744254,0.17390222125899693,0.9454908038057795,0.16948340990905222,3.397662408263115e-05,0.0,0.0,0.00591193259037782,0.005674096221799402,0.005674096221799402,22,0,0,2000,2000,2000,0.011,0.0,0.0,1.0,1.0,1.0,2.7354347467661917,3.0352084176446783,50.24956158100635,50.24956158100635,0.05849256555301511,20.954863761821972,0.35095539331809067,20.954863761821972,0.16666666666666666,1.0,20.954863761821972,negative,6,7,6,46,53,28,39,1,1,1,1,1,1,1,64,62,48,3.757945634701917,42.86028479092317,0.0625,64,64,57,3.999081385365863,54.5480184028769,0.046875,64,64,57,3.999081385365863,54.5480184028769,0.046875,4001,Ġnos, nos,0.0778314620256424,0.00015895068645477295,30447,336,336,-0.08549206703901291,0.0032111480832099915,0.08549206703901291,4.8328312306501235,-4.6471204179507275,-0.005430044068658678,0.017228308236019355,923
L08_SV03,8,2,3,47.76953887939453,0.1853674203157425,441490,2000,-43.57464772281259,49.196037530578266,63.985053710824424,46.854425342862434,0.005316088699630796,620.0,-107.0,0.05756454764682846,0.05979957929890466,0.3698588869510068,0.8093252395297742,1.0,619.58,997.0798759421222,2350.072027529111,2238.2142930875557,1.0752680237580372,29432,-47.0,8.75,12.97275,12.831262237637846,181.81806768887358,178.81806768887358,0.005500003452413742,51.41546703667303,4.6250794935537956,3.0392794511572303,51.41546703667303,51.41546703667303,2.3896244050027944,3.121928658148812,3.62297893661714,3.1476797517873973,51.41546703667303,51.41546703667303,0.9622382125134922,0.17250614911339815,0.1451212547645067,0.02208200694370505,0.931451584156544,0.16696734277943773,0.010430823593367763,0.0057080728458820335,0.005674096221799402,0.0017328078282141887,0.0,0.0,2000,2000,2000,508,0,0,1.0,1.0,1.0,0.254,0.0,0.0,51.41546703667303,51.41546703667303,3.507351949278295,3.8542329112948295,21.354827878459442,0.07731984861990338,21.354827878459442,0.4639190917194203,1.0,0.16666666666666666,21.354827878459442,positive,7,14,15,49,275,41,35,1,1,1,1,7,7,7,64,64,51,3.860940536764552,47.51001527758992,0.046875,64,57,54,3.8950048978494483,49.156294122222334,0.078125,64,64,51,3.860940536764552,47.51001527758992,0.046875,25121,_arr,_arr,0.07688561081886292,0.001600608229637146,72846,Ġepit, epit,-0.07821772992610931,0.005375169217586517,0.07821772992610931,4.341268859680262,-4.569457650668945,0.0013199089171740193,0.017406363057471258,1444
L12_SV10,12,9,10,22.490596771240234,0.18493206799030304,441490,2000,86.7827347404174,96.86477510373253,120.76301153069477,83.97893726963368,0.9954698860676346,177.0,-1120.0,0.05562060560120897,0.05720668432304831,0.5077578201091757,0.9298715712700174,1.0,1112.78,1844.326332667501,2178.5465981949183,1888.7364154086092,0.9676917594361213,29432,93.0,16.0,23.7216,-13.190145920045687,188.60983563647883,185.60983563647883,0.005301950434479839,3.5410764872521248,51.13483070281937,2.0656279508970727,2.6558073654390935,3.248385437744486,2.3396398219344396,50.79758532308108,51.13483070281937,2.494456529070538,50.79758532308108,51.13483070281937,0.1330791261719979,0.020830402768130685,0.9694186180188404,0.1746256785516154,0.9438495506771324,0.16998030089365407,0.0002718129926610492,0.0,0.0,0.005945909214460451,0.005674096221799402,0.005674096221799402,59,0,0,2000,2000,2000,0.0295,0.0,0.0,1.0,1.0,1.0,2.9087414002428167,3.2038311075138273,51.13483070281937,51.13483070281937,0.0638843020382101,21.227415551421394,0.38330581222926063,21.227415551421394,0.16666666666666666,1.0,21.227415551421394,negative,8,10,8,57,78,31,36,1,1,1,1,2,3,3,64,62,52,3.8609405367645526,47.51001527758994,0.0625,64,64,52,3.852764784518232,47.123168699179985,0.0625,64,64,52,3.852764784518232,47.123168699179985,0.0625,4001,Ġnos, nos,0.07785303145647049,0.0017199888825416565,30447,336,336,-0.08800562471151352,0.007251225411891937,0.08800562471151352,4.875641579061647,-4.846252122757178,-0.005326993450469438,0.017060323971342564,659
L09_SV06,9,5,6,28.37360191345215,0.16256630420684814,441490,2000,-45.85660012604688,53.42740503262036,76.32870116849614,61.01838122196803,0.004593535527418514,836.0,-110.0,0.05412551773701787,0.056214139237920395,0.11763799859566468,0.6452286575007361,1.0,835.58,1112.0457973106695,1515.92792166434,1731.3112581953847,1.3306346535557445,29432,-49.0,9.5,14.0847,13.64343840106534,197.26764213240838,194.26764213240838,0.005069255095211145,62.83413917229334,4.330940666112874,2.391779732617663,62.83413917229334,62.83413917229334,2.3429679013397515,3.017458660816347,3.8004678835899806,2.739586217668806,62.83413917229334,62.83413917229334,0.9838329233569115,0.1766818553223084,0.1323741791190236,0.021374124847522907,0.9612276369049265,0.17255623344511312,0.006387605327534656,0.005674096221799402,0.005674096221799402,0.0011552052188094591,0.0,0.0,2000,2000,2000,465,0,0,1.0,1.0,1.0,0.2325,0.0,0.0,62.83413917229334,62.83413917229334,3.478952338352965,3.8339474749195936,26.411413533071663,0.07352486732394088,26.411413533071663,0.4411492039436453,1.0,0.16666666666666666,26.411413533071663,positive,9,34,30,92,168,14,16,2,2,2,2,5,3,3,64,64,51,3.860940536764552,47.51001527758992,0.046875,64,59,58,3.9816482954194408,53.60531884945117,0.078125,64,64,51,3.860940536764552,47.51001527758992,0.046875,187971,Ġbereiden, bereiden,0.08698785305023193,0.006008736789226532,95797,Speaker,Speaker,-0.07707265019416809,0.0036823302507400513,0.08698785305023193,4.813181250552382,-4.395876565526574,0.0012404341564765488,0.01781512360123871,756
L08_SV11,8,10,11,25.11107635498047,0.09744233638048172,441490,2000,40.08768475310968,45.99684712475792,62.77741247621449,48.311293176068766,0.9947790436929489,115.0,-652.0,0.05398467797385614,0.05637093089392496,0.2480645088223969,0.7350223108111169,1.0,651.388,997.0798759421222,1155.03034023816,1213.1485717521095,1.205140518181708,29432,42.75,8.5,12.6021,-13.267066479531401,190.13956433050748,187.13956433050748,0.005259294684517967,5.733171455551059,55.129700605454644,2.4797454392521883,3.3129399068409233,4.227743788733607,2.5228434149863843,55.129700605454644,55.129700605454644,2.995532490616643,55.129700605454644,55.129700605454644,0.15371097574814874,0.025707747647765528,0.9774253998947139,0.17548366368564058,0.9485134323024013,0.17018681069413352,0.00265017667844523,3.397662408263115e-05,0.0,0.007237020929600435,0.005674096221799402,0.005674096221799402,772,3,0,2000,2000,2000,0.386,0.0015,0.0,1.0,1.0,1.0,3.7493751041493084,4.305234841812078,55.129700605454644,55.129700605454644,0.3541231456200914,23.094256251189915,0.5311847184301371,23.094256251189915,0.6666666666666666,1.0,23.094256251189915,negative,10,17,21,135,253,26,28,2,2,2,2,4,4,5,64,57,56,3.961069031480722,52.51343446747585,0.046875,64,64,50,3.822928182879412,45.737941484908525,0.046875,64,64,50,3.822928182879412,45.737941484908525,0.046875,7059,ĠØ§ÙĦÙģ, الف,0.07984728366136551,0.003674902021884918,135169,Ġà²ħà²µà²°à²¨à³įà²¨à³ģ, ಅವರನ್ನು,-0.07912895828485489,0.0015539824962615967,0.07984728366136551,4.7694787949564965,-4.295432478592712,-0.0037976403741124916,0.017537539767223338,1379
