candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L21_SV59,21,58,59,2.9876413345336914,1.2278412580490112,448529,2000,6.2164177817824875,6.216832100009925,6.568711959392744,2.122292809158944,0.9995050487259464,15.6875,-2.1875,0.08385461499264919,0.08766640216919207,0.46808121659914964,0.7985414543987123,1.0,10.824609375,73.5572479934495,18.573664551845543,6.340649720626884,0.3414012512765928,29902,6.1875,1.5,2.2239,0.08609906424778646,2.7458692297169187,-0.2541307702830813,0.36418340290119844,4.271774810018436,3.7659067404109896,2.2201987499437923,2.950897072710104,3.45759982463248,2.030498223841,2.6431553942398405,3.113711062210645,2.3607176581680833,2.9794355847272738,3.45759982463248,0.13540666196616702,0.02105363109459874,0.12481357563585756,0.01920676154083418,0.07689103265107225,0.011302957502112337,0.0008360644772924888,0.0,0.0,0.0001337703163667982,0.0,0.0,174,0,0,38,0,0,0.087,0.0,0.0,0.019,0.0,0.0,3.147623544224111,3.5410764872521248,2.7134201178110526,3.111141322676379,0.07136188538924215,0.061051806407971115,0.4281713123354529,0.3663108384478267,0.16666666666666666,0.16666666666666666,0.07136188538924215,positive,1,1,4,8,326,1906,1892,1,1,1,1,1,64,64,64,48,46,3.675529996578,39.469570051812795,0.078125,64,39,48,3.516606744328839,33.669983540621686,0.21875,64,48,46,3.675529996578,39.469570051812795,0.078125
L22_SV20,22,19,20,2.7662124633789062,1.1367779970169067,448529,2000,-6.177242900259619,6.178495726621077,6.595983908697386,2.3127200165577713,0.0013822963509605845,2.6875,-16.625,0.06897913055257648,0.0726785991923067,0.3699181100887568,0.723259811517204,1.0,11.2385,88.5844749499893,17.091031883912535,6.3974749341079775,0.374393569088921,29902,-6.1875,1.625,2.4092249999999997,-0.006667058265087211,2.7034049584494233,-0.2965950415505767,0.3699038861619771,3.6837572248337125,4.332306032022746,2.1207221720677745,2.5916497760236665,3.136118720750485,2.1531820398675925,2.9314406084944333,3.787781859311629,2.329895376106421,2.999859264908835,3.787781859311629,0.11757292467244648,0.016825662631459674,0.13892126543209576,0.02301709576317022,0.07458392261104159,0.011596045387156452,0.0002006554745501973,0.0,0.0,0.0008026218982007892,0.0,0.0,42,0,0,163,0,0,0.021,0.0,0.0,0.0815,0.0,0.0,2.8018119156575247,3.1228273614959168,3.138976226794924,3.5802488352063424,0.056028778000175625,0.07412336239910432,0.3361726680010538,0.44474017439462593,0.16666666666666666,0.16666666666666666,0.07412336239910432,negative,2,5,7,13,213,1912,1867,1,1,1,1,3,63,60,64,49,52,3.882601386157051,48.550349144682684,0.046875,64,54,36,3.008471064217014,20.256405493836937,0.296875,64,54,36,3.008471064217014,20.256405493836937,0.296875
L20_SV23,20,22,23,3.116177797317505,1.1318777799606323,448529,2000,-4.358184249319089,4.361364839865448,4.6915405799666905,1.736888903315695,0.003339806344740251,2.8125,-12.75,0.06751072000686086,0.07189239688342638,0.1704349105631966,0.5302511097387237,1.0,8.7515,64.03228561893869,13.590788279989924,5.412454636919519,0.3985349870388484,29902,-4.28125,1.171875,1.737421875,-0.1863584761848153,3.0134660855313244,0.013466085531324445,0.3318437877238241,4.08291739736499,4.8743198884841945,2.1606187328566935,2.8578150995997986,3.3005971491523987,2.5001124151265794,3.219569225234948,3.796203066684753,2.6080309366428347,3.278915418858747,3.796203066684753,0.13776745861210912,0.02130761545903442,0.1477477977095237,0.02235139323480103,0.08589701154106937,0.012550836515401785,0.0006354090027422915,0.0,0.0,0.002541636010969166,0.0,0.0,132,0,0,505,0,0,0.066,0.0,0.0,0.2525,0.0,0.0,3.1163721390350285,3.642429965376141,3.6530419533252383,4.263141328297136,0.06952648944156384,0.08022298485458781,0.4171589366493831,0.48133790912752694,0.16666666666666666,0.16666666666666666,0.08022298485458781,negative,3,17,19,31,549,1730,1791,1,1,1,1,22,48,50,64,52,50,3.7906486436872013,44.28511622284264,0.0625,64,52,35,2.9680959000639264,19.454840345676345,0.3125,64,52,35,2.9680959000639264,19.454840345676345,0.3125
L17_SV56,17,55,56,4.734728813171387,1.1350704431533813,448529,2000,-2.693787086618319,2.69396695110529,2.8186787213327453,0.8297354193129206,0.00041691841553166014,1.1171875,-7.5625,0.06729535572015287,0.07056195596270727,0.4019227296339813,0.8014286701640251,1.0,4.9376875,40.412907100133594,12.755202945129689,3.9285721971297276,0.30801818875530795,29902,-2.671875,0.546875,0.810796875,-0.180354328879816,3.217601592553169,0.2176015925531689,0.31079049759125066,4.673257404944981,6.0318745061764085,2.2402247017787187,3.0812159141276867,3.6880191169952403,2.5630648860110616,3.6037077720606656,4.220385037867839,2.6882792777167426,3.6075234626427837,4.220385037867839,0.14681988122293652,0.023471961438189186,0.16103946328896418,0.02687695322558977,0.09492331785001568,0.01493041101538861,0.001270818005484583,0.0,0.0,0.003912781753728847,0.0,0.0,274,0,0,733,2,0,0.137,0.0,0.0,0.3665,0.001,0.0,3.334227635813532,3.7651760420882234,4.027673392303097,4.6058083289973215,0.07867659813875173,0.2953993861425182,0.4720595888325104,0.5907987722850364,0.16666666666666666,0.5,0.2953993861425182,negative,4,3,3,42,830,1319,1440,1,1,1,1,47,45,54,64,50,59,4.050578836397181,57.430690400099444,0.03125,64,54,55,3.939408182088225,51.388179854145214,0.046875,64,54,55,3.939408182088225,51.388179854145214,0.046875
L21_SV18,21,17,18,3.3638370037078857,1.382447600364685,448529,2000,4.896469713629599,4.8968423232506115,5.104726309255935,1.4431961183144157,0.999571934033251,11.9375,-2.15625,0.06702503974282142,0.06990190392277175,0.16011004862561842,0.5969959578979286,1.0,8.368875,73.5572479934495,16.4721794082733,4.8546765063936155,0.2947421719564411,29902,4.875,0.96875,1.43626875,0.031026861444201286,3.109607642443912,0.10960764244391186,0.3215839793904279,4.917255214248726,4.895497447813997,2.3933543078201764,3.220149432339874,3.9168287620266455,2.3172021252986252,3.1373325739872824,3.6798226361274695,2.610931972167465,3.350696030948247,4.091967902943097,0.14848718154258314,0.024139931338814816,0.14865647526071124,0.024067620730832774,0.0880068469854357,0.013645822478593108,0.00224065279914387,0.0,0.0,0.0014714734800347802,0.0,0.0,423,0,0,343,0,0,0.2115,0.0,0.0,0.1715,0.0,0.0,3.6117892281649935,4.090895245057723,3.4921215127739846,4.027933708437226,0.083385932659363,0.08111961630994033,0.500315595956178,0.486717697859642,0.16666666666666666,0.16666666666666666,0.083385932659363,positive,5,22,16,16,668,1565,1749,2,2,2,2,64,32,44,64,49,54,3.9124379877958706,50.020753424240965,0.0625,64,53,50,3.8392796873720543,46.491973620009325,0.046875,64,49,54,3.9124379877958706,50.020753424240965,0.0625
L25_SV03,25,2,3,2.4981393814086914,1.2518357038497925,448529,2000,8.283694331393567,8.28464393891877,8.792140787779699,2.9465484649293496,0.9991193434538235,20.375,-3.375,0.06504643335259888,0.06795081934487124,0.4262333093289397,0.7847229499095933,1.0,14.4286875,125.20817651065693,20.6961952847618,7.360888759469335,0.3557046345568494,29902,8.4375,2.0625,3.0578624999999997,-0.13514431539946073,2.6100910597039473,-0.3899089402960527,0.38312839557154227,3.903870759394839,3.8629925315477727,1.9621549366591862,2.5548892404416486,3.087924980276407,2.204843865608733,2.7461003048876904,2.9899286266142453,2.3019552056379253,2.7929649975064152,3.2502491017009834,0.12780911873833817,0.019555804090286524,0.11389678714963637,0.015977234954264705,0.06941019971470848,0.009761580140667967,0.0002006554745501973,0.0,0.0,0.00010032773727509866,0.0,0.0,40,0,0,88,0,0,0.02,0.0,0.0,0.044,0.0,0.0,2.8001586075240468,3.127184430300578,2.9688451696242066,3.249972407196203,0.05954683264646293,0.057851677546874036,0.3572809958787776,0.3471100652812442,0.16666666666666666,0.16666666666666666,0.05954683264646293,positive,6,2,6,1,33,1917,1920,1,1,1,1,2,64,64,64,52,44,3.579349494662075,35.8502125056794,0.125,64,54,38,3.028597140081714,20.66821762809202,0.296875,64,52,44,3.579349494662075,35.8502125056794,0.125
L23_SV42,23,41,42,3.1023786067962646,1.4449973106384277,448529,2000,6.294118532953912,6.2966389022951015,6.610029031286795,2.0190482132877228,0.9981762606208294,15.75,-4.0625,0.06475471083411541,0.06793370177578398,0.2147664922446486,0.604420227008733,1.0,10.888640625,97.85710634813503,19.53455782520144,6.263851982994053,0.3207833158394359,29902,6.3125,1.34375,1.9922437499999999,-0.09492660401000905,3.112664737030681,0.11266473703068103,0.32126813662365306,4.7371211479519015,5.207696096423945,2.2901314158972768,3.105794659915485,3.7024774202454473,2.4862043110939616,3.4412734228680573,4.083441173425805,2.6940023654233998,3.4973188992310256,4.083441173425805,0.14471020597015732,0.023423305582473387,0.16073654141385027,0.02609008539896983,0.09181607066247179,0.013998268507142092,0.0013377031636679821,0.0,0.0,0.003210487592803157,0.0,0.0,305,0,0,339,5,0,0.1525,0.0,0.0,0.1695,0.0025,0.0,3.4195112922301805,3.7959712510078147,3.6706806709771334,4.2587032836719905,0.07922195958805159,0.5558491306275061,0.47533175752830953,0.5558491306275061,0.16666666666666666,1.0,0.5558491306275061,negative,7,12,14,4,398,1558,1260,1,1,1,1,40,22,3,64,50,37,3.3519786077901363,28.559185203926567,0.09375,64,45,50,3.717490343263385,41.16096448466659,0.125,64,45,50,3.717490343263385,41.16096448466659,0.125
L20_SV41,20,40,41,3.328538417816162,1.209012746810913,448529,2000,4.040502691971958,4.047150008877435,4.32454851546374,1.541446677237652,0.993902289484069,11.0625,-3.34375,0.0637607657880078,0.0682012441847147,0.14702282349636256,0.4836164439757518,1.0,7.576015625,64.03228561893869,13.471094287213564,5.130764484200594,0.3814987378426844,29902,4.09375,1.0,1.4826,-0.09092328357306526,3.0864245093785265,0.08642450937852653,0.3239995007042492,4.7003574801025225,5.016525023607177,2.3607176581680833,3.1405975988128962,3.604727337110521,2.534609807095643,3.3698190678537707,4.101830188520372,2.7190408741400245,3.4143222843315404,4.322208451369334,0.14672584231380228,0.022665225638275954,0.15197123602377113,0.02428825917537452,0.08889036407210242,0.013584882063315996,0.0015049160591264798,0.0,0.0,0.003578355962811852,3.344257909169955e-05,0.0,294,0,0,464,2,0,0.147,0.0,0.0,0.232,0.001,0.0,3.3956394172399817,3.8150883582894917,3.6991602590044517,4.2577229191960075,0.07880269446683563,0.2625879435126832,0.4728161668010138,0.5251758870253664,0.16666666666666666,0.5,0.2625879435126832,negative,8,29,25,33,637,1607,1491,2,2,2,2,49,32,23,64,47,49,3.727027447609317,41.55539878880632,0.09375,64,40,29,2.580660516978322,13.20585797295341,0.40625,64,40,29,2.580660516978322,13.20585797295341,0.40625
L23_SV23,23,22,23,2.921509265899658,1.3607536554336548,448529,2000,6.045676953674104,6.0465115411142065,6.412565423659537,2.137939541831717,0.9992308189659977,16.5,-4.03125,0.06155078468866557,0.06465481728952259,0.15605679900296301,0.5253863183874399,1.0,11.078359375,97.85710634813503,17.664939493734376,6.246010181394631,0.3536311248870295,29902,5.875,1.4375,2.1312374999999997,0.35748924615548355,3.1107187929382554,0.11071879293825537,0.3214691094129539,4.985366483087878,4.64812110334958,2.6686373527117464,3.46043085296688,4.252224353222013,1.968486618689846,2.6548726092234847,3.035444306124985,2.7272887231010157,3.46043085296688,4.252224353222013,0.1503366281287285,0.02323461835785362,0.13309955018582018,0.020940922475724964,0.0936190075475718,0.014346893784973114,0.004113437228279045,0.0,0.0,0.0001337703163667982,0.0,0.0,477,0,0,78,0,0,0.2385,0.0,0.0,0.039,0.0,0.0,3.753687704913226,4.340494665657864,2.93362241127514,3.361493322541482,0.08791170373345226,0.06403100833265887,0.5274702224007136,0.38418604999595324,0.16666666666666666,0.16666666666666666,0.08791170373345226,positive,9,23,20,9,314,1562,1707,2,2,3,2,28,24,37,64,44,40,3.395928703954895,29.842355322950922,0.140625,64,46,50,3.801267333486914,44.75787171453349,0.0625,64,44,40,3.395928703954895,29.842355322950922,0.140625
L29_SV50,29,49,50,1.6487833261489868,0.9256106019020081,448529,2000,11.763550328317592,11.76657180512445,12.328298753260682,3.6886086567685634,0.9982587524998383,27.625,-6.09375,0.061253956548221924,0.06367615799156473,0.3691110273806153,0.8272753824167445,1.0,19.73928125,190.3816153139624,19.40052739822398,6.081716449968819,0.3135625345937369,29902,12.0625,2.375,3.521175,-0.4019050792645099,3.1514409334163047,0.1514409334163047,0.3173151650714756,4.419689450254531,5.156304358630287,2.07672154891478,2.6802132810780495,3.071059376486575,2.8177295221055383,3.489710909710533,4.047076348804033,2.844354157348035,3.4931377221381825,4.047076348804033,0.13363840460048323,0.020366570498049984,0.1451118436221137,0.020410346351372736,0.0913527639582309,0.012823400669234705,0.00023409805364189685,0.0,0.0,0.0065213029228814124,0.0,0.0,113,0,0,1000,1,0,0.0565,0.0,0.0,0.5,0.0005,0.0,3.070707931301341,3.4257030678679703,3.8807624585543175,4.184549546671211,0.06374954022964611,0.16618559781101094,0.3824972413778767,0.4985567934330329,0.16666666666666666,0.3333333333333333,0.16618559781101094,negative,10,6,2,5,2,1480,1633,1,1,1,2,2,27,43,64,58,46,3.6010103440545733,36.63522993819794,0.125,64,57,59,4.050578836397181,57.430690400099444,0.03125,64,57,59,4.050578836397181,57.430690400099444,0.03125
