candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L00_SV61,0,60,61,20.66657829284668,0.9594653248786926,448529,2000,0.01783686315039604,0.050839559166766454,0.07492398964836862,0.07276984634986453,0.6061837696113295,0.57421875,-0.3203125,0.0070485439520633466,0.009716877698283125,0.01900880433595152,0.06747612751906788,1.0,0.31481640625,6.686983074292511,1.05067972989379,1.5039037269478983,4.079744612727437,29902,0.0111083984375,0.0316162109375,0.046874194335937494,1.1539311452630199,6.273066994068288,3.273066994068288,0.15941165636292168,12.013227310677737,7.070434023084773,5.263111293058683,7.721486879722413,9.931508197797305,3.007864197665898,3.928671690711282,4.842054056137501,5.263111293058683,7.721486879722413,9.931508197797305,0.24560582489050806,0.04436369146571733,0.16992808668486142,0.027150576233657832,0.17188764847980617,0.031028766389022865,0.056384188348605445,0.012373754263928834,0.0007022941609256906,0.010735067888435557,6.68851581833991e-05,0.0,1992,1712,283,1682,35,0,0.996,0.856,0.1415,0.841,0.0175,0.0,9.013175747291491,10.18027914021439,4.633933812404067,5.237069178793178,1.6263528533369274,0.647344202789963,1.6263528533369274,0.647344202789963,1.0,1.0,1.6263528533369274,positive,1883,343,636,1873,1857,1,1,23,27,13,20,1,1,1,64,55,47,3.7444605375557405,42.286189253660346,0.0625,64,57,30,3.0093530103104094,20.27427843185388,0.1875,64,55,47,3.7444605375557405,42.286189253660346,0.0625
L00_SV38,0,37,38,20.2469539642334,0.9399838447570801,448529,2000,0.06576278898695344,0.07765748979017666,0.08907034318492911,0.06007313559103173,0.8865000925246751,0.357421875,-0.435546875,0.01189939622064641,0.013405832040402207,0.06341395985543856,0.2976329289744922,1.0,0.2371455078125,6.686983074292511,1.572327620759632,1.2162980107987704,0.9134821760986451,29902,0.0703125,0.02783203125,0.04126376953125,-0.7704199470696365,5.67544803543336,2.6754480354333596,0.17619754312905855,6.957904676705929,12.25916538276759,3.2186225715374364,4.543937748052851,5.963918294319368,4.638603117803953,7.125912041671656,9.042417185551399,4.697768973898391,7.125912041671656,9.042417185551399,0.19425488008380945,0.03402287049663563,0.24204901109550742,0.04826850231401631,0.15676961168113138,0.030871987449200333,0.014480636746705905,0.0004013109491003946,0.0,0.04237174770918333,0.006755400976523309,0.00033442579091699554,1832,174,0,1994,1376,111,0.916,0.087,0.0,0.997,0.688,0.0555,5.348593390937211,6.0585836640704684,8.188554483470243,9.32501224733221,0.8381424726084054,1.5655695621896262,0.8381424726084054,1.5655695621896262,1.0,1.0,1.5655695621896262,negative,1621,86,74,1710,1863,2,2,4,4,4,5,7,2,2,64,57,31,3.0841227111987224,21.848291170833072,0.15625,64,56,43,3.601010344054573,36.635229938197924,0.0625,64,56,43,3.601010344054573,36.635229938197924,0.0625
L01_SV40,1,39,40,14.705276489257812,1.0938568115234375,448529,2000,0.07150097155091573,0.09439903114005034,0.12692879160551945,0.10487387284596926,0.8136709109110002,1.078125,-0.45703125,0.01068363140775448,0.013728952676554329,0.015138374553261886,0.0801442047225486,1.0,0.46738427734375,8.550601200718418,1.3881638532324985,1.542199296699245,1.4667475220224384,29902,0.0576171875,0.05029296875,0.07456435546875,0.7180760568939835,5.482088310469034,2.4820883104690337,0.18241223843299278,13.686268808796932,6.902070490177974,4.518433243095638,6.9806519378839855,9.447019733111599,3.103967184387438,4.5236196186441475,5.278572541808653,4.649402322605656,6.9806519378839855,9.447019733111599,0.23290431568788744,0.04746620090698789,0.2215112292856601,0.038936847987633784,0.16190336376236966,0.03263732879747361,0.03956257106548057,0.0063206474483312155,0.0004013109491003946,0.01123670657481105,0.00033442579091699554,0.0,1976,1173,98,1610,131,0,0.988,0.5865,0.049,0.805,0.0655,0.0,7.9760169421601255,9.338095369064318,5.122200699636823,5.750066466807851,1.5208564387366017,0.892619714992339,1.5208564387366017,0.892619714992339,1.0,1.0,1.5208564387366017,positive,1692,431,529,1781,1846,3,3,21,19,27,26,54,1,1,64,57,47,3.7444605375557405,42.286189253660346,0.0625,64,60,32,3.1890307358040317,24.26489694547421,0.140625,64,57,47,3.7444605375557405,42.286189253660346,0.0625
L00_SV45,0,44,45,18.425819396972656,0.8554359674453735,448529,2000,-0.012975619358456572,0.04018702825825468,0.05774104353765511,0.056264210747879774,0.39005281709766815,0.279296875,-0.47265625,0.005631852689799038,0.007698047948830692,0.004398823710395537,0.02985091265001817,0.9895,0.224648193359375,6.686983074292511,0.7404789247876373,1.0367141857536406,4.336148370973496,29902,-0.00897216796875,0.02496337890625,0.037010705566406246,-0.4832170477538591,5.464321286851477,2.4643212868514768,0.18300534458071674,7.7888016063764285,12.528377260987027,3.7253658329037376,5.466838307249176,6.865293476041726,4.638715373804705,7.2036404690496925,8.676029060162268,4.92905973349531,7.25216752305553,8.676029060162268,0.22791043635999464,0.04097761584342596,0.2302480830202381,0.04316400743036568,0.1493328664982614,0.026411211784344225,0.02300849441508929,0.0019731121664102735,0.0,0.04354223797739282,0.007156711925623704,0.0002006554745501973,1883,496,0,1992,1346,105,0.9415,0.248,0.0,0.996,0.673,0.0525,6.126486971773964,6.865293476041726,8.095538235380454,9.362063671268047,1.1066481753888477,1.4966247002505964,1.1066481753888477,1.4966247002505964,1.0,1.0,1.4966247002505964,negative,1911,1124,1326,1914,1884,5,4,55,55,41,44,28,3,3,64,53,15,1.9701638423587646,7.17185144514762,0.4375,64,55,39,3.516809884037971,33.676823946040074,0.09375,64,55,39,3.516809884037971,33.676823946040074,0.09375
L01_SV38,1,37,38,14.78586483001709,1.099851369857788,448529,2000,-0.01589969905910178,0.06949085466023391,0.0971076678466016,0.0957971749293052,0.42246989603793733,0.78515625,-0.7734375,0.007702356060392656,0.010337861624174573,0.0022072151410499658,0.019287493116387125,0.9585,0.36598583984375,8.550601200718418,1.0274823839285818,1.4164440796022086,6.0250935924753275,29902,-0.01129150390625,0.04693603515625,0.06958736572265625,-0.32444329633552926,5.092757993416056,2.092757993416056,0.19635725893372613,11.4452924842784,10.952361656156363,3.375821865674742,4.933693786808645,6.113351285839087,3.9074854791524465,6.545805641058296,8.14563807966078,4.231855014483538,6.576651533163936,8.14563807966078,0.21369265696762854,0.037762540529786295,0.22974497147429823,0.04903180392916761,0.144542405278512,0.02850047665087863,0.016085880543107483,0.0008360644772924888,0.0,0.027255701959735135,0.0030767172764363587,0.00023409805364189685,1885,356,6,1958,792,46,0.9425,0.178,0.003,0.979,0.396,0.023,5.916047038582099,7.095151613067895,7.3036210067121035,8.763678611205107,0.958744296540604,1.449446005949759,0.958744296540604,1.449446005949759,1.0,1.0,1.449446005949759,negative,1874,1406,1534,1880,1856,51,5,64,64,64,64,64,20,2,64,59,39,3.312604901805385,27.45655402648111,0.1875,64,54,47,3.757945634701917,42.86028479092317,0.046875,64,54,47,3.757945634701917,42.86028479092317,0.046875
L01_SV27,1,26,27,14.526103973388672,1.080528974533081,448529,2000,0.01503359678874488,0.09395813014442343,0.12913396588961126,0.12825588529955545,0.6108635116124042,0.80859375,-0.96484375,0.010500607804312135,0.013904454338958677,0.01637798224863944,0.08528545534402458,0.9995,0.4823056640625,8.550601200718418,1.364845567623079,1.863058325060354,8.531284102753427,29902,0.021484375,0.06201171875,0.09193857421875,-0.44528033964980535,5.181987518914373,2.181987518914373,0.1929761498556253,8.56125278957694,10.728120741281277,3.377764748244996,4.930665536496288,5.757070734430151,4.185029279272102,6.521847658561094,8.518765182680777,4.418711117201002,6.521847658561094,8.518765182680777,0.20422420890402573,0.03592036417687418,0.23935699966967922,0.047978204085194494,0.14908108019721175,0.028547485699750085,0.01705571533676677,0.000902949635475888,0.0,0.031168483713463983,0.004280650123737542,0.00023409805364189685,1828,281,3,1944,956,62,0.914,0.1405,0.0015,0.972,0.478,0.031,5.757070734430151,6.608522376629266,7.713625031998477,8.731628093230556,0.9344926920219147,1.4285407841712674,0.9344926920219147,1.4285407841712674,1.0,1.0,1.4285407841712674,negative,1707,405,491,1790,1794,37,6,22,25,23,22,2,16,3,64,57,50,3.8123094930796997,45.254833995939066,0.0625,64,61,25,2.228201080080859,9.28315140383689,0.5,64,61,25,2.228201080080859,9.28315140383689,0.5
L01_SV01,1,0,1,13.443511962890625,1.0,448529,2000,-0.07202558132460193,0.10589878071287051,0.1271000625796886,0.1047222113145722,0.18582744928421574,0.953125,-0.7265625,0.012564580948460842,0.014725789400257934,0.05633526483237427,0.19628831134664648,1.0,0.39157568359375,8.550601200718418,1.4236515253690056,1.4078343005878113,1.4539585712076446,29902,-0.083984375,0.048828125,0.072392578125,0.7611248113534548,5.46969763517956,2.4696976351795596,0.182825462520685,14.326183731282882,8.876298394711993,4.600026979630379,6.785242142182429,9.147163091865743,3.075677863213274,4.483960609739557,5.667057871307288,4.640496425198975,6.785242142182429,9.147163091865743,0.21974969722194015,0.0434093772998363,0.2107155929908771,0.038407989599165346,0.1518813875937873,0.029601746185509432,0.04534813724834459,0.006420975185606314,0.0002675406327335964,0.011303591732994448,0.0004013109491003946,0.0,1995,1377,99,1713,204,3,0.9975,0.6885,0.0495,0.8565,0.102,0.0015,7.985970592202888,9.41643059490085,5.4498853365708895,6.286253878321867,1.4136995793221379,0.8787646463599635,1.4136995793221379,0.8787646463599635,1.0,1.0,1.4136995793221379,positive,1582,99,166,1771,1848,4,7,5,4,2,3,56,2,4,64,53,42,3.541337140776934,34.513037140186704,0.125,64,57,51,3.8311039351257334,46.11341636606312,0.0625,64,53,42,3.541337140776934,34.513037140186704,0.125
L00_SV11,0,10,11,20.382261276245117,0.9462656378746033,448529,2000,-0.06749106758037576,0.07497032880296707,0.08470306077308039,0.05118167935100706,0.09516664474314927,0.37109375,-0.349609375,0.01169784062858013,0.013165175259539948,0.048540897021151365,0.30424119733618116,1.0,0.214732421875,6.686983074292511,1.5280648296280797,1.0431983610892255,0.7583474552287375,29902,-0.07275390625,0.0244140625,0.0361962890625,0.6286947194120529,5.151952717094281,2.1519527170942814,0.1941011602614248,12.2622420072845,7.64872521246459,4.478618642924592,6.820369620936059,8.379312019425535,3.251045460677189,4.573047349251316,5.709931201942883,4.559557534061784,6.820369620936059,8.379312019425535,0.22710618322418094,0.04262120555604279,0.20830084975614305,0.037280596677735915,0.1502161037380449,0.027593098445272947,0.03993043943548927,0.0057521236037723225,0.00016721289545849777,0.015082603170356498,0.0005016386863754933,0.0,1981,1100,53,1843,197,0,0.9905,0.55,0.0265,0.9215,0.0985,0.0,7.432888169432079,8.593012275731823,5.385134223661134,6.245784432753272,1.4080587514226552,0.882972393520993,1.4080587514226552,0.882972393520993,1.0,1.0,1.4080587514226552,positive,1631,126,70,1732,1913,40,8,6,5,6,3,57,15,4,64,49,30,3.1581125487114328,23.526149535805544,0.140625,64,60,36,3.3857632022292012,29.54052951296686,0.09375,64,49,30,3.1581125487114328,23.526149535805544,0.140625
L01_SV03,1,2,3,12.454880714416504,0.926460325717926,448529,2000,0.013659085258686865,0.0825019221023495,0.11376966210196494,0.11294673702542805,0.609643969509218,1.015625,-0.72265625,0.009222842908397215,0.012182070818081096,0.009725123682080757,0.04825774922022879,0.999,0.431904296875,8.550601200718418,1.0275515984948453,1.4067381367342764,8.268982503446015,29902,0.0201416015625,0.0535888671875,0.0794508544921875,0.03788352138659396,5.2521971119297035,2.2521971119297035,0.19039651001075839,12.52954930189438,9.34914868203891,3.8026529150445856,6.017539218027022,7.9615279074781,3.99009681631143,5.538813639893225,6.227618967724971,4.4325873373348,6.129713637957313,7.9615279074781,0.2602221174837903,0.05454904321116081,0.19196401019313672,0.029738098768987788,0.13733503370135264,0.024324476745805176,0.022540298307805497,0.0028091766437027626,0.00010032773727509866,0.032372416560765165,0.002173767640960471,0.0,1924,812,63,1967,580,4,0.962,0.406,0.0315,0.9835,0.29,0.002,7.514656730296189,9.186287587495586,6.055052581087156,6.841702396239814,1.4054406095422278,0.9551538989038886,1.4054406095422278,0.9551538989038886,1.0,1.0,1.4054406095422278,positive,1826,651,928,1879,1823,26,9,53,53,42,51,31,13,5,64,59,50,3.8229281828794117,45.737941484908504,0.046875,64,56,35,3.191315031595744,24.32038850288902,0.171875,64,59,50,3.8229281828794117,45.737941484908504,0.046875
L00_SV19,0,18,19,22.662240982055664,1.052115797996521,448529,2000,0.020011779111061605,0.043204512023675735,0.061685922905103004,0.05834965108262765,0.6451779037698788,0.48828125,-0.353515625,0.006050632187537225,0.008221528488980796,0.005761054469164759,0.04230049784963737,0.9945,0.234486083984375,6.686983074292511,0.9791110629926609,1.322333854053373,2.9157652978219635,29902,0.01239013671875,0.02685546875,0.039815917968749996,0.7238580528111517,5.269741760098153,2.269741760098153,0.18976261940800954,11.952282844634121,9.189936597868611,4.643255705578652,6.904590216204866,8.421375225341322,3.242154446120452,4.456237813178324,5.241099787841998,4.692309578995132,6.904590216204866,8.421375225341322,0.2174135652931533,0.03962834834734783,0.2131461313147622,0.034428809438773106,0.1500606444067634,0.02717313341311186,0.0448130559828774,0.0070563841883486056,0.0002006554745501973,0.014112768376697211,0.00023409805364189685,0.0,1976,1247,116,1739,129,1,0.988,0.6235,0.058,0.8695,0.0645,0.0005,8.17758728523601,9.597696920643097,5.142992041009038,6.639625718945832,1.3744878161944996,0.8268550095573116,1.3744878161944996,0.8268550095573116,1.0,1.0,1.3744878161944996,positive,1899,964,1040,1886,1869,20,10,41,43,35,35,13,8,5,64,47,28,2.945981862597411,19.02933741147169,0.125,64,58,17,2.0982266225840607,8.15170104444385,0.453125,64,47,28,2.945981862597411,19.02933741147169,0.125
