candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L21_SV01,21,0,1,7.341608047485352,1.0,448529,2000,-13.498184203251071,13.498184203251071,13.601608239013858,1.6741475152186847,0.0,-4.28125,-22.75,0.1851091657469953,0.1872117358738351,0.9327602005667415,1.0,1.0,18.70871875,73.5572479934495,99.0983777730277,12.290934870407101,0.12402760919615677,29902,-13.4375,1.0,1.4826,-0.24944488027361036,3.870545143155804,0.870545143155804,0.2583615390117015,6.1758060164575745,6.2811951976257925,2.529340348037232,4.051117968433763,4.912179195332622,3.0773640901119657,4.173411574261433,5.017359705922107,3.2459867799811146,4.342034264130581,5.101671050856681,0.1912316372605286,0.036742462388994576,0.18005004886489484,0.029303834436481636,0.11493701451641881,0.0182891122351448,0.005049829442846632,0.00010032773727509866,0.0,0.010333756939335161,0.0002006554745501973,0.0,622,6,0,1522,42,0,0.311,0.003,0.0,0.761,0.021,0.0,3.899399703224066,4.510867732362067,4.679279643868879,5.185147713476326,0.776531395536926,0.7144197337029778,0.776531395536926,0.7144197337029778,1.0,1.0,0.776531395536926,positive,1,6,1,8,526,779,772,1,1,1,1,25,4,4,64,42,36,3.162700410589946,23.634332234291538,0.203125,64,56,37,3.4145182184142397,30.40229863096139,0.078125,64,42,36,3.162700410589946,23.634332234291538,0.203125
L23_SV01,23,0,1,7.014622211456299,1.0,448529,2000,-17.679301115423975,17.679301115423975,17.79537112652465,2.029173625128164,0.0,-8.375,-28.125,0.18162302107223594,0.18277378907921893,0.9556929429312263,1.0,1.0,24.001625,97.85710634813503,124.01361828727714,14.233886381725316,0.11477680095384171,29902,-17.625,1.25,1.8532499999999998,-0.11460524873904775,3.8761761560133885,0.8761761560133885,0.25798621108811803,4.991231620126805,5.6657223796034,2.7654121138540404,3.7434237150951035,4.384189936597869,2.8328611898017,4.046944556859572,4.587204910292792,3.1701065695399975,4.151456900040414,4.655321732092395,0.19014230035483629,0.030568249930636764,0.18484535757688397,0.029167593493341394,0.1127023192470078,0.016401328611705564,0.006487860343789713,0.0,0.0,0.007624908032907498,0.0,0.0,735,0,0,1447,15,0,0.3675,0.0,0.0,0.7235,0.0075,0.0,3.9794954809119116,4.451976257925266,4.519088088493188,4.923782544179145,0.10908198308895246,0.691158341623212,0.6544918985337148,0.691158341623212,0.16666666666666666,1.0,0.691158341623212,negative,2,1,3,3,304,773,1003,1,1,1,1,19,5,7,64,48,39,3.3044291495590645,27.23299118571979,0.1875,64,63,14,1.5461335402432401,4.693288644477715,0.625,64,63,14,1.5461335402432401,4.693288644477715,0.625
L20_SV01,20,0,1,7.496817588806152,1.0,448529,2000,-10.879132327564104,10.879132327564104,10.995321027241454,1.5942284313885822,0.0,-4.375,-18.375,0.17200126894251314,0.17515522388416166,0.95206775927532,0.9999843934282956,1.0,15.52590625,64.03228561893869,81.5588705842322,11.951639745008766,0.14654003493910914,29902,-10.8125,1.0625,1.5752625,-0.17977269282983754,3.234066485185827,0.23406648518582696,0.30920823816723136,4.086620483887606,4.800787170392236,2.1821759865419255,2.955856563588608,3.531353901333923,2.5789352568222754,3.451805651439046,4.246895358710203,2.717801001420398,3.451805651439046,4.246895358710203,0.14425275611611973,0.022808193905787352,0.15873404774742517,0.024890489159989575,0.09360783976494673,0.014256173989359662,0.0007691793191090897,0.0,0.0,0.0036786837000869505,0.0,0.0,151,0,0,997,0,0,0.0755,0.0,0.0,0.4985,0.0,0.0,3.134398235214766,3.5906713960371683,3.927916775775466,4.324676046055816,0.07440079110894986,0.09076361833193597,0.44640474665369917,0.5445817099916158,0.16666666666666666,0.16666666666666666,0.09076361833193597,negative,3,2,9,10,560,1542,1840,1,1,1,1,26,17,48,64,47,34,2.790929098846188,16.296153507766764,0.359375,64,58,45,3.6361562905932487,37.94570380042153,0.09375,64,58,45,3.6361562905932487,37.94570380042153,0.09375
L24_SV01,24,0,1,6.591250419616699,1.0,448529,2000,-19.24304378869594,19.24304378869594,19.415044859233774,2.5786106011552827,0.0,-7.34375,-31.5,0.17154629753566972,0.17258602650297963,0.9428955541336235,1.0,1.0,26.560125,112.54278747818913,126.83572044694462,16.996268206892825,0.134002220722998,29902,-19.25,1.625,2.4092249999999997,0.026822256577735095,3.603062429556524,0.6030624295565241,0.27754168004329666,4.9419419107804385,5.084622648362026,2.7498469424815037,3.5281055111083446,4.203623571895624,2.6460791333312583,3.63187332025859,4.099342112090036,3.0352084176446787,3.7641513349728224,4.254993825815404,0.17084785214852385,0.025247421177294893,0.17417391599743723,0.026668489162348954,0.10057533231392213,0.014143059647260427,0.005584910708313825,0.0,0.0,0.005417697812855327,0.0,0.0,718,0,0,1114,1,0,0.359,0.0,0.0,0.557,0.0005,0.0,3.813466986271519,4.254739594682938,3.8912928431342033,4.151231205055567,0.09343268441222703,0.19770089867170926,0.5605961064733622,0.5931026960151278,0.16666666666666666,0.3333333333333333,0.19770089867170926,negative,4,3,4,1,62,974,1731,1,1,1,1,6,4,50,64,47,32,3.1128473862720716,22.484976751632797,0.171875,64,59,31,3.0895421101661307,21.967017198719713,0.203125,64,59,31,3.0895421101661307,21.967017198719713,0.203125
L22_SV01,22,0,1,7.219682693481445,1.0,448529,2000,-14.935448989920385,14.935448989920385,15.050812678445913,1.8599262757309445,0.0,-6.75,-25.25,0.17004501686056983,0.17137408638579135,0.9385301730768802,1.0,1.0,21.7161875,88.5844749499893,107.82920259190314,13.428077544046099,0.12453099180252596,29902,-14.8125,1.125,1.6679249999999999,-0.48374357177299065,4.432926363487099,1.4329263634870992,0.2255846179257,4.833850442915599,6.257775379588411,2.473132784747516,3.5223406328222193,4.17920844762215,3.2600386708035436,4.908793860635221,5.583284620111816,3.409925506242787,4.908793860635221,5.583284620111816,0.1887542039015661,0.031348579838886864,0.21147387093682665,0.035776733530511334,0.13262035208035836,0.02180885467175507,0.0037790114373620494,0.0,0.0,0.013845227743963615,0.0008026218982007892,0.0,551,0,0,1819,332,0,0.2755,0.0,0.0,0.9095,0.166,0.0,3.7096991771212737,4.140623829009098,5.508341202392194,5.883058290990303,0.10394151387061973,0.9284855258528109,0.6236490832237184,0.9284855258528109,0.16666666666666666,1.0,0.9284855258528109,negative,5,5,2,6,405,394,449,1,1,1,1,17,4,4,64,44,41,3.3866416479738493,29.56649066647514,0.125,64,63,12,1.3885246183282842,4.008930984327734,0.609375,64,63,12,1.3885246183282842,4.008930984327734,0.609375
L25_SV01,25,0,1,6.352644920349121,1.0,448529,2000,-19.920759443648013,19.920759443648013,20.12095277489933,2.83126893071597,0.0,-6.5,-33.25,0.15952357496694908,0.16050244422623566,0.9392636819469867,1.0,1.0,28.1608125,125.20817651065693,126.54951128918734,17.986046190855095,0.14212655590390227,29902,-20.0,1.75,2.59455,0.043846100601499675,3.73736425051772,0.7373642505177198,0.26756824675611285,5.20321443024802,5.106858607465649,2.8184078163843442,3.8566177179086534,4.4348718949338455,2.697963037906381,3.757877088512459,4.2406101250699475,3.131564240427049,3.9529735406910245,4.4348718949338455,0.17615918660755953,0.02762791519122785,0.18273169729871916,0.028514843594230878,0.10681452012054887,0.015295855779796735,0.007223597083807104,0.0,0.0,0.0055514681292221256,0.0,0.0,850,4,0,1191,1,0,0.425,0.002,0.0,0.5955,0.0005,0.0,4.191478291033127,4.661453816654141,4.095122468250756,4.336012025206683,0.5341944888311635,0.21152261816270324,0.6410333865973962,0.6345678544881097,0.8333333333333334,0.3333333333333333,0.5341944888311635,positive,6,4,5,2,31,881,1458,1,1,1,1,4,4,25,64,42,20,2.5177718747383784,12.400935021630469,0.234375,64,59,21,2.4563058321845945,11.661651770702754,0.359375,64,42,20,2.5177718747383784,12.400935021630469,0.234375
L19_SV01,19,0,1,7.892488956451416,1.0,448529,2000,-8.626180978543193,8.626180978543193,8.76732363326887,1.5668329253288187,0.0,-2.453125,-15.4375,0.15897899512605657,0.16312073209917963,0.8470555972969418,0.9997012456273731,1.0,12.96121875,55.010794535268346,68.08203810950342,12.366211559762167,0.18163691780012328,29902,-8.625,1.0625,1.5752625,-0.08836057151388549,2.9793674403294412,-0.02063255967055877,0.3356417159104839,3.9179977940184574,4.324676046055816,2.1821759865419255,2.7574769284484333,3.13479102689238,2.3805556216821007,3.0947223081867308,3.691432380317713,2.4995834027662056,3.134398235214766,3.691432380317713,0.12803368571391105,0.018576147637787685,0.14776511837198533,0.022705977383716568,0.08125527688552044,0.011906947976127734,0.0002675406327335964,0.0,0.0,0.001571801217309879,0.0,0.0,150,0,0,561,0,0,0.075,0.0,0.0,0.2805,0.0,0.0,3.0947223081867308,3.4716436149530634,3.531157505495116,3.8092857539616407,0.0626380838843488,0.07772138579828652,0.3758285033060928,0.46632831478971914,0.16666666666666666,0.16666666666666666,0.07772138579828652,negative,7,8,11,11,576,1901,1905,1,1,1,1,18,63,63,64,57,45,3.341328240667245,28.25663340053758,0.265625,64,61,54,3.925923084942048,50.69985673948937,0.046875,64,61,54,3.925923084942048,50.69985673948937,0.046875
L27_SV01,27,0,1,4.733395576477051,1.0,448529,2000,-23.72670377779363,23.72670377779363,24.030944161171885,3.8117981476193794,0.0,-7.78125,-41.0,0.157140976899544,0.15888325477717838,0.8123332047649093,1.0,1.0,34.79975,151.41484344039418,112.30787470618971,18.042748490364986,0.1606543489275897,29902,-23.75,2.375,3.521175,-0.011614506985693905,3.6386157606150014,0.6386157606150014,0.27482978852127526,4.535062869638686,4.898932884619481,2.8044615788763694,3.516209077935603,3.870325601539341,2.697963037906381,3.691949420292942,4.4736416111099935,3.0529581744730097,3.762948447606268,4.4736416111099935,0.17025969749103084,0.02344605326825237,0.17879587759633833,0.028198009472291084,0.10162437333451911,0.014280586017276749,0.005819008761955722,0.0,0.0,0.0055514681292221256,0.0,0.0,790,0,0,1170,0,0,0.395,0.0,0.0,0.585,0.0,0.0,3.7451986907779364,4.064871811256186,4.046944556859571,4.4019396934262005,0.08973426586768851,0.10332697572530626,0.5384055952061311,0.6199618543518376,0.16666666666666666,0.16666666666666666,0.10332697572530626,negative,8,11,7,5,15,953,1831,1,1,1,1,3,9,63,64,47,42,3.522369277302713,33.86456804234783,0.109375,64,57,23,2.7268967820393457,15.285379480767341,0.203125,64,57,23,2.7268967820393457,15.285379480767341,0.203125
L28_SV01,28,0,1,3.903517007827759,1.0,448529,2000,-27.073256341841887,27.073256341841887,27.485447768620272,4.742217845109093,0.0,-7.21875,-49.25,0.15554178464141302,0.15765432742549593,0.8807122839325885,1.0,1.0,41.183,174.49854936828916,105.68091658766053,18.51132801320765,0.17516244759149238,29902,-27.0,2.875,4.262474999999999,-0.04668889837836956,3.689938043858401,0.6899380438584011,0.2710072603154999,4.640789682050922,5.219971964644955,2.8152657786849193,3.607059278940053,3.9885835107537564,2.8739171490741886,3.8767969313602046,4.692109631141532,3.1671740010205345,3.9882931864703024,4.692109631141532,0.17388235352565304,0.02499530494678089,0.18015773981226973,0.02908909017611624,0.10428075899377723,0.015265362844549182,0.006186877131964417,0.0,0.0,0.007725235770182596,0.0,0.0,919,0,0,1343,4,0,0.4595,0.0,0.0,0.6715,0.002,0.0,3.9003161308863987,4.193719611258718,4.398852779195186,4.692109631141532,0.09504543201461718,0.5510066952455104,0.5702725920877031,0.6612080342946124,0.16666666666666666,0.8333333333333334,0.5510066952455104,negative,9,7,8,7,10,916,1438,1,1,1,1,2,11,42,64,52,45,3.5931143584540823,36.347097731018174,0.09375,64,59,25,2.675151254399654,14.514545062367835,0.265625,64,59,25,2.675151254399654,14.514545062367835,0.265625
L18_SV01,18,0,1,8.695413589477539,1.0,448529,2000,-6.380677325908692,6.380677325908692,6.535849079014959,1.415725978533762,0.0,-1.0078125,-12.9375,0.137865800882357,0.14286594908892394,0.7793765843457168,0.997935473514533,1.0,10.3535,47.29010593637671,55.48262832977765,12.31032291271886,0.2218770682518289,29902,-6.375,0.9375,1.3899374999999998,-0.10791945736645611,3.020567043902314,0.02056704390231401,0.3310636663465962,3.861459598003508,4.721435316336167,2.259544044246594,2.857570034623822,3.250188295337151,2.473132784747516,3.192589594855884,3.7321822024371603,2.608030936642835,3.237555645487657,3.733462048653387,0.13397457868025917,0.0199136257120851,0.14938890816711048,0.022613503946666988,0.08342018528379642,0.012163954195503694,0.0006019664236505919,0.0,0.0,0.00224065279914387,0.0,0.0,213,0,0,761,0,0,0.1065,0.0,0.0,0.3805,0.0,0.0,3.1984913890013043,3.4625545213363913,3.6422501011736146,3.91249606547057,0.06720797385130149,0.08001580412781661,0.403247843107809,0.48009482476689974,0.16666666666666666,0.16666666666666666,0.08001580412781661,negative,10,12,12,12,635,1883,1900,1,1,1,1,8,62,63,64,56,36,2.7702988166109503,15.963403427279328,0.40625,64,60,54,3.91243798779587,50.02075342424094,0.0625,64,60,54,3.91243798779587,50.02075342424094,0.0625
