layer,n_svd,n_rotated,median_svd,median_rotated,rbc_vs_rotated,p_vs_rotated,q_vs_rotated,n_random,median_random,rbc_vs_random,p_vs_random,svd_yield_above_rot_q90,svd_yield_above_rot_q95,svd_yield_above_rot_q99,energy_ratio_svd_over_rotated
0,64,128,1.109929648435605,1.1126867914574308,-0.021240234375,0.595245670927086,0.595245670927086,64,0.7993830631805938,0.8662109375,0.0,0.140625,0.0625,0.0,0.9999490374141277
1,64,128,1.144388204510503,1.1417770134960215,-0.018310546875,0.5823856310111486,0.595245670927086,64,0.7730196695227549,0.9580078125,0.0,0.15625,0.109375,0.0625,0.9999661523162064
2,64,128,1.1085878397726776,1.0884327013641064,0.114013671875,0.0993622729363205,0.1192347275235846,64,0.9425543972187422,0.513671875,2.707287257708302e-07,0.265625,0.21875,0.046875,1.0001008245175875
3,64,128,1.031779113780623,1.0049967578101258,0.07763671875,0.190867703238349,0.21207522582038776,64,0.8166441224874691,0.81103515625,1.3322676295501878e-15,0.25,0.171875,0.0625,1.0001599988580154
4,64,128,0.995990189577707,0.9870517588022958,0.098876953125,0.1325568820253069,0.15295024849073874,64,0.7963786058518818,0.8466796875,0.0,0.203125,0.15625,0.046875,0.9997128600424208
5,64,128,1.0154558272459155,0.9718157847710994,0.18359375,0.019209297095645894,0.026194496039517127,64,0.7660581305453426,0.90673828125,0.0,0.21875,0.171875,0.140625,1.0002000524043038
6,64,128,0.8544824005312358,0.8433443794946518,0.03564453125,0.3442659269143158,0.3688563502653383,64,0.7666466483162919,0.08447265625,0.20552063328778436,0.15625,0.09375,0.046875,1.0001561291257082
7,64,128,0.8710243234857644,0.8336899614608053,0.164306640625,0.031961405202129534,0.03995175650266192,64,0.8181829779298152,0.09033203125,0.18963298645396898,0.265625,0.1875,0.109375,1.000319757742305
8,64,128,0.8590879340398032,0.8197243356367929,0.164794921875,0.03156833659844094,0.03995175650266192,64,0.7482650837259179,0.2958984375,0.001953596806730129,0.28125,0.1875,0.09375,0.9999566719127488
9,64,128,0.8466142679599196,0.8007964985799398,0.2177734375,0.007023554511528252,0.011089822912939345,64,0.6992268695533734,0.478515625,1.521573855134406e-06,0.25,0.171875,0.125,0.9998399037286734
