blind_id,condition,run,candidate,layer,sv_rank_1based,singular_value,tail_selectivity_score,layer_bar,excess_over_bar,selected_tail_polarity,stable_excess_kurtosis,doc_count_z5_selected,doc_count_z5_opposite,lexical_concentration
408c5a45,random,qwen_rand,L10_SV10,10,10,1.0,5.4431981626678585,1.0017789128510868,4.4414192498167715,positive,35.46633305928593,2000.0,9.0,0.5
f92a614e,random,qwen_rand,L12_SV06,12,6,1.0,4.683810288189607,0.8776491379341842,3.8061611502554227,positive,28.24533906228186,2000.0,5.0,0.359375
bd201907,random,qwen_rand,L11_SV30,11,30,1.0,4.692650816210831,0.959990752017322,3.732660064193509,negative,30.069145725873632,2000.0,5.0,0.171875
2add3011,random,qwen_rand,L10_SV54,10,54,1.0,4.39159839883857,1.0017789128510868,3.3898194859874833,negative,23.842638201241886,2000.0,7.0,0.1875
b686886a,random,qwen_rand,L06_SV31,6,31,1.0,4.526242787896544,1.1862510537324609,3.3399917341640837,negative,23.042817324846105,2000.0,57.0,0.234375
f236e9e7,random,qwen_rand,L10_SV50,10,50,1.0,4.330520065981504,1.0017789128510868,3.3287411531304167,negative,25.548111308713708,2000.0,14.0,0.65625
e4f17215,random,qwen_rand,L06_SV41,6,41,1.0,4.342794361338743,1.1862510537324609,3.1565433076062828,negative,23.316253257803307,2000.0,15.0,0.140625
b3139405,random,qwen_rand,L07_SV47,7,47,1.0,4.014349429270995,1.0759803933934666,2.9383690358775283,positive,19.259352485271624,2000.0,84.0,0.4375
298fed0b,random,qwen_rand,L06_SV43,6,43,1.0,4.1163510367490215,1.1862510537324609,2.930099983016561,negative,20.51847254387043,2000.0,67.0,0.234375
4b75e139,random,qwen_rand,L12_SV64,12,64,1.0,3.7548241207349564,0.8776491379341842,2.8771749828007724,negative,18.73140631440656,2000.0,18.0,0.515625
3a1176ba,random,qwen_rand,L11_SV53,11,53,1.0,3.8198702327095364,0.959990752017322,2.8598794806922143,negative,19.780512622193637,2000.0,7.0,0.640625
7bfd1d84,random,qwen_rand,L06_SV17,6,17,1.0,3.9618674107182463,1.1862510537324609,2.7756163569857852,negative,21.569432669294855,2000.0,11.0,0.46875
28d30843,random,qwen_rand,L11_SV45,11,45,1.0,3.591683047649061,0.959990752017322,2.631692295631739,positive,15.572516135836235,2000.0,0.0,0.65625
ae67ec62,random,qwen_rand,L11_SV26,11,26,1.0,3.523997427258957,0.959990752017322,2.564006675241635,positive,15.820452379814725,2000.0,7.0,0.640625
65c956c2,random,qwen_rand,L07_SV42,7,42,1.0,3.5017637148996084,1.0759803933934666,2.4257833215061417,positive,14.774727716235137,1999.0,19.0,0.421875
70d0d678,random,qwen_rand,L14_SV55,14,55,1.0,3.231669527490392,0.8174431750662977,2.414226352424094,positive,13.1439766589913,2000.0,3.0,0.53125
e529cf01,random,qwen_rand,L10_SV31,10,31,1.0,3.3374851827853567,1.0017789128510868,2.3357062699342697,positive,15.759652150984152,2000.0,22.0,0.5
37d9ddaa,random,qwen_rand,L12_SV17,12,17,1.0,3.1540341105580474,0.8776491379341842,2.2763849726238634,negative,13.98113470985409,2000.0,9.0,0.125
5e3c10da,random,qwen_rand,L07_SV28,7,28,1.0,3.330488899350249,1.0759803933934666,2.254508505956782,positive,12.756368671097887,1993.0,48.0,0.375
9dd13825,random,qwen_rand,L06_SV11,6,11,1.0,3.344827388838117,1.1862510537324609,2.158576335105656,negative,13.62986120118228,1999.0,10.0,0.125
70790f66,random,qwen_rand,L10_SV59,10,59,1.0,3.1163524587276656,1.0017789128510868,2.1145735458765786,negative,13.344526324173952,2000.0,0.0,0.515625
9a99688f,random,qwen_rand,L09_SV28,9,28,1.0,3.1124863024254883,1.0336355626426004,2.078850739782888,positive,10.86648768712877,1994.0,61.0,0.1875
a6b5a8f3,random,qwen_rand,L08_SV25,8,25,1.0,3.1079745032548525,1.0778445486702353,2.030129954584617,positive,13.720461575226867,2000.0,4.0,0.375
401783b1,random,qwen_rand,L17_SV12,17,12,1.0,2.6392545869990935,0.714530014670335,1.9247245723287585,positive,10.126626013400623,2000.0,1.0,0.53125
a786b474,random,qwen_rand,L06_SV30,6,30,1.0,3.0632346598135993,1.1862510537324609,1.8769836060811385,positive,10.930209856734185,1999.0,39.0,0.640625
81eb3298,random,qwen_rand,L06_SV58,6,58,1.0,3.0402784357267496,1.1862510537324609,1.8540273819942887,positive,13.021494766458162,1994.0,2.0,0.234375
03426159,random,qwen_rand,L09_SV17,9,17,1.0,2.845658251773826,1.0336355626426004,1.8120226891312257,negative,10.667855675460107,1995.0,14.0,0.265625
3cafcfc1,random,qwen_rand,L09_SV30,9,30,1.0,2.789138793341186,1.0336355626426004,1.7555032306985856,positive,8.313842764769653,1985.0,16.0,0.5625
07ede102,random,qwen_rand,L06_SV01,6,1,1.0,2.908031657961119,1.1862510537324609,1.7217806042286583,positive,10.695692280716385,1995.0,15.0,0.265625
d351edab,random,qwen_rand,L02_SV32,2,32,1.0,3.183612397878759,1.4843947522669807,1.6992176456117782,positive,13.538628422742377,1955.0,38.0,0.234375
aff1ff20,random,qwen_rand,L06_SV09,6,9,1.0,2.8706980990115363,1.1862510537324609,1.6844470452790754,negative,10.218846338817768,1989.0,45.0,0.234375
feede09e,random,qwen_rand,L10_SV38,10,38,1.0,2.6704927233087,1.0017789128510868,1.6687138104576131,positive,8.618179159112467,1998.0,9.0,0.234375
0b014d10,random,qwen_rand,L11_SV19,11,19,1.0,2.57645843637982,0.959990752017322,1.6164676843624979,positive,8.714495196394074,2000.0,10.0,0.046875
583feca1,random,qwen_rand,L06_SV07,6,7,1.0,2.7715008354065334,1.1862510537324609,1.5852497816740725,positive,10.056641804736696,2000.0,13.0,0.234375
ab034d8d,random,qwen_rand,L11_SV42,11,42,1.0,2.4960053618329914,0.959990752017322,1.5360146098156693,positive,6.019800904155362,1887.0,36.0,0.5625
b7aabff9,random,qwen_rand,L10_SV53,10,53,1.0,2.524710020680796,1.0017789128510868,1.5229311078297092,negative,7.15916469099246,1986.0,7.0,0.65625
6c48becc,random,qwen_rand,L13_SV58,13,58,1.0,2.3861171439940576,0.8953038105936345,1.490813333400423,negative,7.336914560422612,2000.0,28.0,0.234375
bfd64b88,random,qwen_rand,L09_SV33,9,33,1.0,2.514285380716968,1.0336355626426004,1.4806498180743675,positive,8.089835257172616,1983.0,5.0,0.03125
4363cd88,random,qwen_rand,L07_SV59,7,59,1.0,2.5344613749623526,1.0759803933934666,1.458480981568886,positive,8.22851038862893,1989.0,31.0,0.3125
859f922e,random,qwen_rand,L06_SV52,6,52,1.0,2.6436309473457817,1.1862510537324609,1.4573798936133209,negative,9.085129470696765,2000.0,22.0,0.046875
be063372,random,qwen_rand,L14_SV36,14,36,1.0,2.2017659174495154,0.8174431750662977,1.3843227423832176,negative,6.468210996892937,2000.0,14.0,0.1875
b540d27e,random,qwen_rand,L06_SV45,6,45,1.0,2.550326381847004,1.1862510537324609,1.364075328114543,negative,8.987312880035615,1998.0,23.0,0.3125
5a10328a,random,qwen_rand,L11_SV29,11,29,1.0,2.3183585844437484,0.959990752017322,1.3583678324264263,positive,6.766041327158607,1990.0,10.0,0.609375
740e7760,random,qwen_rand,L08_SV42,8,42,1.0,2.423657279202865,1.0778445486702353,1.3458127305326295,negative,7.757120760366439,2000.0,6.0,0.078125
483c8fda,random,qwen_rand,L06_SV05,6,5,1.0,2.5149373027987543,1.1862510537324609,1.3286862490662934,negative,8.426079580868405,1980.0,3.0,0.546875
9be06422,random,qwen_rand,L26_SV46,26,46,1.0,2.0676050805290584,0.7730389029064947,1.2945661776225639,negative,6.21470189648981,1914.0,0.0,0.953125
ae11d8b9,random,qwen_rand,L17_SV30,17,30,1.0,1.9974667839378422,0.714530014670335,1.2829367692675073,negative,5.160938605764661,1989.0,3.0,0.4375
5ef40f4a,random,qwen_rand,L11_SV27,11,27,1.0,2.2425787975586187,0.959990752017322,1.2825880455412966,negative,6.294543534879235,1984.0,5.0,0.65625
d2da5271,random,qwen_rand,L11_SV34,11,34,1.0,2.219979747594163,0.959990752017322,1.2599889955768409,positive,5.489547024063901,1982.0,50.0,0.265625
0486c4cf,random,qwen_rand,L11_SV06,11,6,1.0,2.2195078712121212,0.959990752017322,1.2595171191947991,positive,6.5078181275144225,2000.0,29.0,0.0625
40784a18,random,qwen_rand,L08_SV28,8,28,1.0,2.3320998324233804,1.0778445486702353,1.254255283753145,negative,6.697140503337023,1984.0,4.0,0.640625
56089565,random,qwen_rand,L06_SV57,6,57,1.0,2.411230202829132,1.1862510537324609,1.224979149096671,positive,7.597114104646691,1972.0,18.0,0.46875
2aa2faa0,random,qwen_rand,L08_SV02,8,2,1.0,2.2935223344443245,1.0778445486702353,1.2156777857740892,negative,6.561343307370665,1969.0,16.0,0.359375
