blind_id,condition,run,candidate
06af9c42,svd,qwen_j_scan,L22_SV05
39869905,svd,qwen_j_scan,L27_SV03
40f2cf8e,svd,qwen_j_scan,L23_SV05
259e6bac,svd,qwen_j_scan,L28_SV03
29674d8c,svd,qwen_j_scan,L28_SV04
796d1176,svd,qwen_j_scan,L25_SV05
ab48fca0,svd,qwen_j_scan,L24_SV03
dcd19486,svd,qwen_j_scan,L27_SV04
b24a912d,svd,qwen_j_scan,L02_SV03
bb73903f,svd,qwen_j_scan,L26_SV03
ac05062e,svd,qwen_j_scan,L21_SV05
710d9143,svd,qwen_j_scan,L28_SV06
a70e562f,svd,qwen_j_scan,L26_SV04
6a3f4e24,svd,qwen_j_scan,L08_SV05
083d65a8,svd,qwen_j_scan,L01_SV05
2b3a6b23,svd,qwen_j_scan,L14_SV06
5cfc2cc5,svd,qwen_j_scan,L09_SV05
ba55233f,svd,qwen_j_scan,L16_SV06
18ab0dd9,svd,qwen_j_scan,L10_SV05
bb63dcfb,svd,qwen_j_scan,L11_SV05
be4fa621,svd,qwen_j_scan,L07_SV05
74fa754f,svd,qwen_j_scan,L20_SV04
987d681c,svd,qwen_j_scan,L13_SV06
5b552e88,svd,qwen_j_scan,L24_SV06
f6d342b7,svd,qwen_j_scan,L06_SV05
fdc1c300,svd,qwen_j_scan,L27_SV08
51ca2f62,svd,qwen_j_scan,L26_SV06
0efed0a1,svd,qwen_j_scan,L18_SV03
4455cd81,svd,qwen_j_scan,L22_SV04
6a030ac5,svd,qwen_j_scan,L17_SV05
1ac0ed62,svd,qwen_j_scan,L25_SV09
329f285e,svd,qwen_j_scan,L23_SV10
ab9e33cb,svd,qwen_j_scan,L16_SV02
264540bf,svd,qwen_j_scan,L23_SV04
fd64cd38,svd,qwen_j_scan,L25_SV06
8e03178d,svd,qwen_j_scan,L22_SV07
78a2d073,svd,qwen_j_scan,L18_SV04
a969a4fd,svd,qwen_j_scan,L21_SV03
1eafc9ef,svd,qwen_j_scan,L26_SV09
e0821734,svd,qwen_j_scan,L12_SV07
3b117843,svd,qwen_j_scan,L21_SV04
aeee04fa,svd,qwen_j_scan,L05_SV01
bfd5435c,svd,qwen_j_scan,L20_SV07
58c370a4,svd,qwen_j_scan,L05_SV12
99841c0e,svd,qwen_j_scan,L29_SV04
247fb660,svd,qwen_j_scan,L03_SV04
cfa1efa1,svd,qwen_j_scan,L27_SV07
568c0d24,svd,qwen_j_scan,L19_SV04
0245c731,svd,qwen_j_scan,L08_SV13
