candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L06_SV09,6,8,9,4.709419250488281,1.111393928527832,448529,2000,-0.18180177477587647,0.33075484193509513,0.41980574664953363,0.37839791173883863,0.2686515253194331,2.984375,-2.53125,0.0154106021898849,0.018986142839571434,0.006380858316853537,0.04453446711360915,0.9955,1.68889453125,21.31429109713929,1.5576632198013456,1.7820344098874523,2.0813763353148924,29902,-0.203125,0.216796875,0.321423046875,0.7564347907605514,6.105334031114573,3.105334031114573,0.16379120207079687,9.916837112304535,7.243180047712626,3.4514482106550095,6.346265326435257,7.584426190658575,2.5278212247050775,3.6458959971707845,4.472539718998664,3.5972840505418406,6.346265326435257,7.584426190658575,0.28375856760431956,0.056573825591752565,0.1731161910183097,0.0301694468908128,0.17665328211686523,0.03468276546430363,0.015350143803090095,0.0038458965955454486,0.0,0.0033442579091699553,3.344257909169955e-05,0.0,2000,1647,22,890,24,0,1.0,0.8235,0.011,0.445,0.012,0.0,7.194568101083681,8.021457313242015,4.32767854864172,5.079948422724627,1.5094752581320234,0.6332685932727186,1.5094752581320234,0.6332685932727186,1.0,1.0,1.5094752581320234,positive,1149,680,837,1498,1499,1,1,32,31,35,35,32,1,1,64,64,54,3.8960864833032285,49.209489617457805,0.0625,64,60,39,3.2662136559647927,26.211903927627123,0.21875,64,64,54,3.8960864833032285,49.209489617457805,0.0625
L00_SV34,0,33,34,11.844088554382324,1.1797349452972412,448529,2000,-0.022376640050575883,0.042144259284186664,0.05556811320453169,0.050863554586350064,0.2813954058711923,0.310546875,-0.4140625,0.0061516391895415825,0.007735738483735085,0.002693248374129655,0.019144804460804094,0.9525,0.206765380859375,6.686983074292511,0.4991603390207563,0.6024324447113893,2.273064877886704,29902,-0.0224609375,0.025146484375,0.037282177734375,-0.2882414948624057,5.007271012269594,2.0072710122695936,0.19970958183602297,8.93209122258326,10.503720176703483,3.3788712822789404,5.005612025056961,6.340200042172165,4.033847648908569,6.260322000578884,7.93672621830712,4.295785807928606,6.422671271539415,7.93672621830712,0.1870642809911607,0.03660854833902298,0.26214103828930696,0.052396076502104386,0.14845996060855396,0.02817945681133631,0.018192763025884556,0.0011036051100260852,0.0,0.025148819476958063,0.0036786837000869505,6.68851581833991e-05,1881,286,1,1942,852,22,0.9405,0.143,0.0005,0.971,0.426,0.011,5.554398662019883,6.155808675129888,7.203299373051017,8.093889113719143,0.9577417931578336,1.4329995551237693,0.9577417931578336,1.4329995551237693,1.0,1.0,1.4329995551237693,negative,1909,1110,1361,1883,1918,30,2,55,53,56,62,62,11,1,64,56,30,3.057984053995262,21.284605267272113,0.1875,64,58,43,3.5522058789415327,34.89019621293976,0.109375,64,58,43,3.5522058789415327,34.89019621293976,0.109375
L01_SV51,1,50,51,9.761091232299805,0.8574089407920837,448529,2000,0.03199947580148214,0.08981116106037029,0.11777173265921716,0.11334114240638515,0.6853715144394231,0.62109375,-0.8671875,0.010272301343513935,0.012938252821320296,0.010815354191144832,0.06812268548967848,1.0,0.417265625,8.550601200718418,0.876654936789046,1.1063332314018097,3.541968721799921,29902,0.041015625,0.05615234375,0.08325146484375,-0.6137411879679104,5.2242322218193324,2.2242322218193324,0.19141568704075548,6.967782802245175,10.90915489240406,3.0733318083977035,4.293280312494502,5.234953870697493,4.199438119871671,6.507862216200526,8.283896093232435,4.316506255168604,6.507862216200526,8.283896093232435,0.18932975182758421,0.03425870688131228,0.24069595286793188,0.047402826156693306,0.15374816747554457,0.029680694841826404,0.012005885893920138,0.0002675406327335964,0.0,0.03304126814259916,0.00444786301919604,0.00030098321182529597,1733,119,0,1966,983,47,0.8665,0.0595,0.0,0.983,0.4915,0.0235,5.0674784016328545,5.889066798045736,7.390072669047912,8.563100076833296,0.7946478780192785,1.4169041328828473,0.7946478780192785,1.4169041328828473,1.0,1.0,1.4169041328828473,negative,1747,480,570,1809,1811,9,3,31,29,33,30,19,6,1,64,56,28,2.8270085168307064,16.894844510361448,0.296875,64,57,51,3.860940536764552,47.51001527758992,0.046875,64,57,51,3.860940536764552,47.51001527758992,0.046875
L01_SV56,1,55,56,8.939565658569336,0.7852465510368347,448529,2000,0.027789767788781942,0.08934046870571188,0.1274660564191025,0.12439985669317871,0.5791085972144498,0.9140625,-0.5859375,0.009812047812515937,0.013396038128633542,0.014340209886094323,0.0630839923394028,0.9995,0.50491845703125,8.550601200718418,0.7986649859620704,1.1120806868252873,4.476462618695197,29902,0.01385498046875,0.05926513671875,0.08786649169921874,0.7523214642903383,5.320658689765543,2.3206586897655432,0.18794665441020147,10.245174265211434,6.826179910789394,4.488037895961155,6.6930433537096885,8.698434000559073,3.0473645332892105,4.358835752539274,5.3604307738389965,4.576728915703614,6.6930433537096885,8.698434000559073,0.22894139683948567,0.04274997631634251,0.20015393563202885,0.03554241057210958,0.1539599507185797,0.028389564089159925,0.03949568590729717,0.006086549394689319,0.00023409805364189685,0.010701625309343857,0.00036786837000869505,0.0,1982,1295,85,1604,158,0,0.991,0.6475,0.0425,0.802,0.079,0.0,7.844515084211318,9.000832589726373,5.270197108289318,6.026404750304354,1.3838581549793993,0.821758006460639,1.3838581549793993,0.821758006460639,1.0,1.0,1.3838581549793993,positive,1774,376,610,1837,1795,7,4,33,36,23,33,5,4,2,64,56,51,3.8094430857332346,45.12530094324706,0.09375,64,62,36,3.346216074816262,28.395085227347472,0.109375,64,56,51,3.8094430857332346,45.12530094324706,0.09375
L01_SV45,1,44,45,9.96503734588623,0.8753234148025513,448529,2000,-0.04437229213183596,0.09420983197161333,0.12276342664523265,0.11446378734187694,0.28290924332651846,0.7421875,-0.7578125,0.010800185301736077,0.013520831351225258,0.014806177526982647,0.07620688963255441,0.999,0.42649951171875,8.550601200718418,0.9388044939467934,1.1406359156133834,2.579623044922048,29902,-0.0498046875,0.0556640625,0.0825275390625,0.31783274557564156,5.044118588276732,2.0441185882767323,0.19825069186996236,9.596701858517871,8.579049133693536,4.034874722216258,6.378079286980435,8.224991184287529,3.4671191671340766,4.723778284237466,5.550694488818924,4.3427738373317615,6.378079286980435,8.224991184287529,0.23552234342100337,0.04635040258786172,0.20209885804362746,0.032604774625226554,0.1437371360928166,0.026912786120377605,0.02896127349341181,0.004113437228279045,0.00016721289545849777,0.01859407397498495,0.0006019664236505919,0.0,1937,903,26,1857,275,2,0.9685,0.4515,0.013,0.9285,0.1375,0.001,7.230067614740345,8.176721312251356,5.597089986533851,6.591076368920413,1.373145851177274,0.852962830994898,1.373145851177274,0.852962830994898,1.0,1.0,1.373145851177274,positive,1713,366,494,1781,1808,27,5,20,20,22,27,16,11,3,64,56,34,3.2108127100806816,24.799232623234243,0.171875,64,55,35,3.2672952414185725,26.240269678857825,0.109375,64,56,34,3.2108127100806816,24.799232623234243,0.171875
L01_SV32,1,31,32,9.72803783416748,0.8545055389404297,448529,2000,-0.04200391562790447,0.0907843798074257,0.12174802391403959,0.11427271064824462,0.32470810137137174,0.83203125,-0.75,0.01015634850962255,0.013183271133445643,0.012362634300123292,0.07451469135774945,0.999,0.4161181640625,8.550601200718418,0.8831538815180674,1.1116492525989967,2.720525192408712,29902,-0.032958984375,0.063232421875,0.09374838867187499,0.1889677980127989,4.746782398730494,1.7467823987304936,0.21066902082291483,9.226721084268638,7.648568959778997,3.2266179574961447,5.449426995359575,7.143351943028188,3.0651568490500103,4.148508802495043,4.92038665247902,3.6224580943318303,5.582887622547645,7.143351943028188,0.27670678512543506,0.06083613957898812,0.15332988422274155,0.024551558130603664,0.13416837155633124,0.027235256805867983,0.013109491003946224,0.0017055715336766772,3.344257909169955e-05,0.011270149153902748,0.00010032773727509866,0.0,1619,441,19,1693,48,0,0.8095,0.2205,0.0095,0.8465,0.024,0.0,6.476673817831244,7.852530798706437,4.7110184706299645,5.440197670064122,1.3441002523864758,0.6500272235486754,1.3441002523864758,0.6500272235486754,1.0,1.0,1.3441002523864758,positive,1755,430,506,1805,1809,84,6,28,31,29,28,17,27,4,64,59,48,3.743378952101959,42.24047785131786,0.078125,64,54,36,3.3366789704703304,28.125565597911162,0.109375,64,59,48,3.743378952101959,42.24047785131786,0.078125
L00_SV25,0,24,25,11.457979202270508,1.1412763595581055,448529,2000,0.038633012953186205,0.04957068376583726,0.0662394526618827,0.05380664827978738,0.8270970215972657,0.41015625,-0.51953125,0.007169607650857624,0.009161946537441774,0.010193320833212569,0.05486601758191778,0.995,0.236787841796875,6.686983074292511,0.5679798636312916,0.616515456933688,1.3927634467338894,29902,0.0291748046875,0.025634765625,0.038006103515625,0.6858427740500517,5.131282556988452,2.1312825569884524,0.19488305095147587,10.024217430125969,14.437314113558548,4.525511810012012,6.745447187373362,8.533914037758635,3.093021911314101,4.316072793612209,5.90839259216451,4.57690158216261,6.832263783700438,8.533914037758635,0.2123976926225571,0.03938308597309377,0.22623475126752524,0.04099322154143784,0.1528531494693446,0.027951764618372423,0.04230486255099993,0.006487860343789713,0.0002006554745501973,0.011838672998461641,0.0002675406327335964,0.0,1976,1273,56,1685,105,1,0.988,0.6365,0.028,0.8425,0.0525,0.0005,7.50611859474668,8.842252670662221,5.007290923923866,6.009648429721275,1.3386456101358444,0.8738658857861605,1.3386456101358444,0.8738658857861605,1.0,1.0,1.3386456101358444,positive,1877,502,693,1871,1906,13,7,21,21,15,22,50,4,2,64,54,48,3.7877822363407363,44.15835879636132,0.046875,64,54,33,3.1782386245761316,24.004435471288588,0.140625,64,54,48,3.7877822363407363,44.15835879636132,0.046875
L01_SV48,1,47,48,10.474853515625,0.9201053977012634,448529,2000,-0.06858048002585965,0.10206282136565346,0.13085252511769319,0.11144102067506019,0.2055229427751606,0.78515625,-0.99609375,0.011691834272157975,0.01444735088990081,0.017336671653337913,0.09952087824867512,1.0,0.4400546875,8.550601200718418,1.0690931031966215,1.1673283672029926,1.6249670552235,29902,-0.06494140625,0.056640625,0.083975390625,0.23036213932604563,5.353491126565025,2.353491126565025,0.18679399598475335,10.123175967661657,11.088395502774716,3.7736595077612956,5.820390088241998,6.966954604446703,3.5061890341757493,4.924945459281691,6.3916000316314205,4.180679793652344,6.006456504649335,7.554169748391786,0.2608711804634317,0.051922268467769116,0.1977524627659042,0.035218015375262354,0.14378287876075632,0.026802315043794298,0.022005217042338304,0.002608521169152565,6.68851581833991e-05,0.019931777138652934,0.0008695070563841884,0.0,1896,846,24,1858,329,6,0.948,0.423,0.012,0.929,0.1645,0.003,6.960046888736935,8.076910553221973,5.925052447471125,6.995864673895347,1.3262607639562538,0.9242380939212466,1.3262607639562538,0.9242380939212466,1.0,1.0,1.3262607639562538,positive,1649,328,394,1718,1814,5,8,13,13,18,15,22,3,5,64,60,36,3.193618597682546,24.376476701696163,0.203125,64,54,43,3.641465635493105,38.14770640559338,0.0625,64,60,36,3.193618597682546,24.376476701696163,0.203125
L00_SV14,0,13,14,11.575030326843262,1.152935266494751,448529,2000,-0.023154056806660373,0.043003266334327446,0.06299945540446727,0.058590281059689456,0.3736748348490287,0.265625,-0.466796875,0.005959168719266872,0.008312796924388287,0.005003020986379922,0.0377010182173282,0.9925,0.241802734375,6.686983074292511,0.49776411197315806,0.6781842801241758,2.530454232983709,29902,-0.00909423828125,0.02630615234375,0.03900150146484375,-1.0102860467312849,4.965923335393631,1.9659233353936312,0.2013724200840353,7.0438118524458355,11.735513237389762,2.661969331484196,3.615934006947683,4.615267027918307,4.974956205048947,7.233432957652853,8.281108969224848,4.974956205048947,7.233432957652853,8.281108969224848,0.2075302919091935,0.03371701484858094,0.19089237935380446,0.0336001860113965,0.1526263821867347,0.026864743627171755,0.004882616547388134,0.0,0.0,0.061701558424185676,0.00973179051568457,0.0002675406327335964,1160,21,0,1998,1532,130,0.58,0.0105,0.0,0.999,0.766,0.065,4.389667239749071,5.015644742743591,8.280117420860012,9.532573208851447,0.6639647975677241,1.3259138326629967,0.6639647975677241,1.3259138326629967,1.0,1.0,1.3259138326629967,negative,1913,789,948,1884,1876,40,9,52,57,33,38,20,15,3,64,56,32,3.233684068407695,25.372960719734248,0.109375,64,61,45,3.675529996578,39.469570051812795,0.078125,64,61,45,3.675529996578,39.469570051812795,0.078125
L00_SV57,0,56,57,10.200823783874512,1.0160568952560425,448529,2000,-0.003583176218822743,0.048207525432715406,0.0647904854290873,0.06469132747379387,0.38998370228012014,0.5859375,-0.27734375,0.006994939638781099,0.008848733567016607,0.00455265991719599,0.03350507993908978,0.989,0.25273974609375,6.686983074292511,0.4917564719957787,0.6599048319050912,18.054185310761554,29902,-0.0162353515625,0.0311279296875,0.0461502685546875,1.2326281353539992,5.717959662202038,2.7179596622020377,0.17488755763885383,13.048089868619781,5.657787194197793,4.858978530033355,6.742262532964083,8.482869786253065,2.3567500654652798,3.438030169574877,3.861449546768876,4.858978530033355,6.742262532964083,8.482869786253065,0.20759729228774035,0.03750183430110747,0.18825344056292828,0.03272051376214522,0.16366450879797054,0.029563809758640595,0.0521035382248679,0.008427529931108287,0.00033442579091699554,0.0023409805364189686,0.0,0.0,1996,1502,88,794,2,0,0.998,0.751,0.044,0.397,0.001,0.0,7.842608242541587,9.027595929778899,3.753342696852112,4.536280990205336,1.3056654572395445,0.3109494155155252,1.3056654572395445,0.6218988310310504,1.0,0.5,1.3056654572395445,positive,1881,843,1031,1886,1861,3,10,22,25,39,48,5,1,4,64,55,48,3.7497698824555954,42.51129827883363,0.0625,64,53,15,2.308794538382492,10.06228763959634,0.28125,64,55,48,3.7497698824555954,42.51129827883363,0.0625
