candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L21_SV33,21,32,33,4.038712978363037,1.7241504192352295,448529,2000,-6.555804074763525,6.555815090046435,6.732838882188818,1.5338032295009454,3.121314340878739e-05,0.373046875,-12.6875,0.0894011463412019,0.09165040426573462,0.6275580843156184,0.9158114636957699,1.0,9.8400625,73.5572479934495,26.47705548791878,6.194591009240608,0.23396111476318598,29902,-6.625,1.03125,1.5289312499999999,0.1548830765210424,2.912235237323237,-0.08776476267676303,0.34337885455954575,4.577084074251213,3.9651881011654386,2.442474113862216,3.178282215109411,3.709800350735205,2.166546075894518,2.7428882103102388,3.3941069946736806,2.5548892404416486,3.229379999918244,3.709800350735205,0.13843693553148773,0.02138989762436106,0.13664859666580867,0.02054010626330896,0.08153837795281833,0.01226851137281247,0.0019731121664102735,0.0,0.0,0.0004013109491003946,0.0,0.0,292,0,0,131,0,0,0.146,0.0,0.0,0.0655,0.0,0.0,3.505308037885942,4.0584798817801655,3.0658670885299784,3.474649367000642,0.07747214137790506,0.06551763321742174,0.46483284826743043,0.39310579930453043,0.16666666666666666,0.16666666666666666,0.07747214137790506,positive,1,2,3,3,583,1792,1790,1,1,1,1,33,55,51,64,46,44,3.602371696154184,36.6851373484652,0.09375,64,53,46,3.717490343263386,41.16096448466663,0.0625,64,46,44,3.602371696154184,36.6851373484652,0.09375
L26_SV39,26,38,39,3.1371076107025146,1.6150907278060913,448529,2000,12.29643397133084,12.298166210706057,12.905168585712309,3.916770074226554,0.9987759988763268,24.75,-3.71875,0.08719208873651492,0.0906479645425102,0.8783088718901119,0.9519116935582761,1.0,19.45328125,140.83186786434797,38.580670817290475,12.287329209227975,0.31852893963877593,29902,12.875,2.5,3.7064999999999997,-0.5724262557875361,3.015424297543767,0.01542429754376684,0.33162828886619916,3.2038311075138273,4.4769324160259005,1.821125050586807,2.3607176581680833,2.732021448806183,2.9003102657493596,3.454766897574359,3.741482867934725,2.904525832996088,3.454766897574359,3.741482867934725,0.12683463016625005,0.019470627925166163,0.12486442363197088,0.016210984506833854,0.08834583182074932,0.01146137331096361,3.344257909169955e-05,0.0,0.0,0.007357367400173901,0.0,0.0,6,0,0,1024,0,0,0.003,0.0,0.0,0.512,0.0,0.0,2.5293403480372323,2.79913665182787,3.740314734250641,4.063806825846486,0.05490131881749798,0.07331151504380494,0.3294079129049879,0.43986909026282967,0.16666666666666666,0.16666666666666666,0.07331151504380494,negative,2,1,1,1,4,1665,1844,1,1,1,1,1,47,61,64,51,29,3.0111378322030924,20.310496719839346,0.15625,64,55,58,4.0207422347583615,55.74246447063219,0.046875,64,55,58,4.0207422347583615,55.74246447063219,0.046875
L24_SV57,24,56,57,2.9426376819610596,1.5272270441055298,448529,2000,9.444696854983613,9.446646541007608,9.97771955946114,3.2175439273949342,0.9985731134441698,20.875,-3.765625,0.08253968138946817,0.08588649375059153,0.5235157592931561,0.8931418035400164,1.0,15.608796875,112.54278747818913,27.798058079736087,9.468066004117313,0.3406720169845172,29902,9.8125,2.1875,3.2431875,-0.3760256210666923,2.757843991335057,-0.24215600866494302,0.36260209175788277,3.4109961264959243,4.186660499894009,1.8500317974215184,2.3703532404463203,2.6790734424081606,2.5630648860110616,3.152278333429685,3.6767377772639516,2.5726763793335983,3.152278333429685,3.6767377772639516,0.12834126410475327,0.01849218221714315,0.12348473266048575,0.017904416206024218,0.08122774603245816,0.011746316782005899,0.0,0.0,0.0,0.0020399973245936727,0.0,0.0,6,0,0,365,0,0,0.003,0.0,0.0,0.1825,0.0,0.0,2.60160721512401,2.871403518914648,3.3412585997571833,3.7289703416777478,0.05372246146421362,0.07029968661844524,0.3223347687852817,0.4217981197106715,0.16666666666666666,0.16666666666666666,0.07029968661844524,negative,3,3,4,2,22,1887,1874,1,1,1,1,1,60,59,64,51,49,3.735203199855638,41.896538068690774,0.078125,64,53,54,3.9042622355495493,49.61346335711307,0.0625,64,53,54,3.9042622355495493,49.61346335711307,0.0625
L24_SV21,24,20,21,2.8161580562591553,1.461584210395813,448529,2000,-8.711999425771566,8.712346321998071,9.16055347358804,2.8313964660255233,0.00038347576187938796,2.046875,-18.625,0.07620264677011655,0.07896159654086936,0.29776892909934477,0.8704832909354802,1.0,14.06371875,112.54278747818913,24.535344283614688,7.9736599682614795,0.3249996157769994,29902,-9.0,1.96875,2.9188687499999997,0.33555639613893096,2.603107610941116,-0.396892389058884,0.38415622765532326,3.7846425948408955,3.2975103796633545,2.4035157027872476,2.9171685199103186,3.2291257154420974,1.7772296202081717,2.2697149366514,2.741211813652161,2.408895569559269,2.9171685199103186,3.2291257154420974,0.11431860189451022,0.015435453516682515,0.11806113620488924,0.017304109964766664,0.07375686556816298,0.009912253210953771,0.0006354090027422915,0.0,0.0,0.0,0.0,0.0,166,0,0,3,0,0,0.083,0.0,0.0,0.0015,0.0,0.0,3.089630219809045,3.3778068986486636,2.4410141771533924,2.697963037906381,0.06040459336098858,0.04976164154106336,0.3624275601659315,0.2985698492463802,0.16666666666666666,0.16666666666666666,0.06040459336098858,positive,4,11,6,4,44,1917,1917,2,2,2,2,3,64,64,64,54,55,3.916665747241946,50.232676801902095,0.078125,64,45,40,3.4569335410512005,31.719560499750834,0.109375,64,54,55,3.916665747241946,50.232676801902095,0.078125
L27_SV54,27,53,54,1.9153956174850464,1.1292898654937744,448529,2000,11.467862100811416,11.48372172247276,12.187374977227101,4.125560285865962,0.9925467472560303,24.0,-7.28125,0.07444933055336357,0.07805049872682857,0.3736057200314807,0.8348066680192362,1.0,18.3036875,151.41484344039418,21.995870259642153,7.902080091218019,0.3597497292519497,29902,12.1875,2.625,3.891825,-0.6940011654025803,3.077275918839097,0.07727591883909701,0.32496273534589326,3.0352084176446783,5.002473132784748,1.686226898691488,2.1037687974150945,2.5540652521632476,3.0442417760305256,3.694434808862153,3.992724332414927,3.0442417760305256,3.694434808862153,3.992724332414927,0.11932910385027458,0.01853867162027934,0.12866801335985997,0.017311772576861013,0.09556092148786385,0.012857344236802098,3.344257909169955e-05,0.0,0.0,0.011069493679352551,0.0,0.0,1,0,0,1224,1,0,0.0005,0.0,0.0,0.612,0.0005,0.0,2.2643618353857122,2.5534293037328246,3.8983959967367494,4.20769818786816,0.04774040126207713,0.16203077970751598,0.2864424075724628,0.48609233912254796,0.16666666666666666,0.3333333333333333,0.16203077970751598,negative,5,7,8,9,2,1576,1607,1,1,1,2,1,45,48,64,46,38,3.3472976602700433,28.42581355314778,0.109375,64,49,61,4.093900535182178,59.97336429152967,0.03125,64,49,61,4.093900535182178,59.97336429152967,0.03125
L27_SV49,27,48,49,2.1459014415740967,1.2651927471160889,448529,2000,-11.179888357862417,11.179942172012742,11.464961124328804,2.5407538031267745,5.573775608712034e-05,1.9921875,-22.25,0.07365146846791694,0.07512464410564552,0.2041406464242,0.9336141029899961,1.0,16.8343125,151.41484344039418,23.991054023637183,5.452207248814614,0.22726110689108317,29902,-11.3125,1.625,2.4092249999999997,0.32236104540792787,3.455646130280756,0.4556461302807562,0.2893814824490592,5.522393093214624,4.539841650323237,2.892527680063091,3.7356411294088354,4.621343562893785,2.256949849017838,3.0352084176446787,3.9706596519629125,2.9573825607819946,3.8004960101277385,4.621343562893785,0.16955113608402483,0.02663334930953138,0.14724723432656397,0.02454707073523929,0.10109239482356297,0.015868913218852393,0.007959333823824494,3.344257909169955e-05,0.0,0.0011704902682094843,0.0,0.0,998,2,0,215,0,0,0.499,0.001,0.0,0.1075,0.0,0.0,4.1442268779379265,4.636915219754278,3.294627940520292,3.7615830816963967,0.3048232191503153,0.07925690419951213,0.6096464383006306,0.4755414251970728,0.5,0.16666666666666666,0.3048232191503153,positive,6,15,2,6,93,1020,1445,2,2,2,1,16,3,32,64,49,47,3.6865721561707865,39.90781447290928,0.078125,64,42,37,3.349535670236745,28.489502048351866,0.125,64,49,47,3.6865721561707865,39.90781447290928,0.078125
L28_SV45,28,44,45,1.906124472618103,1.1673897504806519,448529,2000,-12.772984229572357,12.774233040529257,13.244580026603078,3.502823711263396,0.0006510169910975656,5.46875,-26.75,0.07284366057987521,0.07506489766522953,0.3983733493263535,0.8870998307801725,1.0,21.03284375,174.49854936828916,24.349278217479576,6.676817999306127,0.2742369087995341,29902,-13.0,2.1875,3.2431875,0.3479684969381764,3.5523042736766497,0.5523042736766497,0.28150741686465836,5.694629126438111,4.239656202424313,2.9629415505579004,3.9351215167369733,4.427836233643626,2.3125397467768978,3.1604709872617605,3.7779113911854405,3.0544795822011523,3.964035565536354,4.427836233643626,0.16754679617352464,0.02600104642500519,0.16180820601794357,0.02552463844985936,0.10322666128620774,0.015686022575179693,0.009464249882950974,3.344257909169955e-05,0.0,0.0019062270082268744,0.0,0.0,1137,7,0,444,0,0,0.5685,0.0035,0.0,0.222,0.0,0.0,4.226648166348693,4.716617525197048,3.4302672910523984,3.8156905821818814,0.6345320474330826,0.08415508385876189,0.6345320474330826,0.5049305031525714,1.0,0.16666666666666666,0.6345320474330826,positive,7,5,5,5,12,947,1065,1,1,1,1,5,5,12,64,49,42,3.382284965047039,29.437959030476357,0.171875,64,49,32,3.1227634624636247,22.709048615049873,0.125,64,49,42,3.382284965047039,29.437959030476357,0.171875
L28_SV29,28,28,29,1.776228427886963,1.0878360271453857,448529,2000,-11.89223564506533,11.916359042787732,12.786385326819644,4.697486677804022,0.009956992747403177,8.125,-26.125,0.06683405238321438,0.0707579020300594,0.3170408156440275,0.7614446334573685,1.0,20.23671875,174.49854936828916,21.166175688707447,8.343809376735791,0.3950045069745018,29902,-12.6875,3.0625,4.540462499999999,0.5735626543813203,2.8422892031811,-0.1577107968189,0.3518290816011251,4.58378414093278,2.959500271172816,2.7670972653529216,3.3724537973829762,3.8752212742644936,1.6931094574616574,2.051002513510463,2.326304864317237,2.7670972653529216,3.3724537973829762,3.8752212742644936,0.11829908642982014,0.01636981803387622,0.1170556764029325,0.015709754214074306,0.08546826983226725,0.0118268032919633,0.004748846231021337,0.0,0.0,0.0,0.0,0.0,870,0,0,0,0,0,0.435,0.0,0.0,0.0,0.0,0.0,3.623839256463411,3.9576089440227737,2.2437141590752048,2.519016509881978,0.07191453623221875,0.0428449497091746,0.43148721739331247,0.2570696982550476,0.16666666666666666,0.16666666666666666,0.07191453623221875,positive,8,10,9,10,1,1850,1860,2,2,2,2,1,62,62,64,53,61,4.093900535182177,59.97336429152962,0.03125,64,43,20,2.616871080544805,13.692812779557062,0.15625,64,53,61,4.093900535182177,59.97336429152962,0.03125
L27_SV50,27,49,50,1.8863335847854614,1.1121553182601929,448529,2000,-10.19215438173029,10.198780034393288,10.972684050471248,4.064453755480823,0.0038860363543940304,5.625,-24.75,0.06608354199930884,0.07010038442916482,0.18356449638707864,0.7041350726485913,0.9995,17.46440625,151.41484344039418,19.23830130271548,7.666915622770873,0.39878259328234533,29902,-10.625,3.0,4.4478,0.27058362065595254,2.4619023597291325,-0.5380976402708675,0.4061899514609603,3.6534916138315574,3.175727325868969,2.189451456337963,2.65405087908629,2.9966700531723647,1.6581231170466297,2.163991186654076,2.5574441296820902,2.204381590336794,2.659320338144701,2.9966700531723647,0.10873395262707021,0.01456317200411637,0.116193947573931,0.017881996707050082,0.0697459358769744,0.009245293313467956,0.00010032773727509866,0.0,0.0,0.0,0.0,0.0,40,0,0,2,0,0,0.02,0.0,0.0,0.001,0.0,0.0,2.8386575947659516,3.1265808377175235,2.304510094878367,2.585547911326948,0.053380911255862015,0.04822944258641958,0.3202854675351721,0.2893766555185175,0.16666666666666666,0.16666666666666666,0.053380911255862015,positive,9,22,13,12,3,1919,1920,3,3,4,4,2,64,64,64,48,59,4.050578836397181,57.430690400099444,0.03125,64,42,47,3.6388492765115266,38.04802876441892,0.109375,64,48,59,4.050578836397181,57.430690400099444,0.03125
L22_SV64,22,63,64,3.156855344772339,1.3942776918411255,448529,2000,5.832153402776075,5.833564713241786,6.185666243360207,2.0611777120698314,0.9986823594461005,14.9375,-3.25,0.06572034058866694,0.06908704515646749,0.3324868626108903,0.7001888395176231,1.0,10.439703125,88.5844749499893,18.41571994407265,6.5068398768732685,0.35341623748928963,29902,5.78125,1.40625,2.08490625,0.10018554207923483,2.943986189041633,-0.056013810958367216,0.3396755065367796,4.391684278369831,4.3317295441941335,2.413178050571818,3.015693151670439,3.493253593536963,2.2032990092480103,2.841287640331542,3.4035811712158397,2.533087518923213,3.082400287782687,3.584372798537299,0.14110753902646075,0.020486862974613128,0.13470798124876326,0.020565655620809073,0.08049153941253195,0.011602075366913775,0.0010701625309343856,0.0,0.0,0.00036786837000869505,0.0,0.0,271,0,0,164,0,0,0.1355,0.0,0.0,0.082,0.0,0.0,3.3139979315616697,3.822114303700706,3.1535253383695308,3.5448986015558255,0.07194052961790373,0.06791023468633466,0.4316431777074224,0.40746140811800796,0.16666666666666666,0.16666666666666666,0.07194052961790373,positive,10,9,14,14,307,1762,1859,1,1,1,1,5,50,58,64,47,25,2.580084015260688,13.198246967238905,0.25,64,55,49,3.6958294938708867,40.27896989327877,0.125,64,47,25,2.580084015260688,13.198246967238905,0.25
L27_SV48,27,47,48,2.347820281982422,1.3842412233352661,448529,2000,-9.831780374577578,9.831807969121353,10.15006052602032,2.5218690187928274,2.2295102434848136e-05,1.953125,-21.75,0.06563705973285848,0.06810924643268924,0.20062693828046793,0.7058428774951007,1.0,16.292875,151.41484344039418,23.08331815845952,5.92089523082491,0.25650176496145777,29902,-9.75,1.6875,2.5018875,-0.18176812945387183,3.1371354413958286,0.13713544139582856,0.31876213784224205,4.6777183226663865,4.7963787340557875,2.1858496834889656,2.979000854354962,3.596186441736532,2.5480762024671373,3.5972840505418406,4.147363740376062,2.691717753096412,3.6472463290215886,4.147363740376062,0.1415938935985266,0.02305818050472997,0.16272481800291286,0.027515592123381227,0.09514268632706965,0.01537097513266628,0.0009363922145675874,0.0,0.0,0.0034780282255367535,0.0,0.0,210,0,0,518,0,0,0.105,0.0,0.0,0.259,0.0,0.0,3.244425458778622,3.6677308631982855,3.797133164460832,4.346718227738058,0.07539315099832494,0.09945186077115004,0.4523589059899497,0.5967111646269002,0.16666666666666666,0.16666666666666666,0.09945186077115004,negative,11,17,12,7,97,1467,1656,4,4,3,3,17,36,50,64,48,48,3.7217181027094606,41.33535151453394,0.078125,64,47,33,3.193258495250107,24.367700253446607,0.140625,64,47,33,3.193258495250107,24.367700253446607,0.140625
