candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L21_SV01,21,0,1,8.383794784545898,1.0,448529,2000,14.924492723714632,14.924492723714632,15.147278951355172,2.5883540271679286,1.0,25.875,3.796875,0.20237687384042333,0.2040955843710395,0.9950170446058114,1.0,1.0,20.50784375,73.5572479934495,125.12388425907194,21.700228993528853,0.17342995002134495,29902,15.25,1.625,2.4092249999999997,-0.4826819215690142,3.282248099720615,0.28224809972061493,0.3046692296310934,4.410131888885431,4.753862756695619,2.0753561830049083,2.9054986562068716,3.579989415683467,3.009266465357117,3.670786248689932,4.099470524753872,3.022237441500898,3.670786248689932,4.099470524753872,0.15885220659782828,0.026874432519230544,0.14213604692417972,0.01886008373040302,0.0967389678981846,0.01275186951024922,0.0008695070563841884,0.0,0.0,0.010099658885693264,0.0,0.0,164,0,0,1029,0,0,0.082,0.0,0.0,0.5145,0.0,0.0,3.1130342745073625,3.3724537973829762,3.8004960101277385,4.164072471437911,0.07938511527483236,0.08401941511603163,0.47631069164899414,0.5041164906961898,0.16666666666666666,0.16666666666666666,0.08401941511603163,negative,1,3,2,6,38,1454,1867,1,1,1,1,2,25,59,64,50,38,3.395020539929303,29.81526587210192,0.125,64,47,34,3.082058122660207,21.80322997171944,0.1875,64,47,34,3.082058122660207,21.80322997171944,0.1875
L20_SV01,20,0,1,8.72335147857666,1.0,448529,2000,-12.904636461633473,12.904636461633473,13.130631787379691,2.425664636512207,0.0,-2.84375,-22.0,0.20077002943926212,0.20288426076253235,0.9881256284431998,1.0,1.0,17.871875,64.03228561893869,112.57167955808464,21.15992519344988,0.18796845953186797,29902,-13.25,1.5,2.2239,0.5187624843995302,3.1314409589213885,0.13144095892138852,0.3193418024219897,4.679279643868879,3.9345294302801386,3.0071046359998204,3.6970384234902416,4.0472227842978805,2.0229102027967736,2.754170601196097,3.373010252259596,3.0211565268222493,3.6970384234902416,4.0472227842978805,0.13128317701048273,0.017517463886720524,0.1502144417304003,0.024993192749529644,0.09166248379292229,0.012158852069666656,0.010099658885693264,0.0,0.0,0.0004013109491003946,0.0,0.0,1034,0,0,74,0,0,0.517,0.0,0.0,0.037,0.0,0.0,3.7659067404109896,4.089100229326858,2.979000854354962,3.260038670803543,0.081552697237741,0.07256888612733511,0.48931618342644606,0.43541331676401074,0.16666666666666666,0.16666666666666666,0.081552697237741,positive,2,4,1,8,55,1761,1881,1,1,1,1,5,42,58,64,44,42,3.492532675663894,32.8690891187791,0.109375,64,42,26,3.034788431074965,20.796577524449543,0.109375,64,44,42,3.492532675663894,32.8690891187791,0.109375
L19_SV01,19,0,1,9.218864440917969,1.0,448529,2000,-10.949887071822557,10.949887071822557,11.164214173577136,2.177074006053499,0.0,-1.59375,-18.875,0.1981586383228923,0.2006718309487234,0.9725257452695366,0.9999843934282956,1.0,15.37425,55.010794535268346,100.94552455849235,20.070150139653435,0.1988215943939353,29902,-11.3125,1.3125,1.9459125,0.5644872235721842,3.167159445381456,0.167159445381456,0.31574033996244194,4.994443480886217,3.8863515188889535,3.131564240427049,3.798820283543055,4.159598164100412,1.991353670835662,2.7300816455005044,3.2458872122977507,3.131564240427049,3.798820283543055,4.159598164100412,0.13000286387818735,0.017328228373182965,0.1523850945550408,0.02530784113283726,0.09360176392701902,0.012446361568877943,0.013945555481238714,0.0,0.0,0.0005350812654671928,0.0,0.0,1249,0,0,87,0,0,0.6245,0.0,0.0,0.0435,0.0,0.0,3.926499778381608,4.312003366030075,2.987030506253493,3.3082165821947287,0.08334404591377928,0.07238555933126982,0.5000642754826757,0.43431335598761894,0.16666666666666666,0.16666666666666666,0.08334404591377928,positive,3,7,7,9,114,1693,1869,1,1,1,1,3,37,55,64,45,47,3.7000572533169636,40.44962016869747,0.078125,64,45,30,3.150640032904015,23.35100521086209,0.09375,64,45,47,3.7000572533169636,40.44962016869747,0.078125
L23_SV01,23,0,1,7.162637710571289,1.0,448529,2000,19.214144040853547,19.214144040853547,19.519625062729094,3.439830136337241,1.0,33.5,5.15625,0.19575212589537425,0.19743274167072472,0.9994247863571809,1.0,1.0,26.861875,97.85710634813503,137.62395268336624,24.6382570524887,0.17902593677986475,29902,19.625,2.125,3.150525,-0.4117980291755273,3.1381893981126034,0.13818939811260345,0.3186550820041099,4.4040279001118865,4.592488553495053,2.1425000595138903,2.975694527102626,3.689861213607256,2.975694527102626,3.572797390911006,3.938228549210089,3.015370454130661,3.6105093595511857,3.978395465835142,0.15423739929865168,0.026146138078518982,0.13497069810942508,0.017840330521698807,0.09040322099578368,0.011960388974655841,0.0008360644772924888,0.0,0.0,0.009497692462042674,0.0,0.0,202,0,0,969,0,0,0.101,0.0,0.0,0.4845,0.0,0.0,3.2137500892708357,3.570833432523151,3.7592940859063173,4.046944556859571,0.08019381439022183,0.0795350550972803,0.48116288634133103,0.47721033058368184,0.16666666666666666,0.16666666666666666,0.08019381439022183,positive,4,1,4,1,20,1753,1892,1,1,1,1,3,29,61,64,55,20,2.258016891334145,9.564103690944966,0.328125,64,52,39,3.375424279075319,29.236685664078156,0.15625,64,55,20,2.258016891334145,9.564103690944966,0.328125
L22_SV01,22,0,1,7.882696151733398,1.0,448529,2000,16.44805115722729,16.44805115722729,16.720975196415143,3.008757990993042,1.0,28.625,4.09375,0.18560181696473116,0.18728331849070531,0.997130620316635,1.0,1.0,23.1136875,88.5844749499893,129.65498956058963,23.71712503709796,0.18292489257432837,29902,16.75,1.875,2.7798749999999997,-0.39646052207356136,3.149109928975394,0.1491099289753941,0.3175500451092108,4.271774810018437,4.552812626467018,2.158370430325105,2.967759341697019,3.5977292144431376,2.9452763163811326,3.5646724223211295,4.0581860695175145,2.9902423670129057,3.587155447637016,4.0581860695175145,0.15190937917555802,0.025700735895339374,0.13800899637543743,0.01830721177182394,0.09036144679288394,0.011888771803093024,0.000969834793659287,0.0,0.0,0.008594742826566784,0.0,0.0,225,0,0,902,0,0,0.1125,0.0,0.0,0.451,0.0,0.0,3.192589594855884,3.5523179999100685,3.6984576644633305,4.013220018885741,0.07929580451305172,0.08038582597615457,0.47577482707831037,0.48231495585692746,0.16666666666666666,0.16666666666666666,0.08038582597615457,negative,5,2,3,4,24,1736,1891,1,1,1,1,2,50,62,64,52,26,2.8319150826610455,16.977943876686748,0.21875,64,46,41,3.5007084279102147,33.13892018090954,0.109375,64,46,41,3.5007084279102147,33.13892018090954,0.109375
L24_SV01,24,0,1,6.559815883636475,1.0,448529,2000,20.580674897832694,20.580674897832694,20.954039202377437,3.937966435165457,1.0,37.5,5.78125,0.18215031230052525,0.18384465489369745,0.9843978873160932,1.0,1.0,29.9120625,112.54278747818913,135.00543809076137,25.832334770625668,0.19134292022561245,29902,20.875,2.5,3.7064999999999997,-0.28736502218827703,3.104157007057137,0.10415700705713693,0.32214865347550165,4.4853635505193585,4.072237960339944,2.225819506272764,3.1363820315661677,3.8783218669904227,2.7822743828409555,3.355591528396061,3.7015184473222953,2.866417105085626,3.4078476999864824,3.8783218669904227,0.15644662952253763,0.026735687447557634,0.13605867054548948,0.01795974523160337,0.08665297707843338,0.011674187979019448,0.0014380309009430806,0.0,0.0,0.0050163868637549324,0.0,0.0,333,0,0,683,0,0,0.1665,0.0,0.0,0.3415,0.0,0.0,3.3387292594091464,3.7434237150951035,3.516204640496425,3.8109571023876976,0.08547190516251997,0.07494935931588473,0.5128314309751199,0.4496961558953084,0.16666666666666666,0.16666666666666666,0.08547190516251997,positive,6,6,5,2,16,1802,1857,1,1,1,1,2,58,61,64,56,21,2.4175833206295767,11.21871449205081,0.34375,64,50,36,3.318164295070128,27.609620893228605,0.109375,64,56,21,2.4175833206295767,11.21871449205081,0.34375
L25_SV01,25,0,1,6.086849212646484,1.0,448529,2000,-22.041028144222558,22.041028144222558,22.481261843764504,4.427212716087952,0.0,-4.8125,-41.5,0.17522820006943948,0.17703111263714058,0.9863241841664642,1.0,1.0,32.7886875,125.20817651065693,134.16041480558007,26.947776235138456,0.20086235030048824,29902,-22.375,2.75,4.07715,0.2970478963704669,3.2509551620331467,0.2509551620331467,0.30760190471978094,4.3075432593846195,4.690776645450867,2.8972443986608294,3.5334118195308,3.970753160909011,2.3300589872827837,3.2865482015622645,3.8948652858002437,2.973891075874079,3.6407171676293495,4.032070502679611,0.1436512793251615,0.019275709293280797,0.1637576755296011,0.028166006596056052,0.09180385018493226,0.012372404927160607,0.007725235770182596,0.0,0.0,0.0017390141127683768,0.0,0.0,899,0,0,466,0,0,0.4495,0.0,0.0,0.233,0.0,0.0,3.7480225157278984,4.00869786493016,3.525747151809475,3.8936512024330723,0.08176137585075818,0.09192875831127359,0.49056825510454916,0.5515725498676416,0.16666666666666666,0.16666666666666666,0.09192875831127359,negative,7,5,6,3,14,1507,1834,1,1,1,1,2,23,58,64,46,30,3.0498083017489406,21.11129703589516,0.1875,64,56,21,2.4459992925548235,11.542077750244609,0.328125,64,56,21,2.4459992925548235,11.542077750244609,0.328125
L27_SV01,27,0,1,4.410592555999756,1.0,448529,2000,26.364008758352302,26.364008758352302,26.926512017783676,5.475042614753949,1.0,48.25,3.71875,0.17368139620759132,0.17646168382014146,0.9009896795970829,0.9999843934282956,1.0,40.0763125,151.41484344039418,116.28090077590103,24.148182200415206,0.2076710967947623,29902,26.875,3.125,4.633125,-0.4453066740798227,3.8459826945650244,0.8459826945650244,0.2600115703622787,4.613516794819911,4.997976527721571,2.5630648860110616,3.539673546472324,4.1294860380414296,3.507351949278295,4.161607985970592,4.627206933765027,3.5478213948468906,4.168352893565358,4.627206933765027,0.17751755715334722,0.028769722364151363,0.164842162892257,0.021404227203669076,0.10582577882815346,0.013652407831964544,0.0037455688582703497,0.0,0.0,0.022841281519630795,0.0,0.0,834,0,0,1485,0,0,0.417,0.0,0.0,0.7425,0.0,0.0,3.804127883447997,4.128423040604344,4.370700121408337,4.620329151490624,0.10006444598981679,0.1014751481450954,0.6003866759389007,0.6088508888705724,0.16666666666666666,0.16666666666666666,0.1014751481450954,negative,8,10,9,7,11,854,1829,1,1,1,1,2,7,62,64,52,26,2.8849770255011054,17.9031562747511,0.15625,64,55,47,3.7093145910170655,40.82581455507995,0.0625,64,55,47,3.7093145910170655,40.82581455507995,0.0625
L28_SV01,28,0,1,3.3282153606414795,1.0,448529,2000,28.90135091468793,28.901365384731953,29.7497691391148,7.054124973141214,0.9999843934282956,58.25,-1.1796875,0.1652276594445035,0.1693209160370594,0.7747258259778075,0.9987871464275443,1.0,48.055,174.49854936828916,96.18996821697682,23.47764709149325,0.2440759601156221,29902,29.25,4.125,6.115724999999999,-0.2192040861667945,3.708719457232377,0.7087194572323772,0.2696348460787184,4.7418744302597,4.9756467957601105,2.697963037906381,3.7607969619301067,4.333092151789036,3.178282215109411,3.920717699046286,4.336431136537442,3.3111364556123766,4.067889538852704,4.417017516831813,0.18019312432086035,0.028563658283758606,0.16647997622712996,0.023029210520138742,0.10116755569257842,0.01383126258875375,0.005885893920139121,0.0,0.0,0.013945555481238714,0.0,0.0,1125,0,0,1309,0,0,0.5625,0.0,0.0,0.6545,0.0,0.0,4.046944556859572,4.374379161914573,4.241243883595159,4.586064509931366,0.10593404393108707,0.09916395686093815,0.6356042635865224,0.5949837411656289,0.16666666666666666,0.16666666666666666,0.10593404393108707,positive,9,22,11,10,7,981,1828,1,1,1,1,2,16,63,64,54,25,2.8343580202144367,17.019470636350356,0.21875,64,54,38,3.320780654051706,27.68195215384129,0.125,64,54,25,2.8343580202144367,17.019470636350356,0.21875
L18_SV01,18,0,1,10.397141456604004,1.0,448529,2000,-7.4930723243586606,7.493076359902837,7.713810103404492,1.8321390376594002,1.1147551217424068e-05,0.484375,-13.9375,0.15876163896948522,0.1626377658660668,0.8999484983133755,0.9982230803359426,1.0,11.100671875,47.29010593637671,77.90657485904521,19.049008742711113,0.24451105746079532,29902,-7.78125,1.09375,1.62159375,0.6215378245958401,3.222256280780347,0.2222562807803472,0.3103415473079087,5.097223025187413,3.7964194176254074,3.2086488986529456,3.898069992869661,4.244545537761853,1.9849299493168373,2.717234202462855,3.3339114682700277,3.2182844809311826,3.898069992869661,4.244545537761853,0.13393233147833472,0.017517953602769604,0.14538961207706058,0.023648371586313693,0.0964248268657988,0.012595306680849155,0.015350143803090095,0.0,0.0,0.0002675406327335964,0.0,0.0,1233,1,0,63,0,0,0.6165,0.0005,0.0,0.0315,0.0,0.0,4.066456610973002,4.413241217166753,2.9099458480275966,3.2182844809311826,0.1719768793579879,0.06964283509822967,0.5159306380739637,0.4178570105893781,0.3333333333333333,0.16666666666666666,0.1719768793579879,positive,10,11,12,11,351,1565,1790,1,1,1,1,2,59,62,64,47,47,3.7281090330630984,41.600368818743576,0.0625,64,45,38,3.4155998038680204,30.435199104051367,0.09375,64,47,47,3.7281090330630984,41.600368818743576,0.0625
