layer,n_svd,n_rotated,median_svd,median_rotated,rbc_vs_rotated,p_vs_rotated,q_vs_rotated,n_random,median_random,rbc_vs_random,p_vs_random,svd_yield_above_rot_q90,svd_yield_above_rot_q95,svd_yield_above_rot_q99,energy_ratio_svd_over_rotated
0,64,128,1.0986702642179527,1.0668455577317375,0.085205078125,0.16850060332848105,0.1743109689604976,64,0.7993830631805938,0.8095703125,1.3322676295501878e-15,0.203125,0.140625,0.078125,0.9995152446782009
1,64,128,1.1183533261697123,1.0856687380507068,0.04736328125,0.2969867322449966,0.2969867322449966,64,0.7730196695227549,0.8876953125,0.0,0.140625,0.109375,0.03125,1.000008680118914
2,64,128,1.0529750487036826,1.0009934535050669,0.2314453125,0.004522682259648914,0.004845730992480979,64,0.9425543972187422,0.39794921875,5.1893164542238246e-05,0.203125,0.140625,0.109375,1.0001649849672365
3,64,128,1.0055254327515737,0.9432272985685661,0.316162109375,0.0001810217648481327,0.00023611534545408614,64,0.8166441224874691,0.77490234375,1.9984014443252818e-14,0.296875,0.234375,0.171875,0.9996006595765528
4,64,128,0.9835785680594854,0.9179871144730034,0.30029296875,0.0003530024045645952,0.00042360288547751426,64,0.7963786058518818,0.78271484375,1.1102230246251565e-14,0.3125,0.203125,0.0625,1.0003858168178226
5,64,128,0.989319792748094,0.930056381575965,0.28369140625,0.0006873798212982951,0.0007931305630364943,64,0.7660581305453426,0.86279296875,0.0,0.375,0.21875,0.1875,0.9995292430753618
6,64,128,0.834532512765966,0.7691469387684711,0.35693359375,2.831988370266547e-05,4.997626535764495e-05,64,0.7666466483162919,0.0439453125,0.3348646932383649,0.296875,0.171875,0.046875,1.0000568678157284
7,64,128,0.8429634921698839,0.7590939987663483,0.3837890625,7.4745656963859375e-06,1.5137252114438837e-05,64,0.8181829779298152,0.04541015625,0.3296730395585552,0.25,0.15625,0.03125,1.0005227754511814
8,64,128,0.8432344895153263,0.7960233798968099,0.317138671875,0.00017356121022671367,0.00023611534545408614,64,0.7482650837259179,0.294921875,0.0020135716885536503,0.28125,0.203125,0.140625,1.0000389712227566
9,64,128,0.8977481170478923,0.82524498261562,0.328125,0.00010724747524548661,0.00016087121286822992,64,0.6992268695533734,0.55615234375,2.887795624850753e-08,0.25,0.203125,0.125,1.0002358232668973
10,64,128,0.8565531627344241,0.8211364636643362,0.238525390625,0.0035701504992072808,0.00396683388800809,64,0.7475196581560415,0.24365234375,0.008759230127218909,0.34375,0.296875,0.109375,0.9995816130265229
11,64,128,0.8463595124290157,0.7852340697509115,0.318359375,0.00016463984075931748,0.00023519977251331068,64,0.7060309778583185,0.22509765625,0.014097956158988234,0.265625,0.09375,0.0625,1.0013775735389823
12,64,128,0.8056079583076636,0.7413760460039243,0.427978515625,6.892568177319092e-07,2.5847130664946594e-06,64,0.6880910313095384,0.216796875,0.017277506721933067,0.421875,0.296875,0.171875,1.0004021017273852
13,64,128,0.7828961590206608,0.7052350330692587,0.375244140625,1.1529079012029264e-05,2.161702314755487e-05,64,0.63415345100282,0.35595703125,0.0002585626331250701,0.375,0.3125,0.171875,0.9998133550590881
