blind_id,condition,run,candidate,layer,sv_rank_1based,singular_value,tail_selectivity_score,layer_bar,excess_over_bar,selected_tail_polarity,stable_excess_kurtosis,doc_count_z5_selected,doc_count_z5_opposite,lexical_concentration
408c5a45,random,qwen_rand,L10_SV10,10,10,1.0,5.4431981626678585,1.0623047762303863,4.380893386437473,positive,35.46633305928593,2000.0,9.0,0.5
f92a614e,random,qwen_rand,L12_SV06,12,6,1.0,4.683810288189607,0.9033693978762203,3.780440890313386,positive,28.24533906228186,2000.0,5.0,0.359375
bd201907,random,qwen_rand,L11_SV30,11,30,1.0,4.692650816210831,1.1021479905549425,3.5905028256558884,negative,30.069145725873632,2000.0,5.0,0.171875
2add3011,random,qwen_rand,L10_SV54,10,54,1.0,4.39159839883857,1.0623047762303863,3.329293622608184,negative,23.842638201241886,2000.0,7.0,0.1875
f236e9e7,random,qwen_rand,L10_SV50,10,50,1.0,4.330520065981504,1.0623047762303863,3.2682152897511174,negative,25.548111308713708,2000.0,14.0,0.65625
b686886a,random,qwen_rand,L06_SV31,6,31,1.0,4.526242787896544,1.25982018545572,3.2664226024408243,negative,23.042817324846105,2000.0,57.0,0.234375
e4f17215,random,qwen_rand,L06_SV41,6,41,1.0,4.342794361338743,1.25982018545572,3.0829741758830234,negative,23.316253257803307,2000.0,15.0,0.140625
b3139405,random,qwen_rand,L07_SV47,7,47,1.0,4.014349429270995,1.0255262913412768,2.9888231379297183,positive,19.259352485271624,2000.0,84.0,0.4375
298fed0b,random,qwen_rand,L06_SV43,6,43,1.0,4.1163510367490215,1.25982018545572,2.8565308512933014,negative,20.51847254387043,2000.0,67.0,0.234375
4b75e139,random,qwen_rand,L12_SV64,12,64,1.0,3.7548241207349564,0.9033693978762203,2.851454722858736,negative,18.73140631440656,2000.0,18.0,0.515625
3a1176ba,random,qwen_rand,L11_SV53,11,53,1.0,3.8198702327095364,1.1021479905549425,2.717722242154594,negative,19.780512622193637,2000.0,7.0,0.640625
7bfd1d84,random,qwen_rand,L06_SV17,6,17,1.0,3.9618674107182463,1.25982018545572,2.7020472252625263,negative,21.569432669294855,2000.0,11.0,0.46875
28d30843,random,qwen_rand,L11_SV45,11,45,1.0,3.591683047649061,1.1021479905549425,2.4895350570941184,positive,15.572516135836235,2000.0,0.0,0.65625
65c956c2,random,qwen_rand,L07_SV42,7,42,1.0,3.5017637148996084,1.0255262913412768,2.4762374235583318,positive,14.774727716235137,1999.0,19.0,0.421875
ae67ec62,random,qwen_rand,L11_SV26,11,26,1.0,3.523997427258957,1.1021479905549425,2.4218494367040146,positive,15.820452379814725,2000.0,7.0,0.640625
70d0d678,random,qwen_rand,L14_SV55,14,55,1.0,3.231669527490392,0.8955558697962868,2.336113657694105,positive,13.1439766589913,2000.0,3.0,0.53125
5e3c10da,random,qwen_rand,L07_SV28,7,28,1.0,3.330488899350249,1.0255262913412768,2.304962608008972,positive,12.756368671097887,1993.0,48.0,0.375
