blind_id,condition,run,candidate
5ce21b5d,svd,qwen_r_scan,L21_SV04
fc62f9ba,svd,qwen_r_scan,L05_SV05
1f79cb3d,svd,qwen_r_scan,L29_SV03
58fd6853,svd,qwen_r_scan,L02_SV04
423403ee,svd,qwen_r_scan,L22_SV09
5111e4af,svd,qwen_r_scan,L28_SV03
5a619a35,svd,qwen_r_scan,L00_SV02
ffa1e9d7,svd,qwen_r_scan,L08_SV05
15fdd6dc,svd,qwen_r_scan,L03_SV04
a9e5a0de,svd,qwen_r_scan,L08_SV15
2cbdcfe5,svd,qwen_r_scan,L26_SV06
406453c2,svd,qwen_r_scan,L07_SV05
fee6f7d9,svd,qwen_r_scan,L10_SV22
5a72fb07,svd,qwen_r_scan,L06_SV05
41bda998,svd,qwen_r_scan,L15_SV17
1becc4ed,svd,qwen_r_scan,L09_SV05
dd11c995,svd,qwen_r_scan,L24_SV06
6794d241,svd,qwen_r_scan,L06_SV24
87f1beb8,svd,qwen_r_scan,L21_SV05
6c5bedbb,svd,qwen_r_scan,L09_SV15
3415e88e,svd,qwen_r_scan,L25_SV03
5f3f47e0,svd,qwen_r_scan,L10_SV05
bfdeb418,svd,qwen_r_scan,L11_SV24
54b96bf5,svd,qwen_r_scan,L05_SV02
0f7209ae,svd,qwen_r_scan,L15_SV27
7f39d0aa,svd,qwen_r_scan,L00_SV05
2fbe1a74,svd,qwen_r_scan,L26_SV03
d2eb4b8c,svd,qwen_r_scan,L21_SV06
cc1a5ebe,svd,qwen_r_scan,L05_SV04
e2ccd0a0,svd,qwen_r_scan,L24_SV03
d4d65d69,svd,qwen_r_scan,L20_SV03
7ce2e3a7,svd,qwen_r_scan,L05_SV12
9f571b53,svd,qwen_r_scan,L27_SV09
02db0c05,svd,qwen_r_scan,L00_SV61
ecb39c16,svd,qwen_r_scan,L20_SV04
5c609348,svd,qwen_r_scan,L14_SV06
91f37bf1,svd,qwen_r_scan,L26_SV05
24f4a81e,svd,qwen_r_scan,L13_SV17
f4a633ff,svd,qwen_r_scan,L04_SV05
604769f1,svd,qwen_r_scan,L15_SV04
96c1a43f,svd,qwen_r_scan,L10_SV16
e5fa2a0d,svd,qwen_r_scan,L28_SV05
e4d1f91b,svd,qwen_r_scan,L12_SV30
54503550,svd,qwen_r_scan,L28_SV04
553c9abe,svd,qwen_r_scan,L02_SV01
9410bd49,svd,qwen_r_scan,L03_SV03
cf7c6e05,svd,qwen_r_scan,L02_SV47
90d94a98,svd,qwen_r_scan,L27_SV23
6a80b583,svd,qwen_r_scan,L19_SV05
98912ab2,svd,qwen_r_scan,L28_SV06
7da067fa,svd,qwen_r_scan,L09_SV27
2818b383,svd,qwen_r_scan,L22_SV06
3221502c,svd,qwen_r_scan,L27_SV03
a631e33b,svd,qwen_r_scan,L19_SV03
a462e434,svd,qwen_r_scan,L23_SV04
07a68437,svd,qwen_r_scan,L27_SV10
07a5e5cb,svd,qwen_r_scan,L14_SV04
42058248,svd,qwen_r_scan,L01_SV03
57a64ec8,svd,qwen_r_scan,L16_SV03
6207adcf,svd,qwen_r_scan,L05_SV10
0f8471ce,svd,qwen_r_scan,L13_SV06
26aa3ba8,svd,qwen_r_scan,L22_SV25
a1780e1f,svd,qwen_r_scan,L11_SV05
7b298060,svd,qwen_r_scan,L00_SV03
ea8b4609,svd,qwen_r_scan,L02_SV02
8fe0a7ca,svd,qwen_r_scan,L05_SV01
86d9315a,svd,qwen_r_scan,L14_SV03
05929aee,svd,qwen_r_scan,L12_SV06
b5512af0,svd,qwen_r_scan,L27_SV05
1293628f,svd,qwen_r_scan,L18_SV18
6f0a5812,svd,qwen_r_scan,L14_SV25
72df79aa,svd,qwen_r_scan,L09_SV04
a325883d,svd,qwen_r_scan,L03_SV02
8210c0f7,svd,qwen_r_scan,L28_SV07
9456b3c2,svd,qwen_r_scan,L24_SV09
6abe3c21,svd,qwen_r_scan,L27_SV04
e6c065df,svd,qwen_r_scan,L13_SV04
d9c27c92,svd,qwen_r_scan,L09_SV19
650915c4,svd,qwen_r_scan,L08_SV45
9416a5b1,svd,qwen_r_scan,L14_SV16
96077a1c,rotated,qwen_r_rot0,L06_SV09
cbf83961,rotated,qwen_r_rot0,L26_SV50
6c695abc,rotated,qwen_r_rot0,L11_SV12
a879d6eb,rotated,qwen_r_rot0,L20_SV10
10c2a36b,rotated,qwen_r_rot0,L14_SV06
abd17554,rotated,qwen_r_rot0,L17_SV48
2bfd0b49,rotated,qwen_r_rot0,L25_SV40
75730472,rotated,qwen_r_rot0,L23_SV36
7de0e247,rotated,qwen_r_rot0,L07_SV15
be99f6c5,rotated,qwen_r_rot0,L17_SV57
5cf4b812,rotated,qwen_r_rot0,L09_SV03
78974ace,rotated,qwen_r_rot0,L22_SV61
e1734403,rotated,qwen_r_rot0,L12_SV04
d68fcd6d,rotated,qwen_r_rot0,L29_SV58
61e98ad8,rotated,qwen_r_rot0,L28_SV53
8e49eea4,rotated,qwen_r_rot0,L27_SV46
7803806f,rotated,qwen_r_rot0,L04_SV26
9a64c39d,rotated,qwen_r_rot0,L00_SV34
f9c29bd8,rotated,qwen_r_rot0,L08_SV19
04491098,rotated,qwen_r_rot0,L04_SV20
fd56fbef,rotated,qwen_r_rot0,L14_SV52
51b6b553,rotated,qwen_r_rot0,L06_SV23
d5a63c5b,rotated,qwen_r_rot0,L07_SV52
84a28985,rotated,qwen_r_rot0,L23_SV24
23c55475,rotated,qwen_r_rot0,L05_SV22
90037e90,rotated,qwen_r_rot0,L13_SV47
9aa1d3fa,rotated,qwen_r_rot0,L10_SV11
23b24b58,rotated,qwen_r_rot1,L01_SV56
efcef306,rotated,qwen_r_rot1,L03_SV17
521a6fca,rotated,qwen_r_rot1,L02_SV63
6ff483f6,rotated,qwen_r_rot1,L21_SV02
146644a9,rotated,qwen_r_rot1,L05_SV62
180de9ed,rotated,qwen_r_rot1,L00_SV36
4ed7d95e,rotated,qwen_r_rot1,L24_SV44
326cc30d,rotated,qwen_r_rot1,L18_SV52
e9dbb228,rotated,qwen_r_rot1,L16_SV49
964b2599,rotated,qwen_r_rot1,L09_SV07
9eb59757,rotated,qwen_r_rot1,L02_SV46
9c64ad11,rotated,qwen_r_rot1,L08_SV56
7a576da1,rotated,qwen_r_rot1,L13_SV43
7334b227,rotated,qwen_r_rot1,L24_SV62
66bb0337,rotated,qwen_r_rot1,L19_SV64
9fd5015e,rotated,qwen_r_rot1,L01_SV40
b28d579b,rotated,qwen_r_rot1,L19_SV52
4a786bfd,rotated,qwen_r_rot1,L28_SV58
d94d79c4,rotated,qwen_r_rot1,L12_SV59
d29ef870,rotated,qwen_r_rot1,L22_SV44
c0e3df03,rotated,qwen_r_rot1,L15_SV52
2102c138,rotated,qwen_r_rot1,L15_SV34
d5b0deeb,rotated,qwen_r_rot1,L25_SV23
01e4bc1a,rotated,qwen_r_rot1,L26_SV52
519fcc8b,rotated,qwen_r_rot1,L20_SV15
81030e66,rotated,qwen_r_rot1,L03_SV27
16c702a4,rotated,qwen_r_rot1,L21_SV19
bcf7977a,rotated,qwen_r_rot1,L16_SV42
a81e9947,rotated,qwen_r_rot1,L11_SV53
93746f03,rotated,qwen_r_rot1,L29_SV51
b4d39c6b,rotated,qwen_r_rot1,L18_SV18
b69742dd,rotated,qwen_r_rot1,L27_SV15
fd58b9e4,rotated,qwen_r_rot1,L10_SV30
408c5a45,random,qwen_rand,L10_SV10
f92a614e,random,qwen_rand,L12_SV06
bd201907,random,qwen_rand,L11_SV30
2add3011,random,qwen_rand,L10_SV54
f236e9e7,random,qwen_rand,L10_SV50
b686886a,random,qwen_rand,L06_SV31
e4f17215,random,qwen_rand,L06_SV41
b3139405,random,qwen_rand,L07_SV47
298fed0b,random,qwen_rand,L06_SV43
4b75e139,random,qwen_rand,L12_SV64
3a1176ba,random,qwen_rand,L11_SV53
7bfd1d84,random,qwen_rand,L06_SV17
28d30843,random,qwen_rand,L11_SV45
65c956c2,random,qwen_rand,L07_SV42
ae67ec62,random,qwen_rand,L11_SV26
70d0d678,random,qwen_rand,L14_SV55
5e3c10da,random,qwen_rand,L07_SV28
e529cf01,random,qwen_rand,L10_SV31
37d9ddaa,random,qwen_rand,L12_SV17
a6b5a8f3,random,qwen_rand,L08_SV25
9dd13825,random,qwen_rand,L06_SV11
70790f66,random,qwen_rand,L10_SV59
9a99688f,random,qwen_rand,L09_SV28
d351edab,random,qwen_rand,L02_SV32
a786b474,random,qwen_rand,L06_SV30
81eb3298,random,qwen_rand,L06_SV58
401783b1,random,qwen_rand,L17_SV12
03426159,random,qwen_rand,L09_SV17
3cafcfc1,random,qwen_rand,L09_SV30
07ede102,random,qwen_rand,L06_SV01
aff1ff20,random,qwen_rand,L06_SV09
feede09e,random,qwen_rand,L10_SV38
583feca1,random,qwen_rand,L06_SV07
4363cd88,random,qwen_rand,L07_SV59
0b014d10,random,qwen_rand,L11_SV19
6c48becc,random,qwen_rand,L13_SV58
b7aabff9,random,qwen_rand,L10_SV53
740e7760,random,qwen_rand,L08_SV42
ab034d8d,random,qwen_rand,L11_SV42
859f922e,random,qwen_rand,L06_SV52
bfd64b88,random,qwen_rand,L09_SV33
9be06422,random,qwen_rand,L26_SV46
40784a18,random,qwen_rand,L08_SV28
be063372,random,qwen_rand,L14_SV36
b540d27e,random,qwen_rand,L06_SV45
2aa2faa0,random,qwen_rand,L08_SV02
483c8fda,random,qwen_rand,L06_SV05
5a10328a,random,qwen_rand,L11_SV29
f7ada9dd,random,qwen_rand,L08_SV13
13d7202b,random,qwen_rand,L07_SV51
56089565,random,qwen_rand,L06_SV57
5ef40f4a,random,qwen_rand,L11_SV27
c7a0ba6a,random,qwen_rand,L13_SV17
d2da5271,random,qwen_rand,L11_SV34
0486c4cf,random,qwen_rand,L11_SV06
e65750fc,random,qwen_rand,L15_SV23
be9b19ae,random,qwen_rand,L12_SV27
ae11d8b9,random,qwen_rand,L17_SV30
c31d3dcd,random,qwen_rand,L07_SV03
430b1600,random,qwen_rand,L26_SV04
7f83433a,random,qwen_rand,L08_SV04
342289ba,random,qwen_rand,L11_SV46
7769ea9b,random,qwen_rand,L07_SV53
1b84d981,random,qwen_rand,L02_SV09
1e5ce3e8,random,qwen_rand,L14_SV13
63ec3d3e,random,qwen_rand,L16_SV63
49879998,random,qwen_rand,L07_SV49
5d6f3235,random,qwen_rand,L18_SV21
89718c6a,random,qwen_rand,L10_SV42
ac6b14a0,random,qwen_rand,L07_SV19
d046142e,random,qwen_rand,L06_SV37
3381476b,random,qwen_rand,L08_SV16
51659620,random,qwen_rand,L06_SV20
ce7de60a,random,qwen_rand,L06_SV19
ddf96226,random,qwen_rand,L07_SV11
07823cf1,random,qwen_rand,L11_SV38
bb8d8dfa,random,qwen_rand,L10_SV27
5cb3053c,random,qwen_rand,L18_SV41
2042a0a3,random,qwen_rand,L06_SV03
93c95b71,random,qwen_rand,L16_SV62
