candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L10_SV10,10,9,10,1.0,1.0,448529,2000,-0.6684655241136818,0.6936813643693033,0.7505427158625595,0.3412743931292934,0.01046309157267423,3.4375,-2.265625,0.023565821913486162,0.025119226768830844,0.0519854903473354,0.3177943901063253,1.0,2.56226171875,29.553346278946098,0.6936813643693033,0.3412743931292934,0.5105340227998721,29902,-0.6796875,0.171875,0.254821875,3.804389835068557,38.46633305928593,35.46633305928593,0.025996759255912383,16.157119556552985,6.223710189715856,2.610767861741656,13.459156518646605,14.624186012287996,2.5140110125945823,3.528782360227069,4.4764694700955605,3.0045497467593787,13.459156518646605,14.624186012287996,0.6254537421085375,0.1635583058345037,0.1630493295218904,0.02901408793542842,0.4366471731804776,0.11208563192933615,0.006755400976523309,0.004648518493746237,0.004213764965554144,0.0033777004882616546,3.344257909169955e-05,0.0,2000,2000,2000,836,9,0,1.0,1.0,1.0,0.418,0.0045,0.0,14.194964619893799,14.869455379370395,4.077603227744871,4.62976589038912,5.4431981626678585,0.6010759275646083,5.4431981626678585,0.6010759275646083,1.0,1.0,5.4431981626678585,positive,76,107,90,721,1013,1,1,6,6,6,6,1,1,1,64,64,8,1.4759402295349355,4.375147482534224,0.5,64,55,58,4.028917987004682,56.2000691319456,0.03125,64,64,8,1.4759402295349355,4.375147482534224,0.5
L11_SV30,11,29,30,1.0,1.0,448529,2000,0.402376599606513,0.452799660854152,0.5440975042009881,0.3662446807352213,0.9193385489009629,2.0625,-3.640625,0.01468298605237554,0.016972775027357133,0.006436596072940657,0.05318719636857371,1.0,2.9428671875,30.853427256162473,0.452799660854152,0.3662446807352213,0.9102037272854944,29902,0.423828125,0.1884765625,0.2794353515625,-3.4713858709228513,33.06914572587363,30.069145725873632,0.030239668369104255,5.864225359594439,14.545235963427924,2.2855800865165454,3.1243250723941767,4.10369124678751,2.900659742826808,12.532247997321608,13.260267461797017,3.0404505738064134,12.532247997321608,13.260267461797017,0.15514999023169534,0.027863637686561468,0.5689595571057774,0.1402098477066082,0.4083161834855008,0.09992170627183337,0.001571801217309879,0.0,0.0,0.009029496354758878,0.00448130559828774,0.004146879807370744,510,5,0,2000,2000,2000,0.255,0.0025,0.0,1.0,1.0,1.0,3.7953210610962818,4.634345628635872,13.203243986023713,13.539301143698683,0.5215249872837019,4.692650816210831,0.5215249872837019,4.692650816210831,1.0,1.0,4.692650816210831,negative,386,842,774,966,931,2,2,22,22,12,20,1,1,1,64,57,55,3.9557596865808673,52.23536137820113,0.046875,64,64,42,3.4231934445595886,30.667192793992,0.171875,64,64,42,3.4231934445595886,30.667192793992,0.171875
L12_SV06,12,5,6,1.0,1.0,448529,2000,0.19733314510290423,0.2833935065567025,0.40734231525623016,0.35635290323231844,0.7467811445859688,4.5,-1.296875,0.008703966168948809,0.011075125081539423,0.004017577458759634,0.023077660530311305,1.0,3.37903125,31.62149035516046,0.2833935065567025,0.35635290323231844,1.8058441375607914,29902,0.1806640625,0.1845703125,0.27364394531249997,3.239726869288904,31.24533906228186,28.24533906228186,0.032004773512192754,15.784511265423179,5.3994948099898865,2.879968480939748,12.078680596149814,14.071518860403254,2.3946206328507693,3.315354050548979,3.7591489853733053,3.0512677214417403,12.078680596149814,14.071518860403254,0.5645192371825198,0.15036944548947717,0.15453177794023557,0.02510555800217059,0.39198211334746325,0.10358755186282032,0.008661627984750184,0.004414420440104341,0.004146879807370744,0.002140325061868771,0.0,0.0,2000,2000,2000,680,5,0,1.0,1.0,1.0,0.34,0.0025,0.0,13.957319366735259,14.756715822411223,3.8720765821804544,4.486184359380096,4.683810288189607,0.5253090142421335,4.683810288189607,0.5253090142421335,1.0,1.0,4.683810288189607,positive,1495,1034,1236,1283,964,3,3,35,36,21,31,2,1,1,64,64,8,1.7513443915048565,5.762344317689822,0.359375,64,51,58,4.0207422347583615,55.74246447063219,0.046875,64,64,8,1.7513443915048565,5.762344317689822,0.359375
L06_SV31,6,30,31,1.0,1.0,448529,2000,-0.358001424155052,0.3633408580499274,0.41874258703298883,0.2172103462039384,0.02819661604935244,0.84765625,-2.90625,0.01706040152668789,0.01881032830394132,0.021080019352148913,0.14718111872364997,1.0,2.1930859375,21.31429109713929,0.3633408580499274,0.2172103462039384,0.606730396997686,29902,-0.349609375,0.1123046875,0.1665029296875,-2.679749513741766,26.042817324846105,23.042817324846105,0.038398303360441415,7.190658009724397,15.354928767910662,2.6832415439386623,3.9706391239830348,5.156093584127201,2.944298793541311,11.798215825312603,13.385171760538272,3.4135097566554644,11.798215825312603,13.385171760538272,0.18991938374830142,0.03608924244200559,0.5341792257841597,0.14717804123814712,0.35743627783295195,0.09548110497400338,0.006186877131964417,0.0002006554745501973,0.0,0.009631462778409471,0.004247207544645843,0.004113437228279045,1261,57,0,2000,2000,1995,0.6305,0.0285,0.0,1.0,1.0,0.9975,4.65691880890797,5.642496436929249,13.008873952339897,13.853453685945372,0.754309018916579,4.526242787896544,0.754309018916579,4.526242787896544,1.0,1.0,4.526242787896544,negative,248,274,238,1091,1401,7,4,12,12,13,13,5,2,1,64,57,58,4.0207422347583615,55.74246447063219,0.046875,64,64,17,2.3985543916638363,11.007252697452412,0.234375,64,64,17,2.3985543916638363,11.007252697452412,0.234375
L10_SV54,10,53,54,1.0,1.0,448529,2000,0.12350518800166797,0.23676189981303244,0.3287419502796146,0.30466003743569203,0.7173293142695344,1.578125,-3.25,0.00783069427957883,0.009798305546545653,7.803285852196848e-05,0.007080924533307768,0.981,2.4911015625,29.553346278946098,0.23676189981303244,0.30466003743569203,2.466779269459601,29902,0.140625,0.16131591796875,0.23916697998046874,-2.881607791411135,26.842638201241886,23.842638201241886,0.03725416229593016,6.010445087851975,14.176810696346507,2.4499096825483595,3.3334941086562235,4.5411460544792135,2.9235588878410423,11.700703312925988,12.804861274119425,3.1522171248788893,11.700703312925988,12.804861274119425,0.16287596445611957,0.029182681164188238,0.5374399276472307,0.14087090394428417,0.36827126344118694,0.0954254630486469,0.002474750852785767,6.68851581833991e-05,0.0,0.009330479566584175,0.004180322386462444,0.004146879807370744,630,7,0,2000,2000,2000,0.315,0.0035,0.0,1.0,1.0,1.0,3.919855492077375,4.605830203190916,12.608868499515557,13.000854048723294,0.5694587717499888,4.39159839883857,0.5694587717499888,4.39159839883857,1.0,1.0,4.39159839883857,negative,1631,1652,1548,1412,1112,5,5,36,41,51,35,4,3,2,64,52,56,3.9639354388271872,52.66417530092688,0.0625,64,64,32,3.1176572572728993,22.593387100155773,0.1875,64,64,32,3.1176572572728993,22.593387100155773,0.1875
L06_SV41,6,40,41,1.0,1.0,448529,2000,0.03839699758907268,0.15623585423743697,0.22489466808643374,0.22159260436632794,0.6173112552365622,1.3046875,-2.328125,0.00711631776616614,0.00895594095141625,0.0004258364565055994,0.006534694523653989,0.716,1.848515625,21.31429109713929,0.15623585423743697,0.22159260436632794,5.7710919674516274,29902,0.052001953125,0.116455078125,0.172656298828125,-2.842683832448835,26.316253257803307,23.316253257803307,0.037999330307534544,7.255371251309035,13.78534678016211,2.39111923328076,3.2960963529139273,4.384980660356421,2.9821824145411724,11.758107534471701,12.609772451987514,3.1631495579328117,11.758107534471701,12.609772451987514,0.15957432748107117,0.02943296093877871,0.51928530332417,0.1364154861491793,0.36017205562678817,0.09364023600708149,0.002073439903685372,6.68851581833991e-05,0.0,0.009832118252959668,0.004280650123737542,0.004113437228279045,714,15,0,2000,2000,1988,0.357,0.0075,0.0,1.0,1.0,0.994,4.020078048620461,4.902656984542707,12.608876524638992,12.97086737249226,0.5654795135526787,4.342794361338743,0.5654795135526787,4.342794361338743,1.0,1.0,4.342794361338743,negative,1756,1436,1562,1657,1382,6,6,53,57,55,54,3,1,2,64,52,39,3.2263216066678306,25.18683926399499,0.203125,64,64,38,3.397463477482694,29.88819174517406,0.140625,64,64,38,3.397463477482694,29.88819174517406,0.140625
L10_SV50,10,49,50,1.0,1.0,448529,2000,-0.24741152279244025,0.29494274552632194,0.40076997230028083,0.31528417195776526,0.17195320703900974,1.5390625,-3.90625,0.009746997085863084,0.011958526368960823,0.0006532465013410504,0.015243161534705672,1.0,3.0087890625,29.553346278946098,0.29494274552632194,0.31528417195776526,1.2743309947653114,29902,-0.2333984375,0.1689453125,0.2504783203125,-2.999809988029997,28.548111308713708,25.548111308713708,0.03502858697677738,7.07630478872844,14.663351135210835,2.3509706818750686,3.3490610542797414,4.067828038386062,2.7330521525612324,11.48811375735009,12.855547472063332,2.9669795835935777,11.48811375735009,12.855547472063332,0.1593226996902456,0.028552882258660466,0.5424515861421626,0.1420962627695342,0.37275841269987486,0.0961527081212238,0.0022072102200521703,0.0,0.0,0.007323924821082202,0.004146879807370744,0.004146879807370744,582,14,0,2000,2000,2000,0.291,0.007,0.0,1.0,1.0,1.0,3.91126664686081,4.783971916232146,12.35526714902503,13.104458734811285,0.5659108781039441,4.330520065981504,0.5659108781039441,4.330520065981504,1.0,1.0,4.330520065981504,negative,1354,1361,1336,1242,1077,4,7,26,28,26,26,3,2,3,64,55,57,3.999081385365863,54.5480184028769,0.046875,64,64,8,1.2823575128571774,3.605128852646275,0.65625,64,64,8,1.2823575128571774,3.605128852646275,0.65625
L06_SV43,6,42,43,1.0,1.0,448529,2000,-0.12676052318213998,0.18421538195185408,0.25412334209289344,0.220250863242467,0.2404593682905676,1.265625,-2.78125,0.008447684003429996,0.01043971799637881,0.0007647220135152911,0.012879880676611768,0.9235,1.92190625,21.31429109713929,0.18421538195185408,0.220250863242467,1.7375351387928153,29902,-0.125,0.1181640625,0.1751900390625,-2.3493478321689545,23.51847254387043,20.51847254387043,0.04251976815818457,7.93780860739398,15.162106328730074,2.72026025309569,4.258768101158006,5.488646815456313,2.697963037906381,10.658068860489669,12.754890058006287,3.2218361087791716,10.658068860489669,12.754890058006287,0.19212393506329686,0.03785577213812179,0.5217260601465823,0.14916528551651223,0.33715740697954527,0.09111289993009891,0.006454417764698014,0.0002006554745501973,0.0,0.0070563841883486056,0.004146879807370744,0.004146879807370744,1258,67,0,2000,2000,1960,0.629,0.0335,0.0,1.0,1.0,0.98,4.772718911271576,5.797275949220322,12.664818227527473,13.110762531313652,0.8286097646765324,4.1163510367490215,0.8286097646765324,4.1163510367490215,1.0,1.0,4.1163510367490215,negative,1525,1329,1371,1575,1388,9,8,41,42,45,40,4,4,3,64,55,57,3.9909056331195423,54.10386543523621,0.046875,64,64,14,2.309497774821396,10.069366295615936,0.234375,64,64,14,2.309497774821396,10.069366295615936,0.234375
L07_SV47,7,46,47,1.0,1.0,448529,2000,0.17775646221912833,0.2196950229170125,0.2936722661632386,0.2337649247701452,0.822660296212731,2.8125,-1.1875,0.009472249744539259,0.011631883451436401,0.001230689654403617,0.013410504114561154,0.996,2.06975,22.77104528476916,0.2196950229170125,0.2337649247701452,1.315085380584688,29902,0.171875,0.123046875,0.18242929687499998,2.320185512414988,22.259352485271624,19.259352485271624,0.04492493663783218,14.474785822418362,7.4515169618366714,2.9120870885338714,10.885981084281227,12.590494176896444,2.71937544296913,4.113301600148995,5.761632824360624,3.308216582194729,10.885981084281227,12.590494176896444,0.5090131996835956,0.13598631186734478,0.18826696345404573,0.039253430971092525,0.3321987392621304,0.08507948842559229,0.009129824092033978,0.004213764965554144,0.004013109491003947,0.005819008761955722,0.00030098321182529597,0.0,2000,2000,1970,1216,84,0,1.0,1.0,0.985,0.608,0.042,0.0,12.080878936403012,13.190041518653418,4.90451137962267,5.910037921369367,4.014349429270995,0.814947000773076,4.014349429270995,0.814947000773076,1.0,1.0,4.014349429270995,positive,1390,1234,1363,1467,1335,11,9,39,40,23,36,2,1,1,64,64,11,1.729307858340649,5.636751127666698,0.4375,64,57,38,3.1616188251361663,23.60878350339561,0.203125,64,64,11,1.729307858340649,5.636751127666698,0.4375
L06_SV17,6,16,17,1.0,1.0,448529,2000,-0.1753235541632603,0.20502554005532497,0.2766042256128017,0.21394286382681713,0.1608011968010987,0.80078125,-2.296875,0.00935905148910928,0.01144433245163207,0.002260723386893601,0.023369726372207817,0.9755,1.9692421875,21.31429109713929,0.20502554005532497,0.21394286382681713,1.2202745081609199,29902,-0.162109375,0.115234375,0.170846484375,-2.7125959716857104,24.569432669294855,21.569432669294855,0.04070098050126039,5.635999057999347,12.495227120473196,2.3950137984804525,3.383885844153766,4.310787050692066,2.869443739468227,11.123381507978426,11.946488875475287,3.098084674884022,11.123381507978426,11.946488875475287,0.16752092782012393,0.02936373608100882,0.505294499466307,0.12686043863812435,0.34903896886793645,0.08638946915847448,0.002608521169152565,6.68851581833991e-05,0.0,0.008494415089291687,0.004180322386462444,0.004113437228279045,603,11,0,2000,2000,1988,0.3015,0.0055,0.0,1.0,1.0,0.994,3.9211920423808837,4.629978942169848,11.763576127142652,12.129401623807924,0.5798576079424417,3.9618674107182463,0.5798576079424417,3.9618674107182463,1.0,1.0,3.9618674107182463,negative,1403,1141,1233,1517,1417,8,10,30,33,27,26,6,3,4,64,58,56,3.9774205359733643,53.379166851301036,0.046875,64,64,27,2.3667577588265876,10.66276492385986,0.46875,64,64,27,2.3667577588265876,10.66276492385986,0.46875
