subject,relation,prompt,position_mode,ablated_positions,band,condition,replicate,greedy_span,content_token,content_index,span_logp_clean,span_logp_cond,delta_span_logp,content_logp_clean,content_logp_cond,delta_content_logp,rank_content_under_cond,content_top1_changed,content_top1_cond,kl_first_token
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_first,1,6-8,name_lens,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-5.9035,-3.0647,-1.5788,-2.7164,-1.1376,1,0, Johannesburg,0.2127
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_first,1,6-8,mean,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-2.4403,0.3986,-1.5788,-1.2354,0.3434,1,0, Johannesburg,0.0638
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_inner,1 2,6-8,name_lens,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-6.1108,-3.272,-1.5788,-2.7805,-1.2017,1,0, Johannesburg,0.2514
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_inner,1 2,6-8,mean,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-2.6056,0.2332,-1.5788,-1.1953,0.3835,1,0, Johannesburg,0.2079
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_last,3,6-8,name_lens,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-3.0259,-0.1871,-1.5788,-1.6484,-0.0696,1,0, Johannesburg,0.0766
Nelson Mandela,birth_city,Nelson Mandela was born in the city of,subject_last,3,6-8,mean,0," Johannesburg, South Africa", Johannesburg,0,-2.8388,-4.834,-1.9952,-1.5788,-3.3851,-1.8063,1,1, Cape,1.1729
Nelson Mandela,birth_year,Nelson Mandela was born in the year,subject_first,1,6-8,name_lens,0, 1918.,191,1,-1.6783,-3.7562,-2.0779,-0.1251,-0.2566,-0.1315,1,0,191,0.8214
Nelson Mandela,birth_year,Nelson Mandela was born in the year,subject_first,1,6-8,mean,0, 1918.,191,1,-1.6783,-1.9699,-0.2916,-0.1251,-0.1766,-0.0515,1,0,191,0.0305
Nelson Mandela,birth_year,Nelson Mandela was born in the year,subject_inner,1 2,6-8,name_lens,0, 1918.,191,1,-1.6783,-3.9464,-2.2681,-0.1251,-0.2698,-0.1447,1,0,191,0.8559
Nelson Mandela,birth_year,Nelson Mandela was born in the year,subject_inner,1 2,6-8,mean,0, 1918.,191,1,-1.6783,-2.3272,-0.6489,-0.1251,-0.3204,-0.1953,1,0,191,0.0587
