subject,relation,ablate_cond,ablate_band,ablate_positions,restore_pos,restore_pos_token,restore_pos_is_subject,restore_layer,span_logp_ablated,recovery_frac,span_logp_clean,span_logp_cond,delta_span_logp,span_lp_per_token,content_logp_cond,delta_content_logp,rank_content_under_cond,content_top1_changed,content_top1_cond,kl_first_token
Nelson Mandela,birth_city,name_lens,6-8,subject_all,-1,,,-1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,4, was,0,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,5, born,0,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,6, in,0,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,7, the,0,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,8, city,0,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,9, of,0,0,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,0,<|startoftext|>,0,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,1,Nel,1,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,2,son,1,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
Nelson Mandela,birth_city,name_lens,6-8,subject_all,3, Mandela,1,1,-6.9688,0.0,-2.8388,-6.9688,-4.13,-3.087|-1.239|-2.421|-0.221,-3.0874,-1.5086,1,1, Cape,0.4392
