candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L14_SV34,14,33,34,2.892286539077759,0.8258187770843506,441490,2000,72.90056959325594,72.96908303636903,78.13869810351756,28.127621554114832,0.996317017372987,296.0,-74.5,0.028548233593686682,0.030355129027209403,0.09625812589186618,0.3622935966839566,1.0,166.66575,2553.0397892647625,211.04749663493737,81.35314119723976,0.38583541543023203,29432,72.0,18.25,27.05745,0.33230530666331837,4.363278725221254,1.363278725221254,0.22918545043195512,8.27868110261684,5.414405274702531,2.550129446788223,4.419078664101736,6.87426198699434,2.2775612631641193,3.0787384805293865,3.608175382380789,2.697963037906381,4.419078664101736,6.87426198699434,0.19347554677472492,0.058708673311284605,0.14834197242322067,0.024350780130554868,0.114412052556693,0.03273383827810072,0.0037714052731720577,0.0008154389779831476,0.0,0.001325088339222615,0.0,0.0,965,360,3,434,2,0,0.4825,0.18,0.0015,0.217,0.001,0.0,6.8003451914352615,7.53951314702605,3.534146787668461,4.019502946508262,1.0707371366983527,0.24021451374043462,1.0707371366983527,0.48042902748086924,1.0,0.5,1.0707371366983527,positive,79,52,74,298,537,1,1,4,4,4,4,25,1,1,64,64,21,2.525720156882906,12.499893907633357,0.25,64,56,53,3.8907771384033722,48.94891182553987,0.0625,64,64,21,2.525720156882906,12.499893907633357,0.25
L12_SV52,12,51,52,3.8017985820770264,0.7246931791305542,441490,2000,48.671265592395564,48.854574549085555,53.901636353044516,23.16234675438441,0.986486670139754,246.0,-48.5,0.028968791487900145,0.03145568391590893,0.06995628440055267,0.2993974948469954,1.0,123.39075,1662.1175304614771,185.73525224868985,88.05857704839507,0.47589366071472844,29432,48.5,15.5,22.9803,0.2776012799574577,4.05538802489623,1.0553880248962297,0.24658552865002067,8.594317741717907,4.221006688337402,2.349838774950719,3.9936815446272687,6.563943899774917,2.202083142952876,2.936455355239039,3.3635635740176917,2.5284972345878827,3.9936815446272687,6.563943899774917,0.183163100407196,0.058962424309064634,0.13200757280414016,0.02080231047129073,0.10314800712640597,0.03102688194792311,0.0023783636857841804,0.000679532481652623,0.0,0.0005776026094047296,0.0,0.0,754,319,5,170,0,0,0.377,0.1595,0.0025,0.085,0.0,0.0,6.59260322972285,7.288851755634174,3.1439972498183226,3.4866820711653026,0.9697529228217902,0.07058752245962002,0.9697529228217902,0.42352513475772013,1.0,0.16666666666666666,0.9697529228217902,positive,73,66,94,362,588,2,2,4,4,4,4,1,1,1,64,64,21,2.661350991720281,14.31561631939861,0.15625,64,52,50,3.7557824637943558,42.7676708757512,0.078125,64,64,21,2.661350991720281,14.31561631939861,0.15625
L12_SV62,12,61,62,5.175905704498291,0.9866234064102173,441490,2000,-41.60158618798345,41.735088798196166,46.00424593607431,19.63921258071704,0.010994586513850824,41.5,-195.0,0.024838616096591888,0.02696665653971019,0.020949511880223787,0.15498199279711886,1.0,105.859,1662.1175304614771,216.01688418832626,101.65071242838793,0.47207845614284105,29432,-40.75,12.75,18.90315,-0.3728352433603303,3.868950106458663,0.8689501064586631,0.2584680526974597,4.351126664074506,8.160015658765866,2.165929521005758,2.820753419403641,3.362238568704136,2.6847377288970358,4.422728487051061,6.414274869532327,2.7640895829531056,4.422728487051061,6.414274869532327,0.13691888642627795,0.021076899306354056,0.1879279902426445,0.047413638470387105,0.11109980504643696,0.027555987752206274,0.00044169611307420494,0.0,0.0,0.00591193259037782,0.0006115792334873607,0.0,251,0,0,1097,286,2,0.1255,0.0,0.0,0.5485,0.143,0.001,3.306327252336251,3.716510211261086,6.096867453308047,6.943287229906127,0.06825229091987961,0.9630346661871155,0.4095137455192777,0.9630346661871155,0.16666666666666666,1.0,0.9630346661871155,negative,127,202,204,288,660,5,3,10,11,12,11,19,2,2,64,58,42,3.508430992082518,33.39582833667771,0.109375,64,64,21,2.5765909984120183,13.152225691547889,0.21875,64,64,21,2.5765909984120183,13.152225691547889,0.21875
L22_SV59,22,58,59,1.451597809791565,1.0963985919952393,441490,2000,246.35598408585133,253.56392451290657,291.0111158310776,154.90706453335378,0.948623977893044,1384.0,-560.0,0.01065773523242134,0.01214421192061743,6.795170898548099e-06,0.001010215406917484,0.1475,724.061,23628.51209795239,368.07283746508887,224.86275559785696,0.628793593580298,29432,245.0,97.0,143.8122,0.18884686569085193,3.84426041087261,0.84426041087261,0.2601280592677148,7.920051289111773,5.597577952357311,2.7744516807336237,4.498922900838733,5.874472402202225,2.534555482775453,3.5671521609432304,4.188557020892457,3.0247781481682363,4.514749096390974,5.874472402202225,0.20370316380703898,0.04428289716140703,0.16381500365674218,0.027490142103449314,0.11762221078112588,0.02335378999541242,0.006829301440608861,0.0005096493612394672,0.0,0.00383935852133732,0.0,0.0,1156,124,0,811,10,0,0.578,0.062,0.0,0.4055,0.005,0.0,5.140036797990712,6.196136350045406,4.012176991938097,4.596411152878546,0.9467309254748408,0.591439229584827,0.9467309254748408,0.591439229584827,1.0,1.0,0.9467309254748408,positive,1036,1415,1382,141,62,6,4,33,33,33,31,46,2,1,64,51,13,1.6476412816081953,5.194712501366722,0.578125,64,58,40,3.436179067806737,31.068022283510373,0.15625,64,51,13,1.6476412816081953,5.194712501366722,0.578125
L19_SV14,19,13,14,2.4258666038513184,1.05209481716156,441490,2000,-71.72320109186806,93.12666625686242,113.50439293871649,87.97175479392241,0.18887630523907675,446.0,-504.0,0.009159003062497617,0.01120675373293395,0.00011325284830913498,0.0028290561507621917,0.4325,306.9155,10264.860794412105,225.91286960053,213.4077420367735,1.226545294335662,29432,-74.5,55.5,82.2843,0.3425722544508511,3.908654457208445,0.9086544572084452,0.2558425184287583,6.325629555091312,5.21970776928284,2.8863343310935377,4.478375583191447,5.529064475240072,2.375908891489628,3.178006010867201,3.64120251372375,3.056476144294841,4.478375583191447,5.529064475240072,0.21778779624158753,0.038358048121348284,0.1524116506397249,0.02354859447662273,0.12464308731769566,0.021425512265234224,0.0088339222614841,0.00023783636857841803,0.0,0.0020725740690405,0.0,0.0,1841,90,0,548,3,0,0.9205,0.045,0.0,0.274,0.0015,0.0,4.9644950494808855,5.524018555180027,3.591207557213223,4.174550916760548,0.8770992973925813,0.32512169518821477,0.8770992973925813,0.4876825427823222,1.0,0.6666666666666666,0.8770992973925813,positive,1281,1266,1319,274,239,4,5,44,44,44,48,46,1,1,64,61,11,1.4277190410234613,4.169178612644342,0.5625,64,57,30,2.972422241879049,19.539190968215607,0.140625,64,61,11,1.4277190410234613,4.169178612644342,0.5625
L06_SV40,6,39,40,13.997007369995117,2.826540946960449,441490,2000,-2.153904520792692,5.567811552779278,7.125227854148864,6.7918750937313055,0.3737729053885705,35.0,-42.0,0.010309345395776347,0.012996683148113754,0.0023330086751681806,0.01900382794627285,0.9685,25.93365625,537.5665098321168,77.93269933899552,95.06592574304337,3.153285128548116,29432,-2.0625,4.4296875,6.5674546875,-0.166280724529826,3.711476917258489,0.7114769172584889,0.26943451954394954,5.643358312093417,6.081123037820731,2.398189367027894,3.313098610549026,3.9504821478831027,2.617071729891551,4.349097383856141,5.131626574317328,2.877636907944001,4.349097383856141,5.131626574317328,0.15650995867574083,0.025711437884885696,0.20055877417752677,0.039752390486834044,0.1161421546420876,0.021307948373158844,0.0023783636857841804,0.0,0.0,0.005945909214460451,0.0003397662408263115,0.0,600,3,0,1501,126,0,0.3,0.0015,0.0,0.7505,0.063,0.0,3.7210001686821688,4.196831392298814,5.091394092698108,5.1675270884767714,0.3541655263393622,0.8671231027796177,0.5312482895090433,0.8671231027796177,0.6666666666666666,1.0,0.8671231027796177,negative,1100,666,876,826,1061,16,6,49,50,43,46,36,1,1,64,60,55,3.9248414994882674,50.645050156275616,0.078125,64,64,20,2.2293736082550297,9.294042544239684,0.421875,64,64,20,2.2293736082550297,9.294042544239684,0.421875
L22_SV05,22,4,5,1.3630932569503784,1.0295506715774536,441490,2000,-69.80964813899469,133.9315607640462,176.12965546144665,161.70426265153822,0.33682076604226596,768.0,-1200.0,0.005677567858971832,0.007398076905455821,0.0,0.00022650569661826996,0.0405,577.443,23628.51209795239,182.56120737031125,220.41799004044466,2.3163598007194395,29432,-59.25,98.75,146.40675,-0.4652575155737436,4.033254741424233,1.0332547414242326,0.24793871553148603,5.650354235716591,7.791648950611909,2.3444957285097856,3.3143963649216994,4.205442713536068,3.1932270882318936,4.583299608795346,5.478679090957146,3.256338932460423,4.595075022155741,5.478679090957146,0.1623960557809851,0.02978619911779017,0.19801084295582633,0.035625707844660105,0.12317867529061174,0.02181324948921742,0.0021405273172057622,3.397662408263115e-05,0.0,0.013726556129382984,0.0005096493612394672,0.0,604,7,0,1361,135,0,0.302,0.0035,0.0,0.6805,0.0675,0.0,3.7651952522680823,4.421175936218788,5.197506262518633,5.988726612673254,0.5720210201462107,0.8650874245641543,0.5720210201462107,0.8650874245641543,1.0,1.0,0.8650874245641543,negative,1461,1457,1441,371,45,3,7,54,54,49,41,34,1,2,64,57,54,3.903180650095769,49.559831165961626,0.078125,64,53,36,3.151441851711965,23.369735994368426,0.25,64,53,36,3.151441851711965,23.369735994368426,0.25
L22_SV46,22,45,46,1.5719817876815796,1.187325119972229,441490,2000,-52.39787214902544,131.52689714889493,165.22024712613282,156.6913943223264,0.3364357063580149,1088.0,-980.0,0.005644680029897852,0.007133840733618205,0.0,5.662642415456749e-05,0.011,506.21,23628.51209795239,206.7578869083311,246.31601816112996,2.9904152190889635,29432,-61.5,96.5,143.0709,0.4067742038518274,3.79780776118431,0.79780776118431,0.2633097994639306,8.03447801055281,6.419893912738369,3.0719035107768247,4.303991936864855,5.743499202143821,2.324022565035937,3.2326629664033706,4.01549161988916,3.155778009364588,4.331950103060776,5.743499202143821,0.19142302346273518,0.03661505170726268,0.15623964934512533,0.028384012978907143,0.11721357888016562,0.02200324088498053,0.011110356075020386,0.0003397662408263115,3.397662408263115e-05,0.0018687143245447132,0.0,0.0,1563,97,1,491,4,0,0.7815,0.0485,0.0005,0.2455,0.002,0.0,4.987037895197417,5.769866548683206,3.791826290321792,4.463381442347814,0.8235714348684148,0.45385390892965033,0.8235714348684148,0.5446246907155804,1.0,0.8333333333333334,0.8235714348684148,positive,1462,1468,1460,310,57,11,8,55,55,60,52,42,5,3,64,49,31,3.040347824339708,20.912515852240748,0.15625,64,58,38,3.4549735098527723,31.65745006065433,0.078125,64,49,31,3.040347824339708,20.912515852240748,0.15625
L22_SV63,22,62,63,1.3338379859924316,1.0074540376663208,441490,2000,-169.70825735586098,190.621861425142,232.48508911095294,158.89752686610507,0.13217513420462523,776.0,-1160.0,0.008100778294186373,0.009836115581498337,6.795170898548099e-06,0.0004439511653718091,0.072,680.978,23628.51209795239,254.2586797294398,211.94355721426388,0.9362981468421548,29432,-166.0,101.0,149.74259999999998,-0.2481659246569768,3.76740407821502,0.7674040782150202,0.26543476071029676,6.290795004227255,6.63805757346273,2.3907692266596148,3.3333066208280013,4.248048317579628,2.8448818171983126,4.233932094140211,5.384089764702887,3.0051568491531473,4.275844014996387,5.384089764702887,0.15827374620193504,0.028576570574043978,0.19353962120562604,0.036793971959743106,0.1130245357655876,0.02040111090600038,0.0023104104376189183,0.0,0.0,0.008120413155748844,0.00023783636857841803,0.0,543,9,0,1442,64,0,0.2715,0.0045,0.0,0.721,0.032,0.0,3.8332445142531255,4.581461788428944,4.741469695330521,5.543111980157951,0.5634823527237948,0.812142475334288,0.5634823527237948,0.812142475334288,1.0,1.0,0.812142475334288,negative,1367,1416,1422,254,49,13,9,43,43,34,35,37,7,4,64,47,28,2.973405244963783,19.558407496616514,0.15625,64,53,40,3.457136680760332,31.726004656554434,0.140625,64,53,40,3.457136680760332,31.726004656554434,0.140625
L12_SV41,12,40,41,3.0041322708129883,0.5726432204246521,441490,2000,47.38350741461089,47.440854998396766,50.88760071213779,18.55670044289883,0.9951822238329294,178.0,-43.5,0.028554269326967426,0.030413445985961036,0.046329475186300935,0.26341253482525084,1.0,105.327,1662.1175304614771,142.5186034556434,55.746782640322046,0.39162783540959245,29432,47.25,12.25,18.161849999999998,0.19301854350305453,3.698842281060755,0.6988422810607551,0.27035486349886206,7.199156473597129,4.99673766714294,2.4639560397206237,3.8010720273540284,5.718789660744869,2.326304864317237,3.1546449012628073,3.873872292745465,2.6522327364778366,3.950471730578084,5.718789660744869,0.17541353224507059,0.0451962685307955,0.14998515753971084,0.025614077970317065,0.10265850532333116,0.02402383083084396,0.0028540364229410167,0.0004077194889915738,0.0,0.0017667844522968198,0.0,0.0,844,224,0,395,0,0,0.422,0.112,0.0,0.1975,0.0,0.0,5.657463309079197,6.263128480854099,3.510104972786363,4.040612602791015,0.8080856402393378,0.0841469915822828,0.8080856402393378,0.5048819494936968,1.0,0.16666666666666666,0.8080856402393378,positive,77,108,108,487,683,18,10,6,6,7,7,40,3,3,64,61,23,2.7231873659054804,15.228784679238336,0.15625,64,58,51,3.778524898640635,43.751456279605854,0.09375,64,61,23,2.7231873659054804,15.228784679238336,0.15625
