candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L11_SV22,11,21,22,21.502473831176758,0.829092800617218,441490,2000,-75.48638199088597,75.48722053974892,77.7440921328049,18.599731059348716,7.248182291784639e-05,12.8125,-175.0,0.05832434796933807,0.060064300790291784,0.4945276223697026,0.8537905728329067,1.0,126.8285,1300.9293592083059,1623.1619842442199,399.9402303705713,0.24639849690496696,29432,-75.0,12.5,18.5325,-0.046326836069016955,3.093802711790829,0.09380271179082911,0.3232268160438569,4.738297585323082,5.395926075812762,2.3202482125994877,3.110333198435175,3.8294141204640377,2.428166734115743,3.237555645487657,3.7262592742479206,2.6170241467691895,3.3994334277620397,3.861081883178173,0.1492848232344353,0.024141676113948577,0.14868312292956268,0.023689669610671482,0.08847075546417371,0.013239856888060725,0.0015289480837184018,0.0,0.0,0.0025822234302799673,0.0,0.0,442,0,0,665,1,0,0.221,0.0,0.0,0.3325,0.0005,0.0,3.514096856873061,4.3352893565358155,3.6179684338324543,4.047484149467152,0.08054514636513153,0.16610223982917413,0.48327087819078923,0.4983067194875224,0.16666666666666666,0.3333333333333333,0.16610223982917413,negative,1,6,11,83,844,752,725,1,1,1,1,59,37,36,64,61,38,3.2754709936648934,26.455683005720907,0.21875,64,62,38,3.28347153660547,26.668191792936305,0.15625,64,62,38,3.28347153660547,26.668191792936305,0.15625
L09_SV50,9,49,50,32.57502746582031,1.0471534729003906,441490,2000,48.65520474809912,48.69900205549496,51.81652121369509,17.821978610969836,0.9965480531835376,136.0,-50.25,0.05308262315697545,0.05648434037085379,0.2290516206482593,0.5987157127001744,1.0,101.2095,926.756686386229,1586.3713295157881,580.5514427476046,0.3662913084682013,29432,48.25,11.5,17.049899999999997,0.13675949136189633,3.3747301905727016,0.3747301905727016,0.2963199851631093,5.146657751658369,5.777159983343012,2.624648824919795,3.579757066023834,4.301218775476653,2.3986394348353928,3.2383712661071287,3.8051850743992093,2.8306399982551205,3.6478879641522792,4.335790092610493,0.1656028961003027,0.02682445544600882,0.15360872366772252,0.025070855671015965,0.09607605590172023,0.01467037265015343,0.004654797499320467,0.0,0.0,0.0021405273172057622,0.0,0.0,1173,1,0,549,3,0,0.5865,0.0005,0.0,0.2745,0.0015,0.0,4.00295602906762,4.442841306987138,3.7170305984199326,4.1863148757470725,0.19543293641113962,0.3418376991654343,0.5862988092334189,0.5127565487481515,0.3333333333333333,0.6666666666666666,0.3418376991654343,negative,2,13,25,87,885,161,429,1,1,1,1,53,3,17,64,60,25,2.926560811049172,18.6633332653331,0.109375,64,56,23,2.1894272323457384,8.930096779018381,0.484375,64,56,23,2.1894272323457384,8.930096779018381,0.484375
L10_SV64,10,63,64,24.256256103515625,1.6414109468460083,441490,2000,-59.38648082611582,59.38887540275544,62.089031004215066,18.11887596214945,0.00024462615234773156,17.625,-147.0,0.05104977424591513,0.053322115201531996,0.2664680966726313,0.677895309067023,1.0,109.24325,1171.1397808238862,1440.5517714690156,439.4960956457301,0.3051010214799793,29432,-58.75,12.5,18.5325,-0.14346985662874234,2.8980417752541383,-0.10195822474586169,0.34506058833893344,4.121138540401997,4.761904761904762,2.0976662619722113,2.848939363280711,3.4980286321326974,2.3876972885471472,3.1701065695399975,3.7173748819640617,2.4956158100634025,3.251045460677189,3.774624983137701,0.13828646856274596,0.02344252057670384,0.1415202832715889,0.02271790079386341,0.08441505513148694,0.013116136108951395,0.0006115792334873607,0.0,0.0,0.0017667844522968198,0.0,0.0,166,0,0,553,0,0,0.083,0.0,0.0,0.2765,0.0,0.0,3.139079994604074,3.520841764467827,3.5478213948468906,3.952515850532848,0.0726999493669935,0.07963549999061824,0.4361996962019611,0.47781299994370946,0.16666666666666666,0.16666666666666666,0.07963549999061824,negative,3,12,16,121,869,1199,1174,1,1,1,1,58,60,60,64,53,54,3.917747332695727,50.28703712680449,0.046875,64,58,27,2.8239424701238565,16.8431234580863,0.1875,64,58,27,2.8239424701238565,16.8431234580863,0.1875
L04_SV10,4,9,10,69.31812286376953,2.2449069023132324,441490,2000,16.703690172358005,16.82687718393298,19.234398908347973,9.536709914395443,0.9795918367346939,60.5,-18.25,0.04727746534327013,0.053180035106839545,0.17750118915490726,0.4285918140841242,1.0,43.618125,349.85830224115,1166.4075400494264,661.0668295621923,0.5709343154709992,29432,16.125,6.9375,10.2855375,0.28732545909094204,2.7431102213472105,-0.2568897786527895,0.3645496969891625,4.314310263318762,3.342071330739886,2.3212204515320662,3.123317570909639,3.8392548760819913,1.7956037786066115,2.4644373227942604,2.808377175232692,2.36983239816101,3.123317570909639,3.8392548760819913,0.13877466208089642,0.022923140852574426,0.12539815248025316,0.019616313496942303,0.08413777702411052,0.013622973499881109,0.0014949714596357705,0.0,0.0,0.0,0.0,0.0,443,0,0,11,0,0,0.2215,0.0,0.0,0.0055,0.0,0.0,3.4149892506833015,3.828190797029324,2.655731409272485,2.91064030440801,0.07881374338698324,0.05752746326319558,0.47288246032189946,0.34516477957917346,0.16666666666666666,0.16666666666666666,0.07881374338698324,positive,4,20,48,213,1161,1384,1207,1,1,1,1,12,59,48,64,61,25,2.8555187728771623,17.38345293279019,0.140625,64,60,27,2.9282056386445228,18.6940564911873,0.203125,64,61,25,2.8555187728771623,17.38345293279019,0.140625
L15_SV36,15,35,36,17.114227294921875,1.1070787906646729,441490,2000,-140.24180332510363,140.24180332510363,143.43482146759072,30.096255739918533,0.0,-27.0,-270.0,0.04683377275369929,0.04756944035250829,0.7552651249178917,0.9767152143876419,1.0,221.8285,2986.558482142857,2400.130098355554,515.0741614590629,0.21460260083899688,29432,-138.0,21.0,31.1346,-0.21987558050129122,2.8367347897527555,-0.1632652102472445,0.35251797369720206,3.5651654429477175,4.239656202424313,1.9592350632415385,2.5132810442401703,2.919332511096946,2.4088955695592684,3.147623544224111,3.6330577556801495,2.4731327847475155,3.147623544224111,3.6330577556801495,0.13207332415633138,0.01997329578812983,0.13368079213571873,0.020170542903494963,0.08160134273791045,0.012066572070903864,6.79532481652623e-05,0.0,0.0,0.001596901331883664,0.0,0.0,21,0,0,477,0,0,0.0105,0.0,0.0,0.2385,0.0,0.0,2.7702299049931587,3.0030898100505548,3.4366910125712233,3.726079666994276,0.05919904109893487,0.07450584226418597,0.3551942465936092,0.4470350535851158,0.16666666666666666,0.16666666666666666,0.07450584226418597,negative,5,1,1,21,380,1295,1301,1,1,1,1,6,58,59,64,53,18,2.071865647683145,7.93962184605271,0.484375,64,59,46,3.671302237131924,39.30305444618023,0.09375,64,59,46,3.671302237131924,39.30305444618023,0.09375
L13_SV37,13,36,37,19.159038543701172,1.0722280740737915,441490,2000,84.7451290923209,84.74576859930293,87.79603644531538,22.943563599253995,0.9999524338037101,195.0,-23.25,0.04530025246313505,0.04689733683417436,0.35310199551518723,0.7589662280006342,1.0,148.2885,1876.1886510913328,1623.6474470096255,439.57661932796645,0.27073607468647704,29432,84.5,15.5,22.9803,0.09299926383571262,3.029373577922984,0.029373577922983785,0.33010124841902977,4.808466382075082,4.688798666684073,2.3715965413854474,3.2854227316440605,3.894640191816469,2.2519288259944386,2.924075186137689,3.2029684120746764,2.5456586728632784,3.3024454641584167,3.894640191816469,0.1507859346875555,0.025228123503078716,0.13659698697872227,0.01978898767403369,0.08493862230862195,0.013006187937699887,0.0018347377004620821,0.0,0.0,0.0006115792334873607,0.0,0.0,640,0,0,178,0,0,0.32,0.0,0.0,0.089,0.0,0.0,3.764093593208096,4.155733389033215,3.1661629743737025,3.624537919435342,0.08697260565010448,0.0685565688931774,0.5218356339006269,0.4113394133590645,0.16666666666666666,0.16666666666666666,0.08697260565010448,positive,6,10,15,81,570,919,938,1,1,1,1,24,44,44,64,60,35,3.1162959051732892,22.56265047162353,0.25,64,49,49,3.801267333486914,44.75787171453349,0.046875,64,60,35,3.1162959051732892,22.56265047162353,0.25
L06_SV17,6,16,17,60.328731536865234,1.362971544265747,441490,2000,-23.276337809224515,23.538015210875034,26.090277876536568,11.786207951065467,0.02528936102742984,42.5,-72.0,0.043996832542434125,0.04859351804308899,0.1445038392715577,0.3982174001676142,1.0,54.659,537.5665098321168,1420.0186005675303,711.046975317495,0.5063600660750867,29432,-23.25,7.875,11.675474999999999,0.024706972703391825,3.1516560517488514,0.15165605174885144,0.3172935065186129,5.631462531503002,4.175418987236066,2.456243750254269,3.3371982724471443,4.111790954971849,2.412963926521163,3.190448354349609,3.7496076176772077,2.71937544296913,3.493176937126734,4.1249338891993474,0.1591478064189771,0.026178419076204527,0.15068978405193295,0.023522392503264315,0.09183495184906987,0.013938865662947981,0.0028880130470236476,0.0,0.0,0.0018007610763794508,0.0,0.0,690,1,0,511,0,0,0.345,0.0005,0.0,0.2555,0.0,0.0,3.73646468344971,4.218243797361564,3.468809620165347,3.7471708859810846,0.17998340481768552,0.08155323907021766,0.5399502144530566,0.48931943442130604,0.3333333333333333,0.16666666666666666,0.17998340481768552,positive,7,25,56,129,1098,594,629,1,1,1,1,55,26,22,64,61,55,3.9557596865808677,52.235361378201155,0.046875,64,60,24,2.712568676105768,15.067930480566737,0.21875,64,61,55,3.9557596865808677,52.235361378201155,0.046875
L07_SV13,7,12,13,39.98390579223633,2.070774793624878,441490,2000,27.38780020686783,27.8480843756282,31.07024872112724,14.672039920249645,0.9645065573399171,94.0,-38.25,0.0439502711304074,0.049448702067973645,0.13433599855036354,0.42809123649459785,1.0,69.519875,647.6645069687663,1113.4751821693665,586.6454619511924,0.5357144352385744,29432,27.625,9.0,13.343399999999999,-0.030680784474838994,3.4300213316712047,0.4300213316712047,0.2915433763535142,4.97436935113989,4.936897642280079,2.632387547401712,3.5879161233268886,4.451897567336645,2.7213828559437627,3.565142692267334,4.22249670248957,3.038440352533831,3.842142932086266,4.491501416430564,0.17051212298477683,0.028157300182691372,0.15967457110666097,0.024582665832455816,0.09758299983789273,0.014664578422190275,0.004892633867898886,0.0,0.0,0.006217722207121501,0.0,0.0,1163,0,0,1069,0,0,0.5815,0.0,0.0,0.5345,0.0,0.0,4.07504833850443,4.487237135962348,4.066148807650224,4.4591333543174905,0.1003428742183268,0.09316228999374311,0.6020572453099609,0.5589737399624587,0.16666666666666666,0.16666666666666666,0.1003428742183268,positive,8,29,49,232,982,117,805,1,1,1,1,24,3,35,64,64,23,2.5328275832515104,12.589052451767218,0.21875,64,58,44,3.649641387739426,38.460871035743736,0.0625,64,64,23,2.5328275832515104,12.589052451767218,0.21875
L10_SV13,10,12,13,28.331768035888672,1.9171992540359497,441490,2000,-48.432643113996775,48.5323947164361,52.044698131872,19.050713493984997,0.006885773177195406,54.25,-128.0,0.0416765262792814,0.044572433404270854,0.11488821943871888,0.45937167319758093,1.0,99.14975,1171.1397808238862,1375.0085493322565,539.7403956297571,0.3933444939014499,29432,-48.25,12.75,18.90315,0.03196128771646475,3.1203742277280244,0.12037422772802442,0.32047438128218037,5.422376693831452,4.218873573981056,2.389648021626025,3.309633579588587,3.9376995368496073,2.3408796946540655,3.2060000581913206,3.6943763341030134,2.6476283383986217,3.528307451403599,3.9875906925564824,0.1571669859416962,0.027271031389655923,0.1469486453611697,0.02419226320812853,0.09057596962160377,0.014208738820769057,0.002038597444957869,0.0,0.0,0.0017667844522968198,0.0,0.0,599,2,0,527,0,0,0.2995,0.001,0.0,0.2635,0.0,0.0,3.716311831625946,4.232098882990401,3.531157505495116,3.875015539738086,0.2732755016662216,0.0831094723352859,0.5465510033324432,0.49865683401171546,0.5,0.16666666666666666,0.2732755016662216,positive,9,35,41,144,818,679,498,2,2,2,2,44,34,21,64,59,56,3.9557596865808664,52.235361378201084,0.0625,64,61,26,2.6880542399910787,14.703039483423913,0.265625,64,59,56,3.9557596865808664,52.235361378201084,0.0625
L05_SV37,5,36,37,46.997520446777344,1.171631097793579,441490,2000,16.999899613488157,17.82133292240282,20.776748155519677,11.944734281231018,0.923667580239643,72.0,-36.75,0.04161961874272448,0.0487196091716343,0.12333688192258035,0.3457201748623978,1.0,48.79325,434.42499958857366,837.5584584094528,561.372893613477,0.7026355774332371,29432,17.25,8.375,12.416775,-0.0501352023409319,2.916446856367498,-0.0835531436325021,0.34288298372956577,4.40935750224998,4.348955344684913,2.1744776723424564,2.9308938915297955,3.3479808565428213,2.2952819874725927,3.1121003642250002,3.876950738013687,2.4966225126894868,3.2070424888910316,3.876950738013687,0.1456196964580736,0.022628224980151365,0.1459155419109116,0.024457383584049405,0.08704931054192126,0.013351318441886955,0.0006455558575699918,0.0,0.0,0.001325088339222615,0.0,0.0,282,0,0,325,0,0,0.141,0.0,0.0,0.1625,0.0,0.0,3.2818505610353736,3.5838613488607147,3.342756069913484,3.8257719899088127,0.07348083612220478,0.08111615221565491,0.4408850167332287,0.48669691329392945,0.16666666666666666,0.16666666666666666,0.08111615221565491,negative,10,33,69,403,1089,1170,1115,1,1,1,1,14,48,48,64,61,35,3.2500355729003374,25.79125737070275,0.125,64,61,39,3.4467977576064515,31.399681752949224,0.09375,64,61,39,3.4467977576064515,31.399681752949224,0.09375
