candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share
L22_SV11,22,10,11,5.3817973136901855,1.1795107126235962,441490,2000,-181.8464286355757,207.68017433462182,228.86776449129255,138.96880950676746,0.1047792701986455,884.0,-712.0,0.008799336574585722,0.009649307594307025,0.0017893950032843327,0.041402976284853565,0.941,460.042,23628.51209795239,1117.692604340777,747.9019656902442,0.7642097265779318,29432,-206.0,71.0,105.26459999999999,1.2285559492333966,5.322410552512629,2.322410552512629,0.18788479207563485,10.354858138443504,4.806934145002214,4.502938309745157,6.204725995253856,7.4341421522522015,2.0519718879851347,2.94495965405274,3.6691119331665,4.502938309745157,6.204725995253856,7.4341421522522015,0.19966914343012296,0.03425367128725345,0.15121510929483667,0.02812014371429574,0.155809859873043,0.026729516798232877,0.048824408806740965,0.005198423484642566,0.00010192987224789345,0.0008154389779831476,0.0,0.0,1987,958,35,191,0,0,0.9935,0.479,0.0175,0.0955,0.0,0.0,7.088802883400496,8.418024673061979,3.286954968716929,3.743328716396585,1.1483550124718307,0.0823070179063939,1.1483550124718307,0.49384210743836343,1.0,0.16666666666666666,1.1483550124718307,positive,1130,836,701,230,3,1,1,15,15,22,21,2,1,1,64,52,11,1.5132750043789427,4.54158016008446,0.578125,64,50,22,2.6466779639026803,14.107096433105713,0.25,64,52,11,1.5132750043789427,4.54158016008446,0.578125
L22_SV22,22,21,22,7.775498867034912,1.7041304111480713,441490,2000,76.10604586505887,100.75203841412744,123.81524469030275,97.66311791308475,0.8046841378060658,1012.0,-484.0,0.0043051637325212016,0.0052902156850253125,0.00028766223470520286,0.00340664567713878,0.365,371.908,23628.51209795239,783.3973605405058,759.3794626842874,1.2832504540604663,29432,79.0,59.0,87.4734,-0.05910850235416041,4.389802122519434,1.3898021225194341,0.22780070082659468,10.666099637146836,6.436242331954628,2.7023072156792507,4.528668143687098,7.427204155777586,2.9494680668637554,4.035512510088782,4.8970955741973,3.288885535488488,4.721435316336167,7.427204155777586,0.22023871045748095,0.058183916935786756,0.18436234031669338,0.031225693310525052,0.12880610553939467,0.027775595213443315,0.006115792334873607,0.0005436259853220984,3.397662408263115e-05,0.008901875509649361,0.00010192987224789345,0.0,1068,170,9,1279,32,0,0.534,0.085,0.0045,0.6395,0.016,0.0,5.635999057999347,7.328399261947061,4.652843035711427,5.155853093626177,1.0923755586545638,0.7131070711177993,1.0923755586545638,0.7131070711177993,1.0,1.0,1.0923755586545638,positive,1382,1056,1228,454,46,5,2,45,44,31,41,34,4,2,64,50,7,1.0349948257415675,2.8150916695745702,0.703125,64,55,40,3.537389147976689,34.377048535692204,0.078125,64,50,7,1.0349948257415675,2.8150916695745702,0.703125
L21_SV52,21,51,52,7.018718719482422,1.259253740310669,441490,2000,-106.60069246374847,110.85406740526399,131.88358435359712,77.65031994912631,0.07110013816847494,250.0,-760.0,0.006378185474819126,0.007613423627542509,0.0011144080273618883,0.019681079979161475,0.718,336.832,17515.53339883123,778.0535180280925,545.0057542007322,0.7284222846444642,29432,-102.5,50.5,74.87129999999999,-0.4628222991203266,4.122547062104841,1.1225470621048412,0.2425684861653057,4.708079063673264,8.781736125858641,2.140339489230186,2.97176621749589,3.8230897553534486,2.744709922226541,4.549647194585897,7.675010317705073,2.851559943529764,4.549647194585897,7.675010317705073,0.14443522210008683,0.025438630981080304,0.20404488093734688,0.05182876461054988,0.12379060012704635,0.030595491758453084,0.0009513454743136721,0.0,0.0,0.006761348192443599,0.0006455558575699918,3.397662408263115e-05,242,0,0,833,205,3,0.121,0.0,0.0,0.4165,0.1025,0.0015,3.3063403467016066,3.8799913985732855,5.789935529368397,7.125560795658685,0.07899693814368733,1.0357695728468748,0.473981628862124,1.0357695728468748,0.16666666666666666,1.0,1.0357695728468748,negative,1260,914,941,462,103,10,3,30,30,28,28,42,4,1,64,52,44,3.349255903590914,28.481532750746208,0.25,64,52,9,1.130765382430513,3.0980267681858646,0.71875,64,52,9,1.130765382430513,3.0980267681858646,0.71875
L22_SV21,22,20,21,7.786531925201416,1.7065484523773193,441490,2000,-38.29889253147456,78.02843960734353,100.92330926129173,93.37402841857524,0.31595279621282474,640.0,-556.0,0.0033112396218260487,0.004263355164854052,1.1325284830913498e-05,0.0006704568619900791,0.1235,342.472,23628.51209795239,607.5709360762311,727.0598532659004,2.4380346857767945,29432,-38.5,55.5,82.2843,0.17579412756591345,4.449484793111734,1.4494847931117336,0.22474512140104497,8.24580144693459,6.289170595119604,3.1377796250317336,4.648517396392751,6.952641026295277,2.862028357779066,4.2022111143923935,5.450908618047338,3.4621428389133455,4.9418661883251,6.952641026295277,0.22806790095240645,0.047803536650544,0.19731054381771035,0.037597359065583,0.13513560994083687,0.026321022039925916,0.011993748301168795,0.000679532481652623,0.0,0.007746670290839902,0.0002718129926610492,0.0,1448,178,2,1467,78,0,0.724,0.089,0.001,0.7335,0.039,0.0,5.402002569141379,6.788901406465144,4.832027494917012,5.584297368999918,1.0163527689401575,0.8148103503577062,1.0163527689401575,0.8148103503577062,1.0,1.0,1.0163527689401575,positive,1435,1330,1364,680,59,3,4,56,56,49,50,42,2,3,64,46,25,2.4620989608050214,11.72940528225472,0.375,64,62,11,0.7931777940710651,2.2104095035114373,0.84375,64,46,25,2.4620989608050214,11.72940528225472,0.375
L21_SV32,21,31,32,7.826683044433594,1.404213547706604,441490,2000,117.99245798629003,119.02048186830747,135.16997661862194,65.94469226126073,0.9762101066841831,560.0,-143.0,0.006757717568616926,0.007593581172564353,0.0017078529525017554,0.016711590296495958,0.9315,356.0435,17515.53339883123,931.535587378998,516.1282047916005,0.5588890458483585,29432,113.5,41.0,60.7866,0.5945499313460579,4.269722271185942,1.269722271185942,0.23420727075118256,7.345368880641457,4.219679995262114,3.2655223355147354,4.929342980196277,5.736915701815834,2.1523863812090136,2.9106209263225717,3.6046398383854203,3.2655223355147354,4.929342980196277,5.736915701815834,0.20804024918577,0.039622564988048385,0.14205581178258808,0.024039744294076838,0.13189341063423551,0.025002023615568268,0.01386246262571351,0.0009513454743136721,0.0,0.0007474857298178853,0.0,0.0,1742,305,0,253,0,0,0.871,0.1525,0.0,0.1265,0.0,0.0,5.568661514215304,6.39154024077675,3.2901988267150983,3.759052159522,0.9812063052063803,0.07521410966580308,0.9812063052063803,0.45128465799481854,1.0,0.16666666666666666,0.9812063052063803,positive,1239,842,977,334,131,8,5,29,29,23,32,59,2,2,64,57,26,2.1062478652701575,8.217350760986829,0.546875,64,60,30,2.8663692644593235,17.573098958175382,0.203125,64,57,26,2.1062478652701575,8.217350760986829,0.546875
L22_SV28,22,27,28,5.591434478759766,1.2254562377929688,441490,2000,38.99695339607688,77.97278111126526,102.69177175680252,94.99914532444717,0.6509592516251784,664.0,-450.0,0.003282995230506405,0.00425039097935506,6.795170898548099e-05,0.0016942626107046591,0.237,353.3565,23628.51209795239,435.9796967103168,531.1814966198235,2.4360658218496036,29432,32.75,57.8125,85.7128125,0.516157941585778,4.0709026274862445,1.0709026274862445,0.245645767414853,7.364709914284985,5.632180136429429,3.257972663071813,4.764608558376253,6.104688257662762,2.3071229870096728,3.1071084034256784,3.655451161400122,3.302831767420995,4.764608558376253,6.104688257662762,0.20589958227524,0.03855965504203411,0.15336589593470817,0.025187712655119297,0.1285875989328687,0.023916391728258966,0.015425387333514543,0.0007814623539005164,0.0,0.0016648545800489263,0.0,0.0,1524,202,0,323,3,0,0.762,0.101,0.0,0.1615,0.0015,0.0,5.452510381688851,6.524695476536836,3.4388091045314844,3.9988187296969167,0.9356077196836795,0.32874526900376566,0.9356077196836795,0.49311790350564855,1.0,0.6666666666666666,0.9356077196836795,positive,1440,1206,1291,1011,55,12,6,57,58,42,44,40,7,4,64,55,43,3.4854385088713538,32.63673547049445,0.109375,64,46,43,3.6012901107004036,36.645480687438976,0.078125,64,55,43,3.4854385088713538,32.63673547049445,0.109375
L21_SV41,21,40,41,7.0734992027282715,1.2690820693969727,441490,2000,241.77062725222754,244.5792124662365,261.35934041581413,99.27572019710487,0.9820041224036784,784.0,-326.0,0.014115904930475012,0.015150504540505733,0.062368343563840634,0.37343088178667694,0.9995,462.911,17515.53339883123,1730.0308643838323,702.2267276644963,0.4106194425906623,29432,248.0,60.0,88.95599999999999,-0.5654758333674665,4.481476809517304,1.4814768095173036,0.2231407284929606,6.025450784657584,6.452628265659428,2.38320068348397,3.5073519492782954,4.3192994289311395,3.420230226179235,4.901299518863259,5.54910180313858,3.529834974594182,4.901299518863259,5.54910180313858,0.171455663377333,0.03080479549897587,0.23260512435467448,0.03570642153810158,0.1448614968274781,0.02190278730793135,0.0028540364229410167,0.0,0.0,0.01477983147594455,0.0007814623539005164,0.0,442,4,0,1922,263,0,0.221,0.002,0.0,0.961,0.1315,0.0,3.7771482530689333,4.451639012545528,5.2497864112595,5.631997841629571,0.5129880717665007,0.9261565595938027,0.6155856861198009,0.9261565595938027,0.8333333333333334,1.0,0.9261565595938027,negative,830,67,59,67,40,2,7,5,5,4,5,10,1,3,64,44,19,2.4105047152822157,11.13958204376423,0.234375,64,59,12,1.6620914872899326,5.2703221372073825,0.390625,64,59,12,1.6620914872899326,5.2703221372073825,0.390625
L22_SV58,22,57,58,5.928351402282715,1.2992972135543823,441490,2000,178.9373566909075,180.8946587213895,210.45985105203548,110.79156685107353,0.9687195632970169,952.0,-213.0,0.0077039969039937,0.008998702274504434,0.006136039321388933,0.058662710367165735,0.999,567.028,23628.51209795239,1072.4071036964026,656.8113407026609,0.6191639850948053,29432,169.0,65.5,97.1103,0.7668738339293036,4.315301544825908,1.3153015448259078,0.23173351609669332,8.062996407178229,3.9336712995428913,3.614446665286793,4.873592193618989,5.841065262902065,2.123873574687752,2.7067520129172626,3.061307605887305,3.614446665286793,4.873592193618989,5.841065262902065,0.2041158215826411,0.033558243299363584,0.1290730654232724,0.019076910204843537,0.1348670604480378,0.022173203392529785,0.02184696928513183,0.0008833922261484099,0.0,0.00016988312041315575,0.0,0.0,1883,213,1,101,0,0,0.9415,0.1065,0.0005,0.0505,0.0,0.0,5.303247956190023,5.962292362396163,3.0068901033155084,3.3675109643364296,0.8927889270190859,0.06230906520496208,0.8927889270190859,0.3738543912297725,1.0,0.16666666666666666,0.8927889270190859,positive,1193,563,545,251,17,7,8,26,26,17,17,16,6,5,64,50,21,2.558919331799216,12.921845539905576,0.203125,64,53,17,2.4585110704372144,11.687396867879434,0.203125,64,50,21,2.558919331799216,12.921845539905576,0.203125
L22_SV55,22,54,55,6.7339887619018555,1.4758660793304443,441490,2000,-237.6092251744448,246.11476438895133,270.8981625085286,130.1063817131857,0.051883394867380916,480.0,-852.0,0.01047768475019815,0.011508652722241669,0.011898344243357721,0.1437541054157512,0.9925,566.503,23628.51209795239,1657.3340575333211,876.1349123083056,0.5475645216117572,29432,-249.0,73.0,108.2298,0.5177833224719269,4.323760336989243,1.3237603369892428,0.23128016403803003,6.735667995321067,5.5714784652655736,3.575724985170443,4.953700367181672,5.923030440784194,2.6517650406819566,3.7974753718476797,4.5862193222198515,3.6681209796192915,4.953700367181672,5.923030440784194,0.19037574522311948,0.031456280827543356,0.1969002181646519,0.03371822476077552,0.12471516301880452,0.020077909781935875,0.022934221255776027,0.0007474857298178853,0.0,0.005776026094047295,0.0,0.0,1921,261,0,952,9,0,0.9605,0.1305,0.0,0.476,0.0045,0.0,5.406089635202134,6.126039223947563,4.240976145202153,4.758393714115706,0.8785842643777745,0.6973122851441921,0.8785842643777745,0.6973122851441921,1.0,1.0,0.8785842643777745,positive,1041,369,209,76,5,6,9,14,14,13,12,4,5,6,64,56,21,2.519610781052658,12.423760159557764,0.328125,64,53,17,1.8436151359157462,6.319342297648988,0.5,64,56,21,2.519610781052658,12.423760159557764,0.328125
L22_SV47,22,46,47,5.911398410797119,1.2955816984176636,441490,2000,51.229852704412764,107.83533612073957,134.68142062483827,124.55756602233676,0.7176402636526309,684.0,-616.0,0.004589826777209841,0.005726113554900384,0.00021291535482117376,0.004373825001698793,0.4325,417.7885,23628.51209795239,637.4576345719131,736.3093978371987,2.4313473384553643,29432,64.0,71.0,105.26459999999999,-0.6530169152204401,4.392932784471622,1.392932784471622,0.2276383566657005,5.88991930810548,6.4599114992124615,2.4319666820564563,3.479574329831663,4.262428204733548,3.680059583183686,5.0267421336327605,5.550086163819541,3.7239489818989484,5.0267421336327605,5.550086163819541,0.17957092056469903,0.03205599134848607,0.19785885834352387,0.030451582257180674,0.13233706507199772,0.020185793067203327,0.0030578961674368036,0.0,0.0,0.023172057624354443,0.0010872519706441968,0.0,538,3,0,1952,328,0,0.269,0.0015,0.0,0.976,0.164,0.0,3.8768968865126543,4.44631908542853,5.433925555219894,5.927918787512612,0.41532633075510833,0.877185690972366,0.6229894961326625,0.877185690972366,0.6666666666666666,1.0,0.877185690972366,negative,1357,1087,1189,636,10,4,10,42,42,36,40,9,3,7,64,47,21,2.6071902730516303,13.560894861239866,0.234375,64,59,14,1.7966961856211334,6.029693532326891,0.453125,64,59,14,1.7966961856211334,6.029693532326891,0.453125
