offset,stratifier,direction,stratum,n_a,n_b,auc,ci_lo,ci_hi
0,L07_SV46,L07_SV46 (stratifier),pooled,207,1012,0.19722269958564856,0.1614639228164405,0.23256057737008973
0,L07_SV46,L07_SV46 (stratifier),S1,176,433,0.2820176359437329,0.23726432815264442,0.32694143897738764
0,L07_SV46,L07_SV46 (stratifier),S2,31,579,0.35656582539417236,0.26603965282674263,0.4497455809500231
0,L07_SV46,L07_SV39,pooled,207,1012,0.6697552080349812,0.6234015724173207,0.7146363101862222
0,L07_SV46,L07_SV39,S1,176,433,0.6108282595003149,0.556115348096561,0.6659131910026412
0,L07_SV46,L07_SV39,S2,31,579,0.6494512229093543,0.5387082759224053,0.7431167296319218
0,L07_SV46,probe (global CV),pooled,207,1012,0.8788714173874854,0.8507072876373808,0.9073212221824277
0,L07_SV46,probe (global CV),S1,176,433,0.8544181713205963,0.8207756952588234,0.890765157380341
0,L07_SV46,probe (global CV),S2,31,579,0.7859490779430609,0.715584320060738,0.8515187564120769
0,L07_SV46,"probe (global CV, minus L07_SV46)",pooled,207,1012,0.9195451681273987,0.8977380025431996,0.9379136625964218
0,L07_SV46,"probe (global CV, minus L07_SV46)",S1,176,433,0.8849070963678354,0.8531414758896303,0.9139152235273561
0,L07_SV46,"probe (global CV, minus L07_SV46)",S2,31,579,0.9100785559084071,0.8646027173734835,0.9447469207206741
0,L07_SV46,probe (within-stratum CV),pooled,207,1012,0.8972761642893968,0.8717411244842569,0.9222750810039454
0,L07_SV46,probe (within-stratum CV),S1,176,433,0.8642399748057946,0.8268631192216828,0.8957898718545652
0,L07_SV46,probe (within-stratum CV),S2,31,579,0.8758705220346538,0.8172911630181452,0.9280292170025173
