layer,total_gain,invariant_gain,gated_fraction,neg_mass,consistency_cos
0,8271463.084691048,463486.1303114508,0.9439656411972293,-0.0,0.9999892741166219
1,3673550.359734535,252086.73065769082,0.9313779025814396,-0.0,0.9999897042397561
2,2162706.5796871185,175179.41076926826,0.9189999177814442,-0.0,0.9999906683738637
3,1156255.048961401,91928.20496128067,0.9204948726114929,-0.0,0.9999911865659048
4,835632.6234331131,72848.42643468903,0.9128224241229375,-0.0,0.9999916839154457
5,534981.9474503994,53908.807168160754,0.8992324742450138,-0.0,0.9999921412354409
6,417987.06004428864,45903.305394452145,0.8901800802407893,-0.0,0.999992532264103
7,313767.5556025505,39170.105324953955,0.8751620279868236,-0.0,0.9999927708374979
8,245496.5358660221,33877.92804888108,0.8620024191813048,2.7150022229974762e-06,0.9999932190086717
9,196035.42591685057,26916.08664309115,0.8626978439371068,9.22676883550555e-06,0.9999938517681
10,181018.75630646944,25472.60433846009,0.859281961393358,1.4510020448728389e-05,0.9999943084621934
11,169813.53094279766,24388.69263672439,0.85637956821627,2.3051660700036937e-05,0.9999945179281386
12,165810.54476046562,23840.13240272936,0.8562206496747873,4.067081241240424e-05,0.9999945681802132
13,159817.626606822,23297.135289076403,0.8542267471760719,0.000129435456156119,0.9999947824783629
14,156188.15609121323,23058.892619557893,0.8523646530144604,0.00032790865431344844,0.9999949442891595
15,147970.23217397928,21958.696201644805,0.8516005829076054,0.0006656446977529968,0.9999950764436663
16,142502.5279558599,20966.564858005033,0.8528688216359263,0.001163778223830786,0.9999949849594238
17,130792.35484060645,19893.863305908162,0.8478973535559295,0.0019154970580315958,0.9999951139236206
18,120238.8496786952,17509.919420431237,0.8543738611337216,0.0026833331081985933,0.9999946792185737
19,111211.91765016317,14410.969139255418,0.8704188413998248,0.0037693975040927336,0.9999943529722657
20,94346.60977500677,9864.081407413098,0.8954484805449132,0.005013963038748166,0.9999931328913573
21,49879.55427925289,6483.210524592635,0.8700226852811055,0.012080199758920657,0.9999923512348441
22,46325.750656187534,5586.37168788415,0.8794110919142116,0.013610058269410048,0.9999891330563957
