layer,total_gain,invariant_gain,gated_fraction,neg_mass,consistency_cos
0,8924095.463528633,3417882.75812037,0.6170051326670902,0.35321713781022523,0.21676015411263083
1,3859198.347223282,1727447.069237796,0.5523818902750346,0.41901808284101605,0.24115483658697995
2,2283394.3897094727,1452603.4774577334,0.3638403054662164,0.6116889475967817,0.2546629698937005
3,1200082.3527107239,812434.2807265406,0.32301789215429333,0.6568743924524346,0.26995411827880017
4,870318.1799373627,542785.3065003745,0.3763369316961309,0.5972679789840974,0.3139384023171512
5,549636.3499803543,293254.2640422683,0.4664576605008929,0.4936824421332737,0.3929040228101201
6,429316.87520194054,203564.62891892646,0.5258406070733315,0.42445561571309726,0.4361673207628789
7,321289.55859434605,123899.03803222053,0.6143695469772392,0.317897106478106,0.4986866046505323
8,249413.57906407118,106112.44257156979,0.5745522638752927,0.3486360634846153,0.5335419993413488
9,199879.3216559887,58409.75677753867,0.70777488990048,0.19315136754648754,0.6125050144726341
10,184574.52849680185,47407.50062407181,0.7431525302534188,0.14535008972009286,0.6538989081821037
11,173452.3684400916,43263.44370029874,0.7505745001386855,0.12841584245917034,0.6787288531865338
12,169400.98090571165,40150.81261304571,0.7629835884162112,0.11021062560272682,0.6951797355925926
13,163114.35796397924,34210.556781277235,0.7902664289747442,0.07273475307119658,0.7358693446742013
14,159352.4073165655,31853.657024308377,0.8001055800743022,0.05781096082356691,0.7587623398160235
15,150294.8511467576,28571.666797120786,0.8098959040904098,0.03895226785613848,0.7829685038276132
16,144542.88376525044,26933.97782390821,0.8136609902729545,0.029926967476111302,0.8031605912619244
17,131808.90783149004,25283.178213497555,0.8081830839094682,0.027864340402351022,0.8328058161586526
18,121042.33990958333,22616.218311850716,0.813154485209517,0.02863636294949151,0.8511024394772931
19,112420.72221718729,17740.22736191481,0.8421978883248749,0.021726111834943062,0.8882963517892547
20,93894.88704094291,11669.674316354041,0.8757155508237049,0.020286900013228467,0.89924621534775
21,48430.35963712633,7417.302619131972,0.8468460140559038,0.03736741391485091,0.9157079155483737
22,45060.653565227985,5794.989956786507,0.8713957854961444,0.029125895606790384,0.9453368967100365
