layer,mean_cos,ov_JR,R_in_GJ,J_in_GR,ov_GJ_GR,align_total,align_gated,gated_corr_median,gated_corr_min,gated_corr_max
0,0.6706745694011652,0.6738220453262329,0.03916633874177933,0.15079927444458008,0.21403686702251434,0.4487739747150778,0.44868154908734065,0.5322706548577476,0.29611574091907433,0.7749431623339796
1,0.7302590511334117,0.6391274929046631,0.054982226341962814,0.18904568254947662,0.2592545449733734,0.4763748368241141,0.4764584202906364,0.6140780526662961,0.39441184354103703,0.683483639506086
2,0.7683357951131438,0.6752516627311707,0.08207970857620239,0.20118410885334015,0.33180782198905945,0.4903759869828771,0.490065392493254,0.5633778837114543,0.4008333632616726,0.8086664581140461
3,0.7860535326181243,0.6934338212013245,0.07426852732896805,0.2010413408279419,0.28419822454452515,0.5128241114069442,0.5117615086019356,0.5249689403771368,0.3421242799048193,0.7426450130558807
4,0.7991608040058022,0.710841178894043,0.11496930569410324,0.23354580998420715,0.34961241483688354,0.5391170814472154,0.5368080476306291,0.48772197014980256,0.365989684294417,0.8833152560862562
5,0.8079063341663173,0.7107285261154175,0.28827226161956787,0.29176703095436096,0.4082891047000885,0.5625951825021325,0.5581762247520252,0.4886519719736183,0.3441759825397924,0.7762151651192688
6,0.8171519294940258,0.4887849688529968,0.10048629343509674,0.18052926659584045,0.32769957184791565,0.5571913140891156,0.556078804952706,0.47024513220216324,0.3563659057139854,0.6096915076241435
7,0.8326452456665893,0.5068724155426025,0.13224270939826965,0.1998876929283142,0.3854482173919678,0.5941098374196659,0.5926760227854226,0.63262264725391,0.4528089455161886,0.81534922316811
8,0.8459886276657027,0.5016608238220215,0.162450909614563,0.22384551167488098,0.43984538316726685,0.6188689433443016,0.6172604822104598,0.723266262432474,0.4764742919440303,0.869601356313481
9,0.8616219970108027,0.5323773622512817,0.2101728916168213,0.2685275375843048,0.49162715673446655,0.6419222763333456,0.6393189589003122,0.8335219692494267,0.4796422115894953,0.8680467508577142
10,0.8722319887135852,0.5736904144287109,0.23039059340953827,0.2939058244228363,0.5445813536643982,0.6622171643271977,0.6589336032297831,0.7470024857552604,0.5421074791623889,0.8791826132234584
11,0.884107624839113,0.6208418607711792,0.28309470415115356,0.3286440372467041,0.5750041604042053,0.6867019753050241,0.6826074005647552,0.798965700974983,0.5450068155817548,0.9153372442750062
