layer,arm,total_gain,invariant_gain,gated_fraction,neg_mass,top_eig_S,top_eig_G,consistency_cos
0,J,16707483.259033203,37797.66295637792,0.9977376806326625,-0.0,340594.875,340411.53125,0.9536511483813835
0,R,770541.162311554,11005.750268237593,0.985716856144036,-0.0,19689.126953125,19315.11328125,0.9842064088354459
1,J,7631722.624572754,18956.92457300616,0.9975160359586487,-0.0,198101.546875,197994.765625,0.9519506457821005
1,R,509680.9869747162,9522.214730055095,0.9813173044052996,-0.0,15186.7265625,14977.74609375,0.9851739518511966
2,J,3768540.3701171875,15259.982298527746,0.9959506915676073,-0.0,89749.09375,89741.4140625,0.9673472574173965
2,R,310726.0588798523,8644.80978881578,0.9721786778360986,-0.0,13582.455078125,13408.7646484375,0.9877478591491946
3,J,1972946.9360656738,12151.425903991658,0.9938409768241293,-0.0,33621.70703125,33617.97265625,0.9810630856445093
3,R,198718.1148967743,6725.701849823528,0.9661545609301032,-0.0,4069.435546875,3929.964111328125,0.992094656214958
4,J,1082307.212600708,10954.341806107324,0.9898787131060646,-0.0,18278.86328125,18277.041015625,0.9880509724977511
4,R,146787.9259815216,6368.002076309354,0.9566176711488451,-0.0,2491.946533203125,2213.69921875,0.9943649094810911
5,J,621166.6830749512,10601.964980889257,0.982932173811373,-0.0,8882.138671875,8878.89453125,0.991600806096278
5,R,116678.96859931946,6638.426566481007,0.9431052001387016,-0.0,2288.545166015625,2008.85595703125,0.9951778911205602
6,J,353177.58726501465,3184.3084734428617,0.9909838319636817,-0.0,3311.197998046875,3307.656005859375,0.9859722789111717
6,R,78912.65582942963,3732.2394145978137,0.9527041717786677,-0.0,871.342041015625,753.51513671875,0.9952523702291847
7,J,281598.78565979004,3367.85640115567,0.9880402310923865,-0.0,2355.844482421875,2350.469482421875,0.9878427387091648
7,R,74242.16197872162,4039.863970523497,0.9455853134815585,-0.0,788.1503295898438,683.15087890625,0.9956627883649738
8,J,242510.15426635742,3621.260199466231,0.9850675935182125,-0.0,2028.9417724609375,2023.8056640625,0.9896445203589275
8,R,70866.31140995026,4529.162837922007,0.9360886329793359,2.393203860168993e-06,752.6214599609375,656.0106201171875,0.9963027774448057
9,J,193555.80111694336,3971.298864386865,0.979482408476161,-0.0,1663.5128173828125,1658.6383056640625,0.991882519942069
9,R,64494.74269866943,5087.0961960225095,0.9211238624551105,2.2208944770440366e-05,692.4129638671875,582.783447265625,0.996969292383572
10,J,159608.27863502502,4081.0328975260554,0.9744309447327721,-0.0,1443.4844970703125,1439.0020751953125,0.9934987682869437
10,R,59122.8113155365,5385.4826104012645,0.9089102414014258,4.561533958557544e-05,613.661376953125,512.3441162109375,0.9975351997100012
11,J,138391.2902355194,4578.950959943957,0.966913011995543,-0.0,1106.457275390625,1102.449951171875,0.9943221061786887
11,R,55919.13167524338,6082.816517911093,0.891221191465602,7.854355326873807e-05,597.4444580078125,494.23291015625,0.9978115649365346
12,J,123055.28434562683,4741.5911535030755,0.961467797350455,-0.0,1019.19775390625,1015.9047241210938,0.9949836908909592
12,R,52303.62013530731,6400.163255261799,0.8776344115626253,0.00011860678914648994,614.5612182617188,501.8925476074219,0.9981559510264792
13,J,108674.44013404846,5166.649690880551,0.9524575448973323,-0.0,1035.608642578125,1032.2850341796875,0.9954934490251754
13,R,48901.81078481674,6968.533906610248,0.8574994709853593,0.00019847642055718215,624.2852783203125,501.9393615722656,0.998321422805892
14,J,96872.44579601288,5446.298667390557,0.9437786604577014,-0.0,961.3772583007812,926.40380859375,0.9960078890003758
14,R,45904.55781459808,7254.330518895846,0.8419692757264966,0.0003410834383409682,589.96484375,483.5542297363281,0.9985081104069914
15,J,83803.89487743378,5891.842513149238,0.9296948844470025,-0.0,823.9992065429688,779.6796264648438,0.9963786630115056
15,R,43439.416179180145,7632.296906239615,0.8243001960533333,0.000779119324464871,574.4228515625,498.8388671875,0.9986052319106765
16,J,65949.64733314514,5676.899795892876,0.9139206951749723,1.7197389058558012e-05,496.22515869140625,491.018310546875,0.9969279619613601
16,R,35577.72481203079,7337.274171527357,0.79376775186461,0.002397093497895905,480.0541687011719,408.21533203125,0.9988268722028641
17,J,54624.288170814514,5806.672833746581,0.8936979679151397,5.423538059624751e-05,436.0340576171875,431.60028076171875,0.9973074887846496
17,R,31263.114798784256,7374.374770743747,0.7641190003553159,0.0065559691012199274,405.7818298339844,353.4594421386719,0.9989706140435008
18,J,38722.81579828262,5091.208622928896,0.8685217353652599,0.00015103507288710203,384.21588134765625,381.4054260253906,0.9976947868170571
18,R,23861.249298095703,6608.445198634473,0.7230469739418937,0.01632659462131859,293.4056091308594,286.43011474609375,0.9991296722336532
19,J,29588.34956073761,4800.21099300598,0.8377668553917708,0.0003719881994074741,280.29248046875,278.46337890625,0.9982399565342431
19,R,18920.590467453003,5928.516168244683,0.686663258292977,0.033644938700248546,228.4833221435547,224.34481811523438,0.9992870382655892
20,J,24687.151350736618,5145.126060670442,0.7915868871392924,0.0014824113133299437,236.0381622314453,234.45309448242188,0.9986567284282333
20,R,16233.402059435844,6006.238353192722,0.6300074173483845,0.06798386260998747,198.76025390625,195.8516082763672,0.999438656854267
21,J,21561.297226428986,5381.277297302149,0.7504195948513713,0.00615201152583918,208.53543090820312,207.20797729492188,0.9989059171599239
21,R,15036.42168533802,6083.640272253135,0.5954063806161224,0.10419172920955627,179.75718688964844,177.48890686035156,0.9995267024568304
22,J,19515.46265745163,5759.824947984478,0.7048583961812869,0.02012751698473932,193.52052307128906,192.25607299804688,0.9991072521821591
22,R,13815.692778587341,6059.762194993724,0.5613855713131067,0.14894743302328184,169.9612579345703,168.6343536376953,0.9995969512732524
23,J,16402.93395924568,5724.678205774004,0.650996692421161,0.043841209182207984,162.82708740234375,161.71072387695312,0.9993053537685419
23,R,11858.174907684326,5828.198294773359,0.508507983720448,0.21069223859074868,145.466064453125,144.32728576660156,0.9996858294540053
24,J,14414.83738541603,5818.497089748613,0.5963536088422767,0.08743371242499992,158.3228759765625,157.2482147216797,0.9994798955318044
24,R,10869.285238265991,5792.113770840712,0.4671118069061968,0.2729107172673512,142.58474731445312,141.50123596191406,0.9997582051742846
25,J,13016.304000020027,5892.185574999026,0.5473226827684756,0.14693131587159625,151.5529022216797,150.5210418701172,0.9996048183210173
25,R,10183.866331100464,5744.638650013458,0.4359078896715355,0.3249847492862224,137.99990844726562,136.95555114746094,0.9998049600474852
26,J,11817.331416010857,5949.016429620364,0.4965854624708024,0.22731319775045225,158.88238525390625,157.86668395996094,0.9997036672080122
26,R,9648.812767922878,5698.438359973798,0.40941559370723357,0.3715526290766832,140.1693115234375,139.07675170898438,0.9998406830269455
27,J,8289.578536629677,5590.608562437885,0.3255859103410005,0.46055144247413415,101.42247772216797,99.54277801513672,0.99983506541033
27,R,7073.5270874500275,5364.720253981357,0.2415777606196582,0.6121525890031216,96.03093719482422,94.35244750976562,0.9999219917425818
28,J,6621.126726388931,5032.455487008982,0.23993971192972285,0.6121908264424227,89.65383911132812,88.07572174072266,0.9998953125353722
28,R,5951.603160917759,4883.126413972335,0.17952755216640837,0.7171266211608053,86.2943344116211,84.83602142333984,0.9999482303838846
29,J,5366.870948433876,4616.264584561197,0.1398592161214005,0.7802601244076331,80.06390380859375,78.7597427368164,0.9999465421230949
29,R,5081.625817894936,4541.128854077278,0.1063629993995816,0.8355462419413063,78.4813232421875,77.23653411865234,0.9999725604143404
