layer,alpha,set,K,within_acc,cross_acc,n_within,n_cross
2,0.05,gnotj,56,0.3958,0.2708,240,240
2,0.05,jpriv,56,0.3417,0.1,240,240
2,0.05,pairH,56,0.3694,0.0639,360,360
2,0.05,pairL,56,0.4722,0.2306,360,360
2,0.05,rand,56,0.3271,0.1792,480,480
2,0.05,shared,56,0.1458,0.0208,240,240
2,0.05,topG,56,0.1896,0.0417,480,480
2,0.05,topG_R,56,0.4229,0.0938,480,480
2,0.05,topJbar,56,0.6104,0.6104,480,480
2,0.1,gnotj,56,0.5542,0.4042,240,240
2,0.1,jpriv,56,0.45,0.0833,240,240
2,0.1,pairH,56,0.5611,0.0861,360,360
2,0.1,pairL,56,0.7306,0.2778,360,360
2,0.1,rand,56,0.6583,0.25,480,480
2,0.1,shared,56,0.1792,0.0167,240,240
2,0.1,topG,56,0.2583,0.0604,480,480
2,0.1,topG_R,56,0.5208,0.1604,480,480
2,0.1,topJbar,56,0.6625,0.65,480,480
2,0.2,gnotj,56,0.3833,0.35,240,240
2,0.2,jpriv,56,0.3333,0.2042,240,240
2,0.2,pairH,56,0.4944,0.0917,360,360
2,0.2,pairL,56,0.5611,0.3139,360,360
2,0.2,rand,56,0.7417,0.3354,480,480
2,0.2,shared,56,0.0833,0.0208,240,240
2,0.2,topG,56,0.1917,0.0875,480,480
2,0.2,topG_R,56,0.3312,0.1938,480,480
2,0.2,topJbar,56,0.5896,0.6604,480,480
2,0.5,gnotj,56,0.1083,0.3667,240,240
2,0.5,jpriv,56,0.0667,0.1917,240,240
2,0.5,pairH,56,0.1222,0.1944,360,360
2,0.5,pairL,56,0.1806,0.3139,360,360
2,0.5,rand,56,0.2812,0.4562,480,480
2,0.5,shared,56,0.0292,0.175,240,240
2,0.5,topG,56,0.0292,0.1354,480,480
2,0.5,topG_R,56,0.0458,0.2958,480,480
2,0.5,topJbar,56,0.3333,0.6542,480,480
2,1.0,gnotj,56,0.025,0.4458,240,240
2,1.0,jpriv,56,0.0167,0.2208,240,240
2,1.0,pairH,56,0.0306,0.2972,360,360
2,1.0,pairL,56,0.0639,0.4917,360,360
2,1.0,rand,56,0.0896,0.475,480,480
2,1.0,shared,56,0.0042,0.1333,240,240
2,1.0,topG,56,0.0167,0.3396,480,480
2,1.0,topG_R,56,0.025,0.5042,480,480
2,1.0,topJbar,56,0.1208,0.6438,480,480
10,0.05,gnotj,56,0.7625,0.3583,240,240
10,0.05,jpriv,56,0.8333,0.4458,240,240
10,0.05,pairH,56,0.8861,0.3944,360,360
10,0.05,pairL,56,0.9222,0.5028,360,360
10,0.05,rand,56,0.6896,0.3979,480,480
10,0.05,shared,56,0.4292,0.125,240,240
10,0.05,topG,56,0.2396,0.0771,480,480
10,0.05,topG_R,56,0.8708,0.5021,480,480
10,0.05,topJbar,56,0.6833,0.5958,480,480
10,0.1,gnotj,56,0.8292,0.375,240,240
10,0.1,jpriv,56,0.825,0.4708,240,240
10,0.1,pairH,56,0.8722,0.3889,360,360
10,0.1,pairL,56,0.9444,0.55,360,360
10,0.1,rand,56,0.9625,0.4688,480,480
10,0.1,shared,56,0.4708,0.1583,240,240
10,0.1,topG,56,0.2375,0.0813,480,480
10,0.1,topG_R,56,0.9333,0.5375,480,480
10,0.1,topJbar,56,0.7188,0.6083,480,480
10,0.2,gnotj,56,0.6542,0.4083,240,240
10,0.2,jpriv,56,0.6042,0.5167,240,240
10,0.2,pairH,56,0.6,0.3889,360,360
10,0.2,pairL,56,0.8194,0.5028,360,360
10,0.2,rand,56,0.9583,0.5021,480,480
10,0.2,shared,56,0.4375,0.1667,240,240
10,0.2,topG,56,0.1896,0.1,480,480
10,0.2,topG_R,56,0.8271,0.5646,480,480
10,0.2,topJbar,56,0.6833,0.6104,480,480
10,0.5,gnotj,56,0.1958,0.5917,240,240
10,0.5,jpriv,56,0.2167,0.5917,240,240
10,0.5,pairH,56,0.2083,0.55,360,360
10,0.5,pairL,56,0.4111,0.6417,360,360
10,0.5,rand,56,0.7375,0.6104,480,480
10,0.5,shared,56,0.175,0.2458,240,240
10,0.5,topG,56,0.0542,0.1396,480,480
10,0.5,topG_R,56,0.3229,0.6292,480,480
10,0.5,topJbar,56,0.4125,0.6458,480,480
10,1.0,gnotj,56,0.1292,0.7,240,240
10,1.0,jpriv,56,0.0917,0.7625,240,240
10,1.0,pairH,56,0.0972,0.7167,360,360
10,1.0,pairL,56,0.2194,0.8111,360,360
10,1.0,rand,56,0.4,0.7792,480,480
10,1.0,shared,56,0.0333,0.4417,240,240
10,1.0,topG,56,0.0292,0.1646,480,480
10,1.0,topG_R,56,0.1375,0.8479,480,480
10,1.0,topJbar,56,0.1625,0.7,480,480
17,0.05,gnotj,56,0.8125,0.45,240,240
17,0.05,jpriv,56,0.9708,0.7458,240,240
17,0.05,pairH,56,0.75,0.5194,360,360
17,0.05,pairL,56,1.0,0.8333,360,360
17,0.05,rand,56,0.9354,0.7833,480,480
17,0.05,shared,56,0.4542,0.3458,240,240
17,0.05,topG,56,0.6104,0.5312,480,480
17,0.05,topG_R,56,0.975,0.7708,480,480
17,0.05,topJbar,56,0.4979,0.4437,480,480
17,0.1,gnotj,56,0.9,0.475,240,240
17,0.1,jpriv,56,0.9958,0.7667,240,240
17,0.1,pairH,56,0.7694,0.5778,360,360
17,0.1,pairL,56,0.9722,0.8417,360,360
17,0.1,rand,56,0.9896,0.8313,480,480
17,0.1,shared,56,0.4917,0.3375,240,240
17,0.1,topG,56,0.6083,0.5271,480,480
17,0.1,topG_R,56,0.9979,0.7729,480,480
