layer,set,alpha,med_anti_per_eps,n
2,gnotj,0.05,25.94161740755157,240
2,gnotj,0.1,23.44561751773014,240
2,gnotj,0.2,22.591682489407038,240
2,gnotj,0.5,21.17890692540194,240
2,gnotj,1.0,25.374384314122658,240
2,jpriv,0.05,27.141980217469122,240
2,jpriv,0.1,23.22855694686361,240
2,jpriv,0.2,22.640595748251183,240
2,jpriv,0.5,21.30135948109809,240
2,jpriv,1.0,25.438983240968966,240
2,pairH,0.05,25.864427126758557,360
2,pairH,0.1,22.364850310313706,360
2,pairH,0.2,21.504225252790498,360
2,pairH,0.5,21.499057773714547,360
2,pairH,1.0,27.88501282136447,360
2,pairL,0.05,28.314754460135543,360
2,pairL,0.1,24.97994019993979,360
2,pairL,0.2,22.871277462823763,360
2,pairL,0.5,22.649758956706325,360
2,pairL,1.0,26.768860647803372,360
2,rand,0.05,22.68563790882504,480
2,rand,0.1,19.019807323150157,480
2,rand,0.2,17.85825195766214,480
2,rand,0.5,15.88857290095458,480
2,rand,1.0,16.58484056485669,480
2,shared,0.05,26.996962534610958,240
2,shared,0.1,24.71960415148718,240
2,shared,0.2,27.00955654470645,240
2,shared,0.5,30.02896624910357,240
2,shared,1.0,41.99184990775367,240
2,topG,0.05,26.331731550409717,480
2,topG,0.1,23.364758780165452,480
2,topG,0.2,23.96458590498611,480
2,topG,0.5,28.42635331558578,480
2,topG,1.0,34.98464227734626,480
2,topG_R,0.05,26.991376053833598,480
2,topG_R,0.1,24.754140890461805,480
2,topG_R,0.2,24.374064028456637,480
2,topG_R,0.5,28.46707123734637,480
2,topG_R,1.0,35.1420448359561,480
2,topJbar,0.05,46.87417163097243,480
2,topJbar,0.1,43.22027316181803,480
2,topJbar,0.2,38.348351803857696,480
2,topJbar,0.5,31.014546189101587,480
2,topJbar,1.0,28.53626399106006,480
10,gnotj,0.05,13.643874531842929,240
10,gnotj,0.1,13.647428827306236,240
10,gnotj,0.2,13.671198442782252,240
10,gnotj,0.5,13.960761589302177,240
10,gnotj,1.0,15.830864145695056,240
10,jpriv,0.05,15.776752225500452,240
10,jpriv,0.1,15.616239982878845,240
10,jpriv,0.2,15.672353575275986,240
10,jpriv,0.5,16.565800329180256,240
10,jpriv,1.0,18.055848562226238,240
10,pairH,0.05,15.72835231052887,360
10,pairH,0.1,14.862229980977071,360
10,pairH,0.2,14.537770180662385,360
10,pairH,0.5,15.26269835598089,360
10,pairH,1.0,15.000206118438197,360
10,pairL,0.05,14.631388984453597,360
10,pairL,0.1,14.304597473240484,360
10,pairL,0.2,13.955303702161128,360
10,pairL,0.5,12.814624862001196,360
10,pairL,1.0,12.936421677999505,360
10,rand,0.05,8.777267827382985,480
10,rand,0.1,8.20153438293677,480
10,rand,0.2,7.8554759391365305,480
10,rand,0.5,7.140543464715353,480
10,rand,1.0,6.579486731248673,480
10,shared,0.05,14.437934882250222,240
10,shared,0.1,13.842648536800038,240
10,shared,0.2,13.774891617428764,240
10,shared,0.5,14.560518456797425,240
10,shared,1.0,14.92176177874854,240
