layer,n_svd,n_rotated,median_svd,median_rotated,rbc_vs_rotated,p_vs_rotated,q_vs_rotated,n_random,median_random,rbc_vs_random,p_vs_random,svd_yield_above_rot_q90,svd_yield_above_rot_q95,svd_yield_above_rot_q99,energy_ratio_svd_over_rotated
0,64,128,0.08960842732266737,0.08216572404827117,0.20703125,0.009775949554711616,0.07494894658612239,64,0.17119275536644474,-0.20751953125,0.9787073411681114,0.328125,0.15625,0.0625,0.9996266066397171
1,64,128,0.08641393168354967,0.08016584069181579,0.25927734375,0.0017255965290290387,0.019844360083833945,64,0.24784621235424026,-0.31591796875,0.9989846772721378,0.296875,0.1875,0.09375,0.9999775397321906
2,64,128,0.15018638599698636,0.08154787780164399,0.34423828125,5.155992121097519e-05,0.0011858781878524294,64,0.3748600349740365,-0.32177734375,0.9991635857435376,0.328125,0.203125,0.09375,1.0000105075535497
3,64,128,0.09036142374326558,0.08490878118803832,0.087646484375,0.16166032430291133,0.47650960238576134,64,0.43384264100767583,-0.52880859375,0.9999998788167768,0.171875,0.0625,0.015625,0.9998495210617183
4,64,128,0.08831954490696367,0.0860216683984374,0.130859375,0.07006771989697191,0.26859292627172565,64,0.5676109683147259,-0.59326171875,0.9999999965339821,0.171875,0.140625,0.0,1.0002860817470656
5,64,128,0.15130718372931087,0.16763727918884985,0.036865234375,0.3392089167457564,0.5823322871419613,64,0.5522405504717015,-0.52490234375,0.9999998515321695,0.171875,0.171875,0.0,0.9996433482722196
6,64,128,0.09399735462148853,0.09832431121074488,0.016357421875,0.42731836724807304,0.614270152919105,64,0.48596498062816673,-0.45849609375,0.9999962196905962,0.171875,0.109375,0.0,1.0000887939499892
7,64,128,0.17652026331808252,0.1580108524259387,0.086181640625,0.16574247039504741,0.47650960238576134,64,0.462227860982099,-0.39111328125,0.9999331692910185,0.203125,0.140625,0.046875,1.0000430998728171
8,64,128,0.1911611872426765,0.1914718699113111,0.033203125,0.3544631313038026,0.5823322871419613,64,0.5739953853234745,-0.43115234375,0.9999872535008487,0.21875,0.15625,0.09375,0.9999463968547484
9,64,128,0.1876127717382751,0.17301282895690728,-0.001708984375,0.5082424709387121,0.6494209350883544,64,0.47121775332447013,-0.4296875,0.9999864220895884,0.171875,0.078125,0.046875,1.000108851197179
10,64,128,0.18104262172529612,0.1772691837459161,-0.032958984375,0.6455368686961974,0.7263999893016255,64,0.4388452400682976,-0.4287109375,0.9999858394396985,0.109375,0.078125,0.0625,0.9998416540761454
11,64,128,0.1836808336616037,0.17130369524425842,0.020263671875,0.4101010334071937,0.614270152919105,64,0.2990684128306876,-0.25732421875,0.9940288312525012,0.15625,0.09375,0.0625,0.999984965682445
12,64,128,0.17289044860784514,0.17247099357725354,-0.05322265625,0.7263999893016255,0.7263999893016255,64,0.4168296698098982,-0.39794921875,0.9999491145888633,0.078125,0.0625,0.03125,0.9998661692942644
13,64,128,0.16536564936494175,0.16865638503926872,-0.052978515625,0.7254822870152281,0.7263999893016255,64,0.3446795033722052,-0.43310546875,0.9999882869652716,0.078125,0.046875,0.015625,0.99988310751929
14,64,128,0.18845953639901403,0.1727319464503937,0.0751953125,0.19845478007090722,0.49665915524285165,64,0.24776779896330398,-0.07421875,0.7663107472658808,0.21875,0.109375,0.0625,0.9997628142981027
15,64,128,0.1658709017703563,0.15643314520831833,0.057373046875,0.25912651577887913,0.49665915524285165,64,0.17369740114539736,-0.0732421875,0.7633807699498076,0.125,0.078125,0.0625,0.9999661415123683
16,64,128,0.1711597442458469,0.1238575729186726,0.06201171875,0.2424681984051419,0.49665915524285165,64,0.16346638604678432,0.04541015625,0.3296730395585552,0.109375,0.0,0.0,0.9998631502475946
17,64,128,0.17883694664151795,0.17553745602671356,-0.016357421875,0.5737621420987464,0.6945541720142719,64,0.25676691234134513,-0.17529296875,0.9566645265229066,0.109375,0.03125,0.0,1.0001140798704804
18,64,128,0.270831730963513,0.1747299293662946,0.137451171875,0.06061024348750188,0.26859292627172565,64,0.26616469395332776,0.0634765625,0.2685703190292098,0.078125,0.046875,0.0,1.0001723551881143
19,64,128,0.34894346174829344,0.26259442596363397,0.067626953125,0.22310478670324652,0.49665915524285165,64,0.5124706465066827,-0.15673828125,0.9372553235410644,0.109375,0.03125,0.03125,1.0000610581530358
20,64,128,0.40816758150781557,0.46137917968612596,-0.04296875,0.6866058678474221,0.7263999893016255,64,0.5673071060772512,-0.15576171875,0.936070959740534,0.015625,0.015625,0.015625,0.9995458328392479
21,64,128,0.597297221848183,0.5999355336807877,0.001953125,0.4917575290612879,0.6494209350883544,64,0.6099076318137389,-0.044921875,0.6703269604414448,0.15625,0.125,0.015625,0.9995006822288297
22,64,128,0.7040682454130447,0.6709871848558365,0.13427734375,0.06503112674851741,0.26859292627172565,64,0.6525429981284196,0.24462890625,0.00853554681191604,0.125,0.0625,0.046875,0.9989331716927776
