blind_id,condition,run,candidate,layer,sv_rank_1based,singular_value,tail_selectivity_score,layer_bar,excess_over_bar,selected_tail_polarity,stable_excess_kurtosis,doc_count_z5_selected,doc_count_z5_opposite,lexical_concentration
7bbfbf34,random,scan_rand_r0,L14_SV34,14,34,2.892286539077759,1.0707371366983527,0.6303430378373436,0.4403940988610091,positive,1.363278725221254,360.0,2.0,0.25
14cec027,random,scan_rand_r0,L12_SV52,12,52,3.8017985820770264,0.9697529228217902,0.6617021283390077,0.3080507944827825,positive,1.0553880248962297,319.0,0.0,0.15625
bffb0cb2,random,scan_rand_r0,L12_SV62,12,62,5.175905704498291,0.9630346661871155,0.6617021283390077,0.3013325378481079,negative,0.8689501064586631,286.0,0.0,0.21875
acabe9dc,random,scan_rand_r0,L06_SV40,6,40,13.997007369995117,0.8671231027796177,0.701957852153514,0.16516525062610365,negative,0.7114769172584889,126.0,3.0,0.421875
9d8b0cae,random,scan_rand_r0,L12_SV41,12,41,3.0041322708129883,0.8080856402393378,0.6617021283390077,0.14638351190033017,positive,0.6988422810607551,224.0,0.0,0.15625
ecf5ee17,random,scan_rand_r0,L10_SV50,10,50,2.9158971309661865,0.7623809309242132,0.632942050350575,0.12943888057363817,positive,0.5726999809583213,152.0,3.0,0.15625
68594b89,random,scan_rand_r0,L12_SV21,12,21,3.5509684085845947,0.7716211033144534,0.6617021283390077,0.10991897497544578,positive,0.6285857752192925,220.0,0.0,0.203125
870383c7,random,scan_rand_r0,L19_SV14,19,14,2.4258666038513184,0.8770992973925813,0.7684120129485171,0.10868728444406417,positive,0.9086544572084452,90.0,3.0,0.5625
997e1aaa,random,scan_rand_r0,L01_SV53,1,53,14.105508804321289,0.7026446200508444,0.629390345805429,0.07325427424541542,positive,0.36974129193634386,37.0,0.0,0.28125
c71470e8,random,scan_rand_r0,L02_SV50,2,50,29.178319931030273,0.6992980134639736,0.628397729598274,0.07090028386569958,positive,0.49142735352467337,33.0,2.0,0.0625
b973ccff,random,scan_rand_r0,L00_SV35,0,35,36.421653747558594,0.7417298055069138,0.6743634934070628,0.067366312099851,positive,0.5105177928166076,39.0,0.0,0.0625
c33ba7cd,random,scan_rand_r0,L02_SV48,2,48,21.61493492126465,0.69508412667243,0.628397729598274,0.06668639707415602,negative,0.6357132965540875,20.0,5.0,0.125
027139b2,random,scan_rand_r0,L14_SV28,14,28,3.7797348499298096,0.6925040002117742,0.6303430378373436,0.062160962374430584,positive,0.3819524478544092,60.0,0.0,0.1875
2d8f268a,random,scan_rand_r0,L01_SV48,1,48,42.189456939697266,0.6899513840613657,0.629390345805429,0.06056103825593673,positive,0.5774245676729692,29.0,2.0,0.203125
fc164ba0,random,scan_rand_r0,L12_SV24,12,24,3.2843170166015625,0.7095208786580613,0.6617021283390077,0.04781875031905369,negative,0.39994467727691463,99.0,1.0,0.1875
d8ecfdd4,random,scan_rand_r0,L02_SV10,2,10,18.74279022216797,0.6701092615451928,0.628397729598274,0.04171153194691879,negative,0.42882576459533617,22.0,0.0,0.046875
25824990,random,scan_rand_r0,L00_SV44,0,44,24.815589904785156,0.7148952710235043,0.6743634934070628,0.040531777616441445,negative,0.4197671176093558,55.0,1.0,0.34375
06c2f7af,random,scan_rand_r0,L02_SV27,2,27,27.996936798095703,0.6664255587999075,0.628397729598274,0.0380278292016335,negative,0.5647156562006388,20.0,8.0,0.0625
