blind_id,condition,run,candidate
02cb535c,svd,scan_svd_r0,L20_SV04
f54a4032,svd,scan_svd_r0,L02_SV25
20939736,svd,scan_svd_r0,L01_SV01
9ca29807,svd,scan_svd_r0,L21_SV04
57dff45a,svd,scan_svd_r0,L22_SV07
7c195116,svd,scan_svd_r0,L00_SV08
089cacfb,svd,scan_svd_r0,L19_SV03
dc699448,svd,scan_svd_r0,L08_SV02
b7f17d5f,svd,scan_svd_r0,L02_SV06
6c7fca82,svd,scan_svd_r0,L01_SV16
867d1a09,svd,scan_svd_r0,L10_SV01
34bd972c,svd,scan_svd_r0,L11_SV01
3d41e05f,svd,scan_svd_r0,L00_SV22
0716fb17,svd,scan_svd_r0,L02_SV18
9321390d,svd,scan_svd_r0,L12_SV01
e84758f0,svd,scan_svd_r0,L01_SV18
fc627aac,svd,scan_svd_r0,L09_SV58
ba158d54,svd,scan_svd_r0,L14_SV01
35996919,svd,scan_svd_r0,L22_SV05
2ac6d564,svd,scan_svd_r0,L09_SV01
c0fd4077,svd,scan_svd_r0,L15_SV01
9f48c30a,svd,scan_svd_r0,L13_SV01
3e386a67,svd,scan_svd_r0,L09_SV49
4ac674dc,svd,scan_svd_r0,L07_SV58
96dc8fde,svd,scan_svd_r0,L00_SV28
78c704c0,svd,scan_svd_r0,L00_SV01
8219baca,svd,scan_svd_r0,L19_SV17
e27e3cd9,svd,scan_svd_r0,L08_SV54
a3f9e338,svd,scan_svd_r0,L01_SV05
ea5665b3,svd,scan_svd_r0,L10_SV45
92fe8570,svd,scan_svd_r0,L22_SV16
c4394437,svd,scan_svd_r0,L12_SV50
7c2517a0,svd,scan_svd_r0,L02_SV35
f64e36e3,svd,scan_svd_r0,L07_SV39
051f90f1,svd,scan_svd_r0,L10_SV49
f1a66bc9,svd,scan_svd_r0,L15_SV43
c42c6103,svd,scan_svd_r0,L02_SV11
36a8c08d,svd,scan_svd_r0,L02_SV19
8cc5c583,svd,scan_svd_r0,L03_SV01
aa8b2143,svd,scan_svd_r0,L08_SV39
d1d6779c,svd,scan_svd_r0,L01_SV37
74216a7d,svd,scan_svd_r0,L07_SV46
ff4ed7fe,svd,scan_svd_r0,L15_SV07
aad853ce,svd,scan_svd_r0,L08_SV55
f7499ce0,svd,scan_svd_r0,L01_SV12
c2e8429d,svd,scan_svd_r0,L08_SV57
74675256,svd,scan_svd_r0,L08_SV51
019f7650,svd,scan_svd_r0,L14_SV29
ac23f359,svd,scan_svd_r0,L11_SV59
e72d8f20,svd,scan_svd_r0,L14_SV41
c87b3eb7,svd,scan_svd_r0,L15_SV04
6bc90eec,svd,scan_svd_r0,L11_SV30
2c9e56d1,svd,scan_svd_r0,L11_SV50
596308e7,svd,scan_svd_r0,L14_SV59
989d5e45,svd,scan_svd_r0,L10_SV39
e2125abd,rotated,scan_rot_r0,L03_SV41
e6f80676,rotated,scan_rot_r0,L20_SV20
7083c960,rotated,scan_rot_r0,L04_SV15
24484c53,rotated,scan_rot_r0,L21_SV18
5ec34ae6,rotated,scan_rot_r0,L17_SV47
f5ad3e55,rotated,scan_rot_r0,L06_SV56
1e5c538b,rotated,scan_rot_r0,L00_SV37
2f16ecd8,rotated,scan_rot_r0,L12_SV08
05337639,rotated,scan_rot_r0,L22_SV08
199b9c3c,rotated,scan_rot_r0,L12_SV04
50eb9368,rotated,scan_rot_r0,L00_SV51
f64b6759,rotated,scan_rot_r0,L20_SV15
ac71697c,rotated,scan_rot_r0,L13_SV18
c6ebda9c,rotated,scan_rot_r0,L11_SV45
e1c1e752,rotated,scan_rot_r0,L14_SV01
735bf43c,rotated,scan_rot_r0,L14_SV63
9875f821,rotated,scan_rot_r0,L02_SV53
c16c18de,rotated,scan_rot_r0,L18_SV08
686107f7,rotated,scan_rot_r0,L15_SV15
5f7d90f9,rotated,scan_rot_r0,L19_SV37
5a1d5b74,rotated,scan_rot_r0,L01_SV01
fa132cbb,rotated,scan_rot_r0,L15_SV32
624956bc,rotated,scan_rot_r1,L08_SV17
011da03c,rotated,scan_rot_r1,L05_SV34
4a03be23,rotated,scan_rot_r1,L01_SV13
3f28aaaf,rotated,scan_rot_r1,L16_SV45
f1bbab6e,rotated,scan_rot_r1,L11_SV07
8ff51116,rotated,scan_rot_r1,L19_SV46
247b3c62,rotated,scan_rot_r1,L13_SV44
946075c0,rotated,scan_rot_r1,L04_SV37
3dede074,rotated,scan_rot_r1,L22_SV11
75b7d9f6,rotated,scan_rot_r1,L07_SV10
a4578a46,rotated,scan_rot_r1,L06_SV59
b18e0f3d,rotated,scan_rot_r1,L18_SV48
3a0d1f68,rotated,scan_rot_r1,L02_SV04
c0a5a8ed,rotated,scan_rot_r1,L05_SV47
2a767913,rotated,scan_rot_r1,L10_SV06
82d2b97e,rotated,scan_rot_r1,L09_SV20
801522e3,rotated,scan_rot_r1,L16_SV38
2442acd1,rotated,scan_rot_r1,L07_SV58
fa48df1c,rotated,scan_rot_r1,L17_SV62
8529df6f,rotated,scan_rot_r1,L03_SV53
19c4b614,rotated,scan_rot_r1,L08_SV54
da7374ba,rotated,scan_rot_r1,L09_SV26
f5d17605,rotated,scan_rot_r1,L10_SV31
7afe987d,rotated,scan_rot_r1,L21_SV52
7bbfbf34,random,scan_rand_r0,L14_SV34
14cec027,random,scan_rand_r0,L12_SV52
bffb0cb2,random,scan_rand_r0,L12_SV62
acabe9dc,random,scan_rand_r0,L06_SV40
9d8b0cae,random,scan_rand_r0,L12_SV41
ecf5ee17,random,scan_rand_r0,L10_SV50
68594b89,random,scan_rand_r0,L12_SV21
870383c7,random,scan_rand_r0,L19_SV14
997e1aaa,random,scan_rand_r0,L01_SV53
c71470e8,random,scan_rand_r0,L02_SV50
b973ccff,random,scan_rand_r0,L00_SV35
c33ba7cd,random,scan_rand_r0,L02_SV48
027139b2,random,scan_rand_r0,L14_SV28
2d8f268a,random,scan_rand_r0,L01_SV48
fc164ba0,random,scan_rand_r0,L12_SV24
d8ecfdd4,random,scan_rand_r0,L02_SV10
25824990,random,scan_rand_r0,L00_SV44
06c2f7af,random,scan_rand_r0,L02_SV27
5401f830,random,scan_rand_r0,L01_SV39
a987de50,random,scan_rand_r0,L08_SV53
1c30c6a7,random,scan_rand_r0,L00_SV45
3134adb7,random,scan_rand_r0,L00_SV42
b14f6891,random,scan_rand_r0,L01_SV18
c47bb5c8,random,scan_rand_r0,L07_SV62
5a3d9c00,random,scan_rand_r0,L00_SV33
d89d0993,random,scan_rand_r0,L02_SV60
69e26006,random,scan_rand_r0,L07_SV60
31ab1262,random,scan_rand_r0,L10_SV14
e12aee82,random,scan_rand_r0,L01_SV36
caeffd7e,random,scan_rand_r0,L07_SV13
d84a95ba,random,scan_rand_r0,L07_SV12
9df08abc,random,scan_rand_r0,L08_SV55
c6139fc6,random,scan_rand_r0,L08_SV47
