id	bank	candidate	polarity	tier	selectivity	mean_abs_cosine	layer
T0350	UWS	L20_SV59	positive	selective_top100	0.669	0.0045	20
T0233	UWS	L18_SV02	negative	selective_top100	0.652	0.0099	18
T1683	UWS	L10_SV45	positive	selective_top100	0.670	0.0131	10
T8627	UWS	L00_SV22	positive	selective_top100	0.782	0.0092	0
T2281	UWS	L07_SV53	positive	selective_top100	0.645	0.0187	7
T7107	GSS	L11_SV02	positive	broad_top15	0.082	0.0611	11
T3191	UWS	L21_SV21	positive	selective_top100	0.824	0.0125	21
T3457	UWS	L12_SV17	negative	mid_random	0.542	0.0162	12
T0458	GSS	L07_SV48	positive	mid_random	0.408	0.0227	7
T4126	GSS	L16_SV43	negative	selective_top100	0.607	0.0051	16
T3486	GSS	L05_SV41	negative	selective_top100	0.574	0.0202	5
T4799	UWS	L06_SV03	negative	broad_top15	0.653	0.0615	6
T8211	UWS	L00_SV28	positive	selective_top100	0.721	0.0150	0
T3940	UWS	L09_SV10	negative	broad_top15	0.065	0.0639	9
T9608	GSS	L17_SV28	positive	selective_top100	0.610	0.0047	17
T5341	GSS	L17_SV52	positive	selective_top100	0.570	0.0064	17
T4249	UWS	L15_SV39	positive	selective_top100	0.645	0.0055	15
T8918	UWS	L11_SV10	negative	broad_top15	0.061	0.0624	11
T6865	UWS	L20_SV47	negative	selective_top100	0.704	0.0035	20
T2147	GSS	L01_SV18	positive	selective_top100	0.683	0.0113	1
T0997	GSS	L15_SV52	positive	selective_top100	0.621	0.0229	15
T5796	GSS	L09_SV11	positive	selective_top100	0.559	0.0179	9
T7506	GSS	L08_SV02	negative	broad_top15	0.070	0.0585	8
T9557	GSS	L03_SV36	positive	selective_top100	0.670	0.0157	3
T8466	GSS	L08_SV29	negative	mid_random	0.320	0.0392	8
T6891	GSS	L01_SV09	positive	selective_top100	0.622	0.0118	1
T8219	UWS	L11_SV08	positive	broad_top15	0.075	0.0531	11
T2142	UWS	L08_SV10	positive	mid_random	0.582	0.0144	8
T8713	GSS	L15_SV10	positive	selective_top100	0.635	0.0064	15
T2487	UWS	L20_SV48	positive	selective_top100	0.625	0.0056	20
T8577	UWS	L07_SV44	positive	selective_top100	0.655	0.0161	7
T8364	UWS	L21_SV51	positive	selective_top100	0.800	0.0046	21
T0306	UWS	L11_SV50	positive	selective_top100	0.656	0.0132	11
T7211	UWS	L15_SV43	negative	selective_top100	0.676	0.0075	15
T3000	UWS	L20_SV64	positive	selective_top100	0.696	0.0043	20
T9970	GSS	L00_SV39	positive	selective_top100	0.563	0.0072	0
T0064	UWS	L17_SV19	positive	selective_top100	0.689	0.0053	17
T2454	GSS	L13_SV30	positive	mid_random	0.371	0.0099	13
T2823	UWS	L05_SV39	negative	selective_top100	0.651	0.0213	5
T2319	GSS	L05_SV50	positive	mid_random	0.378	0.0200	5
T7757	UWS	L05_SV07	positive	selective_top100	0.670	0.0198	5
T1971	GSS	L01_SV29	negative	selective_top100	0.741	0.0113	1
T9117	UWS	L22_SV58	negative	selective_top100	0.801	0.0102	22
T1011	UWS	L04_SV46	positive	mid_random	0.278	0.0246	4
T5340	GSS	L02_SV06	negative	selective_top100	0.568	0.0126	2
T8492	GSS	L06_SV47	negative	mid_random	0.293	0.0252	6
T8695	GSS	L15_SV63	negative	mid_random	0.450	0.0089	15
T9100	UWS	L04_SV06	positive	broad_top15	0.062	0.0530	4
T7905	GSS	L04_SV27	positive	selective_top100	0.731	0.0240	4
T1738	GSS	L08_SV40	positive	selective_top100	0.602	0.0189	8
T9179	GSS	L09_SV36	negative	selective_top100	0.581	0.0202	9
T0930	GSS	L10_SV07	negative	broad_top15	0.081	0.0572	10
T4071	GSS	L14_SV51	negative	selective_top100	0.598	0.0157	14
T3134	GSS	L13_SV11	positive	selective_top100	0.579	0.0104	13
T4537	UWS	L16_SV41	negative	mid_random	0.266	0.0130	16
T0691	UWS	L10_SV10	positive	broad_top15	0.062	0.0602	10
T1601	UWS	L08_SV57	positive	selective_top100	0.674	0.0196	8
