event_id,run_id,environment,condition,objective_status,event_type,layer,train_rollouts_in_fold,cv_projection,cv_cosine,effect_norm
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,0,18,-9.156242576041315,-0.10398330230282063,88.05493927001953
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,1,18,-14.685423590559857,-0.1522104355707027,96.4810562133789
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,2,18,-16.198108998858892,-0.14724075909146586,110.01103973388672
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,3,18,-15.502956987436349,-0.12167509777746077,127.41273498535156
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,4,18,-5.162956521596271,-0.033797118970236524,152.76321411132812
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,5,18,-5.572975425320621,-0.02940946647003579,189.4959716796875
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,6,18,-3.6347002392353573,-0.015668674590155987,231.972412109375
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,7,18,-5.028565471392994,-0.01819184047571137,276.4187316894531
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,8,18,-5.522491843066717,-0.016270867856908715,339.4097900390625
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,9,18,21.73023838951582,0.05041717981770921,431.00860595703125
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,10,18,35.56317868890551,0.07141008432233807,498.0133972167969
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,11,18,74.72807925154586,0.12495967005827027,598.017578125
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,12,18,153.2121304351358,0.20415240433942028,750.4791870117188
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,13,18,185.62461847520353,0.1980381821208869,937.3173217773438
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,14,18,275.9933217465881,0.2404043511042957,1148.0379638671875
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,15,18,320.935366806445,0.22071344032649184,1454.0816650390625
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,16,18,289.993476418711,0.1541356541330927,1881.417236328125
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,17,18,409.2931538544435,0.15589594377359997,2625.425537109375
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,18,18,570.1071546168421,0.15859429580982212,3594.751953125
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,19,18,695.9935831154617,0.1413755970815133,4923.01123046875
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,20,18,1039.62594007008,0.16704067725143604,6223.7890625
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,21,18,1353.9028883301944,0.17481186716914515,7744.91455078125
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,correct,strategy_selection,22,18,1650.8285089635065,0.17594644415782004,9382.5625
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,0,18,24.00763943331215,0.2271463706981739,105.69237518310547
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,1,18,17.113629759391046,0.15085600946213024,113.44347381591797
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,2,18,20.396623228141497,0.16090388165278352,126.76277923583984
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,3,18,20.939218003406687,0.1470747520853255,142.3712615966797
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,4,18,24.512334684642184,0.1513194591419195,161.9906463623047
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,5,18,20.61316289892821,0.10792969098555094,190.98695373535156
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,6,18,14.522106138086542,0.06559376625830421,221.3946075439453
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,7,18,30.339316848702907,0.11386638281335365,266.4466552734375
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,8,18,29.31873818749264,0.09598147629394535,305.4624328613281
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,9,18,51.951579560273785,0.1428536964813302,363.6698303222656
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,incorrect,hypothesis_revision,10,18,73.70398240346958,0.17491140627212418,421.3789367675781
