rank,layer,direction_raw_norm,cv_cosine_n_events,cv_cosine_n_rollouts,cv_cosine_event_weighted_mean,cv_cosine_rollout_weighted_mean,cv_cosine_rollout_sd,cv_cosine_rollout_se,cv_cosine_standardized_rollout_effect,cv_cosine_rollout_consistency,cv_cosine_event_consistency,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,correct_cv_cosine_n_events,correct_cv_cosine_n_rollouts,correct_cv_cosine_rollout_weighted_mean,correct_cv_cosine_rollout_consistency,incorrect_cv_cosine_n_events,incorrect_cv_cosine_n_rollouts,incorrect_cv_cosine_rollout_weighted_mean,incorrect_cv_cosine_rollout_consistency,cv_projection_rollout_weighted_mean,cv_projection_standardized_rollout_effect,status_preservation_ratio,correct_vs_incorrect_direction_cosine,correct_direction_on_incorrect_mean_cosine,incorrect_direction_on_correct_mean_cosine,nearest_scanned_sv_rank,nearest_scanned_sv_cosine,nearest_scanned_sv_abs_cosine,rank_score,permutation_p_holm
1,20,1541.927490234375,45,19,0.11883139412835637,0.12076908568834796,0.06934575977681134,0.015909008370008856,1.7415496791302323,1.0,0.8666666666666667,0.0913290704871862,0.1516202689753416,9.999000099990002e-05,9.999000099990002e-05,24,14,0.16243166421783067,1.0,17,13,0.10469186679906974,0.9230769230769231,776.9819256988228,1.6935005183817826,0.8668763715677498,0.08231403678655624,0.03362327647592622,0.032394136897376406,2,0.01505309286196276,0.01505309286196276,1.567668619844604,0.0022997700229977006
2,21,1908.4456787109375,45,19,0.11896274500672208,0.12332418718767361,0.07325511055859203,0.016805874948568528,1.683489196143313,1.0,0.8666666666666667,0.09250266688836559,0.15551063750628602,9.999000099990002e-05,9.999000099990002e-05,24,14,0.16096457044132612,1.0,17,13,0.10846344214419582,0.9230769230769231,977.5988742345494,1.5957715585940668,0.879498536480416,0.09181883186101913,0.029356368507091023,0.03709827511468904,28,-0.025623660034151174,0.025623660034151174,1.531342012177305,0.0022997700229977006
3,19,1197.267822265625,45,19,0.11151852477184478,0.11585341685095948,0.0718128191942601,0.01647499061676514,1.6132693041553714,1.0,0.8444444444444444,0.0839263948110061,0.1480143430678093,9.999000099990002e-05,9.999000099990002e-05,24,14,0.15477298146964538,1.0,17,13,0.10224322502580385,0.9230769230769231,595.3689876786457,1.5287931864783024,0.882522309698776,0.060300156474113464,0.026751632527513287,0.025724665259868187,30,-0.012079986321165102,0.012079986321165102,1.4711269403908445,0.0022997700229977006
4,22,2249.264892578125,45,19,0.11253273677361733,0.1174033327063377,0.07440501854074873,0.017069681932178622,1.577895349116007,1.0,0.8444444444444444,0.08537633065725217,0.15049546770061586,9.999000099990002e-05,9.999000099990002e-05,24,14,0.14894830436433715,0.9285714285714286,17,13,0.10597712818182171,0.9230769230769231,1106.261589371836,1.5193593520971382,0.9026756373850436,0.09117499738931656,0.03114174497605346,0.033630270053846355,32,0.012759213950880715,0.012759213950880715,1.4627196047716424,0.0022997700229977006
5,18,891.9617309570312,45,19,0.11370649302800295,0.11767648703398234,0.07628877332641455,0.01750184491876433,1.5425138182584661,1.0,0.8222222222222222,0.08474010429763397,0.15135642333609578,9.999000099990002e-05,9.999000099990002e-05,24,14,0.16923144652211894,1.0,17,13,0.08651641394403418,0.9230769230769231,450.55525805643674,1.4362983566001282,0.7352056143471565,0.0007171817705966532,0.015304801324309166,0.005686572124986089,2,-0.011090511251750743,0.011090511251750743,1.2361770691083869,0.0022997700229977006
6,13,220.2194366455078,45,19,0.11715858938572159,0.12119976269537985,0.09565663390458451,0.021945136866807914,1.2670293501679568,0.8421052631578947,0.7777777777777778,0.07956650860126714,0.16301354285724348,9.999000099990002e-05,9.999000099990002e-05,24,14,0.14592680404727046,0.9285714285714286,17,13,0.13129015776035274,0.9230769230769231,116.75340213577455,1.1846535630822785,1.0,0.04701850190758705,0.02323497965494775,0.03508504875676544,28,-0.022352243167049615,0.022352243167049615,1.1670007172599601,0.0022997700229977006
7,17,642.1844482421875,45,19,0.10566444697973158,0.11071862335548392,0.07897443478588681,0.018117977913417044,1.4019552486277493,0.9473684210526315,0.8,0.07716129603957751,0.14484305157771732,9.999000099990002e-05,9.999000099990002e-05,24,14,0.15199172670918817,0.9285714285714286,17,13,0.08719091157507411,0.8461538461538461,313.4523375453729,1.2976696676430406,0.7874999610059324,-0.022364644333720207,0.007700916273064965,-0.001261086769083553,32,0.010740464392213784,0.010740464392213784,1.1475049427747286,0.0022997700229977006
8,4,49.78816223144531,45,19,0.1554540610678141,0.1636457036782836,0.125441849417852,0.028778333942277013,1.3045542969728785,1.0,0.7555555555555555,0.10957997789293628,0.22109594559381418,9.999000099990002e-05,9.999000099990002e-05,24,14,0.20325592400642023,0.8571428571428571,17,13,0.13519041273006144,0.8461538461538461,32.32776426561272,1.148635179200278,0.8261164802458649,0.2067045271396637,0.06874445983512052,0.06338852980169407,15,0.05273264864989693,0.05273264864989693,1.1344239273218595,0.0022997700229977006
9,10,124.01471710205078,45,19,0.1169779679032829,0.12060216383888142,0.09847295322646239,0.02259124483085037,1.2247237427878044,0.8421052631578947,0.7333333333333333,0.07841619359157935,0.1643396869277994,9.999000099990002e-05,9.999000099990002e-05,24,14,0.14860709570364375,0.8571428571428571,17,13,0.12823109003782582,0.9230769230769231,65.78174672068728,1.0826214943071608,1.0,0.07649024575948715,0.038765627650325735,0.03691441572735516,29,0.03568633326445788,0.03568633326445788,1.128035026251925,0.0022997700229977006
10,11,149.50230407714844,45,19,0.11855796269819739,0.12706239789170232,0.1042407847666825,0.02391447613649174,1.2189317086982836,0.8421052631578947,0.7555555555555555,0.08166169240162337,0.17249807375795081,0.00019998000199980003,9.999000099990002e-05,24,14,0.1429989774012494,0.7857142857142857,17,13,0.14301666474350308,0.9230769230769231,82.51196298354023,1.1101836455765812,1.0,0.11790559440851212,0.04544138417621025,0.04678669188060217,15,0.028898183233791237,0.028898183233791237,1.122700258011577,0.0022997700229977006
