metric,layer,sv_rank,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,rollout_consistency,event_consistency,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,correct_n_events,correct_n_rollouts,correct_rollout_weighted_mean,correct_rollout_consistency,incorrect_n_events,incorrect_n_rollouts,incorrect_rollout_weighted_mean,incorrect_rollout_consistency,ambiguous_n_events,ambiguous_rollout_weighted_mean,status_preservation_ratio,rank_score,permutation_p_holm
delta,0,1,45,19,0.027342720992035337,0.036375762143155986,0.259733810146045,0.05958702266565207,0.1400501618279975,0.5789473684210527,0.5777777777777777,-0.07648681164637468,0.14878612326196672,0.5503449655034497,0.28417158284171584,24,14,0.11821321655242215,0.7142857142857143,17,13,-0.07615959147612254,0.5384615384615384,4,0.007868912070989609,0.0,0.027641479308157402,1.0
delta,0,2,45,19,0.10520849575599035,0.06987849067439114,0.40291663663718436,0.09243541588277811,0.1734316340412492,0.5789473684210527,0.6666666666666666,-0.11220319810601179,0.24270813096674132,0.45245475452454753,0.2258774122587741,24,14,0.174329644157773,0.6428571428571429,17,13,0.07020961053860494,0.6923076923076923,4,0.19505851343274117,1.0,0.13691971108519674,1.0
delta,0,3,45,19,-0.0058957688510417935,0.006356571000396158,0.3125999732828005,0.07171535227859166,0.020334521892762754,0.5789473684210527,0.5111111111111111,-0.12591529214722025,0.14171985851829505,0.9295070492950704,0.46815318468153183,24,14,0.049582911744004206,0.5714285714285714,17,13,0.01721176476432727,0.46153846153846156,4,-0.11639751866459846,1.0,0.016053569915339017,1.0
delta,0,4,45,19,-0.07954937037494447,-0.07800227390569552,0.40989140761512605,0.0940355380852617,-0.19029985126923415,0.631578947368421,0.4666666666666667,-0.2553153067271699,0.1005425653796185,0.41105889411058893,0.20467953204679531,24,14,-0.2071464020936262,0.6428571428571429,17,13,-0.08460320723362456,0.6153846153846154,4,0.2605018578469753,1.0,0.15524461550911206,1.0
delta,0,5,45,19,0.0019143687354193793,0.06505773399482695,0.5260630408785055,0.12068713858532167,0.12366908324558018,0.5263157894736842,0.5333333333333333,-0.15505082684716112,0.3161194798356869,0.6149385061493851,0.30746925307469253,24,14,-0.03864875577744983,0.5714285714285714,17,13,0.09506526933266567,0.6923076923076923,4,0.32231327146291733,0.0,0.02359475930343306,1.0
delta,0,6,45,19,0.14594369166427187,0.2318836483254767,0.807708136315475,0.18530095484603842,0.2870884146137999,0.5263157894736842,0.5111111111111111,-0.12190033054926938,0.5834797675410905,0.22997700229977003,0.11378862113788621,24,14,0.012204903931844797,0.42857142857142855,17,13,0.259407075933921,0.46153846153846156,4,0.6648031771183014,0.05263374118865743,0.06342224190812558,1.0
delta,0,7,45,19,0.16335885044601228,0.09358529632159492,0.3968829355222058,0.09105118991352969,0.23580075620650806,0.7368421052631579,0.5777777777777777,-0.0908624713880974,0.25297774869719875,0.30626937306269375,0.1543845615438456,24,14,0.16362312471582777,0.7142857142857143,17,13,0.19878298263901317,0.6923076923076923,4,-0.24134139716625214,1.0,0.20477434091617805,1.0
delta,0,8,45,19,0.0007055399732457267,0.0168921711217416,0.4052167908051582,0.09296310743923927,0.04168675016693452,0.5789473684210527,0.4888888888888889,-0.1646772083793685,0.18803943881209476,0.8605139486051395,0.43025697430256976,24,14,-0.17324207623356155,0.7142857142857143,17,13,0.1414809349255684,0.6153846153846154,4,0.3689592406153679,0.0,0.008227648059263393,1.0
delta,0,9,45,19,-0.17557586133480071,-0.1586143703183584,0.5521320447460818,0.12666777823887618,-0.2872761540064262,0.631578947368421,0.5555555555555556,-0.3985598246959087,0.0881072473532536,0.22197780221977803,0.11408859114088592,24,14,0.1603299831705434,0.5714285714285714,17,13,-0.5784256718097589,0.6153846153846154,4,-0.3598949536681175,0.0,0.058589215619731655,1.0
delta,0,10,45,19,0.12925655974282158,0.24215495351113772,0.8746849633535887,0.20066649277330895,0.27684819524357973,0.5263157894736842,0.5333333333333333,-0.11725173638970182,0.6375051879961233,0.24697530246975302,0.12238776122387761,24,14,-0.07138047172200111,0.5,17,13,0.47500012089044613,0.7692307692307693,4,0.36190491914749146,0.0,0.05281972146094613,1.0
delta,0,11,45,19,0.11772491128908263,0.15198823593949018,0.606122022629068,0.13905392863655686,0.2507551784378957,0.5789473684210527,0.5555555555555556,-0.1130448835591475,0.4110300003469251,0.28717128287171284,0.14528547145285473,24,14,-0.027454842236779964,0.5,17,13,-0.025628929432385997,0.46153846153846156,4,0.7305146530270576,0.0,0.04949115363905836,1.0
