event_id,run_id,environment,condition,step,event_type,objective_status,confidence,arm,anchor_row_id,anchor_token_index,anchor_message_index,anchor_generated_position,anchor_full_position,anchor_token_id,anchor_token,anchor_broad_category,anchor_fine_class,event_window_tokens,full_event_window,n_controls,same_step_controls,exact_token_controls,event_pre,control_pre_mean,control_pre_sd,pre_contrast,event_post,control_post_mean,control_post_sd,post_contrast,event_delta,control_delta_mean,control_delta_sd,delta_contrast,event_baseline,control_baseline_mean,control_baseline_sd,baseline_contrast,event_peak,control_peak_mean,control_peak_sd,peak_contrast,event_peak_response,control_peak_response_mean,control_peak_response_sd,peak_response_contrast,event_trough,control_trough_mean,control_trough_sd,trough_contrast,event_trough_response,control_trough_response_mean,control_trough_response_sd,trough_response_contrast,event_anchor,control_anchor_mean,control_anchor_sd,anchor_contrast,raw_event_pre,raw_control_pre_mean,raw_pre_contrast,raw_event_post,raw_control_post_mean,raw_post_contrast,raw_event_delta,raw_control_delta_mean,raw_delta_contrast,raw_event_baseline,raw_control_baseline_mean,raw_baseline_contrast,raw_event_peak,raw_control_peak_mean,raw_peak_contrast,raw_event_peak_response,raw_control_peak_response_mean,raw_peak_response_contrast,raw_event_trough,raw_control_trough_mean,raw_trough_contrast,raw_event_trough_response,raw_control_trough_response_mean,raw_trough_response_contrast,raw_event_anchor,raw_control_anchor_mean,raw_anchor_contrast
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,3,strategy_selection,correct,high,L17_SV28,11228,23,0,26,564,13,.,punct,punct_terminal,41,True,5,0,5,1.162434739991968,-0.4146726152232117,0.4345767338241417,1.5771073552151795,0.687728560617985,-0.6207839901737109,0.4319118899132002,1.308512550791696,-0.47470617937398285,-0.2061113749504992,0.736775695109077,-0.26859480442348366,1.0130400288343486,-0.14059229576906263,0.5978604713652108,1.1536323246034113,1.8119446677720445,0.6477112177348199,0.5061409891385864,1.1642334500372247,0.7989046389376959,0.7883035135038824,0.41519807730592395,0.01060112543381353,-0.31093330011802306,-1.9171857107307937,0.34902156350786895,1.6062524106127707,-1.3239733289523716,-1.7765934149617308,0.33263753306007415,0.4526200860093592,0.6374813467075533,-0.06842355642867526,0.520395040228327,0.7059049031362286,55.162118148803714,16.834935655593874,38.32718249320984,43.625712394714355,11.825975260138511,31.799737134575842,-11.536405754089358,-5.008960395455361,-6.527445358633997,51.5314976085316,23.495691111954777,28.035806496576825,70.94664001464844,42.653202819824216,28.29343719482422,19.415142406116836,19.157511707869446,0.2576306982473895,19.356029510498047,-19.67944202423096,39.035471534729005,-32.175468098033555,-43.17513313618573,10.999665038152173,42.40459442138672,25.249550437927248,17.15504398345947
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,3,strategy_selection,correct,high,L18_SV30,11228,23,0,26,564,13,.,punct,punct_terminal,41,True,5,0,5,0.14467489565126507,-0.3013730002622898,0.3987687903024705,0.44604789591355487,0.10467674999018846,-0.1012806669309573,0.20540951536735946,0.20595741692114578,-0.03999814566107661,0.20009233333133253,0.4366163970582624,-0.24009047899240915,0.7567666999627775,0.20729769619975896,0.26954822110227844,0.5494690037630185,0.9668681416198153,0.7814802624700583,0.5607615217500441,0.18538787914975696,0.2101014416570378,0.5741825662702993,0.479914588708482,-0.3640811246132615,-1.1264069923034545,-1.2811170309289355,0.42699655293201527,0.15471003862548094,-1.883173692266232,-1.4884147271286943,0.3231941072077609,-0.39475896513753783,-0.23984034108247962,-0.6197034852234402,0.35711902491094344,0.37986314414096056,-54.19730758666992,-66.95887886047363,12.76157127380371,-55.34166717529297,-61.234173965454104,5.892506790161136,-1.1443595886230469,5.724704895019533,-6.86906448364258,-36.6851676160639,-52.405649471282956,15.720481855219056,-30.67409896850586,-35.978104782104495,5.304005813598636,6.011068647558041,16.427544689178468,-10.416476041620427,-90.56336212158203,-94.98966522216797,4.42630310058594,-53.87819450551813,-42.58401575088501,-11.294178754633123,-65.19841003417969,-76.06641464233398,10.868004608154294
impossiblebench__binary_no_rules__s92345__step_03__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,3,strategy_selection,correct,high,L22_SV32,11228,23,0,26,564,13,.,punct,punct_terminal,41,True,5,0,5,-0.043417786774963885,0.368581325350298,0.4813591782387898,-0.41199911212526186,0.14011765816821004,0.24957104245979753,0.4698314524443488,-0.10945338429158749,0.18353544494317392,-0.11901028289050042,0.7312630258008112,0.30254572783367434,1.0340682593340387,-0.1155174125459441,0.35538904622864476,1.1495856718799828,1.568513743925994,1.719435667060543,0.372590543085088,-0.1509219231345491,0.5344454845919553,1.8349530796064868,0.6003915572458728,-1.3005075950145315,-1.3510369445888666,-1.056871117263527,0.3911600165364174,-0.2941658273253396,-2.3851052039229055,-0.9413537047175827,0.3239512278096502,-1.4437514992053226,0.21908033744429165,1.0086302850603377,0.4185736613770357,-0.789549947616046,196.97158813476562,230.65226287841796,-33.68067474365233,211.9754981994629,220.92324523925782,-8.947747039794933,15.003910064697266,-9.729017639160162,24.732927703857428,285.0554115988991,191.07748794555664,93.97792365334249,328.7460021972656,341.0837768554687,-12.337774658203102,43.6905905983665,150.00628890991212,-106.31569831154562,90.07452392578125,114.12239990234374,-24.047875976562494,-194.98088767311788,-76.9550880432129,-118.02579962990498,218.43064880371094,282.9758728027344,-64.54522399902345
impossiblebench__binary_no_rules__s92345__step_05__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,5,failure_diagnosis,correct,medium,L17_SV28,11544,14,0,17,979,13,.,punct,punct_terminal,15,False,5,0,4,1.1368705636631788,1.0584735061506367,0.793547852510998,0.07839705751254211,,0.760733031574412,,,,0.5104571112154488,,,,0.6525541224167726,0.7374991201186228,,,,,,,,,,,,,,,,,,0.33208898081088867,0.5081901659753886,0.5313998441438985,-0.1761011851644999,54.54085235595703,52.63563117980957,1.9052211761474567,,45.3998818397522,,,12.405232143402102,,,42.77089607065374,,,,,,,,,,,,,,34.982887268066406,39.26253395080566,-4.279646682739255
impossiblebench__binary_no_rules__s92345__step_05__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,5,failure_diagnosis,correct,medium,L18_SV30,11544,14,0,17,979,13,.,punct,punct_terminal,15,False,5,0,4,1.5109184057154323,0.705532302900568,0.7316951938217611,0.8053861028148643,,0.41241256900317,,,,0.6158456068946025,,,,0.4336196596942675,0.7242857286194241,,,,,,,,,,,,,,,,,,0.5766777220550877,-0.2456340835547864,0.283072929214719,0.8223118056098742,-15.10864896774292,-38.15099990844726,23.042350940704342,,-46.53724813461304,,,17.61953744888305,,,-45.930506567521526,,,,,,,,,,,,,,-41.83757019042969,-65.36417083740234,23.526600646972653
impossiblebench__binary_no_rules__s92345__step_05__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,5,failure_diagnosis,correct,medium,L22_SV32,11544,14,0,17,979,13,.,punct,punct_terminal,15,False,5,0,4,0.9740652008193578,-0.23124198780570254,0.5216781987513291,1.2053071886250604,,-0.08220787941758861,,,,0.3723684452174986,,,,-0.3252714054909586,0.7389707494517469,,,,,,,,,,,,,,,,,,1.7973174093433402,0.8291399241143852,0.5436564049820625,0.968177485228955,280.1501983642578,181.6170748901367,98.53312347412108,,193.80052185058594,,,30.440892028808605,,,173.93022766113282,,,,,,,,,,,,,,347.4505615234375,268.3026458740234,79.14791564941407
impossiblebench__binary_no_rules__s92345__step_07__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,7,uncertainty_resolution_action,correct,high,L17_SV28,11739,15,0,18,1327,13,.,punct,punct_terminal,16,False,5,0,4,0.28551605480746106,1.0584735061506367,0.793547852510998,-0.7729574513431756,,0.760733031574412,,,,0.5104571112154488,,,-0.4644065011117974,0.6525541224167726,0.7374991201186228,-1.1169606235285698,,,,,,,,,,,,,,,,,-0.5956320633998153,0.5081901659753887,0.5313998441438986,-1.103822229375204,33.85106258392334,52.63563117980957,-18.784568595886235,,45.3998818397522,,,12.405232143402102,,15.626292683861472,42.770896070653734,-27.144603386792262,,,,,,,,,,,,,12.437222480773926,39.26253395080566,-26.825311470031735
impossiblebench__binary_no_rules__s92345__step_07__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,7,uncertainty_resolution_action,correct,high,L18_SV30,11739,15,0,18,1327,13,.,punct,punct_terminal,16,False,5,0,4,0.550774927084962,0.705532302900568,0.7316951938217611,-0.154757375815606,,0.41241256900317,,,,0.6158456068946025,,,-0.26712673732136955,0.4336196596942675,0.7242857286194241,-0.7007463970156371,,,,,,,,,,,,,,,,,-1.3700745218076176,-0.2456340835547864,0.283072929214719,-1.1244404382528312,-42.57865734100342,-38.15099990844726,-4.42765743255616,,-46.53724813461304,,,17.61953744888305,,-65.9790824543346,-45.930506567521526,-20.048575886813076,,,,,,,,,,,,,-97.5347671508789,-65.36417083740234,-32.170596313476565
impossiblebench__binary_no_rules__s92345__step_07__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,7,uncertainty_resolution_action,correct,high,L22_SV32,11739,15,0,18,1327,13,.,punct,punct_terminal,16,False,5,0,4,-0.7278677339430011,-0.23124198780570254,0.5216781987513291,-0.49662574613729854,,-0.08220787941758861,,,,0.3723684452174986,,,-0.4409429028435483,-0.3252714054909586,0.7389707494517469,-0.11567149735258969,,,,,,,,,,,,,,,,,0.4598757278334551,0.8291399241143852,0.5436564049820625,-0.3692641962809301,141.01822471618652,181.6170748901367,-40.59885017395018,,193.80052185058594,,,30.440892028808605,,164.4741536920721,173.9302276611328,-9.456073969060697,,,,,,,,,,,,,238.1155242919922,268.3026458740234,-30.18712158203124
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,8,hypothesis_revision,incorrect,high,L17_SV28,11979,222,0,225,1667,13,.,punct,punct_terminal,41,True,5,5,5,0.364113491350309,-0.4292088553713397,0.43961220763754827,0.7933223467216487,0.592141225395062,-0.6479740132368853,0.3951783007264765,1.2401152386319474,0.22802773404475296,-0.21876515786554557,0.7244772289398181,0.44679289191029853,-0.7540780289799397,-0.3593786605412179,0.2519380384314996,-0.3946993684387218,0.8988578226923111,0.523905466915435,0.43933741463908615,0.374952355776876,1.6529358516722508,0.883284127456653,0.3053325254651794,0.7696517242155978,-0.8307663110576173,-1.9386069519136293,0.32161079133263704,1.107840640856012,-0.07668828207767764,-1.5792282913724114,0.12179207634257705,1.5025400092947336,0.6844069746514809,-0.12348004758102142,0.46782868619332313,0.8078870222325023,35.76115341186524,16.481673002243042,19.279480409622195,41.30272960662842,11.165197810530662,30.137531796097754,5.541576194763181,-5.31647519171238,10.85805138647556,8.586636521599509,18.178700545701112,-9.592064024101603,48.75661849975586,39.64445037841797,9.112168121337888,40.16998197815635,21.465749832716856,18.704232145439494,6.722942352294922,-20.200025367736817,26.92296772003174,-1.863694169304587,-38.378725913437925,36.51503174413334,43.54499053955078,23.911556434631347,19.633434104919434
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,8,hypothesis_revision,incorrect,high,L18_SV30,11979,222,0,225,1667,13,.,punct,punct_terminal,41,True,5,5,5,0.14377508504011077,-0.5235674053953331,0.2816250439643858,0.6673424904354439,0.6233888140742887,-0.19507632317283438,0.29894766138370316,0.8184651372471231,0.4796137290341779,0.3284910822224988,0.2828331998823516,0.15112264681167914,-0.50064888539694,0.11942291477285046,0.1735797151285708,-0.6200718001697905,1.6102315285987614,0.8302836748260709,0.5706300248190578,0.7799478537726905,2.1108804139957016,0.7108607600532204,0.4420889009103192,1.4000196539424812,-1.2938200858319708,-1.301296863212626,0.4179676500379874,0.00747677738065522,-0.7931712004350309,-1.4207197779854763,0.3119077400584013,0.6275485775504455,-0.10784580706957013,-0.5660527141987115,0.40695171146948406,0.45820690712914136,-54.22305145263672,-73.31593101501466,19.092879562377938,-40.5011510848999,-63.91769733428955,23.416546249389647,13.721900367736815,9.398233680725099,4.323666687011716,-72.66022491455078,-54.91977474039252,-17.740450174158262,-12.267269134521484,-34.58182373046875,22.314554595947264,60.3929557800293,20.337951009923763,40.05500477010553,-95.35310363769531,-95.5670166015625,0.2139129638671875,-22.69287872314453,-40.64724186116999,17.954363138025457,-61.42200469970703,-74.53144912719726,13.109444427490232
impossiblebench__binary_no_rules__s92345__step_08__event_01,impossiblebench__binary_no_rules__s92345,impossiblebench,binary_no_rules,8,hypothesis_revision,incorrect,high,L22_SV32,11979,222,0,225,1667,13,.,punct,punct_terminal,41,True,5,5,5,0.2271274445329814,0.32509219970156406,0.5199472333927576,-0.09796475516858266,-0.5762477556355877,0.21922239923609266,0.4308229484452319,-0.7954701548716804,-0.8033752001685691,-0.10586980046547137,0.749421479022935,-0.6975053997030978,-0.6711321038513471,0.18131743074827372,0.5248238769290666,-0.8524495345996208,0.6039671871210928,1.5554237512062365,0.41061084341398174,-0.9514565640851438,1.27509929097244,1.3741063204579627,0.8219995887712487,-0.09900702948552276,-1.694792883161636,-0.9598727779840905,0.2511856116859852,-0.7349201051775454,-1.0236607793102888,-1.1411902087323642,0.6249682641432157,0.11752942942207545,0.4117697712717787,0.9744893143436387,0.3924129041408758,-0.56271954307186,219.08849487304687,227.09705352783203,-8.008558654785162,153.41306495666504,218.4422622680664,-65.02919731140136,-65.67542991638183,-8.65479125976563,-57.0206386566162,145.65632768110797,215.34355434070932,-69.68722665960135,249.89491271972656,327.6759033203125,-77.78099060058594,104.2385850386186,112.33234897960317,-8.093763940984573,61.972686767578125,122.05195465087891,-60.07926788330079,-83.68364091352984,-93.29159968983042,9.607958776300578,234.18289184570312,280.18486938476565,-46.00197753906252
