sv_index_zero_based,sv_rank,sv_label,n_layer_pairs,mean_same_rank_abs_cosine,median_same_rank_abs_cosine,min_same_rank_abs_cosine,max_same_rank_abs_cosine,exact_rank_best_match_rate,mean_same_rank_fraction_of_best,mean_best_abs_cosine,raw_sign_flip_rate,mean_abs_rank_offset,n_adjacent_pairs,adjacent_mean_same_rank_abs_cosine,adjacent_exact_rank_best_match_rate,adjacent_raw_sign_flip_rate
0,0,SV00,253,0.34614583649438346,0.29450948181603614,0.00021508959484976245,0.948445504112946,0.7509881422924901,0.8570261414792838,0.36193632816180454,0.5296442687747036,3.6600790513833994,22,0.8471788526886154,1.0,0.09090909090909091
1,1,SV01,253,0.3547878797013271,0.259396645681192,0.001007507583570775,0.9863382093701628,0.5889328063241107,0.7818597154617191,0.38825261648313397,0.34782608695652173,0.9209486166007905,22,0.8620834520349171,0.9545454545454546,0.18181818181818182
2,2,SV02,253,0.25690200689415316,0.10968089335470953,0.0007748532858497394,0.9948913253737927,0.3438735177865613,0.6284691444178256,0.38789853243837036,0.4743083003952569,2.616600790513834,22,0.8056079403589944,0.9090909090909091,0.13636363636363635
3,3,SV03,253,0.2392171934080358,0.09812444507509849,0.0009464544796215467,0.9907335551981696,0.2648221343873518,0.5378498688156368,0.42398396735193106,0.4150197628458498,3.699604743083004,22,0.7501883543574146,0.8636363636363636,0.22727272727272727
4,4,SV04,253,0.21212566005192274,0.084940798733688,9.302149935657734e-05,0.9870804331589452,0.18181818181818182,0.4326640833900227,0.4266335238532541,0.45454545454545453,2.8379446640316206,22,0.6458824374781899,0.6818181818181818,0.18181818181818182
5,5,SV05,253,0.23809483010419202,0.10164987050170275,0.0002196491843597867,0.9870891804467372,0.1857707509881423,0.47587491376346536,0.392985305796671,0.3241106719367589,2.7549407114624507,22,0.6543570775474962,0.6818181818181818,0.22727272727272727
6,6,SV06,253,0.23564863531267735,0.07845881871314707,0.0013368929678713318,0.9970853880665921,0.2450592885375494,0.49511961189333226,0.36500172845228823,0.37549407114624506,3.940711462450593,22,0.6351355552156526,0.6818181818181818,0.22727272727272727
7,7,SV07,253,0.19640460056740297,0.079917553448895,0.00041261439283767597,0.9893955122686671,0.13043478260869565,0.4145796185818258,0.39379946325088583,0.4782608695652174,3.924901185770751,22,0.5144788401058277,0.45454545454545453,0.45454545454545453
8,8,SV08,253,0.19941826878280625,0.08832358460592882,3.655174651865566e-06,0.9963969790865183,0.14624505928853754,0.4039360684654787,0.4321092958323228,0.4624505928853755,3.4822134387351777,22,0.5072551599551466,0.5,0.2727272727272727
9,9,SV09,253,0.20011079616381347,0.10282810060651246,9.307432920193249e-06,0.9943057021322322,0.17786561264822134,0.4571746368437672,0.38397953736628093,0.4782608695652174,3.1067193675889326,22,0.514761991272505,0.5,0.5
10,10,SV10,253,0.20583209439030936,0.0729497555861853,0.00010673793732629338,0.9972938879734998,0.16600790513833993,0.4116567706422691,0.42280321037816493,0.466403162055336,4.75494071146245,22,0.4948729915060431,0.4090909090909091,0.36363636363636365
11,11,SV11,253,0.23604708435596136,0.1124169743886063,0.0003392220587857194,0.987072754396845,0.20948616600790515,0.46348127945834006,0.40320622704429726,0.49407114624505927,3.964426877470356,22,0.6354967997960262,0.6818181818181818,0.5454545454545454
12,12,SV12,253,0.20055769140698193,0.09453850472487246,0.0004859354282826349,0.9921132090947634,0.1422924901185771,0.4157741310760422,0.39347971635917645,0.44664031620553357,4.924901185770751,22,0.5855118212405558,0.5909090909090909,0.5
