layer,top_sigma,captured_frob_frac,sv_triplet_rel_resid,n_activation_samples,isotropic_activation_std,wall_s
0,1595.6131591796875,0.9351677537188595,0.01153352577239275,6595,2.5021699858604713,0.26
1,1150.98681640625,0.9386836470236135,0.011695003136992455,6595,2.8802059526295563,0.02
2,1067.69140625,0.9495967068783739,0.01023939810693264,6595,3.3856954323426125,0.02
3,815.2830200195312,0.947289965311039,0.013490506447851658,6595,3.933494513302489,0.02
4,660.443603515625,0.9404774447539974,0.012934324331581593,6595,4.713304446472163,0.02
5,473.8246154785156,0.9215165892736422,0.01627117022871971,6595,5.570442980294084,0.02
6,383.9949035644531,0.9050969378888891,0.0163978673517704,6595,6.76592682913629,0.02
7,280.8547668457031,0.8671962351400548,0.018898146227002144,6595,8.086963956059718,0.02
8,257.7018737792969,0.8674825465205245,0.02255648374557495,6595,9.732976139468725,0.02
9,174.53553771972656,0.817413988913721,0.024985328316688538,6595,11.706951590597356,0.02
10,145.0652618408203,0.79031180786268,0.02353120967745781,6595,14.124416644387304,0.02
11,132.7301788330078,0.7781259655370865,0.02506908029317856,6595,16.05856688837924,0.02
12,121.61546325683594,0.7619903395479232,0.026256138458848,6595,19.44916874900783,0.02
13,99.55686950683594,0.726939853859977,0.028735745698213577,6595,22.667147738690325,0.02
14,89.91655731201172,0.7126500077594845,0.03183886036276817,6595,27.942791978768547,0.02
15,73.98872375488281,0.6919776297186885,0.030759433284401894,6595,34.63399557703029,0.02
16,69.05416107177734,0.6879861832285644,0.0323709174990654,6595,45.20750192068684,0.02
17,62.909637451171875,0.6858050919633987,0.03204500675201416,6595,61.41599968238945,0.02
18,62.00947189331055,0.6772277983582026,0.02807786501944065,6595,84.7749875296127,0.02
19,52.9920768737793,0.6182024081041101,0.03211798891425133,6595,115.05560758624038,0.02
20,43.37416458129883,0.5381272088856777,0.03682813048362732,6595,145.96366027192846,0.02
21,36.46720504760742,0.4867846876193992,0.02373654395341873,6595,187.21827215223803,0.02
22,32.74796676635742,0.4339805929135141,0.02678275667130947,6595,217.28897959663195,0.02
