layer,sv_rank,next_layer,next_sv_rank,u_cos,v_cos,joint_cos
0,1,1,1,0.9970046877861023,0.6518290042877197,0.8061492443084717
0,2,1,2,0.9879657626152039,0.7268986701965332,0.847437858581543
0,3,1,4,0.636275053024292,0.27612078189849854,0.4191524386405945
0,4,1,3,0.941579282283783,0.6444252729415894,0.7789592146873474
0,5,1,4,0.6477928161621094,0.4386124312877655,0.5330384373664856
0,6,1,5,0.4574311673641205,0.3638864755630493,0.4079865515232086
0,7,1,5,0.5872085690498352,0.5098843574523926,0.5471823215484619
0,8,1,5,0.5312593579292297,0.4604188799858093,0.49457240104675293
0,9,1,9,0.7122905254364014,0.5045924782752991,0.5995135307312012
0,10,1,10,0.6615902185440063,0.45086318254470825,0.5461562871932983
0,11,1,13,0.4841762185096741,0.3147713243961334,0.390390545129776
0,12,1,8,0.4644116759300232,0.4013264775276184,0.4317183196544647
0,13,1,8,0.33241093158721924,0.32103461027145386,0.3266732394695282
0,14,1,12,0.5251607298851013,0.37055379152297974,0.4411352276802063
0,15,1,11,0.4351983368396759,0.34807538986206055,0.3892066776752472
0,16,1,13,0.4265410602092743,0.3498026728630066,0.3862709105014801
0,17,1,16,0.4152677655220032,0.335781455039978,0.37341558933258057
0,18,1,15,0.3831818401813507,0.30151987075805664,0.3399072587490082
0,19,1,14,0.491632342338562,0.3942716121673584,0.440268874168396
0,20,1,18,0.396615594625473,0.29541102051734924,0.3422931730747223
0,21,1,17,0.462496280670166,0.3588019609451294,0.4073629677295685
0,22,1,16,0.32385092973709106,0.2643495798110962,0.2925916314125061
0,23,1,32,0.43204572796821594,0.22844283282756805,0.3141619861125946
0,24,1,23,0.4382427930831909,0.3189958333969116,0.37389519810676575
0,25,1,21,0.5308381915092468,0.41097450256347656,0.4670770466327667
0,26,1,22,0.5041319131851196,0.4068404734134674,0.4528810679912567
0,27,1,26,0.489612877368927,0.3469166159629822,0.4121344983577728
0,28,1,28,0.3798676133155823,0.26876625418663025,0.31952401995658875
0,29,1,27,0.42502301931381226,0.3003256022930145,0.3572748303413391
0,30,1,24,0.4282986521720886,0.30290472507476807,0.3601856231689453
0,31,1,29,0.36692631244659424,0.23352950811386108,0.2927253246307373
0,32,1,25,0.3848034739494324,0.34095650911331177,0.36221712827682495
1,1,2,1,0.9998573064804077,0.8540610671043396,0.9240882992744446
1,2,2,2,0.9943833351135254,0.8426063060760498,0.9153544306755066
1,3,2,3,0.9771232604980469,0.8128564953804016,0.8912131786346436
1,4,2,4,0.8647584319114685,0.6998786926269531,0.7779626846313477
1,5,2,5,0.9215743541717529,0.8379409313201904,0.8787632584571838
1,6,2,7,0.6046355962753296,0.5044809579849243,0.5522926449775696
1,7,2,6,0.614555835723877,0.5433992147445679,0.5778833627700806
1,8,2,7,0.6550665497779846,0.560192346572876,0.6057749390602112
1,9,2,8,0.9458212852478027,0.8254674673080444,0.8835975527763367
1,10,2,10,0.7698532342910767,0.6692005395889282,0.7177647352218628
1,11,2,9,0.8310834169387817,0.7267623543739319,0.7771744728088379
1,12,2,11,0.5826656222343445,0.5013843774795532,0.5404992699623108
1,13,2,12,0.5652505159378052,0.4518873691558838,0.5054004192352295
1,14,2,12,0.6322137117385864,0.5638689398765564,0.597064197063446
1,15,2,13,0.6725755929946899,0.5880266427993774,0.6288818717002869
1,16,2,14,0.6434697508811951,0.5761393904685974,0.6088746190071106
1,17,2,16,0.57517409324646,0.4919701814651489,0.5319478511810303
1,18,2,18,0.562481164932251,0.4671432375907898,0.5126004815101624
1,19,2,18,0.4748937487602234,0.39926451444625854,0.4354402422904968
1,20,2,20,0.6796308755874634,0.5729892253875732,0.6240361928939819
1,21,2,21,0.8773179054260254,0.733204185962677,0.802030622959137
1,22,2,22,0.692284882068634,0.5486165285110474,0.6162782907485962
1,23,2,26,0.6252888441085815,0.49247539043426514,0.554922878742218
1,24,2,23,0.5714026689529419,0.47611624002456665,0.5215880274772644
1,25,2,23,0.5258044600486755,0.4545600414276123,0.48888617753982544
1,26,2,24,0.6206883788108826,0.541461706161499,0.5797232389450073
1,27,2,27,0.4987373352050781,0.43834835290908813,0.46756890416145325
1,28,2,30,0.48011329770088196,0.4067787826061249,0.4419274926185608
1,29,2,28,0.584132194519043,0.48069727420806885,0.5298969149589539
1,30,2,27,0.530222475528717,0.49701207876205444,0.5133487582206726
1,31,2,30,0.4390135705471039,0.39632493257522583,0.4171234965324402
1,32,2,30,0.3282884359359741,0.2859368324279785,0.3063817024230957
2,1,3,1,0.9996185898780823,0.787635862827301,0.8873192667961121
2,2,3,2,0.9953752756118774,0.7340472936630249,0.8547821640968323
2,3,3,3,0.9813569784164429,0.7595309019088745,0.863348662853241
2,4,3,4,0.7661706209182739,0.5436939597129822,0.6454164385795593
2,5,3,6,0.597322940826416,0.4973598122596741,0.5450544953346252
2,6,3,11,0.6090058088302612,0.5013635158538818,0.5525696873664856
2,7,3,7,0.639310896396637,0.5143648386001587,0.5734449028968811
2,8,3,10,0.5680246353149414,0.48555678129196167,0.5251744389533997
2,9,3,10,0.5665917992591858,0.45564529299736023,0.5080992579460144
2,10,3,8,0.5207332372665405,0.4133211672306061,0.4639289379119873
2,11,3,13,0.5676374435424805,0.5007050633430481,0.5331218838691711
2,12,3,9,0.46279868483543396,0.34601420164108276,0.40016859769821167
2,13,3,14,0.41374605894088745,0.3319541811943054,0.37060049176216125
2,14,3,12,0.5950311422348022,0.46016424894332886,0.5232705473899841
