layer,top_sigma,captured_frob_frac,sv_triplet_rel_resid,isotropic_total_std,isotropic_within_std,isotropic_between_std,subspace_null_peak_median,subspace_null_peak_p10,subspace_null_peak_p90,wall_s
0,1595.6131591796875,0.9351677537188595,0.01153352577239275,2.530791531643059,2.504181643281921,0.36603288661823535,7.587690353393555,6.158952236175537,10.504583358764648,0.31
1,1150.9866943359375,0.9386430524351832,0.0121604073792696,2.913181169951414,2.8736009481234595,0.47858345134724956,7.679965972900391,6.204373836517334,9.870400428771973,0.05
2,1067.6917724609375,0.9496012676549381,0.01045196782797575,3.410671893671547,3.349965652765928,0.6406347567605176,8.077299118041992,6.381148338317871,10.143976211547852,0.05
3,815.2828979492188,0.9473469699240277,0.012525956146419048,4.007179570263711,3.9128140331355334,0.864508213053234,7.446403503417969,5.987160682678223,10.012008666992188,0.05
4,660.4432983398438,0.9404118686428163,0.013871011324226856,4.778245386084224,4.632650193889847,1.1705473722526325,7.6464619636535645,5.874710559844971,9.185430526733398,0.05
5,473.82464599609375,0.9214918666992891,0.016146451234817505,5.689280209244527,5.489292480431964,1.4951847255688964,7.552282333374023,5.987107753753662,9.483985900878906,0.05
6,383.99481201171875,0.9050416728839797,0.017582781612873077,6.924334461200294,6.6642973946397825,1.8797733816509299,7.131463050842285,5.5108489990234375,9.719632148742676,0.05
7,280.8548583984375,0.8669180978765724,0.02202230505645275,8.266447390458616,7.957413092715382,2.239135844718202,7.167568206787109,5.447652339935303,9.02357292175293,0.05
8,257.7017517089844,0.8678985262684217,0.01768321916460991,10.00779968672943,9.60509438027395,2.81037657898927,6.720220565795898,5.582447528839111,8.922362327575684,0.05
9,174.53549194335938,0.8175542961638607,0.02344519831240177,11.976282913963319,11.400580377883667,3.668530970661638,7.015506744384766,5.652247905731201,9.124710083007812,0.05
10,145.065185546875,0.7902148262405737,0.024749841541051865,14.23656997839016,13.473108761879544,4.599485301657637,6.70814847946167,5.425930023193359,8.595438957214355,0.05
11,132.73020935058594,0.7781003232196061,0.02776731178164482,16.113713772931643,15.192190931630826,5.3711364023678465,6.7493157386779785,5.356378078460693,8.385553359985352,0.05
12,121.61543273925781,0.7621294634448555,0.02486269362270832,18.97098014311222,17.9041171277499,6.272214717798723,6.5075297355651855,5.5110554695129395,8.371665954589844,0.05
13,99.55683898925781,0.7269069692718644,0.02738123945891857,21.96856160595018,20.78732293229827,7.106680261751945,6.527552127838135,5.34929084777832,8.579236030578613,0.05
14,89.91654205322266,0.7126679119040058,0.0315379835665226,27.56761921207269,26.26158540370272,8.384674180066119,6.792130470275879,5.339832782745361,8.461828231811523,0.05
15,73.98883056640625,0.6921171500340358,0.028978919610381126,32.82476395477763,31.358592805193826,9.700710590720396,6.728481292724609,5.286337852478027,8.532012939453125,0.05
16,69.0541000366211,0.6877015607536281,0.035654596984386444,41.281839939051466,39.50543369267804,11.979608403736881,6.736701488494873,5.244584560394287,8.504258155822754,0.05
17,62.90967559814453,0.6857904144670056,0.031739674508571625,51.49804484834801,49.32872665452252,14.789366106965595,6.67396879196167,5.365813732147217,8.636958122253418,0.05
18,62.009525299072266,0.6769774422116871,0.03163790702819824,69.78692876129234,67.2615568913049,18.60371980254074,6.536628723144531,5.089203357696533,8.342960357666016,0.05
19,52.992191314697266,0.6183508172853979,0.03012547269463539,95.72351967974689,92.78691525500435,23.52829312422667,6.746490955352783,5.459631443023682,8.400059700012207,0.05
20,43.374202728271484,0.5381208489183913,0.037775665521621704,117.22424272471613,113.5375937891337,29.167411248803553,5.74832820892334,5.052248001098633,6.989095687866211,0.05
21,36.467193603515625,0.48664022362197346,0.022812677547335625,151.5014037315187,145.50814152368352,42.19071086085553,5.491790771484375,4.813534736633301,7.250001907348633,0.05
22,32.747982025146484,0.43389431148388136,0.027435289695858955,168.91917206822473,161.80731726862115,48.49823471577377,5.317083358764648,4.936822414398193,5.985768795013428,0.05
