layer,top_sigma,captured_frob_frac,sv_triplet_rel_resid,isotropic_total_std,isotropic_within_std,isotropic_between_std,subspace_null_peak_median,subspace_null_peak_p10,subspace_null_peak_p90,wall_s
0,1595.6131591796875,0.9351677537188595,0.01153352577239275,0.22042605002535867,nan,0.22042605002535867,7.587690353393555,6.158952236175537,10.504583358764648,0.34
1,1150.9866943359375,0.9386430524351832,0.0121604073792696,0.35087149782612065,nan,0.35087149782612065,7.679965972900391,6.204373836517334,9.870400428771973,0.05
2,1067.6917724609375,0.9496012676549381,0.01045196782797575,0.547149446586953,nan,0.547149446586953,8.077299118041992,6.381148338317871,10.143976211547852,0.05
3,815.2828979492188,0.9473469699240277,0.012525956146419048,0.7443086743776733,nan,0.7443086743776733,7.446403503417969,5.987160682678223,10.012008666992188,0.05
4,660.4432983398438,0.9404118686428163,0.013871011324226856,0.9636409782600089,nan,0.9636409782600089,7.6464619636535645,5.874710559844971,9.185430526733398,0.05
5,473.82464599609375,0.9214918666992891,0.016146451234817505,1.176739418837392,nan,1.176739418837392,7.552282333374023,5.987107753753662,9.483985900878906,0.05
6,383.99481201171875,0.9050416728839797,0.017582781612873077,1.5717917318169365,nan,1.5717917318169365,7.131463050842285,5.5108489990234375,9.719632148742676,0.05
7,280.8548583984375,0.8669180978765724,0.02202230505645275,1.9072459439480576,nan,1.9072459439480576,7.167568206787109,5.447652339935303,9.02357292175293,0.05
8,257.7017517089844,0.8678985262684217,0.01768321916460991,2.506239654166627,nan,2.506239654166627,6.720220565795898,5.582447528839111,8.922362327575684,0.05
9,174.53549194335938,0.8175542961638607,0.02344519831240177,3.370020086127737,nan,3.370020086127737,7.015506744384766,5.652247905731201,9.124710083007812,0.05
10,145.065185546875,0.7902148262405737,0.024749841541051865,4.320505572771535,nan,4.320505572771535,6.70814847946167,5.425930023193359,8.595438957214355,0.05
11,132.73020935058594,0.7781003232196061,0.02776731178164482,5.005111267537399,nan,5.005111267537399,6.7493157386779785,5.356378078460693,8.385553359985352,0.05
12,121.61543273925781,0.7621294634448555,0.02486269362270832,6.049277053293336,nan,6.049277053293336,6.5075297355651855,5.5110554695129395,8.371665954589844,0.05
13,99.55683898925781,0.7269069692718644,0.02738123945891857,7.323339575758242,nan,7.323339575758242,6.527552127838135,5.34929084777832,8.579236030578613,0.05
14,89.91654205322266,0.7126679119040058,0.0315379835665226,9.377279009253442,nan,9.377279009253442,6.792130470275879,5.339832782745361,8.461828231811523,0.05
15,73.98883056640625,0.6921171500340358,0.028978919610381126,10.92944566081681,nan,10.92944566081681,6.728481292724609,5.286337852478027,8.532012939453125,0.05
16,69.0541000366211,0.6877015607536281,0.035654596984386444,15.192372854664614,nan,15.192372854664614,6.736701488494873,5.244584560394287,8.504258155822754,0.05
17,62.90967559814453,0.6857904144670056,0.031739674508571625,17.80275623048329,nan,17.80275623048329,6.67396879196167,5.365813732147217,8.636958122253418,0.05
18,62.009525299072266,0.6769774422116871,0.03163790702819824,23.436865393930447,nan,23.436865393930447,6.536628723144531,5.089203357696533,8.342960357666016,0.05
19,52.992191314697266,0.6183508172853979,0.03012547269463539,30.691483807323504,nan,30.691483807323504,6.746490955352783,5.459631443023682,8.400059700012207,0.05
20,43.374202728271484,0.5381208489183913,0.037775665521621704,37.50697132674585,nan,37.50697132674585,5.74832820892334,5.052248001098633,6.989095687866211,0.05
21,36.467193603515625,0.48664022362197346,0.022812677547335625,48.48594571107886,nan,48.48594571107886,5.491790771484375,4.813534736633301,7.250001907348633,0.05
22,32.747982025146484,0.43389431148388136,0.027435289695858955,58.36552683919394,nan,58.36552683919394,5.317083358764648,4.936822414398193,5.985768795013428,0.05
