layer,sv_rank,sigma,u_lex_peak_abs_z,gaming_n,gaming_mean_delta_z,gaming_sign_consistency,impossible_mean_delta_z,precommit_mean_delta_z,cross_family_sign_agree,considered_rejected_n,considered_rejected_mean_delta_z,accidental_n,accidental_mean_delta_z,specificity_vs_rejected,discovery_score,u_top_pos,u_top_neg
10,1,145.0653533935547,5.673339366912842,9,1.605712981205631,1.0,1.75942652421483,0.3760046371320413,True,5,0.4787483840358678,2,-0.003112279226920256,1.366338789187697,1.768923994052579," the |  , |  of |  a |  . |  in",LObject | Nodo | équ | zü | sí | LOPT
11,1,132.72991943359375,5.536477565765381,9,1.3166316557039794,1.0,1.428409945659151,0.42240533606260666,True,5,0.7263574726321891,2,-0.13905492091840593,0.9534529193878849,1.4863146739785036," the |  of |  a |  , |  in |  .",LObject | équ | zü | Nodo | sí | ändert
9,1,174.53550720214844,5.752516269683838,9,1.3511654822073482,1.0,1.4568336704798448,0.505819976027377,True,5,0.4328569099585623,2,-0.40054037259485925,1.134737027228067,1.4680157113680024," the |  , |  of |  a |  . |  in",LObject | équ | Nodo | zü | LOPT | öss
4,1,660.4434814453125,5.643093109130859,9,1.3182242443687606,1.0,1.4315269748266013,0.4118024007060363,True,5,0.6640806982138807,2,-0.7466760458559176,0.9861838952618203,1.4599974460768197," the |  , |  of |  a |  in |  @",LObject | LOPT | équ | Scrolling | zü | ändert
12,1,121.61549377441406,5.452250957489014,9,1.2644249326205474,1.0,1.3776380639204318,0.35871988222147355,True,5,1.0463072582892265,2,-0.2729765506483497,0.7412713034759342,1.4494299492989442," the |  of |  a |  in |  , |  for",LObject | équ | zü | Nodo | sí | ändert
21,25,5.185086727142334,5.445394515991211,9,-1.1726268654838699,1.0,-1.3104944595424795,-0.06968611301499184,True,5,-0.6959772872572592,2,0.3489796686122101,0.8246382218552403,1.3458929169873237, CFO |  Zd |  Paragraph |  area |  Area | area,HAM |  HAM | .weapon | .ham |  practising |  cym
17,28,13.15541934967041,6.210142135620117,9,-1.2894288390903652,1.0,-1.3932524426614061,-0.45884001052203716,True,5,-0.06488235493240221,2,-0.8396622276459142,1.2569876616241642,1.2977046367570866,"...). |  ...""
 | ...), | :"",
 | …). |  ).
"," Seymour |   

 | ****

 |  Wester | (The |  Presbyterian"
6,1,383.9949951171875,5.796255111694336,9,1.1840643922927045,1.0,1.2704852088803467,0.4926978595915639,True,5,0.4579245965137462,2,-0.5745135078607224,0.9551020940358315,1.2767558206502319," the |  , |  of |  a |  in |  .",LObject | LOPT | Nodo | équ | zü | ändert
7,1,280.85479736328125,5.939108848571777,9,1.2030320541055846,1.0,1.2891178499433393,0.5143456874035446,True,5,0.5271866904615663,2,-0.509607154308806,0.9394387088748014,1.2660064884933107," the |  , |  of |  . |  a |  in",LObject | Nodo | LOPT | équ | Excluir | Usuarios
2,1,1067.691162109375,6.004221439361572,9,1.1509669792362898,1.0,1.2022603222606092,0.7406202350417356,True,5,1.2231085619117672,2,-0.9947803900222405,0.5394126982804062,1.1980809989898873," , |  the |  of |  a |  . |  in",LObject | LOPT | Scrolling | ändert | �信 | ’è
18,30,12.030171394348145,6.743393421173096,9,-1.2489552277458162,1.0,-1.4046718749742044,-0.0032220499187096373,True,5,0.2164114303419123,2,-0.03124680458397272,1.1407495125748601,1.1575730030672609," :"", | :"");
 |  :
 |  ： | 】： | isations","*

 | .*

 |  Lexington | �

 |  Oregon | ++

"
22,32,3.19854474067688,5.361062526702881,9,-0.9922069518595813,1.0,-1.108739949218061,-0.05994297299174338,True,5,0.0325914129760879,2,0.13630837294580314,0.9759112453715374,1.1567284317678448, Scalar |  Slave |  SCALE |  shovel |  Lower |  Allocate,ainfo | /PT | /fl | _fl | _cert | _sent
16,28,13.614583969116211,6.438867092132568,9,1.1871475848804471,1.0,1.2749963621488019,0.48435736673361046,True,5,0.02201055724207912,2,-0.25172516333611883,1.1761423062594076,1.1523257584503708, Malcolm |  Cunningham |  Nong | ukin |  Pern |  Perman,".""),
 | ."",
 | 。"",
 |  ).
 | ).
 |  ],
"
5,1,473.8245544433594,5.71248197555542,9,1.0511411915497326,1.0,1.0835044681955255,0.792234978383388,True,5,0.7363043001552315,2,-0.8067437452053181,0.6829890414721169,1.1500486960481076," the |  , |  of |  a |  in |  ",LObject | LOPT | équ | Nodo | zü | ändert
13,1,99.55689239501953,5.4601521492004395,9,0.9860860308201383,1.0,1.039809127099867,0.5563012605823086,True,5,0.7905754359973681,2,0.1345496858014455,0.5907983128214542,1.1287300288011852, the |  a |  of |   |  in |  for,sí | LObject | sé | équ | zü | Nodo
22,29,3.3479039669036865,5.176201820373535,9,-1.642381920375364,0.8888888888888888,-1.8522404370980903,0.036486213406445346,False,5,0.03911799294237277,2,0.5250783261269777,1.6228229239041776,1.0576493327024377, ghosts |  emptied | 盛 | Popover |  rows |  círc,Albert |  Albert |  Accurate |  Wrong |  Licence |  Ike
15,28,13.73844051361084,5.435559272766113,9,-1.0263087065258143,0.8888888888888888,-1.0553114002698307,-0.794287156573684,True,5,0.5629134824781635,2,-0.3603875042458109,0.7448519652867325,1.0489656629855801,".',
 | 。',
 | ."";

 | .');

 | .';
 | ."",
", Malcolm |  Cunningham | ukin |  Beginning |  Mills |  Merr
19,29,10.584738731384277,6.50221061706543,9,1.081732411505046,1.0,1.1937353775100117,0.1857086834653196,True,5,0.010020695416365123,2,0.6924199364978836,1.0767220637968633,1.0397736969888907,"',

 | '

 | `

 | ）

 | ')

 | 、

",":;
 | :
 |  """":
 | "":
 | :"";
 | "":{
"
8,1,257.70184326171875,5.996495723724365,9,0.99321591016603,1.0,1.039006964322771,0.6268874769121007,True,5,0.6018850025477895,2,-0.7690147834182756,0.6922734088921352,1.035204513525811," the |  , |  . |  of |  a |  in",Nodo | Excluir | équ | LOPT | LObject | Usuarios
20,25,8.587100982666016,5.277876377105713,9,-0.8735339083352076,1.0,-0.9764741570774629,-0.05001191839716462,True,5,-0.5549859116577408,2,0.8645590164108147,0.5960409525063373,1.0344287241697354,yscr |  Tec | ifax |  Foreign |  Mexican |  mexican," stitch |  stitched | …

 |  😉

 |  !

 |  ~

"
16,19,16.587974548339844,5.315033912658691,9,0.8542792166703977,1.0,0.9358858826804942,0.20142588858962568,True,5,0.6844583532648811,2,-0.05057661611305263,0.5120500400379572,1.0045552280435373,)— | ）； | ）， |  — | —is | -�,"”

 | ”
 | ”.

 | ”.
 | ppt | “
"
3,1,815.2833862304688,5.755666732788086,9,0.9124038776523165,1.0,0.9473957184119999,0.6324691515748492,True,5,1.0093460995375376,2,-1.1237665531963148,0.40773082788354764,0.9907669258961133," , |  the |  of |  a |  in |  .",LObject | LOPT | Scrolling | équ | ’è | ändert
22,16,4.404223442077637,5.243727684020996,9,-0.797041849858892,1.0,-0.8890145677050627,-0.06126010708952654,True,5,0.9932602014237574,2,-0.43243232163766543,0.30041174914701335,0.9499943288050672, ATV |  TOD |  cabins |  MIL |  carav |  Volunteer, Target | aila | .decor | .Target | .Prop | Target
20,26,8.44258975982666,5.519901752471924,9,-0.8301597970251344,1.0,-0.9115670282127957,-0.1789019475238443,True,5,0.6032316619049309,2,-1.6315346187484678,0.528543966072669,0.9399621522400421, perplex |  jitter |  pervers |  torrent |  turbulence |  flood, Firm |  Anch |  Braves |  Rebels |  Honor |  Bran
22,15,4.536285877227783,5.632164478302002,9,0.7980725847672924,1.0,0.8546703353792957,0.34529057987126544,True,5,-0.3176505680857444,2,0.5894803697463716,0.6392473007244202,0.8856193163413006, PRIOR |  PRI |  UNI |  PR |  Prior | uthor, videot |  flashed |  filmed | Sur |  surveyed |  crashed
22,19,4.100870609283447,5.565980911254883,9,-0.7611245058872265,1.0,-0.7964061787441898,-0.47887112303151824,True,5,0.5353118510334534,2,-0.9562151092202203,0.4934685803704998,0.8546612425809894,Eric | EEF | STE | Compressed |  Mist | ERIC, memberships |  Admir |  metropolitan |  sede |  metast |  metropolis
21,19,5.865703582763672,5.525726795196533,9,-0.7524463432331182,1.0,-0.8269556686264319,-0.15637174008661006,True,5,0.45792667237327134,2,-0.03357887078226918,0.5234830070464825,0.8510716905683944, Seminar |  Agents |  Modul |  Manuals |  Agencia |  Consultancy,tile | say | to | n't | dip | speed
17,30,12.778783798217773,6.936779499053955,9,0.9356317960995235,1.0,1.0492539102992735,0.026654882501522675,True,5,0.21243839040715976,2,-0.693570424173596,0.8294126008959436,0.8429990785233316,".)

 | .""

 | !)

 | .).

 | !).

 | ?)

","】： | \""] | 】: | \', | 】， | :
"
11,2,54.55510711669922,4.187551975250244,9,0.7575617628718495,0.8888888888888888,0.8186569070907694,0.26880060912049014,True,5,-0.3671360605699901,2,-0.9292751301036065,0.5739937325868545,0.8417352920798328,"yeah | ..) | lol | )



 | ¨ | ”),", fourteen |  (§ |  subsequently |  twelve |  concessions |  fifteen
12,2,54.06718063354492,4.190075874328613,9,0.7452521924444351,0.8888888888888888,0.8182180985815689,0.1615249433473646,True,5,-0.26034819349826116,2,-0.6546246558188653,0.6150780956953045,0.8280579916049279,"yeah | ..) | lol | maybe | )



 | )','", fourteen |  (§ |  subsequently |  appropri |  concessions |  internally
20,32,7.612366199493408,5.742190837860107,9,1.387187574780735,0.8888888888888888,1.6061972618655689,-0.36488992189793673,False,5,0.8546785935762145,2,-1.1460933836187706,0.9598482779926277,0.8052603462976546, armour |  Cloth |  Armour |  Colours |  scraps |  Flint,")."" |  ). | .). | ).\ | ).
 |  ).

"
13,2,50.10256576538086,3.999518871307373,9,0.6423174377956619,1.0,0.6962554400765861,0.21081341954826865,True,5,-0.287392805426833,2,-0.5259333813699814,0.49862103508224537,0.8028967972445773,"yeah | )',' | nice | ri | nn | tea"," (§ |  ("" |  appropri |  enumeration |  efforts |  enumer"
14,28,13.783623695373535,5.086144924163818,9,-0.7329330451417739,0.8888888888888888,-0.7873502455809233,-0.29759544162857976,True,5,0.38012229116875496,2,0.387824174221702,0.5428718995573965,0.8005769225022743,"/gallery | dav | .

 | s | .*;

 | .





",-Pr |  Fiscal |  Cum |  Pr |  Panic |  Cong
22,1,32.747982025146484,5.662135124206543,9,0.7226839832174461,1.0,0.8110649155449012,0.01563652459780573,True,5,0.463017099267513,2,0.12466749265290022,0.4911754335836896,0.7977158432336056,"  |  the |  a |  ( | , |  """,ikti | .synthetic | yük | Parametro | Parametros | lekt
16,31,12.895977020263672,5.364406108856201,9,-0.6576174011235468,1.0,-0.7181557034445654,-0.1733109825553989,True,5,-0.12622765288988572,2,1.095369658111173,0.5945035746786039,0.7661815070705982,"’
 | ’

 | 
 |  ‘‘ |  $

 |  

",")."" |  life's | !"" | ."" | )"" | !"","
22,13,4.825583457946777,5.2011284828186035,9,0.7031212559993896,0.8888888888888888,0.7651170716511844,0.20715473078503205,True,5,0.06185464330871646,2,0.39126102391780493,0.6721939343450314,0.7510349365335691, Logos |  Große | DFC |  Anniversary |  Grandes |  Már, typed | _INTER |  metabolic |  Angus |  Edward |  INTER
21,29,4.6624956130981445,5.5113205909729,9,-1.2309378185873157,0.8888888888888888,-1.4076196453118026,0.1825167952085803,False,5,-1.2299554187050261,2,0.8329313826718935,0.6159601092348026,0.7444905434603657," RAP | ]\ | ”: | ”
 |  REP | ”

", Squad |  Stakes | -pos | stid |  Bless | .lk
21,30,4.587125301361084,5.121388912200928,9,-0.5988833441493803,1.0,-0.6726457742832921,-0.008783903078085728,True,5,-0.20297683447473885,2,-0.19524415800603623,0.4973949269120108,0.730860507784607,"""+
 | %""
 | "":{
 |  usd | "":
 |  MONEY", Bach | sch | edel | arly |  Pach | eleng
18,13,18.12771987915039,5.355947971343994,9,-0.5802727252408827,1.0,-0.6100399575128765,-0.34213486706493207,True,5,0.3604064256369708,2,-0.5703796970244155,0.4000695124223973,0.6771358781227015,adays |  someone's |  somebody |  figuring |  anything | ings,"®

 | ™

 | 、“ | •
 | •

 | ×

"
14,29,13.483452796936035,5.148492336273193,9,-0.5471436111859764,1.0,-0.5793795792554902,-0.2892558666298657,True,5,-0.010499770450016266,2,-0.23205299629494205,0.5418937259609683,0.6642036826625075,Fiscal | Pct | Salary | Payroll | Austin | Pens,ized | istic | ic |  Frankenstein |  Tristan |  UFO
7,3,49.95123291015625,5.322536468505859,9,-0.5468704236775209,1.0,-0.5798873884945088,-0.2827347051416178,True,5,0.2931408313046209,2,0.7660485550046953,0.4003000080252105,0.642163781912797, utilizing |  organization's |  utilized |  individual's |  impactful |  utilization," ',
 |  "",
 |  ,
 |  "",
 |  ,
 | \"",\"
