trajectory,sv_index_0,layer_a,layer_b,layer_distance,positive_top_token_jaccard,negative_top_token_jaccard,mean_signed_side_jaccard
SV_02,2,2,3,1,0.10344827586206896,0.10344827586206896,0.10344827586206896
SV_02,2,2,4,2,0.04918032786885246,0.04918032786885246,0.04918032786885246
SV_02,2,2,5,3,0.03225806451612903,0.0,0.016129032258064516
SV_02,2,2,6,4,0.0,0.0,0.0
SV_02,2,2,7,5,0.0,0.0,0.0
SV_02,2,2,8,6,0.0,0.0,0.0
SV_02,2,2,9,7,0.0,0.0,0.0
SV_02,2,2,10,8,0.0,0.0,0.0
SV_02,2,2,11,9,0.0,0.0,0.0
SV_02,2,3,4,1,0.14285714285714285,0.14285714285714285,0.14285714285714285
SV_02,2,3,5,2,0.04918032786885246,0.015873015873015872,0.032526671870934165
SV_02,2,3,6,3,0.015873015873015872,0.0,0.007936507936507936
SV_02,2,3,7,4,0.0,0.0,0.0
SV_02,2,3,8,5,0.0,0.0,0.0
SV_02,2,3,9,6,0.0,0.0,0.0
SV_02,2,3,10,7,0.0,0.0,0.0
SV_02,2,3,11,8,0.0,0.0,0.0
SV_02,2,4,5,1,0.06666666666666667,0.10344827586206896,0.08505747126436781
SV_02,2,4,6,2,0.04918032786885246,0.015873015873015872,0.032526671870934165
SV_02,2,4,7,3,0.0,0.0,0.0
SV_02,2,4,8,4,0.0,0.0,0.0
SV_02,2,4,9,5,0.0,0.0,0.0
SV_02,2,4,10,6,0.0,0.0,0.0
SV_02,2,4,11,7,0.0,0.0,0.0
SV_02,2,5,6,1,0.18518518518518517,0.0847457627118644,0.1349654739485248
SV_02,2,5,7,2,0.04918032786885246,0.015873015873015872,0.032526671870934165
SV_02,2,5,8,3,0.0,0.0,0.0
SV_02,2,5,9,4,0.0,0.0,0.0
SV_02,2,5,10,5,0.0,0.0,0.0
SV_02,2,5,11,6,0.0,0.0,0.0
SV_02,2,6,7,1,0.14285714285714285,0.16363636363636364,0.15324675324675324
SV_02,2,6,8,2,0.06666666666666667,0.03225806451612903,0.04946236559139785
SV_02,2,6,9,3,0.0,0.0,0.0
SV_02,2,6,10,4,0.0,0.0,0.0
SV_02,2,6,11,5,0.0,0.0,0.0
SV_02,2,7,8,1,0.30612244897959184,0.4222222222222222,0.364172335600907
SV_02,2,7,9,2,0.10344827586206896,0.10344827586206896,0.10344827586206896
SV_02,2,7,10,3,0.015873015873015872,0.03225806451612903,0.024065540194572452
SV_02,2,7,11,4,0.015873015873015872,0.03225806451612903,0.024065540194572452
SV_02,2,8,9,1,0.28,0.18518518518518517,0.2325925925925926
SV_02,2,8,10,2,0.12280701754385964,0.06666666666666667,0.09473684210526315
SV_02,2,8,11,3,0.10344827586206896,0.0847457627118644,0.09409701928696668
SV_02,2,9,10,1,0.4883720930232558,0.28,0.3841860465116279
SV_02,2,9,11,2,0.3617021276595745,0.23076923076923078,0.29623567921440264
SV_02,2,10,11,1,0.4222222222222222,0.5238095238095238,0.473015873015873
SV_09,9,9,10,1,0.4222222222222222,0.4222222222222222,0.4222222222222222
SV_09,9,9,11,2,0.3617021276595745,0.4222222222222222,0.39196217494089836
SV_09,9,9,12,3,0.3333333333333333,0.391304347826087,0.36231884057971014
SV_09,9,9,13,4,0.14285714285714285,0.28,0.21142857142857144
SV_09,9,9,14,5,0.10344827586206896,0.16363636363636364,0.1335423197492163
SV_09,9,9,15,6,0.03225806451612903,0.04918032786885246,0.040719196192490745
SV_09,9,10,11,1,0.7297297297297297,0.8285714285714286,0.7791505791505792
SV_09,9,10,12,2,0.6842105263157895,0.6410256410256411,0.6626180836707153
SV_09,9,10,13,3,0.391304347826087,0.5238095238095238,0.45755693581780543
SV_09,9,10,14,4,0.30612244897959184,0.3333333333333333,0.3197278911564626
SV_09,9,10,15,5,0.12280701754385964,0.12280701754385964,0.12280701754385964
SV_09,9,11,12,1,0.7297297297297297,0.7777777777777778,0.7537537537537538
SV_09,9,11,13,2,0.4222222222222222,0.5609756097560976,0.49159891598915995
SV_09,9,11,14,3,0.3617021276595745,0.391304347826087,0.37650323774283073
SV_09,9,11,15,4,0.14285714285714285,0.12280701754385964,0.13283208020050125
SV_09,9,12,13,1,0.45454545454545453,0.6410256410256411,0.5477855477855478
SV_09,9,12,14,2,0.391304347826087,0.391304347826087,0.391304347826087
SV_09,9,12,15,3,0.14285714285714285,0.14285714285714285,0.14285714285714285
SV_09,9,13,14,1,0.6842105263157895,0.4883720930232558,0.5862913096695226
SV_09,9,13,15,2,0.23076923076923078,0.18518518518518517,0.20797720797720798
SV_09,9,14,15,1,0.2549019607843137,0.28,0.26745098039215687
