trajectory,sv_index_0,layer_a,layer_b,layer_distance,raw_cosine,abs_cosine,canonical_cosine,axis_angle_deg,raw_sign_flip,a_to_b_best_rank_0,a_to_b_best_abs_cosine,a_to_b_second_rank_0,a_to_b_second_abs_cosine,a_to_b_margin,b_to_a_best_rank_0,b_to_a_best_abs_cosine,b_to_a_second_rank_0,b_to_a_second_abs_cosine,b_to_a_margin,same_rank_is_reciprocal_best,sigma_a,sigma_b,relative_gap_a,relative_gap_b
SV_02,2,2,3,1,0.7595307206994468,0.7595307206994468,0.759530720699447,40.57715528847868,False,2,0.7595307206994467,6,0.09812390468364368,0.6614068160158031,2,0.7595307206994467,6,0.13003198063278912,0.6294987400666576,True,174.7201690673828,125.57561492919922,0.3186436336493352,0.3513909063895039
SV_02,2,2,4,2,0.6059906915059543,0.6059906915059543,0.6059906915059543,52.69983496804988,False,2,0.6059906915059537,3,0.18793754829547127,0.4180531432104825,2,0.6059906915059537,3,0.18644438843942235,0.4195463030665314,True,174.7201690673828,99.62339782714844,0.3186436336493352,0.3810774417633302
SV_02,2,2,5,3,0.46372854523815266,0.46372854523815266,0.4637285452381529,62.37203332492977,False,2,0.4637285452381531,3,0.17307108553311257,0.29065745970504053,2,0.4637285452381531,6,0.1597596544997838,0.3039688907383693,True,174.7201690673828,69.60091400146484,0.3186436336493352,0.3314817679048083
SV_02,2,2,6,4,0.4247177973340902,0.4247177973340902,0.42471779733409043,64.86719778671973,False,2,0.4247177973340901,3,0.14528395869915475,0.2794338386349353,2,0.4247177973340901,6,0.157861556194376,0.26685624113971407,True,174.7201690673828,58.891849517822266,0.3186436336493352,0.2644492586382626
SV_02,2,2,7,5,0.28303603764858465,0.28303603764858465,0.28303603764858454,73.55851119197135,False,2,0.2830360376485846,3,0.22957021210468548,0.053465825543899115,2,0.2830360376485846,30,0.23939455371891546,0.04364148392966913,True,174.7201690673828,49.951316833496094,0.3186436336493352,0.18357435424109075
SV_02,2,2,8,6,0.20878686203773952,0.20878686203773952,0.20878686203773977,77.94873126207472,False,3,0.2160320667778766,2,0.20878686203773963,0.007245204740136957,30,0.29562262470640527,2,0.20878686203773963,0.08683576266866563,False,174.7201690673828,47.76953887939453,0.3186436336493352,0.1883145040230791
SV_02,2,2,9,7,0.07049935746705127,0.07049935746705127,0.07049935746705129,85.9573308458513,False,1,0.10216490718596881,3,0.09495382483248797,0.0072110823534808355,30,0.2991925124355269,24,0.20178069256914685,0.09741181986638006,False,174.7201690673828,43.51554489135742,0.3186436336493352,0.1713558262799063
SV_02,2,2,10,8,0.03428438054955012,0.03428438054955012,0.03428438054955011,88.03526466523654,False,1,0.11004189147121561,7,0.08671367373442605,0.023328217736789558,30,0.26364229747632906,24,0.17845264458176674,0.08518965289456232,False,174.7201690673828,41.63362121582031,0.3186436336493352,0.14321572541113234
SV_02,2,2,11,9,0.031223754472951375,0.031223754472951375,0.031223754472951403,88.21071983277966,False,1,0.10201754538164488,7,0.07871170699427268,0.0233058383873722,30,0.2563697176297006,24,0.16124668889927415,0.09512302873042647,False,174.7201690673828,40.8612174987793,0.3186436336493352,0.13143574447816617
SV_02,2,3,4,1,0.7876891904915353,0.7876891904915353,0.7876891904915351,38.02991588163162,False,2,0.7876891904915347,1,0.15260331633250745,0.6350858741590273,2,0.7876891904915347,3,0.2460599847636084,0.5416292057279264,True,125.57561492919922,99.62339782714844,0.3513909063895039,0.3810774417633302
SV_02,2,3,5,2,0.600478743175771,0.600478743175771,0.6004787431757705,53.09580719987185,False,2,0.6004787431757703,1,0.17720727048125137,0.4232714726945189,2,0.6004787431757703,4,0.2903444249071698,0.31013431826860055,True,125.57561492919922,69.60091400146484,0.3513909063895039,0.3314817679048083
SV_02,2,3,6,3,0.5253591639542243,0.5253591639542243,0.5253591639542243,58.30757485879743,False,2,0.5253591639542243,3,0.15773118016343154,0.36762798379079276,2,0.5253591639542243,4,0.3122019639377701,0.21315720001645422,True,125.57561492919922,58.891849517822266,0.3513909063895039,0.2644492586382626
SV_02,2,3,7,4,0.34127111564964563,0.34127111564964563,0.3412711156496457,70.04566376765757,False,2,0.34127111564964585,3,0.24680535416661203,0.09446576148303382,4,0.39268291150509554,2,0.34127111564964585,0.05141179585544969,False,125.57561492919922,49.951316833496094,0.3513909063895039,0.18357435424109075
SV_02,2,3,8,5,0.24741227716928316,0.24741227716928316,0.24741227716928327,75.67556324865423,False,2,0.24741227716928332,3,0.22951090121259757,0.017901375956685756,4,0.393169782699813,11,0.29906526003311185,0.09410452266670116,False,125.57561492919922,47.76953887939453,0.3513909063895039,0.1883145040230791
SV_02,2,3,9,6,0.10498444762899135,0.10498444762899135,0.10498444762899131,83.97372947745046,False,1,0.13334408564363576,3,0.12861636242382035,0.004727723219815405,4,0.350463760865945,11,0.3366293625712429,0.013834398294702122,False,125.57561492919922,43.51554489135742,0.3513909063895039,0.1713558262799063
SV_02,2,3,10,7,0.06352274099313242,0.06352274099313242,0.06352274099313245,86.35796287773768,False,1,0.13676104560760144,7,0.10735708915260128,0.029403956455000158,11,0.3210826343321041,4,0.3091516289813986,0.011931005350705515,False,125.57561492919922,41.63362121582031,0.3513909063895039,0.14321572541113234
SV_02,2,3,11,8,0.055790627927755326,0.055790627927755326,0.05579062792775531,86.80177188679188,False,1,0.134539036146837,7,0.09945232230149119,0.0350867138453458,11,0.31564007774850517,4,0.28627686437551353,0.029363213372991637,False,125.57561492919922,40.8612174987793,0.3513909063895039,0.13143574447816617
SV_02,2,4,5,1,0.7569864238029422,0.7569864238029422,0.7569864238029418,40.8007568857165,False,2,0.7569864238029423,3,0.17145519560070374,0.5855312282022386,2,0.7569864238029423,4,0.22944426657746742,0.5275421572254749,True,99.62339782714844,69.60091400146484,0.3810774417633302,0.3314817679048083
SV_02,2,4,6,2,0.6355179312709089,0.6355179312709089,0.6355179312709087,50.54159094596955,False,2,0.6355179312709084,3,0.19843237597916327,0.4370855552917451,2,0.6355179312709084,4,0.29801879316436125,0.33749913810654714,True,99.62339782714844,58.891849517822266,0.3810774417633302,0.2644492586382626
SV_02,2,4,7,3,0.4126134491320639,0.4126134491320639,0.4126134491320639,65.63088633848585,False,2,0.412613449132064,3,0.2921266971838616,0.12048675194820241,2,0.412613449132064,4,0.39253859549316344,0.020074853638900547,True,99.62339782714844,49.951316833496094,0.3810774417633302,0.18357435424109075
SV_02,2,4,8,4,0.29349448217606605,0.29349448217606605,0.2934944821760658,72.93271812807617,False,2,0.29349448217606516,3,0.26631961766131473,0.02717486451475043,4,0.4062948100581856,2,0.29349448217606516,0.11280032788212041,False,99.62339782714844,47.76953887939453,0.3810774417633302,0.1883145040230791
SV_02,2,4,9,5,0.1490124921232928,0.1490124921232928,0.14901249212329287,81.43029662124651,False,3,0.16686196106790335,2,0.14901249212329284,0.017849468944610508,4,0.36427877800353115,9,0.2741663971018557,0.09011238090167545,False,99.62339782714844,43.51554489135742,0.3810774417633302,0.1713558262799063
SV_02,2,4,10,6,0.0975743795518822,0.0975743795518822,0.09757437955188217,84.4004905127332,False,3,0.1415995634487087,7,0.1407026024939991,0.0008969609547095914,4,0.3198432094087312,9,0.2896880431753602,0.030155166233371,False,99.62339782714844,41.63362121582031,0.3810774417633302,0.14321572541113234
SV_02,2,4,11,7,0.07985884413192165,0.07985884413192165,0.0798588441319217,85.41954785895554,False,1,0.13290551751797927,7,0.13094824182834333,0.00195727568963594,9,0.312316812002204,4,0.301337789842616,0.010979022159588014,False,99.62339782714844,40.8612174987793,0.3810774417633302,0.13143574447816617
SV_02,2,5,6,1,0.8769750698173551,0.8769750698173551,0.8769750698173555,28.72040668636997,False,2,0.8769750698173546,3,0.09746881621311744,0.7795062536042372,2,0.8769750698173546,4,0.17079296764758184,0.7061821021697727,True,69.60091400146484,58.891849517822266,0.3314817679048083,0.2644492586382626
SV_02,2,5,7,2,0.6401453244134143,0.6401453244134143,0.6401453244134141,50.197343171609994,False,2,0.6401453244134138,3,0.28867478015402176,0.351470544259392,2,0.6401453244134138,3,0.37377389328043814,0.2663714311329756,True,69.60091400146484,49.951316833496094,0.3314817679048083,0.18357435424109075
