trajectory,layer_distance,n_pairs,mean_abs_cosine,median_abs_cosine,min_abs_cosine,max_abs_cosine,mean_axis_angle_deg
SV_02,1,9,0.8510171006877092,0.8429553078963961,0.7569864238029422,0.9607947964630794,30.490910138949946
SV_02,2,8,0.6883385033365563,0.6467860045214029,0.600478743175771,0.9100170940524778,45.79476169347603
SV_02,3,7,0.5191839441618348,0.4906589273458106,0.4126134491320639,0.6776060922603808,58.512179155105194
SV_02,4,6,0.38121014774379086,0.34396013593112695,0.29349448217606605,0.5593167957657875,67.46366723768399
SV_02,5,5,0.24506583998596893,0.24741227716928316,0.1490124921232928,0.3012999792956936,75.79446833422543
SV_02,6,4,0.15619052977704015,0.15688565483336545,0.0975743795518822,0.2134164298895475,81.00007798925347
SV_02,7,3,0.07129364753070179,0.07049935746705127,0.06352274099313242,0.07985884413192165,85.91161386084816
SV_02,8,2,0.04503750423865272,0.04503750423865272,0.03428438054955012,0.055790627927755326,87.41851827601421
SV_02,9,1,0.031223754472951375,0.031223754472951375,0.031223754472951375,0.031223754472951375,88.21071983277966
SV_09,1,6,0.967854390525214,0.9796313958384781,0.8900190396021197,0.9943057021322328,12.874651179251396
SV_09,2,5,0.9389285147941437,0.9594058371574246,0.8226686781700598,0.9846213423355664,18.270908144250754
SV_09,3,4,0.9095219911936254,0.9420405658310365,0.7932696136847108,0.9607372194277177,23.195395851991076
SV_09,4,3,0.8684762117631039,0.9138304383583579,0.7757227147774324,0.9158754821535215,28.919618976411623
SV_09,5,2,0.8081335577420135,0.8081335577420135,0.752290937544995,0.8639761779390319,35.72238972436565
SV_09,6,1,0.6839433099036634,0.6839433099036634,0.6839433099036634,0.6839433099036634,46.847438974456416
