candidate,layer,sv_index_0,sv_rank_1based,singular_value,singular_value_over_sv1,n_tokens,n_documents,mean_activation,mean_abs_activation,rms_activation,std_activation,positive_rate,max_activation,min_activation,mean_abs_cosine,rms_cosine,top1_abs_rate,top5_abs_rate,doc_top5_presence_rate,mean_document_peak_abs,mean_layer_residual_norm,sigma_weighted_mean_abs,sigma_weighted_std,dynamicity_std_over_abs_mean,token_sample_n,median_activation,mad_activation,robust_activation_scale,stable_skewness,stable_kurtosis,stable_excess_kurtosis,effective_support_fraction,positive_max_robust_z,negative_max_robust_z,positive_q99_robust_z,positive_q999_robust_z,positive_q9999_robust_z,negative_q99_robust_z,negative_q999_robust_z,negative_q9999_robust_z,abs_q99_robust_z,abs_q999_robust_z,abs_q9999_robust_z,positive_top1pct_energy_share,positive_top0_1pct_energy_share,negative_top1pct_energy_share,negative_top0_1pct_energy_share,abs_top1pct_energy_share,abs_top0_1pct_energy_share,positive_token_rate_z3,positive_token_rate_z5,positive_token_rate_z8,negative_token_rate_z3,negative_token_rate_z5,negative_token_rate_z8,positive_doc_count_z3,positive_doc_count_z5,positive_doc_count_z8,negative_doc_count_z3,negative_doc_count_z5,negative_doc_count_z8,positive_doc_rate_z3,positive_doc_rate_z5,positive_doc_rate_z8,negative_doc_rate_z3,negative_doc_rate_z5,negative_doc_rate_z8,doc_positive_peak_q95_z,doc_positive_peak_q99_z,doc_negative_peak_q95_z,doc_negative_peak_q99_z,positive_tail_selectivity_score,negative_tail_selectivity_score,positive_tail_shape_score,negative_tail_shape_score,positive_tail_support_weight,negative_tail_support_weight,tail_selectivity_score,selected_tail_polarity,rank_global_mean_abs_cosine,rank_global_top1_rate,rank_global_top5_abs_rate,rank_global_sigma_weighted_mean_abs,rank_global_std_activation,rank_global_excess_kurtosis,rank_global_tail_selectivity,rank_layer_mean_abs_activation,rank_layer_mean_abs_cosine,rank_layer_top1_rate,rank_layer_top5_abs_rate,rank_layer_std_activation,rank_layer_excess_kurtosis,rank_layer_tail_selectivity,positive_top_context_retained_events,positive_top_context_unique_documents,positive_top_context_unique_center_tokens,positive_top_context_center_token_entropy,positive_top_context_effective_center_tokens,positive_top_context_largest_center_token_share,negative_top_context_retained_events,negative_top_context_unique_documents,negative_top_context_unique_center_tokens,negative_top_context_center_token_entropy,negative_top_context_effective_center_tokens,negative_top_context_largest_center_token_share,selected_tail_top_context_retained_events,selected_tail_top_context_unique_documents,selected_tail_top_context_unique_center_tokens,selected_tail_top_context_center_token_entropy,selected_tail_top_context_effective_center_tokens,selected_tail_top_context_largest_center_token_share,nearest_unembed_token_id,nearest_unembed_token,nearest_unembed_decoded,nearest_unembed_cosine,nearest_unembed_margin,farthest_unembed_token_id,farthest_unembed_token,farthest_unembed_decoded,farthest_unembed_cosine,farthest_unembed_margin,max_abs_unembed_token_cosine,nearest_unembed_token_z,farthest_unembed_token_z,unembedding_cosine_mean,unembedding_cosine_std,rank_global_max_abs_unembed_token_cosine
L22_SV07,22,6,7,5.944046497344971,0.18150880932807922,441490,2000,45.50250753114852,64.93520962372273,92.70837295971178,80.77353666402624,0.7070556524496591,764.0,-223.0,0.0027500856196832546,0.003895156177110078,0.0,0.0010894924007338784,0.1265,336.567,23628.51209795239,385.9779053182505,480.1216576859707,1.7751447347979963,29432,31.25,42.25,62.639849999999996,1.247070619757356,5.597678812815074,2.597678812815074,0.17864547671271258,11.69782494689882,4.058917765607677,4.290399801404378,6.320066219826501,9.608707555972623,1.9516330259411543,2.551394998551234,3.2501897753586184,4.290399801404378,6.320066219826501,9.608707555972623,0.21294079782157327,0.045164666347542015,0.13548439267784756,0.02317709341663877,0.16617322514985525,0.035245281066697665,0.043184289209024194,0.004145148138081,0.0003057896167436804,0.0003397662408263115,0.0,0.0,1956,721,66,89,0,0,0.978,0.3605,0.033,0.0445,0.0,0.0,7.547112580889003,9.590540207232298,2.9573825607819946,3.356489519052169,1.3431392232319859,0.06473750164760828,1.3431392232319859,0.3884250098856497,1.0,0.16666666666666666,1.3431392232319859,positive,1452,1425,1238,508,76,4,1,57,56,17,45,48,2,1,64,45,11,1.531161282399383,4.623542944949596,0.578125,64,52,37,3.2730577743924467,26.391916613714795,0.109375,64,45,11,1.531161282399383,4.623542944949596,0.578125,53336,MF,MF,0.08022498339414597,0.003253661096096039,122678,ĠFranchise, Franchise,-0.07959970086812973,0.004995234310626984,0.08022498339414597,5.290390440066291,-4.638842021715884,-0.004931143724665968,0.016096378534538724,1356
L21_SV04,21,3,4,12.155740737915039,0.3333335518836975,441490,2000,154.8799168016263,155.51755058155337,197.60891425014455,122.7252800471129,0.9809486058574373,932.0,-126.5,0.008936358164568017,0.011417707205160358,0.03486602188045029,0.14224331241930735,1.0,646.971,17515.53339883123,1890.431025064951,1491.816686240722,0.7923898887697713,29432,122.0,55.5,82.2843,1.6179680644904195,6.026004464010449,3.026004464010449,0.1659474376383844,9.843919192361119,3.0200171843231334,5.5660678890140645,7.316097967656042,8.402156912071804,1.6092757063012009,2.0616600007534838,2.384751404581413,5.5660678890140645,7.316097967656042,8.402156912071804,0.19544596083411866,0.029900494504713486,0.1155864293984576,0.01781673948009218,0.1721252650338734,0.02633275468729583,0.07485050285403642,0.017396031530307148,0.0002718129926610492,0.0,0.0,0.0,1998,1930,94,1,0,0,0.999,0.965,0.047,0.0005,0.0,0.0,7.94805327383231,8.58000858000858,2.224300382940609,2.4734973743472324,1.2650820620540497,0.045864842821518266,1.2650820620540497,0.2751890569291096,1.0,0.16666666666666666,1.2650820620540497,positive,1084,118,194,68,18,1,2,12,12,5,9,6,1,1,64,54,26,2.8336992817229856,17.008262947811275,0.171875,64,56,25,2.671203261599408,14.457354710794691,0.265625,64,54,26,2.8336992817229856,17.008262947811275,0.171875,2958,_D,_D,0.09600804001092911,0.0019737035036087036,64737,Ġargu, argu,-0.09865553677082062,0.0009828805923461914,0.09865553677082062,5.068722398396411,-4.391687105257623,-0.00828930899965107,0.020576654393931037,113
L22_SV05,22,4,5,6.811446666717529,0.2079959511756897,441490,2000,-73.75903704752832,109.6470873468786,156.64223221034078,138.1897006497216,0.2722553172212281,434.0,-1056.0,0.004705804222226669,0.0067027866386020225,1.3590341797096198e-05,0.05574531699472242,0.991,541.814,23628.51209795239,746.8552876241821,941.2717758652394,1.8735290776732083,29432,-52.75,63.5,94.1451,-0.9619380016491161,4.874263575607706,1.8742635756077064,0.20515919676652355,5.170210664176893,10.656422904644002,2.925696610869803,3.959313867636234,4.516487846951107,4.623182725388788,6.55930048404004,9.063651746081158,4.623182725388788,6.55930048404004,9.063651746081158,0.20436468385397444,0.03134537234540189,0.18373388263976284,0.03423405833170617,0.13598439806600582,0.025331791186798867,0.00886789888556673,0.0,0.0,0.0658806740962218,0.005945909214460451,0.0002038597444957869,1281,2,0,1995,1033,40,0.6405,0.001,0.0,0.9975,0.5165,0.02,4.320458526253623,4.660571819457412,7.0874639253662695,8.788667705488653,0.35049082359561995,1.2136311635707462,0.7009816471912399,1.2136311635707462,0.5,1.0,1.2136311635707462,negative,1318,1115,536,222,8,6,3,32,32,6,15,6,3,2,64,56,11,1.5521496973371158,4.721609311620918,0.546875,64,45,21,2.088978646025768,8.076661819581352,0.5,64,45,21,2.088978646025768,8.076661819581352,0.5,153659,ĠSigning, Signing,0.08995915204286575,0.0008132532238960266,7349,PC,PC,-0.07915077358484268,0.002067558467388153,0.08995915204286575,4.601257312105213,-4.699806557632781,0.006300089731106639,0.018181783073001535,478
L20_SV04,20,3,4,18.02531623840332,0.4155771732330322,441490,2000,-170.3703236748709,170.3706337222389,185.89622268427362,74.37310279395889,1.8120455729461597e-05,20.625,-656.0,0.012325616357048338,0.013349776480383085,0.04237921583727831,0.27816711590296495,1.0,463.612,13811.849631503545,3070.984550580537,1340.5986974923867,0.4365378969161885,29432,-154.0,39.0,57.8214,-1.4055857957294913,5.710685009142595,2.710685009142595,0.17511034112353197,3.020075612143601,8.681906698903866,1.6429903115455524,2.0370399194761757,2.369531112183346,4.658828738148807,6.537371976465462,7.444565506888397,4.658828738148807,6.537371976465462,7.444565506888397,0.11432923962987372,0.016846064361317088,0.207746246927372,0.03392470917905295,0.17259779337476192,0.02818500950937558,0.0,0.0,0.0,0.04607230225604784,0.006965207936939386,0.0,1,0,0,1997,1217,10,0.0005,0.0,0.0,0.9985,0.6085,0.005,2.2872154600199925,2.517461095718886,7.090800291933437,7.71340714683491,0.044065379761821497,1.2040964159425491,0.264392278570929,1.2040964159425491,0.16666666666666666,1.0,1.2040964159425491,negative,906,104,92,28,100,3,4,5,5,4,7,5,1,1,64,54,32,3.1426394899634387,23.164929835517928,0.109375,64,55,41,3.4929858637379114,32.88398837379889,0.09375,64,55,41,3.4929858637379114,32.88398837379889,0.09375,151924,ĠWilderness, Wilderness,0.08871359378099442,0.005471274256706238,30322,bold,bold,-0.08341796696186066,0.00014112889766693115,0.08871359378099442,4.133548553437142,-4.767368408863668,0.00877641799078394,0.019338632353487383,598
L22_SV16,22,15,16,4.409728050231934,0.13465650379657745,441490,2000,53.95504457218471,75.60544213005072,103.05019289707394,87.79632920195301,0.751040793675961,548.0,-358.0,0.0032613579750765775,0.004492392272924108,0.0,0.003762259620829464,0.59,429.4335,23628.51209795239,333.39943891107185,387.15793558924923,1.6272126155783546,29432,46.0,47.0,69.6822,0.933308972889015,5.798355221912504,2.7983552219125043,0.1724627004949456,7.204135345898953,5.797750358054138,4.3250643636394575,5.957590317182854,6.808843578417397,2.554454365677318,3.9977067314177726,4.916162233683723,4.391365370209322,5.957590317182854,6.808843578417397,0.25538435051241726,0.03819615097995435,0.1978628089150495,0.03903131107272446,0.17208442692579962,0.02555581506571082,0.02874422397390595,0.005470236477303615,0.0,0.004756727371568361,0.00010192987224789345,0.0,1990,1612,0,956,22,0,0.995,0.806,0.0,0.478,0.011,0.0,6.515293719199452,6.802311063657577,4.420067104655135,5.023090545361656,1.1643416570674372,0.7898006762450637,1.1643416570674372,0.7898006762450637,1.0,1.0,1.1643416570674372,positive,1422,1434,1110,603,60,2,5,50,50,26,38,38,1,3,64,64,6,1.063949538649433,2.8977933647554077,0.453125,64,59,12,1.863265846325243,6.444750002873958,0.40625,64,64,6,1.063949538649433,2.8977933647554077,0.453125,159815,Ġà¤ĩà¤Ĥà¤Ĺ, इंग,0.080758236348629,0.002159915864467621,7176,Ġfo, fo,-0.08878547698259354,0.001441560685634613,0.08878547698259354,5.050689292882829,-5.834902108402654,0.0020934595780734604,0.01557505762261121,588
L22_SV34,22,33,34,3.1733646392822266,0.09690260887145996,441490,2000,-131.80494062343394,137.22628585005643,153.59649229702507,78.86279270481825,0.055154137126548736,728.0,-520.0,0.0058295709880557415,0.006509616138730623,0.0,0.005146209427167093,0.4595,326.1465,23628.51209795239,435.469043096604,250.26039772451458,0.5983295643683666,29432,-136.0,48.0,71.1648,0.4712235259475894,4.38497690426583,1.3849769042658302,0.22805137218104196,12.140833670578713,5.395926075812762,3.0330303745671925,4.9019318539502335,7.367988106479573,2.3607176581680833,3.191718377624879,4.062935608615379,3.1195197625792526,4.948204730428513,7.367988106479573,0.21245804460032153,0.05142239229457551,0.15447927931272534,0.027571241979933558,0.12992499245517808,0.030697952576969473,0.010566730089698287,0.0008494156020657787,3.397662408263115e-05,0.0017667844522968198,3.397662408263115e-05,0.0,1401,246,22,448,2,0,0.7005,0.123,0.011,0.224,0.001,0.0,6.240444714240747,8.06634740770718,3.597284050541841,4.272336885651333,1.1115868694396787,0.26498588043650095,1.1115868694396787,0.5299717608730019,1.0,0.5,1.1115868694396787,positive,1241,1452,1080,430,86,11,6,24,24,44,36,50,5,4,64,58,6,0.6457796077696528,1.9074735309376347,0.84375,64,48,43,3.409255159339394,30.242709868179748,0.171875,64,58,6,0.6457796077696528,1.9074735309376347,0.84375,71582,dien,dien,0.07993463426828384,0.000996902585029602,8972,Ġindepend, independ,-0.08240487426519394,0.007722578942775726,0.08240487426519394,4.805269720084166,-5.1528211533523205,0.0015978190449796638,0.01630227225245789,1220
L22_SV02,22,1,2,21.815793991088867,0.6661722660064697,441490,2000,-21.68697812003634,71.31755257564406,91.25399735711902,88.63953414630602,0.3856372737774355,956.0,-472.0,0.0030371120495945683,0.003885050220426025,0.0,0.0013884799202699947,0.2235,299.906,23628.51209795239,1555.8490349389,1933.7418164018993,4.087223847217743,29432,-24.75,55.75,82.65495,0.2328798211207891,4.293637665162325,1.2936376651623247,0.23290274540718475,11.865593046756425,5.4110491870117885,2.791726327340347,4.219348024528476,7.198915491449496,2.4832148588802,3.720599915673508,4.623563380051569,3.088139306841272,4.450888906230045,7.198915491449496,0.20813532995919173,0.052423844381758296,0.17908271406288798,0.033089385110716095,0.12648132201831133,0.02920539195761507,0.007644740418592009,0.00044169611307420494,6.79532481652623e-05,0.003941288393585213,3.397662408263115e-05,0.0,719,122,14,936,9,0,0.3595,0.061,0.007,0.468,0.0045,0.0,5.380802964613735,7.655318888947365,4.346382158600302,4.75773078321383,0.9660726376934833,0.6767952785593135,0.9660726376934833,0.6767952785593135,1.0,1.0,0.9660726376934833,positive,1437,1423,1213,85,58,12,7,54,54,15,44,36,6,5,64,45,12,1.614679757235065,5.026278036529436,0.5,64,59,30,3.0569024685414816,21.261596592992298,0.1875,64,45,12,1.614679757235065,5.026278036529436,0.5,68325,lane,lane,0.08268775045871735,0.0004936233162879944,11628,ĠSun, Sun,-0.0767507553100586,0.002507239580154419,0.08268775045871735,4.85404372560268,-5.113828144612763,0.005046154677484032,0.0159952402924828,1195
L21_SV06,21,5,6,9.061511039733887,0.24848389625549316,441490,2000,-109.5519525631597,122.48431279720025,134.887269592165,78.6952678858685,0.08975061722802329,340.0,-348.0,0.006989842118710694,0.007684732910097544,0.0,0.0006976375455842714,0.113,258.259,17515.53339883123,1109.8929526060485,713.0980387226131,0.7183374284497377,29432,-124.5,42.5,63.01049999999999,1.243663776944807,5.307608651330273,2.3076086513302734,0.1884087666767528,7.371787241808906,3.54702787630633,4.57860197903524,5.650947064378152,6.169251156553247,1.8488981995064317,2.404361177898922,2.7888621737646644,4.57860197903524,5.650947064378152,6.169251156553247,0.20929329723449816,0.028508687538137633,0.13087287048388344,0.02014970260781299,0.16435983014849118,0.02238811803072093,0.039412883935852135,0.005640119597716771,0.0,0.0,0.0,0.0,1998,1426,0,26,0,0,0.999,0.713,0.0,0.013,0.0,0.0,5.975194610422073,6.229120543401497,2.75350933574563,3.0394934177637065,0.9541350525801054,0.05688303720175365,0.9541350525801054,0.34129822321052194,1.0,0.16666666666666666,0.9541350525801054,positive,1187,1399,1268,137,88,5,8,20,20,41,49,32,2,2,64,57,17,1.775602309689753,5.903836003277627,0.546875,64,58,24,2.5649952804986103,13.00059701319018,0.3125,64,57,17,1.775602309689753,5.903836003277627,0.546875,39774,Comb,Comb,0.07622625678777695,0.000984974205493927,15039,ĠÃ¢, â,-0.09481611102819443,0.008666262030601501,0.09481611102819443,5.006558480294175,-6.124751107117536,-0.0007039202371318138,0.015365880040691844,209
L22_SV39,22,38,39,2.873382568359375,0.08774229139089584,441490,2000,-79.46220573503577,95.7673307360975,114.55404684454913,82.51295357812619,0.14751409997961448,446.0,-548.0,0.004089254301715813,0.004910335364221865,0.0,0.00235792430179619,0.3045,293.269,23628.51209795239,275.1761787554096,237.0912824752341,1.0383924384538483,29432,-82.0,50.875,75.427275,0.35138010657134006,3.9833148989127345,0.9833148989127345,0.2510471869228704,7.000120314567907,6.178136489751221,2.9962636194930816,4.613715661874302,6.355334989895765,2.439435867197907,3.3674821210231975,3.9008117421714936,3.1512473438818875,4.613715661874302,6.355334989895765,0.20989333642492955,0.04218706360170133,0.15489256128830597,0.02562525653598707,0.12184830092955617,0.023684017273071043,0.009853220983963034,0.0005096493612394672,0.0,0.0023783636857841804,0.0,0.0,1458,141,0,579,6,0,0.729,0.0705,0.0,0.2895,0.003,0.0,5.303121450430233,6.09911998013981,3.712185015301163,4.322839450318203,0.9476336519007322,0.5390628580082633,0.9476336519007322,0.5390628580082633,1.0,1.0,0.9476336519007322,positive,1360,1457,1165,755,72,27,9,38,38,49,41,46,13,6,64,53,32,2.9137490101121166,18.42574755494131,0.203125,64,50,33,3.114790849926435,22.528717977692594,0.140625,64,53,32,2.9137490101121166,18.42574755494131,0.203125,200303,,,0.08564331382513046,0.007074080407619476,197680,ĠDiving, Diving,-0.08636891841888428,0.00229441374540329,0.08636891841888428,5.227500578624154,-5.004172136888076,-0.00224007226312392,0.016811741054151112,823
L22_SV04,22,3,4,7.887481689453125,0.24085400998592377,441490,2000,151.11123867736953,170.64084169339907,207.52549924482526,142.24003087107732,0.85730141113049,868.0,-458.0,0.007167296995446783,0.008653813876705442,0.0,0.06626877165960723,1.0,705.56,23628.51209795239,1345.9265143295545,1121.9156390028695,0.9412935273117995,29432,155.0,78.0,115.6428,0.5062057633743156,4.435074939725029,1.4350749397250286,0.22547533324476343,6.165537327010415,5.300805584091703,3.7096991771212737,5.024091426357716,5.57948787127256,2.6779877346449474,3.1908601313700466,3.55503152811934,3.7096991771212737,5.043772720826528,5.57948787127256,0.24922319081861602,0.03510253825273699,0.11900540747971747,0.016604012365457797,0.1310770615043486,0.018480592154985168,0.019230769230769232,0.0011891818428920902,0.0,0.00295596629518891,3.397662408263115e-05,0.0,1978,674,0,722,1,0,0.989,0.337,0.0,0.361,0.0005,0.0,5.473751932675445,5.715876820692685,3.4161227504003704,3.6751099074045253,0.9412972601006475,0.13705441714384972,0.9412972601006475,0.4111632514315492,1.0,0.3333333333333333,0.9412972601006475,positive,1178,1424,472,110,7,9,10,17,17,16,13,5,4,7,64,63,10,1.5871501528509901,4.889793887734896,0.390625,64,57,14,2.2384857476484705,9.379118177285656,0.265625,64,63,10,1.5871501528509901,4.889793887734896,0.390625,136,Ì,�,0.07943085581064224,0.0024788901209831238,178286,Ġinstituted, instituted,-0.07831612229347229,0.0006969869136810303,0.07943085581064224,5.2202185467196305,-4.519262644216135,-0.005119202313034379,0.01619665103423833,1404
